published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-15,188.00,188.00,185.00,188.00,0.00,141.00,26184.00,0
2011-05-18,188.00,191.00,191.00,191.00,0.00,20.00,3820.00,0
2011-05-19,191.00,190.00,188.00,190.00,0.00,97.00,18384.00,0
2011-05-22,190.00,188.00,188.00,188.00,0.00,58.00,10904.00,0
2011-05-23,188.00,186.00,186.00,186.00,0.00,195.00,36270.00,0
2011-05-24,186.00,183.00,183.00,183.00,0.00,60.00,10980.00,0
2011-05-25,183.00,189.00,186.00,188.00,0.00,60.00,11250.00,0
2011-06-05,188.00,191.00,191.00,191.00,0.00,100.00,19100.00,0
2011-06-09,191.00,191.00,191.00,191.00,0.00,48.00,9168.00,0
2011-06-15,191.00,188.00,182.00,185.00,0.00,2336.00,427567.00,0
2011-06-19,185.00,184.00,184.00,184.00,0.00,475.00,87400.00,0
2011-06-20,185.00,184.00,184.00,184.00,0.00,475.00,87400.00,0
2011-06-21,193.00,210.00,196.00,210.00,0.00,100.00,20260.00,0
2011-06-23,210.00,218.00,212.00,218.00,0.00,121.00,26063.00,0
2011-06-26,218.00,222.00,222.00,222.00,0.00,50.00,11100.00,0
2011-06-29,222.00,225.00,206.00,206.00,0.00,1145.00,245090.00,0
2011-06-30,206.00,202.00,202.00,202.00,0.00,30.00,6060.00,0
2011-07-03,202.00,198.00,192.00,192.00,0.00,149.00,29316.00,0
2011-07-04,192.00,195.00,195.00,195.00,0.00,10.00,1950.00,0
2011-07-05,195.00,192.00,192.00,192.00,0.00,100.00,19200.00,0
2011-07-07,192.00,189.00,183.00,183.00,0.00,230.00,42630.00,0
2011-07-10,183.00,186.00,186.00,186.00,0.00,20.00,3720.00,0
2011-07-12,186.00,186.00,183.00,183.00,0.00,87.00,16107.00,0
2011-07-13,183.00,189.00,186.00,189.00,0.00,42.00,7872.00,0
2011-07-14,189.00,195.00,189.00,195.00,0.00,158.00,30105.00,0
2011-07-19,195.00,198.00,198.00,198.00,0.00,69.00,13662.00,0
2011-07-20,198.00,195.00,195.00,195.00,0.00,32.00,6240.00,0
2011-07-24,195.00,192.00,186.00,188.00,0.00,649.00,123201.00,0
2011-07-25,188.00,185.00,185.00,185.00,0.00,100.00,18500.00,0
2011-07-27,185.00,182.00,182.00,182.00,0.00,292.00,53144.00,0
2011-07-28,182.00,190.00,182.00,188.00,0.00,315.00,59285.00,0
2011-07-31,188.00,194.00,191.00,191.00,0.00,195.00,37425.00,0
2011-08-01,191.00,193.00,189.00,189.00,0.00,594.00,112828.00,0
2011-08-02,189.00,192.00,192.00,192.00,0.00,20.00,3840.00,0
2011-08-03,192.00,198.00,195.00,198.00,0.00,152.00,29706.00,0
2011-08-04,198.00,212.00,201.00,212.00,0.00,835.00,173285.00,0
2011-08-07,212.00,216.00,213.00,216.00,0.00,139.00,29772.00,0
2011-08-08,216.00,220.00,216.00,218.00,0.00,768.00,166627.00,0
2011-08-10,218.00,239.00,222.00,239.00,0.00,981.00,232443.00,0
2011-08-11,239.00,262.00,240.00,262.00,0.00,1361.00,343936.00,0
2011-08-15,262.00,271.00,257.00,258.00,0.00,2917.00,760626.00,0
2011-08-16,258.00,260.00,250.00,250.00,0.00,458.00,116857.00,0
2011-08-17,250.00,250.00,245.00,249.00,0.00,451.00,110630.00,0
2011-08-23,249.00,249.00,241.00,241.00,0.00,716.00,174646.00,0
2011-08-24,241.00,237.00,237.00,237.00,0.00,100.00,23700.00,0
2011-08-25,237.00,233.00,225.00,225.00,0.00,977.00,224447.00,0
2011-08-28,225.00,222.00,217.00,217.00,0.00,345.00,75490.00,0
2011-08-29,217.00,214.00,214.00,214.00,0.00,1288.00,275632.00,0
2011-08-30,214.00,214.00,214.00,214.00,0.00,2460.00,526440.00,0
2011-09-01,214.00,230.00,218.00,230.00,0.00,67.00,14962.00,0
2011-09-04,230.00,226.00,222.00,222.00,0.00,62.00,13888.00,0
2011-09-05,222.00,222.00,222.00,222.00,0.00,52.00,11544.00,0
2011-09-06,222.00,222.00,222.00,222.00,0.00,98.00,21756.00,0
2011-09-12,222.00,225.00,224.00,225.00,0.00,232.00,52174.00,0
2011-09-13,225.00,229.00,221.00,229.00,0.00,322.00,72050.00,0
2011-09-14,229.00,225.00,225.00,225.00,0.00,100.00,22500.00,0
2011-09-15,225.00,228.00,224.00,224.00,0.00,350.00,78800.00,0
2011-09-18,224.00,228.00,224.00,228.00,0.00,240.00,53800.00,0
2011-09-20,228.00,224.00,220.00,220.00,0.00,408.00,90260.00,0
2011-09-21,220.00,216.00,211.00,215.00,0.00,3111.00,665365.00,0
2011-09-22,215.00,211.00,210.00,210.00,0.00,2000.00,420100.00,0
2011-09-26,210.00,222.00,214.00,222.00,0.00,558.00,119836.00,0
2011-09-27,222.00,229.00,221.00,221.00,0.00,766.00,171150.00,0
2011-09-29,221.00,237.00,225.00,237.00,0.00,820.00,187500.00,0
2011-10-09,237.00,233.00,233.00,233.00,0.00,97.00,22601.00,0
2011-10-13,233.00,230.00,230.00,230.00,0.00,40.00,9200.00,0
2011-10-16,230.00,226.00,226.00,226.00,0.00,200.00,45200.00,0
2011-10-17,226.00,222.00,222.00,222.00,0.00,13.00,2886.00,0
2011-10-18,222.00,222.00,222.00,222.00,0.00,800.00,177600.00,0
2011-10-20,222.00,225.00,222.00,225.00,0.00,154.00,34536.00,0
2011-10-23,225.00,229.00,229.00,229.00,0.00,30.00,6870.00,0
2011-10-24,229.00,233.00,229.00,233.00,0.00,275.00,63775.00,0
2011-10-25,233.00,234.00,233.00,234.00,0.00,148.00,34532.00,0
2011-10-31,234.00,230.00,230.00,230.00,0.00,100.00,23000.00,0
2011-11-03,230.00,236.00,228.00,228.00,0.00,800.00,186000.00,0
2011-11-09,228.00,228.00,226.00,228.00,0.00,1119.00,254132.00,0
2011-11-10,228.00,224.00,220.00,220.00,0.00,2100.00,466000.00,0
2011-11-14,220.00,220.00,220.00,220.00,0.00,700.00,154000.00,0
2011-11-15,220.00,222.00,222.00,222.00,0.00,10.00,2220.00,0
2011-11-22,222.00,218.00,218.00,218.00,0.00,20.00,4360.00,0
2011-12-01,218.00,222.00,222.00,222.00,0.00,515.00,114330.00,0
2011-12-04,222.00,230.00,226.00,230.00,0.00,63.00,14330.00,0
2011-12-05,230.00,230.00,226.00,228.00,0.00,1123.00,254090.00,0
2011-12-07,228.00,232.00,232.00,232.00,0.00,60.00,13920.00,0
2011-12-08,232.00,230.00,226.00,226.00,0.00,313.00,71138.00,0
2011-12-15,226.00,222.00,222.00,222.00,0.00,200.00,44400.00,0
2011-12-18,222.00,220.00,220.00,220.00,0.00,500.00,110000.00,0
2011-12-21,220.00,220.00,220.00,220.00,0.00,100.00,22000.00,0
