published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-25,953.0,998.0,860.0,873.0,-3.85,366208.0,338562727.0,-1
2021-04-26,873.0,873.0,820.0,822.0,-5.84,90977.0,75693848.0,-1
2021-04-27,822.0,901.0,788.0,863.0,4.99,54524.0,46452932.0,1
2021-04-28,900.0,900.0,843.0,851.0,-1.39,25714.0,21970822.0,-1
2021-04-29,889.0,889.0,828.0,842.0,-1.06,31245.0,26256510.0,-1
2021-05-02,842.0,842.0,830.0,834.0,-0.95,41631.0,34713661.0,-1
2021-05-03,834.0,845.0,828.0,829.0,-0.6,34916.0,29021977.0,-1
2021-05-04,829.0,830.0,817.0,824.0,-0.6,24072.0,19848814.0,-1
2021-05-05,824.0,830.0,817.0,819.0,-0.61,30354.0,24873343.0,-1
2021-05-06,779.0,826.0,779.0,812.0,-0.85,28258.0,22991164.0,-1
2021-05-09,812.0,812.0,795.0,798.0,-1.72,32208.0,25760043.0,-1
2021-05-10,798.0,805.0,786.0,801.0,0.38,31266.0,24890705.0,1
2021-05-11,801.0,829.0,791.0,826.0,3.12,36055.0,29484275.0,1
2021-05-12,835.0,835.0,810.0,817.0,-1.09,14414.0,11816986.0,-1
2021-05-13,817.0,820.0,810.0,811.0,-0.73,16586.0,13470801.0,-1
2021-05-16,815.0,892.0,810.0,865.0,6.66,85168.0,71671081.0,1
2021-05-17,875.0,895.0,865.0,880.0,1.73,140611.0,124391802.0,1
2021-05-18,890.0,890.0,867.0,875.0,-0.57,61744.0,54551329.0,-1
2021-05-19,875.0,880.0,849.0,859.0,-1.83,50782.0,43689166.0,-1
2021-05-20,851.0,869.0,846.0,852.0,-0.81,43451.0,37249609.0,-1
2021-05-23,810.0,870.0,810.0,851.0,-0.12,47156.0,40343074.0,-1
2021-05-24,850.0,853.0,835.0,842.0,-1.06,28804.0,24288344.0,-1
2021-05-25,800.0,877.0,800.0,853.0,1.31,56714.0,48817782.0,1
2021-05-27,812.0,860.0,812.0,842.0,-1.29,30760.0,25865746.0,-1
2021-05-30,842.0,864.0,833.0,840.0,-0.24,40929.0,34645787.0,-1
2021-05-31,850.0,858.0,833.0,833.0,-0.83,41409.0,35053148.0,-1
2021-06-01,860.0,860.0,821.0,825.0,-0.96,17071.0,14169382.0,-1
2021-06-02,866.0,866.0,810.0,827.0,0.24,31037.0,25598162.0,1
2021-06-03,822.0,846.0,822.0,824.0,-0.36,25325.0,20943235.0,-1
2021-06-06,822.0,832.0,818.0,823.0,-0.12,23696.0,19502581.0,-1
2021-06-07,822.0,835.0,819.0,821.0,-0.24,29435.0,24211178.0,-1
2021-06-08,817.0,846.0,816.0,844.0,2.8,66308.0,54691948.0,1
2021-06-09,845.0,860.0,832.0,833.0,-1.3,33987.0,28673351.0,-1
2021-06-10,835.0,850.0,825.0,827.0,-0.72,18758.0,15570375.0,-1
2021-06-13,815.0,837.0,815.0,822.0,-0.6,30095.0,24861456.0,-1
2021-06-14,822.0,840.0,819.0,823.0,0.12,28972.0,23832196.0,1
2021-06-15,840.0,840.0,818.0,820.0,-0.36,23191.0,19046397.0,-1
2021-06-16,805.0,820.0,800.0,812.0,-0.98,29681.0,24021165.0,-1
2021-06-17,812.0,820.0,801.0,812.0,0.0,18380.0,14943109.0,0
2021-06-20,820.0,820.0,794.0,799.0,-1.6,25125.0,20144272.0,-1
2021-06-21,787.0,800.0,780.0,781.0,-2.25,23502.0,18517466.0,-1
2021-06-22,790.0,795.0,779.0,793.0,1.54,14785.0,11623625.0,1
2021-06-23,800.0,800.0,778.0,778.0,-1.89,15007.0,11772517.0,-1
2021-06-24,740.0,785.0,740.0,768.0,-1.29,16325.0,12599370.0,-1
2021-06-27,768.0,783.0,760.0,768.0,0.0,16351.0,12477477.0,0
2021-06-28,760.0,777.0,760.0,763.0,-0.65,10425.0,7978375.0,-1
2021-06-29,761.0,765.0,751.0,751.0,-1.57,13622.0,10321178.0,-1
2021-06-30,747.0,750.0,728.0,744.0,-0.93,16555.0,12170208.0,-1
2021-07-01,731.0,753.0,731.0,742.0,-0.27,15500.0,11533022.0,-1
2021-07-04,750.0,755.0,735.0,742.0,0.0,14387.0,10655350.0,0
2021-07-05,742.0,745.0,731.0,733.0,-1.21,10028.0,7362327.0,-1
2021-07-06,730.0,735.0,722.0,725.0,-1.09,12200.0,8861431.0,-1
2021-07-07,722.0,725.0,717.0,723.0,-0.28,11568.0,8331990.0,-1
2021-07-08,711.0,734.0,711.0,730.0,0.97,11506.0,8321395.0,1
2021-07-11,735.0,756.0,730.0,756.0,3.56,14994.0,11188027.0,1
2021-07-12,793.0,793.0,739.0,741.0,-1.98,15758.0,11838065.0,-1
2021-07-13,740.0,755.0,730.0,744.0,0.4,8051.0,5975610.0,1
2021-07-14,781.0,781.0,736.0,744.0,0.0,5945.0,4416145.0,0
2021-07-15,744.0,755.0,731.0,745.0,0.13,10633.0,7920269.0,1
2021-07-18,745.0,775.0,740.0,774.5,3.96,15732.0,11917187.0,1
2021-07-19,789.9,790.0,755.0,770.0,-0.58,15381.0,11903247.6,-1
2021-07-20,760.0,765.0,760.0,764.0,-0.78,10932.0,8319658.0,-1
2021-07-22,760.0,765.0,755.0,765.0,0.13,14497.0,11019531.2,1
2021-07-25,754.0,774.0,754.0,771.0,0.78,20704.0,15909562.0,1
2021-07-26,770.0,790.0,770.0,784.0,1.69,24766.0,19312647.0,1
2021-07-27,790.0,794.0,781.0,790.0,0.77,19337.0,15202210.0,1
2021-07-28,780.0,806.0,780.0,806.0,2.03,27849.0,22295543.2,1
2021-07-29,806.0,826.2,793.9,803.0,-0.37,29078.0,23506247.6,-1
2021-08-01,790.0,802.0,790.0,794.0,-1.12,21164.0,16838504.5,-1
2021-08-02,790.0,795.0,778.0,781.7,-1.55,14897.0,11690260.8,-1
