published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-08-11,1000.0,1040.0,1000.0,1040.0,0.0,285.0,293085.0,0
2024-08-12,1030.0,1035.0,1030.0,1035.0,-0.48,150.0,155000.0,-1
2024-08-13,1036.0,1036.0,1036.0,1036.0,0.1,55.0,56980.0,1
2024-08-15,1030.5,1030.5,1028.0,1028.0,-0.77,25.0,25737.5,-1
2024-08-18,1047.0,1047.0,1035.0,1035.0,0.68,175.0,182925.0,1
2024-08-21,1050.0,1050.0,1050.0,1050.0,1.45,25.0,26250.0,1
2024-08-25,1030.1,1031.0,1029.0,1031.0,-1.81,135.0,139070.0,-1
2024-08-27,1031.0,1040.0,1031.0,1040.0,0.87,75.0,77775.0,1
2024-08-28,1040.0,1040.0,1040.0,1040.0,0.0,25.0,26000.0,0
2024-09-01,1050.0,1050.0,1050.0,1050.0,0.96,25.0,26250.0,1
2024-09-02,1055.0,1055.0,1055.0,1055.0,0.48,25.0,26375.0,1
2024-09-03,1055.0,1055.0,1055.0,1055.0,0.0,25.0,26375.0,0
2024-09-08,1058.0,1058.0,1058.0,1058.0,0.28,25.0,26450.0,1
2024-09-09,1079.1,1079.1,1062.0,1062.0,0.38,50.0,53527.5,1
2024-09-10,1080.0,1080.0,1080.0,1080.0,1.69,25.0,27000.0,1
2024-09-11,1100.0,1100.0,1100.0,1100.0,1.85,20.0,22000.0,1
2024-09-15,1078.5,1078.5,1078.5,1078.5,-1.95,90.0,97065.0,-1
2024-09-18,1078.5,1078.5,1057.0,1057.0,-1.99,50.0,53387.5,-1
2024-09-22,1070.0,1070.1,1070.0,1070.1,1.24,50.0,53502.5,1
2024-09-23,1075.0,1075.0,1075.0,1075.0,0.46,25.0,26875.0,1
2024-09-25,1090.0,1090.0,1090.0,1090.0,1.4,25.0,27250.0,1
2024-10-01,1075.0,1075.0,1075.0,1075.0,-1.38,25.0,26875.0,-1
2024-10-06,1058.0,1079.1,1058.0,1079.1,0.38,50.0,53427.5,1
2024-10-20,1080.0,1081.0,1080.0,1081.0,0.18,125.0,135100.0,1
2024-10-24,1102.6,1102.6,1102.6,1102.6,2.0,25.0,27565.0,1
2024-10-27,1122.0,1144.0,1121.2,1121.2,1.69,120.0,135410.0,1
2024-10-30,1121.0,1122.0,1121.0,1122.0,0.07,50.0,56075.0,1
2024-11-06,1100.0,1100.0,1100.0,1100.0,-1.96,25.0,27500.0,-1
2024-11-11,1090.0,1090.0,1090.0,1090.0,-0.91,25.0,27250.0,-1
2024-11-17,1088.0,1088.0,1088.0,1088.0,-0.18,25.0,27200.0,-1
2024-11-19,1075.5,1075.5,1075.5,1075.5,-1.15,23.0,24736.5,-1
