published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-27,10.0,10.0,9.0,9.0,-10.0,10250.0,94263.0,-1
2022-07-28,8.85,9.02,8.7,9.01,0.11,16091.0,143236.88,1
2022-07-29,8.89,8.96,8.89,8.96,-0.55,3300.0,29418.0,-1
2022-07-31,8.94,9.1,8.93,9.0,0.45,10900.0,98363.0,1
2022-08-01,9.0,9.0,8.7,8.92,-0.89,6020.0,53464.6,-1
2022-08-02,8.75,9.0,8.75,8.91,-0.11,23970.0,213581.6,-1
2022-08-03,8.74,9.09,8.74,8.92,0.11,9350.0,83888.0,1
2022-08-04,8.75,9.09,8.75,9.09,1.91,10890.0,97244.8,1
2022-08-05,8.95,8.95,8.86,8.86,-2.53,2300.0,20508.0,-1
2022-08-07,8.7,8.92,8.7,8.92,0.68,6350.0,55492.0,1
2022-08-08,9.09,9.09,8.72,8.8,-1.35,5870.0,51416.1,-1
2022-08-09,8.63,8.83,8.63,8.8,0.0,6550.0,57125.5,0
2022-08-10,8.63,8.81,8.63,8.71,-1.02,4950.0,42956.0,-1
2022-08-11,8.54,9.02,8.54,8.85,1.61,2100.0,18516.0,1
2022-08-14,8.68,8.86,8.68,8.7,-1.69,3300.0,28786.0,-1
2022-08-15,8.68,8.89,8.6,8.8,1.15,11010.0,95809.1,1
2022-08-16,8.63,8.82,8.63,8.71,-1.02,3300.0,28729.0,-1
2022-08-17,8.54,8.71,8.54,8.66,-0.57,3490.0,30049.0,-1
2022-08-18,8.66,8.83,8.56,8.6,-0.69,3950.0,34271.0,-1
2022-08-21,8.43,8.7,8.43,8.5,-1.16,4950.0,42170.0,-1
2022-08-22,8.33,8.67,8.33,8.41,-1.06,4950.0,41761.5,-1
2022-08-23,8.25,8.73,8.25,8.6,2.26,3600.0,30648.0,1
2022-08-24,8.43,9.11,8.43,8.94,3.95,5400.0,46845.0,1
2022-08-25,8.94,9.0,8.48,8.65,-3.24,7000.0,60147.0,-1
2022-08-26,8.48,8.5,8.48,8.49,-1.85,1300.0,11038.0,-1
2022-08-28,8.33,8.64,8.33,8.51,0.24,9950.0,84365.0,1
2022-08-29,8.39,8.61,8.18,8.55,0.47,15350.0,130055.5,1
2022-08-30,8.39,8.52,8.24,8.51,-0.47,2700.0,22619.0,-1
2022-08-31,8.5,8.5,8.4,8.43,-0.94,2800.0,23624.0,-1
2022-09-01,8.59,8.59,8.4,8.41,-0.24,4900.0,41400.0,-1
2022-09-02,8.27,8.55,8.27,8.38,-0.36,1400.0,11885.0,-1
2022-09-04,8.25,8.43,8.25,8.3,-0.95,3700.0,30702.0,-1
2022-09-05,8.3,8.48,8.3,8.33,0.36,2750.0,23026.0,1
2022-09-06,8.17,8.36,8.17,8.36,0.36,4000.0,32862.0,1
2022-09-07,8.3,8.37,8.21,8.26,-1.2,3050.0,25165.5,-1
2022-09-08,8.15,8.4,8.15,8.3,0.48,11210.0,93054.0,1
2022-09-11,8.15,8.39,8.15,8.36,0.72,1900.0,15656.0,1
2022-09-12,8.2,8.4,8.18,8.32,-0.48,2700.0,22509.0,-1
2022-09-13,8.32,8.48,8.2,8.25,-0.84,4650.0,38524.0,-1
2022-09-14,8.18,8.44,8.18,8.3,0.61,3750.0,31019.5,1
2022-09-15,8.25,8.3,8.25,8.26,-0.48,3650.0,30238.41,-1
2022-09-16,8.15,8.33,8.15,8.21,-0.61,10800.0,88958.0,-1
2022-09-18,8.17,8.24,8.17,8.24,0.37,2500.0,20516.0,1
2022-09-20,8.17,8.4,8.14,8.24,0.0,9795.0,80557.2,0
2022-09-21,8.09,8.2,8.09,8.18,-0.73,3600.0,29311.0,-1
2022-09-22,8.02,8.29,8.02,8.29,1.34,6000.0,48701.0,1
2022-09-25,8.13,8.13,7.46,7.71,-7.0,1500.0,11520.0,-1
2022-09-27,7.8,7.95,7.8,7.85,1.82,1100.0,8641.0,1
2022-09-28,7.85,7.86,7.85,7.86,0.13,1500.0,11788.0,1
2022-09-29,8.0,8.25,7.85,8.15,3.69,2875.0,23198.5,1
2022-10-09,8.15,8.15,8.0,8.1,-0.61,2500.0,20048.0,-1
2022-10-10,8.1,8.4,7.79,8.24,1.73,5600.0,45676.0,1
2022-10-11,8.25,8.4,8.24,8.3,0.73,2000.0,16649.0,1
2022-10-12,8.14,8.31,8.14,8.31,0.12,850.0,7025.0,1
2022-10-13,8.15,8.31,8.0,8.15,-1.93,1450.0,11851.5,-1
2022-10-16,7.99,8.17,7.99,8.05,-1.23,2015.0,16208.65,-1
2022-10-17,7.9,8.36,7.9,8.36,3.85,1800.0,14730.0,1
2022-10-19,8.2,8.26,7.9,7.97,-4.67,4200.0,33909.0,-1
2022-10-20,7.89,8.0,7.89,7.95,-0.25,600.0,4764.0,-1
2022-10-23,7.9,8.05,7.9,7.91,-0.5,1000.0,7917.0,-1
2022-10-31,7.77,7.93,7.77,7.93,0.25,2900.0,22656.0,1
2022-11-01,7.8,8.05,7.8,8.05,1.51,1300.0,10358.0,1
2022-11-02,7.93,8.07,7.92,7.95,-1.24,10400.0,82529.0,-1
2022-11-03,7.82,7.95,7.82,7.95,0.0,1750.0,13824.0,0
2022-11-06,7.8,8.0,7.8,7.9,-0.63,3000.0,23723.0,-1
2022-11-07,7.76,8.21,7.76,7.92,0.25,4500.0,35752.0,1
2022-11-08,7.91,8.06,7.91,8.02,1.26,3900.0,31334.0,1
2022-11-09,7.9,8.02,7.9,7.96,-0.75,700.0,5567.0,-1
2022-11-10,7.9,8.1,7.9,7.91,-0.63,3115.0,24679.0,-1
2022-11-13,7.91,8.0,7.91,7.96,0.63,3710.0,29461.4,1
2022-11-14,7.85,8.05,7.85,8.05,1.13,1000.0,7946.0,1
2022-11-15,7.89,8.1,7.89,8.1,0.62,1300.0,10356.5,1
2022-11-16,8.0,8.0,7.96,7.98,-1.48,2500.0,19924.0,-1
2022-11-17,7.85,8.16,7.85,8.16,2.26,1900.0,15211.0,1
2022-11-22,8.0,8.16,8.0,8.0,-1.96,3200.0,25759.0,-1
2022-11-23,7.85,8.0,7.85,7.92,-1.0,3300.0,26207.0,-1
2022-11-24,7.8,7.98,7.8,7.9,-0.25,1900.0,14912.0,-1
2022-11-27,7.95,8.05,7.95,7.99,1.14,1985.0,15842.0,1
2022-11-28,7.9,8.14,7.9,8.0,0.13,13000.0,104060.0,1
2022-11-29,7.9,8.0,7.9,8.0,0.0,1200.0,9550.0,0
2022-11-30,7.89,8.32,7.89,8.01,0.12,11100.0,91666.0,1
2022-12-01,7.87,8.0,7.87,7.98,-0.37,3300.0,26231.0,-1
2022-12-04,7.93,8.13,7.93,8.0,0.25,2700.0,21617.0,1
2022-12-05,7.97,8.1,7.97,7.99,-0.12,1950.0,15602.0,-1
2022-12-06,7.84,8.32,7.84,8.16,2.13,3800.0,30961.0,1
2022-12-07,8.0,8.62,8.0,8.58,5.15,1900.0,15754.0,1
2022-12-11,8.41,8.75,8.0,8.75,1.98,3000.0,24987.0,1
2022-12-12,8.58,8.58,8.25,8.25,-5.71,300.0,2524.0,-1
2022-12-13,8.1,8.15,7.96,8.15,-1.21,1600.0,12879.0,-1
2022-12-14,8.0,8.16,8.0,8.0,-1.84,4300.0,34588.0,-1
2022-12-15,7.86,8.1,7.86,8.1,1.25,2000.0,15941.0,1
2022-12-18,7.94,7.95,7.88,7.95,-1.85,2200.0,17424.0,-1
2022-12-19,7.82,8.07,7.82,7.92,-0.38,7300.0,57987.0,-1
2022-12-20,7.92,8.1,7.8,8.09,2.15,6600.0,52613.0,1
2022-12-21,7.93,7.95,7.93,7.94,-1.85,2300.0,18263.0,-1
2022-12-22,7.8,8.05,7.8,7.9,-0.5,2000.0,15845.0,-1
2022-12-26,7.8,8.05,7.76,7.89,-0.13,2850.0,22465.0,-1
2022-12-27,8.04,8.15,7.92,8.0,1.39,2950.0,23595.0,1
2022-12-28,7.9,8.05,7.9,7.98,-0.25,2100.0,16721.0,-1
2022-12-29,8.0,8.26,7.84,8.16,2.26,2400.0,19268.0,1
2023-01-01,8.16,8.18,8.02,8.18,0.25,8715.0,70372.6,1
2023-01-02,8.18,8.2,8.04,8.06,-1.47,3350.0,27193.0,-1
2023-01-03,8.0,8.26,8.0,8.12,0.74,4700.0,38007.0,1
2023-01-04,8.1,8.2,8.08,8.2,0.99,3350.0,27247.0,1
2023-01-05,8.11,8.75,8.11,8.58,4.63,9400.0,80106.0,1
2023-01-08,8.41,8.75,8.3,8.5,-0.93,5400.0,45533.0,-1
2023-01-09,8.35,9.3,8.35,9.3,9.41,7800.0,67501.0,1
2023-01-10,9.12,9.48,8.94,9.48,1.94,22350.0,201855.0,1
2023-01-12,9.5,10.43,9.22,10.43,10.02,17580.0,167636.2,1
2023-01-17,10.23,10.23,10.1,10.1,-3.16,300.0,3056.0,-1
