published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-19,10.0,10.0,9.81,9.97,0.0,9400.0,93732.0,0
2021-04-20,9.95,10.0,9.8,9.96,-0.1,17400.0,172328.0,-1
2021-04-21,9.77,10.04,9.77,9.9,-0.6,12650.0,126232.0,-1
2021-04-22,9.71,10.08,9.71,9.92,0.2,10300.0,102119.5,1
2021-04-25,9.73,9.9,9.61,9.8,-1.21,15260.0,149166.8,-1
2021-04-26,9.62,9.89,9.62,9.89,0.92,23200.0,228125.0,1
2021-04-27,9.89,9.89,9.7,9.85,-0.4,13860.0,135999.7,-1
2021-04-28,9.69,10.0,9.69,10.0,1.52,12800.0,125616.5,1
2021-04-29,9.81,9.94,9.72,9.91,-0.9,14112.0,139711.38,-1
2021-05-02,9.42,9.94,9.42,9.82,-0.91,30160.0,296087.4,-1
2021-05-03,9.8,9.89,9.8,9.84,0.2,20218.0,199118.92,1
2021-05-04,9.83,9.99,9.8,9.97,1.32,16960.0,167967.9,1
2021-05-05,9.8,9.95,9.78,9.9,-0.7,16010.0,158087.0,-1
2021-05-06,9.8,9.9,9.76,9.89,-0.1,15800.0,154840.0,-1
2021-05-09,9.7,9.84,9.7,9.83,-0.61,10090.0,98853.6,-1
2021-05-10,9.75,9.9,9.75,9.83,0.0,24600.0,241795.0,0
2021-05-11,9.89,9.93,9.75,9.92,0.92,21910.0,216863.6,1
2021-05-12,9.82,10.0,9.82,9.99,0.71,27980.0,278160.2,1
2021-05-13,9.8,10.0,9.8,9.93,-0.6,15204.0,150983.0,-1
2021-05-16,9.74,9.96,9.74,9.89,-0.4,29500.0,289910.0,-1
2021-05-17,9.8,10.04,9.8,9.92,0.3,37360.0,371855.7,1
2021-05-18,9.92,9.97,9.92,9.95,0.3,23020.0,228881.6,1
2021-05-19,9.89,10.04,9.89,10.04,0.9,32318.0,322410.52,1
2021-05-20,10.0,10.01,9.84,9.89,-1.49,62100.0,613213.0,-1
2021-05-23,9.85,10.05,9.85,9.85,-0.4,69000.0,683256.7,-1
2021-05-24,9.8,9.98,9.66,9.93,0.81,26790.0,265457.2,1
2021-05-25,10.0,10.1,9.89,9.95,0.2,23671.0,234946.0,1
2021-05-27,9.8,9.99,9.8,9.97,0.2,24550.0,244003.0,1
