published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-01-26,214.00,222.00,202.00,220.00,0.00,2348.00,493206.00,0
2017-01-30,220.00,216.00,208.00,208.00,0.00,560.00,119080.00,0
2017-01-31,208.00,218.00,204.00,214.00,0.00,356.00,75098.00,0
2017-02-01,214.00,227.00,210.00,223.00,0.00,1996.00,435644.00,0
2017-02-02,223.00,225.00,215.00,220.00,0.00,3092.00,679446.00,0
2017-02-05,220.00,220.00,213.00,214.00,0.00,1358.00,295118.00,0
2017-02-06,214.00,216.00,208.00,213.00,0.00,890.00,190694.00,0
2017-02-07,213.00,210.00,202.00,209.00,0.00,1627.00,335638.00,0
2017-02-08,209.00,211.00,206.00,210.00,0.00,1766.00,366576.00,0
2017-02-09,210.00,211.00,202.00,208.00,0.00,1154.00,240750.00,0
2017-02-12,208.00,212.00,202.00,202.00,0.00,580.00,120338.00,0
2017-02-13,202.00,206.00,199.00,203.00,0.00,1420.00,287460.00,0
2017-02-14,203.00,206.00,200.00,200.00,0.00,1334.00,270612.00,0
2017-02-15,200.00,205.00,200.00,203.00,0.00,1630.00,331084.00,0
2017-02-16,203.00,223.00,200.00,209.00,0.00,2553.00,536647.00,0
2017-02-19,209.00,222.00,204.00,210.00,0.00,684.00,146626.00,0
2017-02-20,210.00,218.00,203.00,207.00,0.00,1308.00,279404.00,0
2017-02-21,207.00,214.00,207.00,208.00,0.00,948.00,197840.00,0
2017-02-22,208.00,210.00,208.00,209.00,0.00,552.00,115248.00,0
2017-02-23,209.00,215.00,209.00,215.00,0.00,526.00,111504.00,0
2017-02-26,215.00,217.00,211.00,212.00,0.00,694.00,148278.00,0
2017-02-28,212.00,218.00,206.00,212.00,0.00,835.00,176868.00,0
2017-03-01,212.00,210.00,200.00,210.00,0.00,236.00,48856.00,0
2017-03-02,210.00,218.00,209.00,212.00,0.00,1527.00,325768.00,0
2017-03-05,212.00,216.00,208.00,216.00,0.00,456.00,96448.00,0
2017-03-06,216.00,216.00,213.00,214.00,0.00,430.00,92090.00,0
2017-03-07,214.00,215.00,211.00,215.00,0.00,448.00,95190.00,0
2017-03-09,215.00,216.00,211.00,215.00,0.00,886.00,189012.00,0
2017-03-13,215.00,221.00,211.00,221.00,0.00,898.00,193580.00,0
2017-03-14,221.00,227.00,220.00,227.00,0.00,2036.00,458298.00,0
2017-03-15,227.00,238.00,221.00,238.00,0.00,1103.00,251186.00,0
2017-03-16,238.00,246.00,234.00,243.00,0.00,838.00,200400.00,0
2017-03-19,243.00,241.00,235.00,235.00,0.00,878.00,210396.00,0
2017-03-20,235.00,236.00,232.00,233.00,0.00,182.00,42502.00,0
2017-03-21,233.00,237.00,221.00,230.00,0.00,540.00,124412.00,0
2017-03-22,230.00,238.00,226.00,236.00,0.00,1362.00,318898.00,0
2017-03-23,236.00,235.00,228.00,234.00,0.00,696.00,161448.00,0
2017-03-26,234.00,245.00,235.00,245.00,0.00,2468.00,598574.00,0
2017-03-28,245.00,250.00,241.00,250.00,0.00,624.00,153804.00,0
2017-03-29,250.00,260.00,240.00,240.00,0.00,1194.00,297304.00,0
2017-03-30,240.00,240.00,227.00,230.00,0.00,1206.00,280804.00,0
2017-04-02,230.00,230.00,226.00,230.00,0.00,50.00,11440.00,0
2017-04-03,230.00,239.00,231.00,238.00,0.00,466.00,110838.00,0
2017-04-04,238.00,239.00,225.00,227.00,0.00,918.00,212516.00,0
2017-04-06,227.00,231.00,223.00,230.00,0.00,530.00,120614.00,0
2017-04-09,230.00,234.00,226.00,228.00,0.00,736.00,169614.00,0
2017-04-10,228.00,238.00,224.00,238.00,0.00,778.00,177966.00,0
2017-04-11,238.00,235.00,228.00,229.00,0.00,226.00,52072.00,0
2017-04-12,229.00,240.00,225.00,240.00,0.00,574.00,131782.00,0
2017-04-13,240.00,240.00,232.00,236.00,0.00,846.00,198708.00,0
2017-04-16,236.00,236.00,230.00,231.00,0.00,576.00,133726.00,0
2017-04-18,231.00,231.00,223.00,231.00,0.00,240.00,54538.00,0
2017-04-19,231.00,230.00,224.00,230.00,0.00,278.00,63566.00,0
2017-04-20,230.00,235.00,226.00,230.00,0.00,1598.00,372160.00,0
2017-04-23,230.00,226.00,219.00,223.00,0.00,388.00,86488.00,0
2017-04-24,223.00,224.00,220.00,221.00,0.00,3764.00,835314.00,0
2017-04-25,221.00,229.00,222.00,226.00,0.00,762.00,171904.00,0
2017-04-26,226.00,228.00,225.00,225.00,0.00,660.00,149332.00,0
2017-04-27,225.00,229.00,215.00,229.00,0.00,872.00,191736.00,0
2017-04-30,229.00,233.00,213.00,217.00,0.00,614.00,136286.00,0
2017-05-02,217.00,226.00,217.00,222.00,0.00,1253.00,276938.00,0
2017-05-03,222.00,226.00,223.00,223.00,0.00,352.00,78848.00,0
2017-05-04,223.00,225.00,220.00,223.00,0.00,497.00,110365.00,0
2017-05-07,223.00,225.00,220.00,221.00,0.00,376.00,83866.00,0
2017-05-08,221.00,222.00,216.00,216.00,0.00,2604.00,573682.00,0
2017-05-09,216.00,228.00,215.00,228.00,0.00,1915.00,425104.00,0
2017-05-11,228.00,250.00,230.00,245.00,0.00,2867.00,687037.00,0
2017-05-15,245.00,255.00,248.00,250.00,0.00,2565.00,644722.00,0
2017-05-16,250.00,247.00,242.00,242.00,0.00,1630.00,399748.00,0
2017-05-17,242.00,243.00,238.00,238.00,0.00,837.00,202420.00,0
2017-05-18,238.00,244.00,235.00,235.00,0.00,748.00,178934.00,0
2017-05-21,235.00,237.00,232.00,233.00,0.00,505.00,117929.00,0
2017-05-22,233.00,233.00,221.00,228.00,0.00,314.00,70542.00,0
2017-05-23,228.00,233.00,225.00,231.00,0.00,196.00,44792.00,0
2017-05-24,231.00,232.00,227.00,230.00,0.00,506.00,116274.00,0
2017-05-28,230.00,229.00,220.00,227.00,0.00,697.00,156237.00,0
2017-05-30,227.00,230.00,220.00,220.00,0.00,746.00,166686.00,0
2017-05-31,220.00,226.00,216.00,222.00,0.00,750.00,166854.00,0
2017-06-01,222.00,226.00,222.00,225.00,0.00,412.00,91886.00,0
2017-06-04,225.00,227.00,218.00,221.00,0.00,452.00,99592.00,0
2017-06-05,221.00,225.00,218.00,225.00,0.00,526.00,116604.00,0
2017-06-06,225.00,232.00,221.00,230.00,0.00,780.00,177422.00,0
2017-06-07,230.00,226.00,218.00,226.00,0.00,648.00,144178.00,0
2017-06-08,226.00,227.00,220.00,223.00,0.00,664.00,149032.00,0
2017-06-11,223.00,224.00,214.00,223.00,0.00,944.00,206494.00,0
2017-06-12,223.00,226.00,219.00,220.00,0.00,431.00,95082.00,0
2017-06-13,220.00,225.00,212.00,218.00,0.00,1235.00,269360.00,0
2017-06-14,218.00,222.00,214.00,216.00,0.00,720.00,155946.00,0
2017-06-15,216.00,218.00,213.00,218.00,0.00,836.00,180950.00,0
2017-06-18,218.00,220.00,210.00,210.00,0.00,524.00,111520.00,0
2017-06-19,210.00,214.00,207.00,211.00,0.00,462.00,97588.00,0
2017-06-20,211.00,212.00,209.00,212.00,0.00,90.00,18964.00,0
2017-06-21,212.00,213.00,206.00,211.00,0.00,502.00,105930.00,0
2017-06-22,211.00,212.00,205.00,208.00,0.00,509.00,105556.00,0
2017-06-25,208.00,210.00,209.00,209.00,0.00,152.00,31838.00,0
2017-06-27,209.00,220.00,207.00,208.00,0.00,496.00,104236.00,0
2017-06-28,208.00,217.00,205.00,207.00,0.00,401.00,84834.00,0
2017-07-02,207.00,209.00,202.00,204.00,0.00,554.00,113596.00,0
2017-07-03,204.00,208.00,205.00,205.00,0.00,254.00,52182.00,0
2017-07-04,205.00,208.00,205.00,206.00,0.00,503.00,103775.00,0
2017-07-05,206.00,205.00,200.00,205.00,0.00,324.00,65946.00,0
2017-07-06,205.00,206.00,203.00,205.00,0.00,66.00,13508.00,0
2017-07-09,205.00,207.00,202.00,205.00,0.00,214.00,43752.00,0
2017-07-10,205.00,211.00,206.00,211.00,0.00,168.00,34914.00,0
2017-07-11,211.00,210.00,208.00,208.00,0.00,174.00,36320.00,0
2017-07-12,208.00,208.00,203.00,208.00,0.00,1446.00,296298.00,0
2017-07-13,208.00,214.00,200.00,208.00,0.00,580.00,120650.00,0
2017-07-16,208.00,206.00,201.00,206.00,0.00,394.00,80558.00,0
2017-07-17,206.00,210.00,198.00,210.00,0.00,682.00,138180.00,0
2017-07-18,210.00,210.00,202.00,210.00,0.00,374.00,77144.00,0
2017-07-19,210.00,212.00,202.00,206.00,0.00,624.00,129728.00,0
2017-07-20,206.00,208.00,200.00,201.00,0.00,1492.00,303372.00,0
2017-07-23,201.00,205.00,200.00,203.00,0.00,434.00,87883.00,0
2017-07-24,203.00,206.00,200.00,206.00,0.00,708.00,142790.00,0
2017-07-25,206.00,206.00,203.00,206.00,0.00,680.00,138892.00,0
2017-07-26,206.00,209.00,200.00,202.00,0.00,526.00,107230.00,0
2017-07-27,202.00,206.00,200.00,202.00,0.00,403.00,81336.00,0
2017-07-30,202.00,205.00,195.00,201.00,0.00,870.00,173364.00,0
2017-07-31,201.00,209.00,197.00,209.00,0.00,653.00,130892.00,0
2017-08-01,209.00,212.00,201.00,205.00,0.00,380.00,78280.00,0
2017-08-02,205.00,204.00,200.00,204.00,0.00,938.00,188846.00,0
2017-08-03,204.00,208.00,200.00,204.00,0.00,574.00,117446.00,0
2017-08-06,204.00,205.00,196.00,198.00,0.00,592.00,118214.00,0
2017-08-07,198.00,199.00,194.00,195.00,0.00,2294.00,448782.00,0
2017-08-09,195.00,200.00,187.00,200.00,0.00,3283.00,635848.00,0
2017-08-10,200.00,198.00,193.00,197.00,0.00,497.00,97430.00,0
2017-08-13,197.00,195.00,186.00,195.00,0.00,880.00,169454.00,0
2017-08-15,195.00,194.00,188.00,190.00,0.00,437.00,83210.00,0
2017-08-16,190.00,195.00,188.00,192.00,0.00,610.00,115782.00,0
2017-08-17,192.00,192.00,186.00,186.00,0.00,2774.00,527894.00,0
2017-08-20,186.00,185.00,181.00,183.00,0.00,588.00,106750.00,0
2017-08-21,183.00,183.00,180.00,180.00,0.00,250.00,45142.00,0
2017-08-22,180.00,182.00,177.00,180.00,0.00,2129.00,384549.00,0
2017-08-23,180.00,179.00,173.00,179.00,0.00,484.00,85402.00,0
2017-08-24,179.00,186.00,177.00,185.00,0.00,523.00,94215.00,0
2017-08-27,185.00,182.00,179.00,181.00,0.00,364.00,65576.00,0
2017-08-28,181.00,182.00,178.00,181.00,0.00,506.00,90968.00,0
2017-08-30,181.00,183.00,176.00,182.00,0.00,222.00,39774.00,0
2017-08-31,182.00,181.00,173.00,176.00,0.00,651.00,114067.00,0
2017-09-04,176.00,175.00,160.00,165.00,0.00,2628.00,448466.00,0
2017-09-06,165.00,167.00,159.00,167.00,0.00,3710.00,603910.00,0
2017-09-07,167.00,165.00,159.00,161.00,0.00,722.00,116302.00,0
2017-09-10,161.00,160.00,157.00,160.00,0.00,924.00,146480.00,0
2017-09-11,160.00,159.00,157.00,157.00,0.00,312.00,49016.00,0
2017-09-12,157.00,160.00,152.00,155.00,0.00,508.00,79156.00,0
2017-09-13,155.00,160.00,153.00,158.00,0.00,466.00,72800.00,0
2017-09-14,158.00,159.00,154.00,154.00,0.00,640.00,100380.00,0
2017-09-17,154.00,154.00,151.00,151.00,0.00,362.00,54958.00,0
2017-09-18,151.00,153.00,149.00,151.00,0.00,606.00,91638.00,0
2017-09-20,151.00,152.00,150.00,151.00,0.00,158.00,23846.00,0
2017-09-24,151.00,161.00,150.00,159.00,0.00,1493.00,231914.00,0
2017-09-25,159.00,167.00,156.00,162.00,0.00,444.00,72092.00,0
2017-09-26,162.00,165.00,161.00,164.00,0.00,364.00,59678.00,0
2017-10-03,164.00,166.00,165.00,165.00,0.00,36.00,5950.00,0
2017-10-04,165.00,168.00,162.00,168.00,0.00,62.00,10272.00,0
2017-10-08,168.00,166.00,163.00,164.00,0.00,206.00,33928.00,0
2017-10-09,164.00,165.00,164.00,165.00,0.00,162.00,26688.00,0
2017-10-10,165.00,165.00,160.00,165.00,0.00,226.00,36704.00,0
2017-10-11,165.00,165.00,156.00,156.00,0.00,164.00,26352.00,0
2017-10-12,156.00,156.00,151.00,156.00,0.00,222.00,34058.00,0
2017-10-15,156.00,158.00,155.00,156.00,0.00,74.00,11566.00,0
2017-10-16,156.00,161.00,156.00,158.00,0.00,138.00,22040.00,0
2017-10-17,158.00,158.00,156.00,158.00,0.00,104.00,16274.00,0
2017-10-18,158.00,159.00,156.00,159.00,0.00,142.00,22302.00,0
2017-10-22,159.00,163.00,160.00,160.00,0.00,174.00,28284.00,0
2017-10-23,160.00,163.00,160.00,163.00,0.00,432.00,69780.00,0
2017-10-24,163.00,172.00,165.00,172.00,0.00,1409.00,238708.00,0
2017-10-25,172.00,172.00,170.00,172.00,0.00,90.00,15400.00,0
2017-10-29,172.00,170.00,167.00,167.00,0.00,184.00,31028.00,0
2017-10-30,167.00,167.00,167.00,167.00,0.00,70.00,11690.00,0
2017-10-31,167.00,168.00,161.00,161.00,0.00,154.00,25352.00,0
2017-11-01,161.00,165.00,158.00,165.00,0.00,206.00,33092.00,0
2017-11-02,165.00,162.00,155.00,160.00,0.00,338.00,53634.00,0
2017-11-05,160.00,165.00,157.00,157.00,0.00,288.00,46016.00,0
2017-11-06,157.00,163.00,160.00,163.00,0.00,338.00,54148.00,0
2017-11-07,163.00,166.00,160.00,160.00,0.00,354.00,57166.00,0
2017-11-08,160.00,160.00,158.00,160.00,0.00,188.00,29822.00,0
2017-11-09,160.00,158.00,153.00,158.00,0.00,326.00,51152.00,0
2017-11-12,158.00,156.00,156.00,156.00,0.00,48.00,7488.00,0
2017-11-13,156.00,165.00,154.00,165.00,0.00,278.00,44484.00,0
2017-11-14,165.00,166.00,165.00,166.00,0.00,220.00,36342.00,0
2017-11-15,166.00,165.00,160.00,160.00,0.00,540.00,87786.00,0
2017-11-16,160.00,161.00,158.00,160.00,0.00,222.00,35490.00,0
2017-11-20,160.00,157.00,154.00,155.00,0.00,124.00,19222.00,0
2017-11-21,155.00,152.00,148.00,151.00,0.00,742.00,111728.00,0
2017-11-22,151.00,154.00,150.00,150.00,0.00,718.00,108362.00,0
2017-11-23,150.00,153.00,149.00,150.00,0.00,348.00,52782.00,0
2017-11-26,150.00,153.00,147.00,151.00,0.00,388.00,58290.00,0
2017-11-27,151.00,155.00,149.00,153.00,0.00,154.00,23478.00,0
2017-11-28,153.00,160.00,153.00,157.00,0.00,1130.00,176468.00,0
2017-11-29,157.00,161.00,155.00,160.00,0.00,284.00,45132.00,0
2017-11-30,160.00,162.00,159.00,160.00,0.00,260.00,41660.00,0
2017-12-04,160.00,160.00,155.00,157.00,0.00,278.00,43558.00,0
2017-12-05,157.00,158.00,155.00,157.00,0.00,192.00,30200.00,0
2017-12-06,157.00,163.00,154.00,163.00,0.00,318.00,50454.00,0
2017-12-10,163.00,161.00,157.00,157.00,0.00,3781.00,598870.00,0
2017-12-11,157.00,155.00,153.00,155.00,0.00,232.00,35668.00,0
2017-12-12,155.00,163.00,152.00,163.00,0.00,608.00,96160.00,0
2017-12-13,163.00,160.00,157.00,157.00,0.00,44.00,6992.00,0
2017-12-14,157.00,159.00,154.00,156.00,0.00,234.00,36554.00,0
2017-12-17,156.00,160.00,153.00,157.00,0.00,170.00,26508.00,0
2017-12-18,157.00,159.00,154.00,155.00,0.00,332.00,51786.00,0
2017-12-19,155.00,155.00,150.00,150.00,0.00,772.00,117702.00,0
2017-12-20,150.00,154.00,150.00,153.00,0.00,190.00,28782.00,0
2017-12-21,153.00,156.00,150.00,153.00,0.00,406.00,62166.00,0
2017-12-24,153.00,155.00,151.00,152.00,0.00,236.00,35918.00,0
2017-12-26,152.00,152.00,147.00,147.00,0.00,774.00,115108.00,0
2017-12-27,147.00,146.00,143.00,145.00,0.00,142.00,20562.00,0
2017-12-28,145.00,147.00,143.00,144.00,0.00,372.00,53898.00,0
2017-12-31,144.00,150.00,145.00,146.00,0.00,442.00,65032.00,0
2018-01-01,146.00,153.00,144.00,153.00,0.00,118.00,17606.00,0
2018-01-02,153.00,159.00,153.00,159.00,0.00,528.00,83026.00,0
2018-01-03,159.00,159.00,147.00,150.00,0.00,334.00,50858.00,0
2018-01-04,150.00,153.00,146.00,153.00,0.00,430.00,63828.00,0
2018-01-07,153.00,153.00,150.00,153.00,0.00,114.00,17250.00,0
2018-01-08,153.00,154.00,151.00,151.00,0.00,578.00,88808.00,0
2018-01-09,151.00,153.00,148.00,152.00,0.00,296.00,44532.00,0
2018-01-10,152.00,153.00,149.00,152.00,0.00,414.00,62234.00,0
2018-01-14,152.00,149.00,145.00,148.00,0.00,100.00,14730.00,0
2018-01-16,148.00,148.00,146.00,146.00,0.00,522.00,76570.00,0
2018-01-17,146.00,145.00,141.00,145.00,0.00,70.00,10030.00,0
2018-01-21,145.00,146.00,143.00,144.00,0.00,364.00,52634.00,0
2018-01-22,144.00,145.00,143.00,145.00,0.00,528.00,75950.00,0
2018-01-23,145.00,144.00,143.00,144.00,0.00,162.00,23228.00,0
2018-01-24,144.00,150.00,142.00,147.00,0.00,2252.00,328304.00,0
2018-01-25,147.00,147.00,143.00,147.00,0.00,188.00,27266.00,0
2018-01-28,147.00,149.00,147.00,148.00,0.00,647.00,95750.00,0
2018-01-29,148.00,146.00,141.00,143.00,0.00,474.00,67560.00,0
2018-01-31,143.00,146.00,142.00,146.00,0.00,244.00,34966.00,0
2018-02-01,146.00,150.00,145.00,148.00,0.00,936.00,137530.00,0
2018-02-04,148.00,146.00,144.00,146.00,0.00,161.00,23293.00,0
2018-02-05,146.00,145.00,144.00,145.00,0.00,36.00,5210.00,0
2018-02-06,145.00,145.00,141.00,141.00,0.00,618.00,88142.00,0
2018-02-07,141.00,144.00,142.00,144.00,0.00,80.00,11500.00,0
2018-02-08,144.00,147.00,144.00,145.00,0.00,937.00,135917.00,0
2018-02-11,145.00,148.00,143.00,148.00,0.00,144.00,20918.00,0
2018-02-12,148.00,146.00,144.00,144.00,0.00,186.00,26848.00,0
2018-02-14,144.00,146.00,143.00,143.00,0.00,138.00,19780.00,0
2018-02-15,143.00,143.00,142.00,143.00,0.00,138.00,19692.00,0
2018-02-18,143.00,143.00,139.00,141.00,-1.40,220.00,31056.00,-1
2018-02-20,141.00,141.00,140.00,140.00,-0.71,104.00,14570.00,-1
2018-02-21,139.00,140.00,138.00,138.00,-1.43,344.00,47858.00,-1
2018-02-22,137.00,139.00,136.00,136.00,-1.45,379.00,52162.00,-1
2018-02-25,134.00,136.00,133.00,133.00,-2.21,378.00,50774.00,-1
2018-02-26,131.00,133.00,131.00,132.00,-0.75,94.00,12408.00,-1
2018-02-27,132.00,133.00,132.00,133.00,0.76,208.00,27654.00,1
2018-02-28,133.00,133.00,131.00,131.00,-1.50,172.00,22712.00,-1
2018-03-04,130.00,130.00,129.00,129.00,-1.53,52.00,6724.00,-1
2018-03-05,128.00,128.00,127.00,127.00,-1.55,58.00,7414.00,-1
2018-03-06,126.00,128.00,126.00,127.00,0.00,164.00,20830.00,0
2018-03-07,127.00,134.00,127.00,133.00,4.72,164.00,21606.00,1
2018-03-11,131.00,136.00,131.00,136.00,2.26,276.00,36916.00,1
2018-03-12,135.00,136.00,134.00,135.00,-0.74,218.00,29430.00,-1
2018-03-13,135.00,137.00,135.00,137.00,1.48,78.00,10550.00,1
2018-03-14,137.00,137.00,137.00,137.00,0.00,20.00,2740.00,0
2018-03-15,135.00,135.00,135.00,135.00,-1.46,32.00,4320.00,-1
2018-03-18,135.00,135.00,133.00,135.00,0.00,94.00,12650.00,0
2018-03-19,133.00,134.00,133.00,134.00,-0.74,110.00,14730.00,-1
2018-03-20,135.00,135.00,131.00,133.00,-0.75,252.00,33628.00,-1
2018-03-21,131.00,133.00,131.00,131.00,-1.50,91.00,11961.00,-1
2018-03-22,130.00,131.00,130.00,131.00,0.00,82.00,10722.00,0
2018-03-26,129.00,129.00,124.00,125.00,-4.58,662.00,83908.00,-1
2018-03-27,123.00,125.00,121.00,123.00,-1.60,184.00,22632.00,-1
2018-03-28,123.00,125.00,123.00,123.00,0.00,46.00,5690.00,0
2018-03-29,125.00,125.00,125.00,125.00,1.63,16.00,2000.00,1
2018-04-01,126.00,130.00,124.00,127.00,1.60,461.00,58223.00,1
2018-04-02,129.00,131.00,127.00,130.00,2.36,418.00,54106.00,1
2018-04-03,130.00,130.00,128.00,130.00,0.00,107.00,13878.00,0
2018-04-04,128.00,128.00,128.00,128.00,-1.54,10.00,1280.00,-1
2018-04-05,130.00,134.00,130.00,134.00,4.69,118.00,15644.00,1
2018-04-09,133.00,136.00,132.00,135.00,0.75,129.00,17231.00,1
2018-04-10,133.00,133.00,131.00,131.00,-2.96,510.00,67810.00,-1
2018-04-11,129.00,131.00,128.00,129.00,-1.53,178.00,23030.00,-1
2018-04-12,129.00,129.00,125.00,128.00,-0.78,124.00,15708.00,-1
2018-04-15,126.00,128.00,126.00,128.00,0.00,58.00,7328.00,0
2018-04-16,126.00,127.00,126.00,127.00,-0.78,124.00,15676.00,-1
2018-04-17,127.00,127.00,126.00,126.00,-0.79,36.00,4562.00,-1
2018-04-18,128.00,130.00,128.00,130.00,3.17,180.00,23168.00,1
2018-04-19,132.00,143.00,130.00,141.00,8.46,1022.00,140908.00,1
2018-04-22,140.00,142.00,140.00,142.00,0.71,442.00,62080.00,1
2018-04-23,142.00,144.00,140.00,140.00,-1.41,830.00,117090.00,-1
2018-04-24,138.00,138.00,135.00,135.00,-3.57,90.00,12330.00,-1
2018-04-25,133.00,137.00,133.00,135.00,0.00,192.00,25910.00,0
2018-04-26,133.00,135.00,131.00,131.00,-2.96,244.00,32532.00,-1
2018-04-29,129.00,133.00,129.00,133.00,1.53,162.00,21446.00,1
2018-05-02,131.00,132.00,130.00,130.00,-2.26,212.00,27596.00,-1
2018-05-03,130.00,133.00,130.00,131.00,0.77,250.00,32792.00,1
2018-05-06,129.00,129.00,128.00,129.00,-1.53,494.00,63604.00,-1
2018-05-07,131.00,131.00,127.00,127.00,-1.55,310.00,39632.00,-1
2018-05-08,128.00,129.00,126.00,127.00,0.00,261.00,33234.00,0
2018-05-09,127.00,127.00,125.00,127.00,0.00,324.00,40808.00,0
2018-05-10,127.00,129.00,123.00,128.00,0.79,256.00,32498.00,1
2018-05-14,126.00,127.00,124.00,126.00,-1.56,554.00,69546.00,-1
2018-05-16,124.00,124.00,124.00,124.00,-1.59,48.00,5952.00,-1
2018-05-17,124.00,127.00,124.00,127.00,2.42,198.00,24882.00,1
2018-05-20,126.00,126.00,125.00,125.00,-1.57,64.00,8016.00,-1
2018-05-21,127.00,127.00,124.00,124.00,-0.80,750.00,94190.00,-1
2018-05-22,122.00,122.00,119.00,120.00,-3.23,468.00,56602.00,-1
2018-05-23,120.00,120.00,116.00,117.00,-2.50,1996.00,234130.00,-1
2018-05-24,117.00,117.00,115.00,115.00,-1.71,324.00,37432.00,-1
2018-05-27,113.00,113.00,111.00,112.00,-2.61,236.00,26396.00,-1
