published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-02-06,378.0,399.0,385.0,399.0,0.0,30.0,11760.0,0
2014-02-10,399.0,399.0,399.0,399.0,0.0,10.0,3990.0,0
2014-02-11,399.0,414.0,406.0,414.0,0.0,43.0,17722.0,0
2014-02-12,414.0,455.0,422.0,455.0,0.0,80.0,35550.0,0
2014-02-13,455.0,473.0,464.0,473.0,0.0,43.0,20249.0,0
2014-02-16,473.0,520.0,482.0,520.0,0.0,276.0,140390.0,0
2014-02-17,520.0,572.0,530.0,572.0,0.0,70.0,38970.0,0
2014-02-18,572.0,629.0,583.0,629.0,0.0,90.0,55440.0,0
2014-02-20,629.0,691.0,660.0,691.0,0.0,65.0,44105.0,0
2014-02-23,691.0,760.0,704.0,760.0,0.0,854.0,644616.0,0
2014-02-24,760.0,836.0,775.0,836.0,0.0,2829.0,2224068.0,0
2014-02-25,836.0,919.0,770.0,918.0,0.0,10245.0,8844204.0,0
2014-02-26,918.0,920.0,855.0,856.0,0.0,3820.0,3374222.0,0
2014-03-03,856.0,840.0,780.0,813.0,0.0,3330.0,2692271.0,0
2014-03-04,813.0,800.0,780.0,797.0,0.0,5326.0,4192335.0,0
2014-03-05,797.0,806.0,785.0,795.0,0.0,1518.0,1210104.0,0
2014-03-06,795.0,800.0,775.0,775.0,0.0,616.0,487217.0,0
2014-03-09,775.0,780.0,756.0,780.0,0.0,1834.0,1407213.0,0
2014-03-10,780.0,775.0,730.0,765.0,0.0,2660.0,1989914.0,0
2014-03-11,765.0,760.0,740.0,750.0,0.0,1294.0,971642.0,0
2014-03-12,750.0,745.0,725.0,738.0,0.0,1136.0,835291.0,0
2014-03-13,738.0,750.0,730.0,750.0,0.0,1177.0,873789.0,0
2014-03-17,750.0,745.0,701.0,705.0,0.0,1250.0,892798.0,0
2014-03-18,705.0,709.0,681.0,681.0,0.0,2024.0,1398314.0,0
2014-03-19,681.0,690.0,667.0,681.0,0.0,1156.0,786664.0,0
2014-03-20,681.0,690.0,670.0,690.0,0.0,800.0,541856.0,0
2014-03-23,690.0,695.0,660.0,680.0,0.0,896.0,605070.0,0
2014-03-24,680.0,673.0,654.0,666.0,0.0,392.0,260380.0,0
2014-03-25,666.0,686.0,660.0,675.0,0.0,1075.0,717014.0,0
2014-03-26,675.0,689.0,650.0,679.0,0.0,1839.0,1228449.0,0
2014-03-27,679.0,693.0,672.0,693.0,0.0,2719.0,1846588.0,0
2014-03-31,693.0,710.0,686.0,710.0,0.0,857.0,598286.0,0
2014-04-01,710.0,720.0,710.0,710.0,0.0,756.0,539560.0,0
2014-04-02,710.0,720.0,700.0,701.0,0.0,230.0,162650.0,0
2014-04-03,701.0,701.0,680.0,680.0,0.0,492.0,340334.0,0
2014-04-06,680.0,685.0,680.0,681.0,0.0,249.0,169770.0,0
2014-04-07,681.0,710.0,684.0,700.0,0.0,2708.0,1894472.0,0
2014-04-09,700.0,705.0,687.0,705.0,0.0,834.0,584384.0,0
2014-04-10,705.0,715.0,690.0,704.0,0.0,478.0,338562.0,0
2014-04-13,704.0,705.0,700.0,701.0,0.0,274.0,192340.0,0
2014-04-15,701.0,726.0,700.0,712.0,0.0,1348.0,956404.0,0
2014-04-16,712.0,723.0,710.0,715.0,0.0,240.0,171090.0,0
2014-04-17,715.0,715.0,709.0,710.0,0.0,731.0,520742.0,0
2014-04-20,710.0,710.0,708.0,710.0,0.0,263.0,186589.0,0
2014-04-21,710.0,710.0,685.0,685.0,0.0,1684.0,1180983.0,0
2014-04-22,685.0,698.0,659.0,698.0,0.0,308.0,207589.0,0
2014-04-23,698.0,700.0,673.0,675.0,0.0,2295.0,1595520.0,0
2014-04-27,675.0,688.0,675.0,681.0,0.0,422.0,288086.0,0
2014-04-28,681.0,725.0,685.0,702.0,0.0,517.0,364133.0,0
2014-04-29,702.0,699.0,688.0,699.0,0.0,30.0,20750.0,0
2014-04-30,699.0,686.0,679.0,685.0,0.0,783.0,533389.0,0
2014-05-04,685.0,740.0,680.0,733.0,0.0,4493.0,3219481.0,0
2014-05-05,733.0,804.0,732.0,760.0,0.0,2079.0,1646479.0,0
2014-05-06,760.0,760.0,731.0,736.0,0.0,640.0,472383.0,0
2014-05-07,736.0,732.0,722.0,731.0,0.0,452.0,330504.0,0
2014-05-08,731.0,730.0,701.0,701.0,0.0,2847.0,2026540.0,0
2014-05-11,701.0,710.0,697.0,699.0,0.0,130.0,91280.0,0
2014-05-12,699.0,720.0,695.0,720.0,0.0,957.0,676450.0,0
2014-05-13,720.0,770.0,710.0,770.0,0.0,2680.0,2018841.0,0
2014-05-15,770.0,780.0,770.0,770.0,0.0,670.0,518850.0,0
2014-05-18,770.0,755.0,707.0,708.0,0.0,493.0,363005.0,0
2014-05-19,708.0,722.0,707.0,712.0,0.0,1023.0,729734.0,0
2014-05-20,712.0,722.0,700.0,711.0,0.0,1484.0,1054820.0,0
2014-05-21,711.0,715.0,700.0,711.0,0.0,3508.0,2478274.0,0
2014-05-22,711.0,720.0,710.0,711.0,0.0,1060.0,754150.0,0
2014-05-25,711.0,720.0,705.0,718.0,0.0,550.0,390720.0,0
2014-05-26,718.0,755.0,722.0,730.0,0.0,1458.0,1073849.0,0
2014-05-27,730.0,729.0,711.0,718.0,0.0,1292.0,929756.0,0
2014-05-28,718.0,725.0,713.0,720.0,0.0,200.0,144070.0,0
2014-06-01,720.0,720.0,710.0,720.0,0.0,577.0,410430.0,0
2014-06-02,720.0,715.0,710.0,710.0,0.0,190.0,135700.0,0
2014-06-03,710.0,730.0,685.0,730.0,0.0,1235.0,881125.0,0
2014-06-04,730.0,716.0,686.0,695.0,0.0,1458.0,1020378.0,0
2014-06-05,695.0,695.0,670.0,686.0,0.0,459.0,312425.0,0
2014-06-08,686.0,680.0,680.0,680.0,0.0,10.0,6800.0,0
2014-06-09,680.0,695.0,671.0,695.0,0.0,835.0,572242.0,0
2014-06-10,695.0,708.0,690.0,694.0,0.0,1272.0,879900.0,0
2014-06-11,694.0,700.0,690.0,700.0,0.0,962.0,668000.0,0
2014-06-12,700.0,701.0,687.0,691.0,0.0,620.0,432602.0,0
2014-06-15,691.0,703.0,690.0,703.0,0.0,174.0,120190.0,0
2014-06-16,703.0,710.0,696.0,696.0,0.0,101.0,70856.0,0
2014-06-17,696.0,708.0,696.0,708.0,0.0,100.0,70000.0,0
2014-06-18,708.0,695.0,681.0,681.0,0.0,83.0,57203.0,0
2014-06-19,681.0,681.0,675.0,678.0,0.0,267.0,181139.0,0
2014-06-23,678.0,670.0,670.0,670.0,0.0,164.0,109880.0,0
2014-06-24,670.0,736.0,659.0,736.0,0.0,309.0,207471.0,0
2014-06-30,736.0,722.0,680.0,700.0,0.0,1932.0,1362680.0,0
2014-07-01,700.0,743.0,700.0,721.0,0.0,2062.0,1507621.0,0
2014-07-02,721.0,740.0,730.0,730.0,0.0,1655.0,1211040.0,0
2014-07-03,730.0,744.0,720.0,730.0,0.0,967.0,702663.0,0
2014-07-06,730.0,745.0,725.0,745.0,0.0,976.0,714376.0,0
2014-07-07,745.0,745.0,721.0,725.0,0.0,509.0,370460.0,0
2014-07-08,725.0,720.0,700.0,710.0,0.0,718.0,512574.0,0
2014-07-09,710.0,710.0,695.0,695.0,0.0,148.0,104580.0,0
2014-07-10,695.0,728.0,696.0,728.0,0.0,853.0,610188.0,0
2014-07-13,728.0,756.0,728.0,744.0,0.0,603.0,447825.0,0
2014-07-14,744.0,730.0,702.0,712.0,0.0,1010.0,717300.0,0
2014-07-15,712.0,730.0,700.0,720.0,0.0,3585.0,2526288.0,0
2014-07-16,720.0,748.0,720.0,740.0,0.0,476.0,351634.0,0
2014-07-17,740.0,745.0,739.0,745.0,0.0,1016.0,752880.0,0
2014-07-20,745.0,819.0,750.0,819.0,0.0,8950.0,7233862.0,0
2014-07-21,819.0,900.0,835.0,900.0,0.0,7496.0,6741580.0,0
2014-07-22,900.0,973.0,871.0,900.0,0.0,5325.0,4745608.0,0
2014-07-23,900.0,900.0,868.0,870.0,0.0,735.0,649636.0,0
2014-07-24,870.0,880.0,860.0,860.0,0.0,884.0,767940.0,0
2014-07-27,860.0,845.0,840.0,845.0,0.0,172.0,145040.0,0
2014-07-28,845.0,829.0,813.0,813.0,0.0,30.0,24550.0,0
2014-07-30,813.0,800.0,790.0,792.0,0.0,2786.0,2215690.0,0
2014-07-31,792.0,800.0,790.0,800.0,0.0,1098.0,874966.0,0
2014-08-03,800.0,790.0,775.0,780.0,0.0,300.0,235950.0,0
2014-08-04,780.0,780.0,771.0,780.0,0.0,443.0,343312.0,0
2014-08-05,780.0,800.0,770.0,770.0,0.0,317.0,249314.0,0
2014-08-06,770.0,800.0,770.0,790.0,0.0,1406.0,1108302.0,0
2014-08-07,790.0,803.0,776.0,803.0,0.0,308.0,243002.0,0
