published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-12-02,102.00,105.00,101.00,105.00,1.94,650.00,67180.00,1
2018-12-03,106.00,106.00,103.00,104.00,-0.95,760.00,79720.00,-1
2018-12-04,104.00,105.00,103.00,103.00,-0.96,1420.00,147630.00,-1
2018-12-05,101.00,105.00,101.00,105.00,1.94,3250.00,339310.00,1
2018-12-06,106.00,106.00,103.00,104.00,-0.95,300.00,31220.00,-1
2018-12-09,103.00,104.00,102.00,103.00,-0.96,250.00,25660.00,-1
2018-12-10,103.00,104.00,102.00,104.00,0.97,180.00,18510.00,1
2018-12-11,103.00,105.00,102.00,103.00,-0.96,160.00,16520.00,-1
2018-12-12,101.00,104.00,101.00,103.00,0.00,460.00,46790.00,0
2018-12-13,101.00,105.00,101.00,105.00,1.94,820.00,84830.00,1
2018-12-16,106.00,107.00,103.00,107.00,1.90,470.00,48770.00,1
2018-12-17,106.00,108.00,103.00,107.00,0.00,1610.00,169110.00,0
2018-12-18,101.00,103.00,101.00,103.00,-3.74,230.00,23560.00,-1
2018-12-19,102.00,105.00,101.00,102.00,-0.97,500.00,51620.00,-1
2018-12-20,101.00,103.00,101.00,102.00,0.00,470.00,47950.00,0
2018-12-23,104.00,105.00,100.00,101.00,-0.98,2640.00,271930.00,-1
2018-12-24,101.00,101.00,98.00,101.00,0.00,3080.00,309640.00,0
2018-12-25,101.00,102.00,99.00,100.00,-0.99,680.00,68310.00,-1
2018-12-26,101.00,102.00,99.00,99.00,-1.00,420.00,42250.00,-1
2018-12-27,99.00,104.00,99.00,103.00,4.04,2250.00,230360.00,1
2018-12-30,105.00,105.00,100.00,100.00,-2.91,740.00,74380.00,-1
2018-12-31,100.00,103.00,100.00,101.00,1.00,520.00,52840.00,1
2019-01-01,104.00,104.00,101.00,102.00,0.99,710.00,72710.00,1
2019-01-02,100.00,103.00,100.00,100.00,-1.96,1220.00,125230.00,-1
2019-01-03,100.00,102.00,100.00,100.00,0.00,530.00,53630.00,0
2019-01-06,100.00,101.00,100.00,100.00,0.00,300.00,30180.00,0
2019-01-07,100.00,102.00,100.00,102.00,2.00,600.00,60900.00,1
2019-01-08,100.00,101.00,99.00,100.00,-1.96,360.00,35990.00,-1
2019-01-09,99.00,101.00,99.00,100.00,0.00,520.00,52010.00,0
2019-01-10,101.00,101.00,100.00,100.00,0.00,820.00,82330.00,0
2019-01-13,100.00,102.00,99.00,99.00,-1.00,1150.00,115730.00,-1
2019-01-14,100.00,101.00,99.00,99.00,0.00,730.00,73540.00,0
2019-01-15,100.00,102.00,100.00,102.00,3.03,180.00,18090.00,1
2019-01-16,102.00,102.00,100.00,100.00,-1.96,100.00,10080.00,-1
2019-01-17,99.00,102.00,99.00,101.00,1.00,890.00,89830.00,1
2019-01-20,99.00,100.00,98.00,99.00,-1.98,1470.00,145860.00,-1
2019-01-21,98.00,100.00,96.00,96.00,-3.03,2150.00,209710.00,-1
2019-01-22,97.00,98.00,96.00,97.00,1.04,1910.00,184280.00,1
2019-01-23,97.00,100.00,96.00,100.00,3.09,1460.00,144260.00,1
2019-01-24,99.00,100.00,98.00,98.00,-2.00,570.00,56230.00,-1
2019-01-27,98.00,100.00,97.00,97.00,-1.02,1000.00,97430.00,-1
2019-01-28,96.00,98.00,96.00,96.00,-1.03,1680.00,162240.00,-1
2019-01-29,96.00,97.00,96.00,96.00,0.00,850.00,81720.00,0
2019-01-30,96.00,97.00,95.00,95.00,-1.04,3600.00,346560.00,-1
2019-01-31,95.00,97.00,94.00,95.00,0.00,1340.00,127960.00,0
2019-02-03,95.00,96.00,94.00,95.00,0.00,820.00,77490.00,0
2019-02-04,94.00,95.00,93.00,93.00,-2.11,610.00,57170.00,-1
2019-02-05,94.00,95.00,93.00,94.00,1.08,750.00,70420.00,1
2019-02-06,93.00,94.00,92.00,92.00,-2.13,660.00,61460.00,-1
2019-02-07,91.00,93.00,91.00,91.00,-1.09,950.00,87500.00,-1
2019-02-10,91.00,92.00,90.00,90.00,-1.10,750.00,68130.00,-1
2019-02-11,89.00,97.00,89.00,97.00,7.78,1650.00,154430.00,1
2019-02-12,100.00,100.00,93.00,97.00,0.00,1440.00,138720.00,0
2019-02-13,100.00,100.00,93.00,93.00,-4.12,1200.00,113940.00,-1
