published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-11,90.0,96.0,91.0,95.0,nan,820.0,76010.0,0
2011-05-12,95.0,104.0,97.0,100.0,5.26,1340.0,132980.0,0
2011-05-15,100.0,105.0,91.0,92.0,-8.00,1940.0,186230.0,0
2011-05-16,92.0,101.0,91.0,95.0,3.26,1690.0,161230.0,0
2011-05-18,95.0,99.0,97.0,97.0,2.11,850.0,83190.0,0
2011-05-19,97.0,100.0,97.0,97.0,0.0,430.0,42660.0,0
2011-05-22,97.0,100.0,97.0,97.0,0.0,1040.0,102390.0,0
2011-05-23,97.0,97.0,97.0,97.0,0.0,90.0,8730.0,0
2011-05-24,97.0,96.0,93.0,95.0,-2.06,670.0,63680.0,0
2011-05-25,95.0,95.0,94.0,95.0,0.0,900.0,85490.0,0
2011-05-26,95.0,97.0,96.0,97.0,2.11,750.0,72230.0,0
2011-05-30,97.0,99.0,96.0,99.0,2.06,1300.0,126900.0,0
2011-05-31,99.0,101.0,100.0,100.0,1.01,520.0,52120.0,0
2011-06-01,100.0,104.0,100.0,100.0,0.0,410.0,41880.0,0
2011-06-02,100.0,99.0,95.0,96.0,-4.00,280.0,27590.0,0
2011-06-05,96.0,98.0,96.0,96.0,0.0,1530.0,147430.0,0
2011-06-06,96.0,96.0,91.0,93.0,-3.12,910.0,86470.0,0
2011-06-07,93.0,95.0,93.0,93.0,0.0,540.0,50650.0,0
2011-06-08,93.0,93.0,92.0,93.0,0.0,210.0,19520.0,0
2011-06-15,93.0,93.0,93.0,93.0,0.0,300.0,27900.0,0
2011-06-16,93.0,89.0,89.0,89.0,-4.30,190.0,16910.0,0
2011-06-19,89.0,89.0,89.0,89.0,0.0,70.0,6230.0,0
2011-06-20,89.0,89.0,89.0,89.0,0.0,70.0,6230.0,0
2011-06-23,89.0,92.0,90.0,92.0,3.37,1310.0,118330.0,0
2011-06-26,92.0,91.0,91.0,91.0,-1.09,40.0,3640.0,0
2011-06-27,91.0,98.0,95.0,95.0,4.40,910.0,87170.0,0
2011-06-29,95.0,97.0,96.0,97.0,2.11,570.0,54790.0,0
2011-06-30,97.0,98.0,96.0,97.0,0.0,1460.0,142800.0,0
2011-07-03,97.0,96.0,93.0,93.0,-4.12,580.0,55420.0,0
2011-07-04,93.0,93.0,92.0,92.0,-1.08,130.0,12080.0,0
2011-07-05,92.0,93.0,92.0,92.0,0.0,250.0,23010.0,0
2011-07-06,92.0,93.0,93.0,93.0,1.09,200.0,18600.0,0
2011-07-07,93.0,93.0,91.0,91.0,-2.15,350.0,32350.0,0
2011-07-10,91.0,92.0,90.0,92.0,1.10,1100.0,99940.0,0
2011-07-11,92.0,92.0,91.0,92.0,0.0,440.0,40450.0,0
2011-07-12,92.0,93.0,93.0,93.0,1.09,400.0,37200.0,0
2011-07-13,93.0,96.0,92.0,92.0,-1.08,370.0,34520.0,0
2011-07-14,92.0,95.0,95.0,95.0,3.26,200.0,19000.0,0
2011-07-18,95.0,99.0,96.0,96.0,1.05,470.0,46050.0,0
2011-07-20,96.0,95.0,95.0,95.0,-1.04,40.0,3800.0,0
