published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-09-26,216.0,218.0,214.0,218.0,nan,10633.0,2293346.0,0
2017-10-03,218.0,218.0,213.0,217.0,-0.46,2751.0,590465.0,0
2017-10-04,217.0,222.0,215.0,215.0,-0.92,6871.0,1497538.0,0
2017-10-08,215.0,212.0,203.0,211.0,-1.86,12008.0,2473364.0,0
2017-10-09,211.0,212.0,204.0,206.0,-2.37,7255.0,1502034.0,0
2017-10-10,206.0,211.0,205.0,207.0,0.49,5882.0,1227017.0,0
2017-10-11,207.0,210.0,204.0,207.0,0.0,5223.0,1084219.0,0
2017-10-12,207.0,209.0,207.0,209.0,0.97,2728.0,565819.0,0
2017-10-15,209.0,213.0,207.0,208.0,-0.48,4111.0,856961.0,0
2017-10-16,208.0,217.0,208.0,217.0,4.33,6763.0,1440927.0,0
2017-10-17,217.0,221.0,212.0,213.0,-1.84,3147.0,671575.0,0
2017-10-18,213.0,217.0,211.0,217.0,1.88,10641.0,2278447.0,0
2017-10-22,217.0,223.0,217.0,218.0,0.46,4750.0,1039752.0,0
2017-10-23,218.0,216.0,214.0,216.0,-0.92,8048.0,1729656.0,0
2017-10-24,216.0,217.0,212.0,217.0,0.46,8416.0,1802507.0,0
2017-10-25,217.0,215.0,212.0,213.0,-1.84,2494.0,533263.0,0
2017-10-29,213.0,215.0,211.0,211.0,-0.94,4124.0,872310.0,0
2017-10-30,211.0,213.0,208.0,211.0,0.0,5957.0,1259017.0,0
2017-10-31,211.0,212.0,209.0,210.0,-0.47,1228.0,257977.0,0
2017-11-01,210.0,209.0,206.0,208.0,-0.95,8997.0,1867263.0,0
2017-11-02,208.0,209.0,206.0,208.0,0.0,6568.0,1363161.0,0
2017-11-05,208.0,208.0,203.0,205.0,-1.44,11845.0,2426994.0,0
2017-11-06,205.0,209.0,200.0,202.0,-1.46,16064.0,3266407.0,0
2017-11-07,202.0,207.0,201.0,202.0,0.0,7720.0,1565495.0,0
2017-11-08,202.0,203.0,200.0,200.0,-0.99,10537.0,2119221.0,0
2017-11-09,200.0,204.0,197.0,200.0,0.0,12107.0,2415598.0,0
2017-11-12,200.0,205.0,200.0,205.0,2.50,6391.0,1284381.0,0
2017-11-13,205.0,206.0,200.0,203.0,-0.98,3313.0,669171.0,0
2017-11-14,203.0,205.0,202.0,205.0,0.99,13191.0,2681645.0,0
2017-11-15,205.0,206.0,201.0,202.0,-1.46,4215.0,852353.0,0
2017-11-16,202.0,202.0,199.0,199.0,-1.49,7950.0,1590012.0,0
2017-11-19,199.0,197.0,195.0,195.0,-2.01,6493.0,1269310.0,0
2017-11-20,195.0,197.0,195.0,195.0,0.0,3732.0,728340.0,0
2017-11-21,195.0,197.0,192.0,192.0,-1.54,7785.0,1513554.0,0
2017-11-22,192.0,195.0,190.0,195.0,1.56,16639.0,3182135.0,0
2017-11-23,195.0,196.0,191.0,194.0,-0.51,10125.0,1954708.0,0
2017-11-26,194.0,199.0,193.0,199.0,2.58,7093.0,1393589.0,0
2017-11-27,199.0,198.0,192.0,192.0,-3.52,13620.0,2644781.0,0
2017-11-28,192.0,196.0,193.0,195.0,1.56,4445.0,862830.0,0
2017-11-29,195.0,201.0,193.0,193.0,-1.03,12044.0,2352987.0,0
2017-11-30,193.0,196.0,191.0,193.0,0.0,11202.0,2181105.0,0
2017-12-04,193.0,197.0,193.0,196.0,1.55,4879.0,950476.0,0
2017-12-05,196.0,198.0,193.0,194.0,-1.02,3183.0,617246.0,0
2017-12-06,194.0,199.0,194.0,199.0,2.58,6643.0,1304041.0,0
2017-12-10,199.0,202.0,191.0,194.0,-2.51,19133.0,3748102.0,0
2017-12-11,194.0,195.0,192.0,193.0,-0.52,7804.0,1508152.0,0
2017-12-12,193.0,194.0,190.0,194.0,0.52,13955.0,2673555.0,0
2017-12-13,194.0,195.0,191.0,192.0,-1.03,2131.0,411138.0,0
2017-12-14,192.0,193.0,189.0,193.0,0.52,5148.0,978509.0,0
2017-12-17,193.0,196.0,191.0,195.0,1.04,10321.0,2005245.0,0
2017-12-18,195.0,194.0,191.0,191.0,-2.05,6507.0,1255992.0,0
2017-12-19,191.0,192.0,189.0,190.0,-0.52,14384.0,2729430.0,0
2017-12-20,190.0,191.0,187.0,190.0,0.0,1704.0,321327.0,0
2017-12-21,190.0,193.0,187.0,190.0,0.0,6024.0,1130482.0,0
2017-12-24,190.0,189.0,185.0,185.0,-2.63,3509.0,654299.0,0
2017-12-26,185.0,188.0,183.0,185.0,0.0,17861.0,3299794.0,0
2017-12-27,185.0,185.0,177.0,177.0,-4.32,17070.0,3073082.0,0
2017-12-28,177.0,178.0,173.0,174.0,-1.69,12381.0,2164894.0,0
2017-12-31,174.0,177.0,172.0,177.0,1.72,6510.0,1128635.0,0
2018-01-01,177.0,183.0,172.0,182.0,2.82,14498.0,2560871.0,0
2018-01-02,182.0,183.0,176.0,179.0,-1.65,9568.0,1728857.0,0
2018-01-03,179.0,179.0,174.0,177.0,-1.12,6772.0,1193706.0,0
2018-01-04,177.0,179.0,174.0,175.0,-1.13,7766.0,1364674.0,0
2018-01-07,175.0,176.0,173.0,174.0,-0.57,11665.0,2031110.0,0
2018-01-08,174.0,180.0,176.0,179.0,2.87,8284.0,1470498.0,0
2018-01-09,179.0,182.0,177.0,178.0,-0.56,8927.0,1600751.0,0
2018-01-10,178.0,179.0,174.0,179.0,0.56,12521.0,2216119.0,0
2018-01-14,179.0,179.0,173.0,175.0,-2.23,12179.0,2129858.0,0
2018-01-16,175.0,175.0,168.0,175.0,0.0,51856.0,8826746.0,0
2018-01-17,165.0,168.0,156.0,161.0,-8.00,12215.0,1942644.0,0
2018-01-21,161.0,162.0,156.0,158.0,-1.86,4398.0,691568.0,0
2018-01-22,158.0,170.0,155.0,170.0,7.59,13749.0,2203272.0,0
2018-01-23,170.0,167.0,161.0,164.0,-3.53,6111.0,994061.0,0
2018-01-24,164.0,163.0,160.0,161.0,-1.83,7786.0,1256726.0,0
2018-01-25,161.0,165.0,161.0,164.0,1.86,7200.0,1173681.0,0
2018-01-28,164.0,167.0,162.0,162.0,-1.22,16245.0,2673547.0,0
2018-01-29,162.0,167.0,161.0,165.0,1.85,15792.0,2612611.0,0
2018-01-31,165.0,166.0,163.0,166.0,0.61,3574.0,590505.0,0
2018-02-01,166.0,169.0,165.0,167.0,0.60,4312.0,718236.0,0
2018-02-04,167.0,168.0,165.0,166.0,-0.60,4970.0,825604.0,0
2018-02-05,166.0,167.0,164.0,164.0,-1.20,7246.0,1192062.0,0
2018-02-06,164.0,164.0,162.0,162.0,-1.22,8133.0,1322592.0,0
2018-02-07,162.0,165.0,160.0,161.0,-0.62,4684.0,758584.0,0
2018-02-08,161.0,163.0,161.0,162.0,0.62,3816.0,616868.0,0
2018-02-11,162.0,164.0,162.0,162.0,0.0,3559.0,577678.0,0
2018-02-12,162.0,165.0,161.0,165.0,1.85,5787.0,940670.0,0
2018-02-14,165.0,165.0,161.0,165.0,0.0,5939.0,967186.0,0
2018-02-15,165.0,170.0,165.0,170.0,3.03,15960.0,2685860.0,0
2018-02-18,173.0,173.0,167.0,167.0,-1.76,12374.0,2077143.0,-1
2018-02-20,170.0,173.0,164.0,164.0,-1.8,4917.0,812955.0,-1
2018-02-21,164.0,165.0,162.0,163.0,-0.61,4196.0,683126.0,-1
2018-02-22,162.0,165.0,162.0,164.0,0.61,10102.0,1648421.0,1
2018-02-25,164.0,165.0,162.0,162.0,-1.22,3524.0,576195.0,-1
2018-02-26,160.0,163.0,160.0,161.0,-0.62,12149.0,1958192.0,-1
2018-02-27,161.0,164.0,160.0,160.0,-0.62,14687.0,2366458.0,-1
2018-02-28,162.0,162.0,158.0,158.0,-1.25,13147.0,2094072.0,-1
2018-03-04,157.0,160.0,153.0,157.0,-0.63,16652.0,2580433.0,-1
2018-03-05,160.0,160.0,153.0,153.0,-2.55,8549.0,1324192.0,-1
2018-03-06,155.0,159.0,152.0,155.0,1.31,15596.0,2433638.0,1
2018-03-07,155.0,161.0,155.0,157.0,1.29,8461.0,1338222.0,1
2018-03-11,157.0,157.0,153.0,153.0,-2.55,8722.0,1341158.0,-1
2018-03-12,152.0,156.0,152.0,153.0,0.0,5064.0,778102.0,0
2018-03-13,152.0,154.0,152.0,152.0,-0.65,5771.0,880783.0,-1
2018-03-14,154.0,155.0,152.0,152.0,0.0,3266.0,499900.0,0
2018-03-15,152.0,155.0,152.0,154.0,1.32,6164.0,950210.0,1
2018-03-18,154.0,156.0,151.0,153.0,-0.65,5494.0,838474.0,-1
2018-03-19,152.0,153.0,150.0,151.0,-1.31,9491.0,1437412.0,-1
2018-03-20,151.0,152.0,149.0,150.0,-0.66,6850.0,1030212.0,-1
2018-03-21,150.0,153.0,146.0,147.0,-2.0,13773.0,2032684.0,-1
2018-03-22,147.0,151.0,147.0,148.0,0.68,3368.0,499771.0,1
2018-03-26,146.0,149.0,141.0,144.0,-2.7,7627.0,1098168.0,-1
2018-03-27,145.0,150.0,139.0,147.0,2.08,19831.0,2805822.0,1
2018-03-28,149.0,149.0,142.0,145.0,-1.36,4110.0,592890.0,-1
2018-03-29,147.0,153.0,145.0,153.0,5.52,9664.0,1427154.0,1
2018-04-01,150.0,150.0,145.0,149.0,-2.61,4827.0,717062.0,-1
2018-04-02,149.0,150.0,146.0,147.0,-1.34,3043.0,448989.0,-1
2018-04-03,147.0,150.0,145.0,149.0,1.36,2982.0,440896.0,1
2018-04-04,150.0,155.0,147.0,155.0,4.03,18059.0,2694340.0,1
2018-04-05,158.0,158.0,149.0,156.0,0.65,16538.0,2542415.0,1
2018-04-08,159.0,162.0,153.0,158.0,1.28,25851.0,4061318.0,1
2018-04-09,161.0,164.0,152.0,152.0,-3.8,21365.0,3367535.0,-1
2018-04-10,149.0,156.0,149.0,156.0,2.63,12966.0,1978709.0,1
2018-04-11,153.0,155.0,150.0,154.0,-1.28,4098.0,624055.0,-1
2018-04-12,151.0,155.0,151.0,153.0,-0.65,22179.0,3396593.0,-1
2018-04-15,151.0,154.0,151.0,152.0,-0.65,6634.0,1005972.0,-1
2018-04-16,152.0,158.0,152.0,154.0,1.32,6743.0,1045094.0,1
2018-04-17,155.0,159.0,154.0,157.0,1.95,11656.0,1820002.0,1
2018-04-18,157.0,172.0,155.0,165.0,5.1,22922.0,3741804.0,1
2018-04-19,165.0,170.0,162.0,170.0,3.03,25208.0,4232846.0,1
2018-04-22,173.0,180.0,168.0,180.0,5.88,29361.0,5074771.0,1
2018-04-23,179.0,180.0,169.0,170.0,-5.56,25972.0,4523600.0,-1
2018-04-24,168.0,169.0,165.0,165.0,-2.94,7601.0,1271991.0,-1
2018-04-25,165.0,172.0,164.0,167.0,1.21,9428.0,1596701.0,1
2018-04-26,165.0,168.0,162.0,162.0,-2.99,13429.0,2197359.0,-1
2018-04-29,162.0,169.0,161.0,164.0,1.23,19353.0,3201442.0,1
2018-05-02,165.0,167.0,160.0,166.0,1.22,7013.0,1143799.0,1
2018-05-03,167.0,172.0,167.0,170.0,2.41,27699.0,4725765.0,1
2018-05-06,173.0,173.0,170.0,171.0,0.59,17493.0,2979001.0,1
2018-05-07,173.0,173.0,166.0,167.0,-2.34,4203.0,707493.0,-1
2018-05-08,168.0,171.0,165.0,171.0,2.4,5413.0,910811.0,1
2018-05-09,171.0,172.0,169.0,170.0,-0.58,8643.0,1469876.0,-1
2018-05-10,170.0,170.0,167.0,167.0,-1.76,14200.0,2384057.0,-1
2018-05-14,164.0,167.0,164.0,165.0,-1.2,9729.0,1612523.0,-1
2018-05-15,165.0,165.0,162.0,162.0,-1.82,7705.0,1249278.0,-1
2018-05-16,161.0,167.0,161.0,166.0,2.47,3831.0,634984.0,1
2018-05-17,167.0,167.0,165.0,167.0,0.6,2310.0,383250.0,1
2018-05-20,165.0,168.0,163.0,168.0,0.6,4755.0,783166.0,1
2018-05-21,165.0,168.0,162.0,165.0,-1.79,6687.0,1101467.0,-1
2018-05-22,162.0,168.0,162.0,166.0,0.61,8368.0,1381577.0,1
2018-05-23,166.0,166.0,164.0,166.0,0.0,2903.0,480523.0,0
2018-05-24,168.0,168.0,162.0,162.0,-2.41,8218.0,1342285.0,-1
