published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-09-26,212.0,215.0,210.0,212.0,nan,2972.0,633988.0,0
2017-10-03,212.0,217.0,213.0,213.0,0.47,909.0,195032.0,0
2017-10-04,213.0,213.0,208.0,208.0,-2.35,2312.0,483272.0,0
2017-10-08,208.0,207.0,200.0,204.0,-1.92,9664.0,1948916.0,0
2017-10-09,204.0,208.0,200.0,205.0,0.49,8312.0,1689334.0,0
2017-10-10,205.0,209.0,202.0,209.0,1.95,4627.0,957661.0,0
2017-10-11,209.0,213.0,208.0,208.0,-0.48,8138.0,1701955.0,0
2017-10-12,208.0,209.0,206.0,208.0,0.0,2985.0,619672.0,0
2017-10-15,208.0,212.0,207.0,212.0,1.92,4951.0,1036463.0,0
2017-10-16,212.0,218.0,206.0,217.0,2.36,16004.0,3378890.0,0
2017-10-17,217.0,218.0,210.0,215.0,-0.92,21769.0,4625221.0,0
2017-10-18,215.0,218.0,213.0,218.0,1.40,5821.0,1258787.0,0
2017-10-22,218.0,220.0,214.0,216.0,-0.92,4072.0,883444.0,0
2017-10-23,216.0,219.0,213.0,214.0,-0.93,7241.0,1551877.0,0
2017-10-24,214.0,218.0,211.0,214.0,0.0,5290.0,1131302.0,0
2017-10-25,214.0,214.0,211.0,212.0,-0.93,6070.0,1291068.0,0
2017-10-29,212.0,213.0,208.0,213.0,0.47,11218.0,2359162.0,0
2017-10-30,213.0,211.0,207.0,208.0,-2.35,16480.0,3444659.0,0
2017-10-31,208.0,212.0,208.0,212.0,1.92,9957.0,2087151.0,0
2017-11-01,212.0,210.0,206.0,206.0,-2.83,12386.0,2565882.0,0
2017-11-02,206.0,210.0,205.0,210.0,1.94,4795.0,992870.0,0
2017-11-05,210.0,206.0,203.0,205.0,-2.38,11688.0,2390839.0,0
2017-11-06,205.0,205.0,196.0,201.0,-1.95,19787.0,3968308.0,0
2017-11-07,201.0,205.0,200.0,201.0,0.0,8564.0,1725300.0,0
2017-11-08,201.0,199.0,196.0,197.0,-1.99,3530.0,696682.0,0
2017-11-09,197.0,202.0,197.0,198.0,0.51,3502.0,697810.0,0
2017-11-12,198.0,202.0,198.0,201.0,1.52,3067.0,615152.0,0
2017-11-13,201.0,203.0,199.0,200.0,-0.50,3826.0,765366.0,0
2017-11-14,200.0,208.0,198.0,200.0,0.0,10261.0,2064130.0,0
2017-11-15,200.0,204.0,196.0,201.0,0.50,14949.0,2959090.0,0
2017-11-16,201.0,199.0,197.0,197.0,-1.99,3546.0,701087.0,0
2017-11-19,197.0,198.0,195.0,197.0,0.0,6632.0,1298981.0,0
2017-11-20,197.0,198.0,194.0,194.0,-1.52,1521.0,296634.0,0
2017-11-21,194.0,201.0,192.0,201.0,3.61,1224.0,240091.0,0
2017-11-22,201.0,198.0,195.0,198.0,-1.49,3874.0,758251.0,0
