published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-15,268.00,263.00,242.00,242.00,0.00,3021.00,734086.00,0
2011-06-16,242.00,260.00,243.00,259.00,0.00,2116.00,532755.00,0
2011-06-19,259.00,284.00,263.00,280.00,0.00,936.00,259170.00,0
2011-06-20,259.00,284.00,263.00,280.00,0.00,936.00,259170.00,0
2011-06-21,308.00,338.00,305.00,338.00,0.00,1610.00,503170.00,0
2011-06-23,338.00,359.00,323.00,359.00,0.00,2686.00,911372.00,0
2011-06-26,359.00,366.00,329.00,334.00,0.00,2036.00,716203.00,0
2011-06-29,334.00,328.00,301.00,301.00,0.00,237.00,74505.00,0
2011-06-30,301.00,295.00,271.00,271.00,0.00,1694.00,461943.00,0
2011-07-03,271.00,266.00,245.00,245.00,0.00,753223.00,184547904.00,0
2011-07-04,245.00,263.00,245.00,263.00,0.00,55715.00,13651179.00,0
2011-07-05,263.00,289.00,265.00,285.00,0.00,18148.00,5140983.00,0
2011-07-06,285.00,306.00,286.00,306.00,0.00,5430.00,1580816.00,0
2011-07-07,306.00,310.00,276.00,310.00,0.00,4521.00,1263969.00,0
2011-07-10,310.00,309.00,282.00,300.00,0.00,8165.00,2332157.00,0
2011-07-11,300.00,310.00,294.00,310.00,0.00,10444.00,3093712.00,0
2011-07-12,310.00,316.00,298.00,302.00,0.00,640.00,193951.00,0
2011-07-13,302.00,330.00,302.00,330.00,0.00,13820.00,4213964.00,0
2011-07-14,330.00,340.00,245.00,340.00,0.00,201180.00,50422448.00,0
2011-07-17,340.00,373.00,346.00,353.00,0.00,1674.00,600639.00,0
2011-07-18,353.00,388.00,346.00,354.00,0.00,3305.00,1210814.00,0
2011-07-19,354.00,360.00,337.00,357.00,0.00,4168.00,1449760.00,0
2011-07-20,357.00,355.00,335.00,347.00,0.00,2305.00,788733.00,0
2011-07-21,347.00,341.00,332.00,332.00,0.00,3683.00,1252402.00,0
2011-07-24,332.00,330.00,300.00,300.00,0.00,2685.00,817962.00,0
2011-07-25,300.00,299.00,294.00,299.00,0.00,539.00,158531.00,0
2011-07-26,299.00,300.00,291.00,296.00,0.00,1300.00,383040.00,0
2011-07-27,296.00,310.00,299.00,307.00,0.00,3285.00,993180.00,0
2011-07-28,307.00,311.00,295.00,310.00,0.00,7072.00,2109632.00,0
2011-07-31,310.00,304.00,294.00,297.00,0.00,3923.00,1158129.00,0
2011-08-01,297.00,296.00,289.00,293.00,0.00,1167.00,341073.00,0
2011-08-02,293.00,295.00,289.00,291.00,0.00,1102.00,319648.00,0
2011-08-03,291.00,286.00,280.00,283.00,0.00,1447.00,407498.00,0
2011-08-04,283.00,289.00,281.00,289.00,0.00,3034.00,859474.00,0
2011-08-07,289.00,284.00,268.00,280.00,0.00,25410.00,6934621.00,0
2011-08-08,280.00,285.00,280.00,280.00,0.00,1300.00,365000.00,0
2011-08-09,280.00,284.00,279.00,282.00,0.00,424.00,118851.00,0
2011-08-10,282.00,295.00,274.00,295.00,0.00,1076.00,305969.00,0
