published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-11-26,204.00,209.00,204.00,206.00,-0.96,13760.00,2833037.00,-1
2020-11-29,205.00,208.00,203.00,207.00,0.49,28977.00,5939270.00,1
2020-11-30,206.00,215.00,206.00,215.00,3.86,21701.00,4534545.00,1
2020-12-01,210.00,223.00,209.00,216.00,0.47,26536.00,5696759.00,1
2020-12-02,220.00,226.00,211.00,222.00,2.78,67591.00,14845356.00,1
2020-12-03,218.00,230.00,218.00,225.00,1.35,67823.00,15083580.00,1
2020-12-06,221.00,226.00,209.00,210.00,-6.67,25052.00,5396842.00,-1
2020-12-07,210.00,223.00,208.00,217.00,3.33,15265.00,3282485.00,1
2020-12-08,215.00,227.00,213.00,213.00,-1.84,19720.00,4287888.00,-1
2020-12-09,217.00,231.00,210.00,220.00,3.29,39063.00,8595758.00,1
2020-12-10,218.00,242.00,218.00,242.00,10.00,113061.00,26306793.00,1
2020-12-13,254.00,260.00,237.00,242.00,0.00,53662.00,13193217.00,0
2020-12-14,242.00,244.00,226.00,228.00,-5.79,39121.00,9099060.00,-1
2020-12-15,217.00,238.00,217.00,229.00,0.44,34220.00,7795151.00,1
2020-12-16,225.00,241.00,223.00,226.00,-1.31,15920.00,3623100.00,-1
2020-12-17,222.00,230.00,219.00,221.00,-2.21,16988.00,3779640.00,-1
2020-12-20,217.00,218.00,205.00,207.00,-6.33,24828.00,5214545.00,-1
2020-12-21,200.00,218.00,200.00,217.00,4.83,19468.00,4077994.00,1
2020-12-22,215.00,232.00,213.00,220.00,1.38,22415.00,4901140.00,1
2020-12-23,231.00,231.00,215.00,217.00,-1.36,10820.00,2345330.00,-1
2020-12-24,214.00,220.00,210.00,217.00,0.00,8078.00,1743260.00,0
2020-12-27,213.00,221.00,210.00,214.00,-1.38,8650.00,1863890.00,-1
2020-12-28,211.00,215.00,210.00,210.00,-1.87,7730.00,1634780.00,-1
2020-12-29,211.00,220.00,207.00,213.00,1.43,15765.00,3310236.00,1
2020-12-30,210.00,213.00,208.00,212.00,-0.47,6310.00,1326810.00,-1
2020-12-31,208.00,215.00,208.00,212.00,0.00,6815.00,1430085.00,0
2021-01-03,208.00,218.00,208.00,218.00,2.83,11740.00,2488270.00,1
2021-01-04,214.00,218.00,209.00,212.00,-2.75,6260.00,1328940.00,-1
2021-01-05,209.00,222.00,209.00,217.00,2.36,9746.00,2109506.00,1
2021-01-06,217.00,218.00,210.00,212.00,-2.30,15752.00,3353534.00,-1
2021-01-07,212.00,222.00,212.00,220.00,3.77,17538.00,3804535.00,1
2021-01-10,218.00,222.00,213.00,220.00,0.00,7826.00,1698730.00,0
2021-01-11,231.00,231.00,215.00,219.00,-0.45,7230.00,1574750.00,-1
