published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-21,10.0,10.0,9.99,10.0,0.0,500.0,4997.0,0
2023-09-26,9.81,9.81,9.62,9.62,-3.8,200.0,1943.0,-1
2023-09-27,9.43,9.43,8.65,8.65,-10.08,5775.0,50188.75,-1
2023-10-01,8.48,8.48,7.86,7.94,-8.21,9040.0,72177.5,-1
2023-10-02,7.9,8.05,7.66,7.86,-1.01,7000.0,55049.0,-1
2023-10-03,7.71,7.73,7.56,7.62,-3.05,5600.0,42599.0,-1
2023-10-04,7.47,7.74,7.36,7.64,0.26,4225.0,32023.75,1
2023-10-05,7.49,7.65,7.36,7.55,-1.18,4070.0,30683.25,-1
2023-10-08,7.45,7.62,7.42,7.53,-0.26,5360.0,40227.0,-1
2023-10-09,7.53,7.79,7.53,7.79,3.45,1800.0,13790.0,1
2023-10-10,7.64,7.85,7.64,7.85,0.77,2050.0,16011.5,1
2023-10-11,7.85,7.86,7.7,7.7,-1.91,4450.0,34718.75,-1
2023-10-12,7.61,7.75,7.61,7.71,0.13,2500.0,19266.0,1
2023-10-16,7.56,7.85,7.56,7.7,-0.13,3200.0,24593.5,-1
2023-10-17,7.69,7.69,7.61,7.61,-1.17,4575.0,35109.75,-1
2023-10-18,7.55,7.76,7.55,7.61,0.0,1925.0,14779.75,0
2023-10-19,7.46,7.66,7.46,7.65,0.53,1700.0,12807.0,1
2023-10-29,7.52,7.65,7.41,7.5,-1.96,2200.0,16471.0,-1
2023-10-30,7.35,7.54,7.3,7.51,0.13,2300.0,17075.25,1
2023-10-31,7.4,7.67,7.4,7.67,2.13,2100.0,15734.0,1
2023-11-01,7.52,7.67,7.52,7.67,0.0,2200.0,16619.0,0
2023-11-02,7.52,7.52,7.45,7.46,-2.74,500.0,3734.0,-1
2023-11-05,7.33,7.33,7.23,7.33,-1.74,1600.0,11698.0,-1
2023-11-06,7.21,7.33,7.12,7.22,-1.5,2915.0,21075.75,-1
2023-11-07,7.13,7.33,7.13,7.23,0.14,1160.0,8401.6,1
2023-11-08,7.15,7.28,7.15,7.27,0.55,1400.0,10153.0,1
2023-11-09,7.2,7.23,7.09,7.23,-0.55,500.0,3588.0,-1
2023-11-20,7.11,7.3,7.11,7.3,0.97,700.0,5086.0,1
2023-11-21,7.17,7.3,7.17,7.3,0.0,525.0,3790.25,0
2023-11-22,7.3,7.37,7.19,7.37,0.96,3800.0,27604.0,1
2023-11-23,7.25,7.51,7.25,7.51,1.9,2150.0,15726.0,1
2023-11-26,7.36,7.54,7.36,7.4,-1.46,2400.0,17748.0,-1
2023-11-27,7.3,7.38,7.3,7.38,-0.27,1950.0,14340.0,-1
2023-11-28,7.38,7.38,7.3,7.34,-0.54,1000.0,7333.0,-1
2023-11-29,7.34,7.5,7.33,7.39,0.68,885.0,6547.5,1
2023-11-30,7.39,7.65,7.32,7.65,3.52,5700.0,42906.0,1
2023-12-03,7.51,7.6,7.5,7.5,-1.96,10400.0,78030.0,-1
2023-12-04,7.6,7.7,7.4,7.7,2.67,2700.0,20607.0,1
2023-12-05,7.56,7.69,7.56,7.63,-0.91,1700.0,12924.0,-1
2023-12-06,7.6,7.62,7.45,7.48,-1.97,4100.0,30844.0,-1
2023-12-07,7.35,7.51,7.35,7.48,0.0,1700.0,12597.0,0
2023-12-11,7.45,7.67,7.45,7.54,0.8,2180.0,16378.2,1
2023-12-12,7.55,7.72,7.55,7.72,2.39,2100.0,15967.0,1
2023-12-13,7.63,7.83,7.63,7.83,1.42,2350.0,18188.5,1
2023-12-14,7.72,7.78,7.72,7.78,-0.64,2900.0,22463.0,-1
2023-12-17,7.78,7.99,7.78,7.86,1.03,3300.0,25920.0,1
2023-12-18,7.8,8.3,7.8,8.14,3.56,9835.0,80283.0,1
2023-12-19,7.98,8.1,7.98,8.03,-1.35,800.0,6417.0,-1
2023-12-20,7.93,8.16,7.93,8.03,0.0,4760.0,38121.0,0
2023-12-21,7.92,8.07,7.92,7.95,-1.0,2950.0,23583.5,-1
2023-12-24,7.95,8.16,7.94,8.16,2.64,5620.0,45263.2,1
