published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-26,100.0,110.0,100.0,110.0,10.0,150.0,16176.7,1
2021-12-27,112.2,121.0,112.2,121.0,10.0,184.0,21457.5,1
2021-12-28,119.3,133.1,119.3,133.1,10.0,160.0,20344.5,1
2021-12-29,135.7,146.4,135.7,146.4,9.99,137.0,19664.2,1
2022-01-02,144.6,161.0,144.6,161.0,9.97,239.0,37861.9,1
2022-01-03,164.2,177.1,164.2,177.1,10.0,217.0,37956.9,1
2022-01-04,180.6,194.8,180.6,194.8,9.99,212.0,40836.0,1
2022-01-05,198.6,214.2,198.6,214.2,9.96,315.0,67070.1,1
2022-01-06,218.4,235.6,218.4,235.6,9.99,445.0,103420.7,1
2022-01-09,240.3,259.1,240.3,259.1,9.97,609.0,157331.1,1
2022-01-10,259.1,285.0,259.1,285.0,10.0,440.0,124625.0,1
2022-01-11,290.7,313.5,290.7,313.5,10.0,556.0,173451.5,1
2022-01-12,309.6,344.8,309.6,344.8,9.98,1630.0,560608.0,1
2022-01-13,351.6,379.2,351.6,379.2,9.98,2675.0,1013673.0,1
2022-01-16,386.7,417.1,386.7,417.1,9.99,12392.0,5143469.0,1
2022-01-17,425.4,458.8,425.4,458.8,10.0,240409.0,110154120.8,1
2022-01-18,467.9,503.0,441.0,496.0,8.11,357427.0,174196927.5,1
2022-01-19,505.0,505.0,472.0,477.0,-3.83,148537.0,71054715.5,-1
2022-01-20,475.0,480.0,458.7,479.0,0.42,135601.0,63478489.8,1
2022-01-23,488.0,488.0,465.9,470.0,-1.88,86480.0,40896502.5,-1
2022-01-24,465.0,470.0,450.1,455.0,-3.19,102924.0,47084960.6,-1
2022-01-25,455.0,461.0,440.0,447.0,-1.76,71995.0,32332332.0,-1
2022-01-26,440.0,451.2,435.0,437.0,-2.24,64379.0,28296891.7,-1
2022-01-27,432.0,452.0,432.0,441.0,0.92,36998.0,16367388.5,1
2022-01-30,449.0,466.0,446.0,461.0,4.54,64363.0,29096950.9,1
2022-01-31,470.0,479.0,448.0,448.1,-2.8,43054.0,19559364.4,-1
2022-02-01,441.0,463.0,441.0,455.0,1.54,59724.0,27179344.5,1
2022-02-03,455.0,466.0,451.0,451.0,-0.88,74742.0,34322809.8,-1
2022-02-06,450.0,452.1,445.0,445.8,-1.15,34341.0,15353650.0,-1
2022-02-07,440.1,450.0,440.0,450.0,0.94,38037.0,16905501.7,1
2022-02-08,459.0,467.0,437.0,441.1,-1.98,46197.0,20619199.4,-1
2022-02-09,438.0,441.0,433.1,436.3,-1.09,33968.0,14821229.4,-1
2022-02-10,430.0,447.7,430.0,431.0,-1.21,32370.0,13999028.0,-1
2022-02-13,425.0,425.0,407.0,409.0,-5.1,47777.0,19684646.5,-1
2022-02-14,401.0,419.1,401.0,406.0,-0.73,24853.0,10145301.0,-1
2022-02-15,405.0,423.1,400.2,422.0,3.94,29078.0,11927581.7,1
2022-02-16,422.0,423.0,408.1,409.0,-3.08,23013.0,9495293.4,-1
2022-02-17,409.0,418.4,403.3,418.0,2.2,23187.0,9593462.4,1
2022-02-20,409.7,416.2,397.0,410.0,-1.91,27972.0,11456311.4,-1
2022-02-21,410.0,420.0,405.1,414.0,0.98,37810.0,15601998.5,1
2022-02-22,405.8,440.0,405.8,427.0,3.14,97982.0,41836886.6,1
2022-02-23,430.0,465.9,427.1,452.0,5.85,126540.0,56802073.3,1
