published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-29,129.0,128.0,125.0,128.0,nan,1636.0,205979.0,0
2011-03-31,128.0,139.0,130.0,139.0,8.59,995.0,133570.0,0
2011-04-04,139.0,141.0,138.0,140.0,0.72,978.0,135691.0,0
2011-04-05,140.0,138.0,136.0,138.0,-1.43,854.0,117060.0,0
2011-04-06,138.0,139.0,132.0,135.0,-2.17,1572.0,212873.0,0
2011-04-07,135.0,137.0,135.0,136.0,0.74,673.0,91055.0,0
2011-04-10,136.0,135.0,131.0,131.0,-3.68,1714.0,227766.0,0
2011-04-11,131.0,130.0,129.0,130.0,-0.76,1115.0,143950.0,0
2011-04-13,130.0,130.0,128.0,130.0,0.0,156.0,19998.0,0
2011-04-17,130.0,128.0,128.0,128.0,-1.54,110.0,14080.0,0
2011-04-18,128.0,129.0,127.0,127.0,-0.78,115.0,14705.0,0
2011-04-19,127.0,127.0,124.0,124.0,-2.36,1726.0,216496.0,0
2011-04-20,124.0,125.0,125.0,125.0,0.81,900.0,112500.0,0
2011-04-21,125.0,127.0,124.0,126.0,0.80,1969.0,246361.0,0
2011-04-26,126.0,126.0,124.0,124.0,-1.59,187.0,23216.0,0
2011-04-27,124.0,123.0,112.0,112.0,-9.68,2330.0,273072.0,0
2011-04-28,112.0,115.0,114.0,115.0,2.68,279.0,32015.0,0
2011-05-02,115.0,117.0,115.0,117.0,1.74,1056.0,122752.0,0
2011-05-03,117.0,118.0,115.0,118.0,0.85,1462.0,169996.0,0
2011-05-04,118.0,120.0,120.0,120.0,1.69,91.0,10920.0,0
2011-05-05,120.0,122.0,122.0,122.0,1.67,99.0,12078.0,0
2011-05-08,122.0,122.0,120.0,120.0,-1.64,1700.0,204600.0,0
2011-05-10,120.0,128.0,122.0,128.0,6.67,848.0,105574.0,0
2011-05-11,128.0,130.0,126.0,126.0,-1.56,973.0,124198.0,0
2011-05-12,126.0,125.0,123.0,123.0,-2.38,1098.0,135401.0,0
2011-05-15,123.0,126.0,125.0,126.0,2.44,238.0,29956.0,0
2011-05-16,126.0,126.0,124.0,126.0,0.0,359.0,44800.0,0
2011-05-18,126.0,125.0,123.0,125.0,-0.79,917.0,113845.0,0
2011-05-22,125.0,123.0,123.0,123.0,-1.60,161.0,19803.0,0
2011-05-23,123.0,127.0,125.0,125.0,1.63,466.0,58470.0,0
2011-05-24,125.0,126.0,123.0,126.0,0.80,167.0,20724.0,0
2011-05-25,126.0,128.0,126.0,126.0,0.0,704.0,88834.0,0
2011-05-26,126.0,126.0,126.0,126.0,0.0,1161.0,146286.0,0
2011-05-30,126.0,125.0,125.0,125.0,-0.79,133.0,16625.0,0
2011-05-31,125.0,125.0,121.0,125.0,0.0,1084.0,133487.0,0
2011-06-01,125.0,125.0,125.0,125.0,0.0,147.0,18375.0,0
2011-06-02,125.0,123.0,117.0,117.0,-6.40,1104.0,133052.0,0
2011-06-05,117.0,118.0,107.0,113.0,-3.42,3495.0,386849.0,0
2011-06-06,113.0,113.0,103.0,103.0,-8.85,9135.0,952859.0,0
2011-06-07,103.0,103.0,98.0,98.0,-4.85,5672.0,571150.0,0
2011-06-08,98.0,102.0,99.0,100.0,2.04,908.0,90941.0,0
2011-06-09,100.0,100.0,98.0,100.0,0.0,2011.0,200616.0,0
2011-06-12,100.0,102.0,100.0,101.0,1.00,1723.0,173342.0,0
2011-06-13,101.0,103.0,100.0,103.0,1.98,1105.0,112279.0,0
2011-06-14,103.0,101.0,101.0,101.0,-1.94,213.0,21513.0,0
2011-06-15,101.0,106.0,101.0,106.0,4.95,1630.0,166324.0,0
2011-06-16,106.0,109.0,102.0,109.0,2.83,1999.0,210581.0,0
2011-06-19,109.0,119.0,111.0,119.0,9.17,840.0,95378.0,0
2011-06-20,109.0,119.0,111.0,119.0,0.0,840.0,95378.0,0
2011-06-21,130.0,143.0,132.0,143.0,20.17,1153.0,162139.0,0
2011-06-23,143.0,157.0,145.0,157.0,9.79,3242.0,498209.0,0
2011-06-26,157.0,172.0,152.0,152.0,-3.18,4028.0,653230.0,0
2011-06-29,152.0,149.0,145.0,145.0,-4.61,643.0,93331.0,0
2011-06-30,145.0,143.0,141.0,141.0,-2.76,159.0,22637.0,0
2011-07-03,141.0,139.0,139.0,139.0,-1.42,100.0,13900.0,0
2011-07-04,139.0,137.0,131.0,131.0,-5.76,225.0,30073.0,0
2011-07-05,131.0,129.0,118.0,118.0,-9.92,581.0,70790.0,0
2011-07-06,118.0,129.0,120.0,129.0,9.32,3659.0,461728.0,0
2011-07-07,129.0,129.0,126.0,127.0,-1.55,1167.0,148836.0,0
2011-07-10,127.0,131.0,127.0,129.0,1.57,1379.0,176925.0,0
2011-07-11,129.0,129.0,125.0,127.0,-1.55,1825.0,233091.0,0
2011-07-12,127.0,131.0,127.0,127.0,0.0,1067.0,137606.0,0
2011-07-13,127.0,135.0,129.0,130.0,2.36,1775.0,235055.0,0
2011-07-14,130.0,135.0,130.0,133.0,2.31,1021.0,135828.0,0
2011-07-17,133.0,139.0,135.0,139.0,4.51,300.0,41100.0,0
2011-07-18,139.0,145.0,139.0,140.0,0.72,1465.0,208341.0,0
2011-07-19,140.0,143.0,140.0,143.0,2.14,3110.0,436027.0,0
2011-07-20,143.0,143.0,139.0,139.0,-2.80,2014.0,285553.0,0
2011-07-21,139.0,140.0,137.0,137.0,-1.44,934.0,129128.0,0
2011-07-24,137.0,135.0,135.0,135.0,-1.46,80.0,10800.0,0
2011-07-26,135.0,133.0,133.0,133.0,-1.48,150.0,19950.0,0
2011-07-27,133.0,133.0,131.0,133.0,0.0,462.0,61048.0,0
2011-07-28,133.0,136.0,132.0,135.0,1.50,600.0,80430.0,0
2011-07-31,135.0,133.0,131.0,131.0,-2.96,170.0,22470.0,0
2011-08-01,131.0,131.0,131.0,131.0,0.0,510.0,66810.0,0
2011-08-02,131.0,132.0,125.0,125.0,-4.58,1449.0,186134.0,0
2011-08-03,125.0,126.0,122.0,124.0,-0.80,1774.0,220289.0,0
2011-08-04,124.0,122.0,119.0,122.0,-1.61,2036.0,245042.0,0
2011-08-07,122.0,124.0,122.0,123.0,0.82,123.0,15142.0,0
2011-08-08,123.0,121.0,121.0,121.0,-1.63,232.0,28072.0,0
2011-08-09,121.0,119.0,114.0,115.0,-4.96,1419.0,164168.0,0
2011-08-10,115.0,119.0,117.0,117.0,1.74,3256.0,382232.0,0
2011-08-11,117.0,119.0,119.0,119.0,1.71,157.0,18683.0,0
2011-08-15,119.0,120.0,120.0,120.0,0.84,305.0,36600.0,0
2011-08-16,120.0,118.0,116.0,116.0,-3.33,257.0,30124.0,0
2011-08-17,116.0,116.0,115.0,115.0,-0.86,1190.0,137534.0,0
2011-08-18,115.0,119.0,115.0,119.0,3.48,650.0,75076.0,0
2011-08-24,119.0,117.0,114.0,114.0,-4.20,583.0,67168.0,0
2011-08-25,114.0,112.0,108.0,108.0,-5.26,4577.0,501396.0,0
2011-08-28,108.0,108.0,108.0,108.0,0.0,360.0,38880.0,0
2011-08-29,108.0,107.0,105.0,107.0,-0.93,3273.0,346346.0,0
2011-08-30,107.0,112.0,109.0,112.0,4.67,115.0,12678.0,0
2011-09-01,112.0,116.0,114.0,115.0,2.68,968.0,111370.0,0
2011-09-04,115.0,117.0,115.0,115.0,0.0,800.0,92500.0,0
2011-09-05,115.0,113.0,107.0,107.0,-6.96,1090.0,118228.0,0
2011-09-06,107.0,105.0,100.0,102.0,-4.67,14168.0,1427190.0,0
2011-09-12,102.0,108.0,104.0,107.0,4.90,1569.0,166413.0,0
2011-09-13,107.0,111.0,107.0,109.0,1.87,1133.0,123035.0,0
2011-09-14,109.0,110.0,107.0,107.0,-1.83,2299.0,246910.0,0
2011-09-18,107.0,105.0,105.0,105.0,-1.87,435.0,45675.0,0
2011-09-20,105.0,113.0,106.0,113.0,7.62,707.0,75976.0,0
2011-09-21,113.0,114.0,111.0,111.0,-1.77,969.0,108124.0,0
2011-09-22,111.0,114.0,111.0,114.0,2.70,380.0,42726.0,0
2011-09-25,114.0,116.0,114.0,116.0,1.75,667.0,76956.0,0
2011-09-26,116.0,114.0,108.0,111.0,-4.31,10533.0,1159410.0,0
2011-09-27,111.0,121.0,113.0,118.0,6.31,2829.0,327165.0,0
2011-09-29,118.0,116.0,110.0,110.0,-6.78,5575.0,617716.0,0
2011-10-02,110.0,113.0,112.0,113.0,2.73,2074.0,234288.0,0
2011-10-10,113.0,115.0,115.0,115.0,1.77,200.0,23000.0,0
2011-10-12,115.0,121.0,117.0,119.0,3.48,293.0,34491.0,0
2011-10-13,119.0,121.0,119.0,121.0,1.68,1133.0,135914.0,0
2011-10-16,121.0,120.0,116.0,116.0,-4.13,474.0,55818.0,0
2011-10-17,116.0,118.0,115.0,115.0,-0.86,179.0,20836.0,0
2011-10-18,115.0,117.0,108.0,108.0,-6.09,5900.0,651550.0,0
2011-10-19,108.0,112.0,110.0,111.0,2.78,4439.0,491841.0,0
