published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-22,10.0,10.19,9.06,9.1,-9.0,253750.0,2564395.0,-1
2025-05-25,8.92,9.28,8.92,9.2,1.1,7010.0,63609.3,1
2025-05-26,9.03,9.38,9.03,9.26,0.65,249600.0,2272655.0,1
2025-05-27,9.08,9.4,8.93,9.33,0.76,6400.0,58530.0,1
2025-05-28,9.15,9.51,8.98,9.31,-0.21,8300.0,76194.0,-1
2025-06-02,9.2,9.3,9.0,9.14,-1.83,235700.0,2124063.0,-1
2025-06-03,8.96,9.2,8.96,9.07,-0.77,13800.0,124587.0,-1
2025-06-04,9.07,9.07,8.92,8.97,-1.1,1300.0,11688.0,-1
2025-06-05,8.8,9.1,8.8,9.1,1.45,4850.0,43415.5,1
2025-06-08,9.0,9.27,8.94,9.01,-0.99,17500.0,158211.0,-1
2025-06-09,8.85,9.05,8.85,8.96,-0.55,3100.0,27793.0,-1
2025-06-10,8.83,9.03,8.83,8.89,-0.78,1900.0,16939.0,-1
2025-06-11,8.73,9.13,8.73,9.13,2.7,2500.0,22563.0,1
2025-06-12,8.95,9.1,8.81,9.0,-1.42,14200.0,127144.0,-1
2025-06-15,8.86,9.18,8.86,9.0,0.0,3100.0,27594.0,0
2025-06-16,8.91,9.18,8.83,9.17,1.89,54000.0,494699.0,1
2025-06-17,9.0,9.08,8.85,8.92,-2.73,33350.0,298399.0,-1
2025-06-18,8.75,9.0,8.75,9.0,0.9,2400.0,21470.0,1
2025-06-19,8.86,9.18,8.86,9.18,2.0,193700.0,1777962.0,1
2025-06-22,9.0,9.04,8.85,8.88,-3.27,11600.0,104262.0,-1
2025-06-23,8.88,9.0,8.8,8.8,-0.9,4600.0,40646.4,-1
2025-06-24,8.65,8.83,8.65,8.77,-0.34,2950.0,25801.0,-1
2025-06-25,8.8,8.81,8.8,8.8,0.34,2300.0,20245.0,1
2025-06-26,8.66,8.76,8.66,8.76,-0.45,1500.0,13059.0,-1
2025-06-29,8.59,8.93,8.59,8.8,0.46,4350.0,38179.0,1
2025-06-30,8.67,9.18,8.67,9.13,3.75,10800.0,98042.0,1
2025-07-01,9.0,9.13,8.96,9.01,-1.31,1900.0,17100.0,-1
2025-07-02,8.85,9.0,8.71,8.98,-0.33,2800.0,25047.7,-1
2025-07-03,8.81,9.28,8.81,9.24,2.9,11100.0,101491.0,1
2025-07-06,9.24,9.42,8.8,8.95,-3.14,4550.0,40879.3,-1
2025-07-07,8.85,9.1,8.85,9.08,1.45,2500.0,22468.0,1
2025-07-08,8.92,9.09,8.92,9.06,-0.22,2700.0,24407.0,-1
2025-07-09,8.97,9.1,8.97,9.1,0.44,3600.0,32636.0,1
2025-07-10,9.02,9.1,8.94,9.1,0.0,1650.0,14861.0,0
2025-07-13,9.02,9.28,9.02,9.23,1.43,16720.0,153028.6,1
2025-07-14,9.41,9.59,9.06,9.3,0.76,7100.0,66684.0,1
2025-07-15,9.3,9.94,9.12,9.6,3.23,27329.0,263992.79,1
2025-07-16,9.78,9.97,9.71,9.93,3.44,317477.0,3149722.6,1
2025-07-17,9.74,9.74,9.55,9.56,-3.73,1500.0,14519.0,-1
2025-07-20,9.37,9.4,9.2,9.21,-3.66,32400.0,298874.0,-1
2025-07-21,9.04,9.28,9.03,9.2,-0.11,3970.0,36244.2,-1
2025-07-22,9.05,9.24,9.05,9.11,-0.98,10900.0,99720.0,-1
2025-07-23,9.0,9.3,9.0,9.27,1.76,3500.0,32074.0,1
2025-07-24,9.09,9.38,9.09,9.36,0.97,5450.0,50633.5,1
2025-07-27,9.18,9.89,9.18,9.83,5.02,137220.0,1344239.0,1
2025-07-28,9.64,9.83,9.11,9.72,-1.12,4650.0,44007.5,-1
2025-07-29,9.53,9.73,9.36,9.54,-1.85,11900.0,113583.0,-1
2025-07-30,9.36,9.4,9.2,9.21,-3.46,55800.0,517496.0,-1
2025-07-31,9.05,9.08,9.05,9.08,-1.41,3900.0,35337.0,-1
2025-08-03,8.9,9.13,8.9,9.01,-0.77,2800.0,25147.0,-1
2025-08-04,9.19,9.19,9.0,9.09,0.89,4350.0,39308.0,1
2025-08-05,9.27,9.3,8.92,9.12,0.33,3950.0,35690.0,1
2025-08-06,9.3,9.3,9.01,9.1,-0.22,6600.0,60761.0,-1
2025-08-07,9.28,9.28,9.1,9.1,0.0,1000.0,9165.0,0
2025-08-11,8.92,9.18,8.92,9.05,-0.55,2200.0,19781.0,-1
2025-08-12,9.18,9.2,8.9,9.0,-0.55,6500.0,58175.0,-1
2025-08-13,8.85,9.0,8.85,8.96,-0.44,3700.0,32989.0,-1
2025-08-14,8.85,9.0,8.85,8.91,-0.56,4610.0,41025.0,-1
2025-08-17,8.85,9.02,8.71,8.93,0.22,3800.0,33587.0,1
2025-08-18,8.77,9.1,8.77,8.94,0.11,2850.0,25585.0,1
2025-08-19,8.78,9.0,8.78,9.0,0.67,2900.0,25928.0,1
2025-08-20,8.83,9.35,8.83,9.31,3.44,3400.0,31002.0,1
2025-08-21,9.15,9.33,9.0,9.24,-0.75,13300.0,122457.0,-1
2025-08-24,9.06,9.33,8.9,8.92,-3.46,6600.0,58977.0,-1
2025-08-25,8.75,9.07,8.75,9.05,1.46,2200.0,19643.0,1
2025-08-26,8.92,9.09,8.92,8.94,-1.22,1800.0,16170.0,-1
2025-08-27,8.8,9.3,8.8,9.25,3.47,4500.0,40869.0,1
2025-08-28,9.08,9.3,9.08,9.17,-0.86,9850.0,90935.5,-1
2025-08-31,9.0,9.03,8.82,9.01,-1.74,4050.0,36484.5,-1
2025-09-01,8.85,9.33,8.85,9.25,2.66,7700.0,70032.0,1
2025-09-02,9.32,9.32,8.96,9.32,0.76,5850.0,53801.0,1
2025-09-03,9.14,9.2,9.14,9.2,-1.29,700.0,6421.0,-1
