published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-06-18,232.0,255.2,232.0,255.2,10.0,680.0,170790.6,1
2023-06-19,260.3,280.7,260.3,280.7,9.99,9227.0,2589508.9,1
2023-06-20,286.3,297.8,267.1,270.2,-3.74,39591.0,11063790.0,-1
2023-06-21,275.0,275.0,255.3,255.4,-5.48,26510.0,6938501.7,-1
2023-06-22,253.0,260.0,246.2,247.2,-3.21,13557.0,3404395.2,-1
2023-06-25,242.3,257.0,235.7,252.0,1.94,18370.0,4482019.1,1
2023-06-26,252.0,260.0,246.7,248.0,-1.59,9432.0,2377626.6,-1
2023-06-27,250.0,250.7,243.6,247.3,-0.28,15028.0,3714840.4,-1
2023-06-28,243.0,251.0,243.0,251.0,1.5,12380.0,3068466.5,1
2023-07-02,251.0,252.0,241.9,247.1,-1.55,8642.0,2122165.0,-1
2023-07-03,242.8,247.8,238.0,241.9,-2.1,7620.0,1835218.5,-1
2023-07-04,237.1,251.6,235.0,251.6,4.01,4536.0,1085463.0,1
2023-07-05,246.6,246.6,232.3,240.7,-4.33,9616.0,2286042.4,-1
2023-07-06,240.0,240.0,225.5,237.0,-1.54,7785.0,1806787.2,-1
2023-07-09,234.0,237.0,230.0,237.0,0.0,7452.0,1736362.0,0
2023-07-10,232.6,235.0,227.1,227.3,-4.09,5025.0,1160528.0,-1
2023-07-11,223.0,231.0,220.3,225.0,-1.01,5420.0,1212667.0,-1
2023-07-12,221.2,234.0,221.1,230.0,2.22,12039.0,2760813.0,1
2023-07-13,230.0,234.0,225.8,226.0,-1.74,4160.0,955916.0,-1
2023-07-16,222.0,226.0,221.9,226.0,0.0,2868.0,639215.4,0
2023-07-17,221.6,234.4,221.6,229.5,1.55,5821.0,1328198.5,1
2023-07-18,225.1,234.0,225.1,227.8,-0.74,4660.0,1067590.0,-1
2023-07-19,225.1,232.7,225.1,232.7,2.15,4060.0,927591.0,1
2023-07-20,228.1,236.6,224.0,233.3,0.26,8052.0,1863407.7,1
2023-07-23,228.8,241.0,226.1,240.4,3.04,6190.0,1455971.5,1
2023-07-24,238.0,249.0,228.8,240.0,-0.17,8370.0,1997072.0,-1
2023-07-25,244.8,249.4,230.1,238.0,-0.83,5154.0,1219954.9,-1
2023-07-26,233.5,238.0,231.1,237.0,-0.42,5390.0,1267167.0,-1
2023-07-27,232.3,241.0,228.4,234.0,-1.27,11928.0,2754092.6,-1
2023-07-30,238.0,238.0,226.5,237.0,1.28,4065.0,935906.0,1
2023-07-31,232.3,237.0,230.0,230.0,-2.95,4160.0,969022.5,-1
2023-08-01,226.1,232.0,224.4,224.4,-2.43,5149.0,1171091.9,-1
2023-08-02,223.1,229.5,223.1,224.9,0.22,3087.0,694621.1,1
2023-08-03,222.1,228.4,218.1,227.0,0.93,3583.0,797993.0,1
2023-08-06,222.5,222.5,215.2,219.0,-3.52,2760.0,600043.0,-1
2023-08-07,215.0,224.1,211.3,224.1,2.33,9805.0,2117476.0,1
2023-08-08,219.7,219.7,213.3,218.0,-2.72,3010.0,648243.0,-1
2023-08-09,213.7,221.0,209.0,221.0,1.38,3050.0,642837.0,1
2023-08-10,216.6,218.0,212.4,215.0,-2.71,2380.0,510734.0,-1
2023-08-13,215.0,226.0,210.0,222.0,3.26,6103.0,1301277.0,1
2023-08-14,218.0,218.0,209.9,215.0,-3.15,4390.0,930876.0,-1
2023-08-15,210.7,210.7,205.0,209.9,-2.37,4360.0,903213.0,-1
2023-08-16,205.8,206.0,195.3,204.0,-2.81,11061.0,2218301.0,-1
2023-08-17,200.0,204.1,194.0,195.0,-4.41,6473.0,1283155.5,-1
2023-08-20,191.2,196.8,189.0,189.1,-3.03,2630.0,503227.0,-1
2023-08-21,186.0,189.7,174.0,177.9,-7.99,9764.0,1751005.8,-1
2023-08-22,175.0,181.0,169.0,179.0,0.62,11235.0,1932966.0,1
2023-08-23,175.5,193.4,175.5,193.0,7.82,5716.0,1071104.0,1
2023-08-24,196.8,196.8,178.2,183.0,-5.18,7035.0,1314627.0,-1
2023-08-27,181.0,182.0,172.6,173.9,-4.97,5293.0,922001.4,-1
2023-08-28,170.5,182.0,165.2,175.7,1.04,3666.0,640693.4,1
2023-08-29,172.2,179.1,171.0,178.4,1.54,2420.0,427437.0,1
2023-08-30,175.0,178.0,172.5,178.0,-0.22,3420.0,603732.0,-1
2023-09-03,174.5,179.5,171.1,172.1,-3.31,3213.0,562800.9,-1
2023-09-04,170.0,181.0,169.0,181.0,5.17,2521.0,441818.9,1
2023-09-05,177.4,185.5,177.4,182.5,0.83,2158.0,392574.5,1
2023-09-07,178.9,182.0,173.1,177.8,-2.58,2060.0,367560.5,-1
2023-09-10,177.0,195.5,174.7,195.5,9.96,11079.0,2105005.6,1
2023-09-11,192.0,215.0,188.5,215.0,9.97,21704.0,4599843.6,1
2023-09-12,210.7,228.0,210.7,221.8,3.16,12813.0,2826161.6,1
2023-09-13,217.4,230.7,211.0,230.5,3.92,15611.0,3418131.2,1
2023-09-17,226.0,226.0,207.5,211.0,-8.46,16666.0,3567791.0,-1
2023-09-18,207.0,230.5,207.0,227.4,7.77,17359.0,3845333.6,1
2023-09-19,224.0,250.1,224.0,250.1,9.98,53540.0,13071077.7,1
2023-09-21,255.0,275.1,252.0,263.0,5.16,34003.0,9122752.8,1
2023-09-24,257.8,261.0,242.8,256.0,-2.66,34621.0,8790727.6,-1
2023-09-25,250.9,272.2,245.9,258.0,0.78,22465.0,5854890.6,1
2023-09-26,263.1,283.8,253.1,283.8,10.0,60611.0,16733803.7,1
2023-09-27,287.0,307.0,284.0,296.0,4.3,43905.0,12921655.7,1
2023-10-01,290.1,290.1,266.4,266.5,-9.97,37214.0,10190305.2,-1
2023-10-02,261.2,280.5,256.0,270.1,1.35,22345.0,6033952.1,1
2023-10-03,274.0,279.0,259.7,270.0,-0.04,27361.0,7423286.7,-1
2023-10-04,272.0,274.9,262.1,269.0,-0.37,10834.0,2923849.0,-1
2023-10-05,263.7,275.0,261.1,267.0,-0.74,9505.0,2507906.9,-1
2023-10-08,261.7,261.7,249.9,261.0,-2.25,20619.0,5233062.5,-1
2023-10-09,255.8,265.0,249.1,259.0,-0.77,17646.0,4555001.1,-1
2023-10-10,255.0,257.0,250.0,256.9,-0.81,6610.0,1670348.0,-1
2023-10-11,253.0,262.0,248.5,257.0,0.04,11400.0,2893817.0,1
2023-10-12,252.0,256.0,243.8,254.0,-1.17,16547.0,4102682.4,-1
2023-10-16,253.9,259.0,235.0,241.0,-5.12,5916.0,1404197.9,-1
2023-10-17,239.2,249.8,233.0,237.9,-1.29,10905.0,2612167.7,-1
2023-10-18,242.0,246.6,229.1,240.0,0.88,10427.0,2506407.0,1
2023-10-19,235.2,259.0,233.4,234.5,-2.29,12799.0,3078737.7,-1
2023-10-29,231.2,244.4,226.3,231.1,-1.45,4250.0,983476.6,-1
2023-10-30,226.5,238.1,226.5,238.1,3.03,5010.0,1152500.0,1
2023-10-31,233.4,233.4,220.5,227.9,-4.28,5713.0,1277597.9,-1
2023-11-01,223.5,231.0,215.1,225.9,-0.88,4614.0,1016466.8,-1
2023-11-02,230.4,235.0,208.3,215.8,-4.47,10850.0,2359128.5,-1
2023-11-05,212.1,220.0,200.1,215.6,-0.09,14600.0,2998131.3,-1
2023-11-06,211.3,228.0,207.1,228.0,5.75,8881.0,1940916.0,1
2023-11-07,228.0,232.4,211.3,222.3,-2.5,5056.0,1111638.5,-1
2023-11-08,226.5,229.5,210.7,223.5,0.54,9694.0,2117306.4,1
2023-11-09,227.0,231.5,210.0,211.7,-5.28,3250.0,700794.0,-1
2023-11-20,215.0,227.0,211.0,214.0,1.09,4822.0,1046167.4,1
2023-11-21,218.2,231.4,208.0,231.4,8.13,5362.0,1138044.4,1
2023-11-22,226.8,226.8,214.1,224.9,-2.81,10585.0,2327950.5,-1
2023-11-23,225.0,233.0,215.7,221.0,-1.73,6720.0,1489748.0,-1
2023-11-26,216.7,233.1,216.7,227.0,2.71,9430.0,2157793.0,1
2023-11-27,231.0,242.0,228.5,238.0,4.85,37615.0,8855158.2,1
2023-11-28,240.0,261.7,240.0,254.4,6.89,44036.0,10972189.8,1
2023-11-29,251.0,268.2,246.0,248.0,-2.52,13885.0,3500629.5,-1
2023-11-30,243.1,252.0,240.2,240.3,-3.1,16325.0,4013724.8,-1
2023-12-03,245.1,246.8,227.1,244.0,1.54,11133.0,2691325.1,1
2023-12-04,248.8,258.0,238.6,242.1,-0.78,12005.0,2935632.6,-1
2023-12-05,239.0,243.0,231.4,233.0,-3.76,6745.0,1597480.0,-1
2023-12-06,233.0,242.0,229.0,240.0,3.0,8290.0,1936913.0,1
2023-12-07,238.0,244.8,231.9,233.0,-2.92,14945.0,3580952.0,-1
2023-12-10,237.6,256.0,237.6,251.9,8.11,1700.0,428219.0,1
2023-12-11,253.0,256.0,236.0,246.0,-2.34,37814.0,9287247.8,-1
2023-12-12,245.0,263.1,241.4,255.0,3.66,43335.0,10954809.2,1
2023-12-13,260.0,275.0,250.0,252.0,-1.18,20447.0,5288615.5,-1
2023-12-14,251.0,272.0,251.0,270.0,7.14,26139.0,6948064.0,1
2023-12-17,264.6,297.0,259.5,296.0,9.63,49024.0,13913487.4,1
2023-12-18,301.9,308.0,275.4,288.9,-2.4,41371.0,11915995.7,-1
2023-12-19,283.2,294.0,275.0,290.0,0.38,37957.0,10642166.9,1
2023-12-20,295.8,301.7,286.0,297.0,2.41,34164.0,10017492.2,1
2023-12-21,291.1,296.8,275.0,296.8,-0.07,36220.0,10284471.6,-1
2023-12-24,290.9,322.0,279.5,312.0,5.12,48031.0,14717709.5,1
2023-12-27,313.0,336.0,303.0,316.0,1.28,46324.0,14846782.0,1
2023-12-28,309.9,325.0,309.9,320.0,1.27,24265.0,7670978.0,1
2024-01-01,322.0,333.9,310.1,327.0,2.19,37989.0,12078699.3,1
2024-01-02,320.5,320.5,307.1,309.9,-5.23,20077.0,6277934.7,-1
2024-01-03,307.0,322.3,307.0,320.0,3.26,25418.0,7965007.0,1
2024-01-04,326.4,338.5,312.1,326.2,1.94,64383.0,20938082.2,1
2024-01-07,326.0,339.0,308.7,320.0,-1.9,40195.0,12879300.1,-1
2024-01-08,318.0,351.0,311.0,351.0,9.69,64884.0,21754724.0,1
2024-01-09,358.0,358.0,331.0,335.0,-4.56,29105.0,9934036.1,-1
2024-01-10,337.0,340.9,323.0,324.0,-3.28,22600.0,7422142.0,-1
2024-01-11,320.0,346.5,320.0,338.0,4.32,23432.0,7878454.5,1
2024-01-14,332.0,352.0,332.0,342.0,1.18,27955.0,9650890.5,1
2024-01-16,348.0,360.0,335.7,341.9,-0.03,39508.0,13673717.6,-1
2024-01-17,336.2,343.0,321.3,323.0,-5.53,33082.0,10984058.9,-1
2024-01-18,317.0,340.0,317.0,331.0,2.48,15379.0,4992466.0,1
2024-01-21,330.0,340.0,325.0,325.0,-1.81,19784.0,6556135.6,-1
2024-01-22,318.6,331.9,308.0,313.0,-3.69,19632.0,6190311.6,-1
2024-01-23,310.0,322.0,308.0,317.0,1.28,14814.0,4669785.4,1
2024-01-24,317.0,329.0,309.3,310.0,-2.21,10513.0,3311071.7,-1
2024-01-25,305.0,318.0,305.0,311.9,0.61,9057.0,2825193.0,1
2024-01-28,310.0,316.0,304.0,314.0,0.67,10719.0,3310103.0,1
2024-01-29,307.9,333.0,307.9,324.5,3.34,21055.0,6751069.5,1
2024-01-30,320.0,330.0,320.0,329.0,1.39,18181.0,5923986.3,1
2024-01-31,330.0,334.0,309.7,309.7,-5.87,17882.0,5740321.8,-1
2024-02-01,315.0,316.0,307.0,311.9,0.71,17756.0,5548030.8,1
2024-02-04,318.1,330.0,307.0,330.0,5.8,16457.0,5253597.4,1
2024-02-05,332.0,335.0,322.9,330.0,0.0,19265.0,6301902.0,0
2024-02-06,334.2,334.2,323.0,328.8,-0.36,9670.0,3180659.3,-1
2024-02-07,335.3,351.9,326.5,345.0,4.93,36683.0,12474346.6,1
2024-02-08,345.0,354.9,339.1,350.0,1.45,31625.0,11051109.0,1
2024-02-11,355.0,363.0,345.2,349.9,-0.03,26127.0,9265037.2,-1
2024-02-12,344.0,363.0,342.3,362.4,3.57,21501.0,7622694.4,1
2024-02-13,356.0,389.0,349.0,372.0,2.65,69894.0,26203727.9,1
2024-02-14,370.0,388.0,364.7,375.0,0.81,37992.0,14159072.8,1
2024-02-15,370.0,380.0,362.8,377.0,0.53,23147.0,8589508.4,1
2024-02-18,369.5,369.5,354.1,358.0,-5.04,26183.0,9417597.2,-1
2024-02-20,352.0,360.0,346.1,350.0,-2.23,14979.0,5264805.7,-1
2024-02-21,346.0,357.0,337.3,340.0,-2.86,14938.0,5136457.9,-1
2024-02-22,334.0,346.0,330.0,338.0,-0.59,19222.0,6472612.0,-1
2024-02-25,344.7,344.7,328.2,330.0,-2.37,10580.0,3501194.0,-1
2024-02-26,324.0,343.0,324.0,340.0,3.03,12988.0,4291918.3,1
2024-02-27,335.0,341.7,328.4,336.0,-1.18,16442.0,5448949.1,-1
2024-02-28,330.4,339.9,325.0,338.0,0.6,8121.0,2683507.9,1
2024-02-29,332.0,332.0,318.5,319.1,-5.59,9696.0,3136900.1,-1
2024-03-03,312.8,326.0,312.8,316.1,-0.94,5735.0,1828137.0,-1
2024-03-04,322.4,347.7,322.4,347.7,10.0,1479.0,508743.0,1
2024-03-05,350.0,350.0,325.0,330.0,-5.09,24197.0,8001912.0,-1
2024-03-06,325.0,339.0,320.0,330.0,0.0,10427.0,3426162.7,0
2024-03-07,336.6,344.0,332.0,339.0,2.73,15218.0,5151314.7,1
2024-03-10,345.0,348.0,335.0,341.0,0.59,8899.0,3037097.5,1
2024-03-12,347.0,347.3,337.4,345.0,1.17,21934.0,7487735.2,1
2024-03-13,351.8,351.8,340.0,343.4,-0.46,7305.0,2519911.5,-1
2024-03-14,337.2,347.8,337.0,337.4,-1.75,5070.0,1724694.0,-1
2024-03-17,335.0,338.8,331.1,333.0,-1.3,3206.0,1070142.0,-1
2024-03-18,333.0,343.0,330.1,337.0,1.2,7950.0,2676913.0,1
2024-03-19,340.0,345.0,334.5,337.0,0.0,10651.0,3616279.1,0
2024-03-20,337.0,341.0,328.6,330.0,-2.08,3725.0,1242580.0,-1
2024-03-21,335.0,336.6,325.0,326.0,-1.21,9869.0,3239970.0,-1
2024-03-25,319.5,330.0,319.5,324.0,-0.61,5080.0,1651358.0,-1
2024-03-26,319.1,347.7,319.0,344.8,6.42,13625.0,4587598.0,1
2024-03-27,344.0,347.0,332.0,338.0,-1.97,11616.0,3927028.3,-1
2024-03-28,335.0,364.0,335.0,355.0,5.03,25478.0,8982094.6,1
2024-03-31,358.0,375.0,355.0,360.0,1.41,27069.0,9858996.0,1
2024-04-01,365.0,371.0,353.0,365.0,1.39,31472.0,11494126.8,1
2024-04-02,372.0,372.0,351.0,363.0,-0.55,12941.0,4739986.1,-1
2024-04-03,363.0,368.0,352.0,353.0,-2.75,9605.0,3434716.2,-1
2024-04-04,349.1,364.0,349.1,359.8,1.93,7666.0,2709960.2,1
2024-04-07,365.0,365.0,353.0,358.0,-0.5,5643.0,2012470.8,-1
2024-04-09,360.0,372.0,358.0,363.0,1.4,10610.0,3843761.0,1
2024-04-10,363.0,376.2,360.0,370.0,1.93,22042.0,8166017.4,1
2024-04-14,371.0,395.0,370.0,383.0,3.51,26335.0,10131690.8,1
2024-04-15,390.6,419.0,385.0,410.0,7.05,79690.0,32081400.5,1
2024-04-16,418.0,420.0,400.0,402.0,-1.95,32237.0,13066213.1,-1
2024-04-18,402.0,424.0,397.0,409.0,1.74,32951.0,13417689.8,1
2024-04-21,407.0,412.0,398.0,405.0,-0.98,23500.0,9490713.8,-1
2024-04-22,400.1,419.0,389.0,389.0,-3.95,46301.0,18743441.0,-1
2024-04-24,392.0,397.0,375.0,382.0,-1.8,15713.0,6020196.5,-1
2024-04-25,376.0,389.0,370.0,379.0,-0.79,21865.0,8195008.5,-1
2024-04-28,375.0,400.0,372.2,373.7,-1.4,11119.0,4183228.2,-1
2024-04-29,373.9,381.0,361.7,361.7,-3.21,21953.0,8086382.2,-1
2024-04-30,362.0,385.0,362.0,381.9,5.58,20208.0,7609116.6,1
2024-05-02,375.1,388.9,373.0,373.5,-2.2,10286.0,3887346.9,-1
2024-05-05,379.9,379.9,355.0,358.0,-4.15,19543.0,7069513.2,-1
2024-05-06,365.1,365.1,356.0,365.0,1.96,7428.0,2678129.2,1
2024-05-07,365.0,372.0,357.0,357.1,-2.16,8522.0,3088955.3,-1
2024-05-08,355.0,364.9,355.0,359.6,0.7,7359.0,2628293.2,1
2024-05-09,356.0,367.1,356.0,359.0,-0.17,8740.0,3159084.6,-1
2024-05-12,359.0,365.0,355.0,361.0,0.56,4451.0,1605528.3,1
2024-05-13,361.0,367.0,359.0,364.0,0.83,6683.0,2410463.7,1
2024-05-14,371.2,383.8,362.6,379.0,4.12,11837.0,4424617.8,1
2024-05-15,372.0,385.0,372.0,373.0,-1.58,19924.0,7523645.2,-1
2024-05-16,368.1,375.0,363.6,369.5,-0.94,13484.0,4986432.7,-1
2024-05-19,368.0,376.0,364.1,370.0,0.14,8690.0,3208745.5,1
2024-05-20,370.0,383.0,370.0,374.0,1.08,9252.0,3480817.7,1
2024-05-21,374.0,402.0,374.0,400.0,6.95,47287.0,18662221.1,1
2024-05-22,401.0,410.0,385.3,387.8,-3.05,20450.0,8063800.1,-1
2024-05-26,387.8,387.8,374.0,378.0,-2.53,14700.0,5582230.0,-1
2024-05-27,371.2,389.9,371.2,384.0,1.59,7416.0,2815184.4,1
2024-05-29,391.6,399.4,378.2,383.0,-0.26,7772.0,3007217.0,-1
2024-05-30,390.4,399.3,378.1,395.4,3.24,23957.0,9434947.5,1
2024-06-02,399.0,418.2,399.0,414.0,4.7,39179.0,16023286.1,1
2024-06-03,422.0,422.0,401.2,404.0,-2.42,16277.0,6606610.0,-1
2024-06-04,396.4,408.0,392.0,394.0,-2.48,13316.0,5308224.5,-1
2024-06-05,401.0,401.0,386.5,391.0,-0.76,12748.0,4972394.1,-1
2024-06-06,385.0,404.4,385.0,400.0,2.3,19010.0,7586256.5,1
2024-06-09,401.0,418.0,395.0,415.0,3.75,24029.0,9901061.7,1
2024-06-10,411.0,439.9,411.0,428.0,3.13,54177.0,23394192.9,1
2024-06-11,430.0,438.5,422.2,426.0,-0.47,40916.0,17554569.0,-1
2024-06-12,430.0,438.5,418.2,430.0,0.94,33634.0,14352431.6,1
2024-06-13,421.4,438.0,421.4,429.0,-0.23,25608.0,11078771.8,-1
2024-06-16,430.0,442.0,427.2,433.0,0.93,22740.0,9949512.6,1
2024-06-18,434.9,440.0,415.3,415.3,-4.09,16447.0,6937511.9,-1
2024-06-19,407.0,427.0,407.0,423.9,2.07,16146.0,6820216.3,1
2024-06-20,432.0,432.0,415.8,419.9,-0.94,7759.0,3253433.5,-1
2024-06-23,424.5,426.0,414.0,419.0,-0.21,11876.0,4987743.2,-1
2024-06-24,418.5,450.0,418.5,437.1,4.32,40834.0,18004003.7,1
2024-06-25,428.4,452.0,428.4,445.0,1.81,26237.0,11739731.7,1
2024-06-26,440.0,457.0,426.8,435.0,-2.25,17920.0,7794471.3,-1
2024-06-27,426.3,443.5,411.0,429.7,-1.22,13817.0,5902884.8,-1
