published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-07-28,126.00,126.00,126.00,126.00,0.00,40.00,5040.00,0
2011-08-01,126.00,124.00,122.00,122.00,0.00,120.00,14660.00,0
2011-08-03,122.00,122.00,120.00,120.00,0.00,270.00,32600.00,0
2011-08-04,120.00,120.00,120.00,120.00,0.00,40.00,4800.00,0
2011-08-11,120.00,122.00,122.00,122.00,0.00,220.00,26840.00,0
2011-08-16,122.00,124.00,120.00,122.00,0.00,510.00,62300.00,0
2011-08-18,122.00,120.00,112.00,112.00,0.00,270.00,31180.00,0
2011-08-22,112.00,110.00,101.00,103.00,0.00,430.00,44760.00,0
2011-08-23,103.00,101.00,99.00,99.00,0.00,310.00,31130.00,0
2011-08-24,99.00,100.00,98.00,100.00,0.00,750.00,74370.00,0
2011-08-25,100.00,102.00,100.00,101.00,0.00,80.00,8100.00,0
2011-08-28,101.00,100.00,99.00,100.00,0.00,520.00,51820.00,0
2011-08-29,100.00,102.00,101.00,102.00,0.00,80.00,8120.00,0
2011-08-30,102.00,100.00,100.00,100.00,0.00,640.00,64000.00,0
2011-09-01,100.00,104.00,99.00,104.00,0.00,110.00,11140.00,0
2011-09-04,104.00,102.00,101.00,101.00,0.00,40.00,4050.00,0
2011-09-05,101.00,101.00,100.00,101.00,0.00,130.00,13090.00,0
2011-09-06,101.00,103.00,103.00,103.00,0.00,20.00,2060.00,0
2011-09-07,103.00,105.00,102.00,102.00,0.00,530.00,54920.00,0
2011-09-08,102.00,102.00,100.00,102.00,0.00,770.00,78240.00,0
2011-09-12,102.00,102.00,100.00,102.00,0.00,360.00,36280.00,0
2011-09-13,102.00,104.00,102.00,102.00,0.00,310.00,31820.00,0
2011-09-14,102.00,106.00,104.00,104.00,0.00,130.00,13560.00,0
2011-09-15,104.00,106.00,103.00,106.00,0.00,120.00,12480.00,0
2011-09-18,106.00,106.00,102.00,103.00,0.00,400.00,41440.00,0
2011-09-19,103.00,101.00,101.00,101.00,0.00,30.00,3030.00,0
2011-09-20,101.00,100.00,100.00,100.00,0.00,20.00,2000.00,0
2011-09-21,100.00,103.00,102.00,102.00,0.00,260.00,26540.00,0
2011-09-25,102.00,102.00,101.00,101.00,0.00,110.00,11150.00,0
2011-10-02,101.00,99.00,99.00,99.00,0.00,200.00,19800.00,0
2011-10-13,99.00,98.00,98.00,98.00,0.00,40.00,3920.00,0
2011-10-16,98.00,99.00,99.00,99.00,0.00,30.00,2970.00,0
2011-10-17,99.00,100.00,99.00,100.00,0.00,120.00,11960.00,0
2011-10-18,100.00,101.00,100.00,101.00,0.00,170.00,17130.00,0
2011-10-19,101.00,101.00,101.00,101.00,0.00,80.00,8080.00,0
2011-10-20,101.00,101.00,101.00,101.00,0.00,80.00,8080.00,0
2011-10-23,101.00,101.00,101.00,101.00,0.00,40.00,4040.00,0
2011-10-24,101.00,102.00,100.00,102.00,0.00,170.00,17200.00,0
2011-10-31,102.00,103.00,103.00,103.00,0.00,40.00,4120.00,0
2011-11-02,103.00,105.00,104.00,105.00,0.00,80.00,8360.00,0
2011-11-03,105.00,107.00,106.00,106.00,0.00,90.00,9560.00,0
2011-11-06,106.00,108.00,107.00,107.00,0.00,80.00,8620.00,0
2011-11-08,107.00,105.00,105.00,105.00,0.00,60.00,6300.00,0
2011-11-09,105.00,105.00,105.00,105.00,0.00,100.00,10500.00,0
2011-11-10,105.00,107.00,102.00,102.00,0.00,240.00,25040.00,0
2011-11-13,102.00,102.00,102.00,102.00,0.00,180.00,18360.00,0
2011-11-14,102.00,106.00,104.00,106.00,0.00,70.00,7360.00,0
2011-11-15,106.00,108.00,108.00,108.00,0.00,140.00,15120.00,0
2011-11-16,108.00,107.00,107.00,107.00,0.00,60.00,6420.00,0
2011-11-17,107.00,105.00,105.00,105.00,0.00,720.00,75600.00,0
2011-11-20,105.00,105.00,104.00,104.00,0.00,940.00,98600.00,0
2011-11-21,104.00,103.00,103.00,103.00,0.00,100.00,10300.00,0
2011-11-22,103.00,105.00,103.00,103.00,0.00,120.00,12440.00,0
2011-11-23,103.00,103.00,102.00,102.00,0.00,220.00,22550.00,0
2011-11-24,102.00,102.00,102.00,102.00,0.00,150.00,15300.00,0
2011-11-27,102.00,104.00,103.00,104.00,0.00,820.00,85060.00,0
2011-11-28,104.00,103.00,103.00,103.00,0.00,190.00,19570.00,0
2011-12-01,100.00,101.00,100.00,100.00,0.00,230.00,23160.00,0
2011-12-06,100.00,100.00,99.00,99.00,0.00,300.00,29740.00,0
2011-12-08,99.00,98.00,98.00,98.00,0.00,20.00,1960.00,0
2011-12-11,98.00,97.00,96.00,96.00,0.00,140.00,13480.00,0
2011-12-18,96.00,97.00,97.00,97.00,0.00,30.00,2910.00,0
2011-12-19,97.00,98.00,93.00,93.00,0.00,280.00,26980.00,0
2011-12-20,93.00,95.00,94.00,95.00,0.00,260.00,24540.00,0
2011-12-27,95.00,98.00,96.00,98.00,0.00,180.00,17500.00,0
2011-12-29,98.00,97.00,96.00,96.00,0.00,320.00,30800.00,0
2012-01-09,96.00,95.00,95.00,95.00,0.00,300.00,28500.00,0
2012-01-11,95.00,94.00,93.00,93.00,0.00,360.00,33740.00,0
2012-01-12,93.00,92.00,91.00,91.00,0.00,330.00,30170.00,0
2012-01-16,91.00,90.00,89.00,89.00,0.00,230.00,20650.00,0
2012-01-17,89.00,92.00,90.00,92.00,0.00,270.00,24570.00,0
2012-01-18,92.00,93.00,91.00,91.00,0.00,130.00,11900.00,0
2012-01-19,91.00,90.00,90.00,90.00,0.00,80.00,7200.00,0
2012-01-22,90.00,93.00,91.00,92.00,0.00,550.00,50670.00,0
2012-01-23,92.00,93.00,93.00,93.00,0.00,20.00,1860.00,0
2012-01-25,93.00,94.00,93.00,94.00,0.00,200.00,18740.00,0
2012-01-26,94.00,95.00,94.00,94.00,0.00,160.00,15060.00,0
2012-01-29,94.00,97.00,95.00,97.00,0.00,140.00,13340.00,0
2012-01-31,97.00,97.00,95.00,97.00,0.00,170.00,16220.00,0
2012-02-01,97.00,97.00,96.00,97.00,0.00,230.00,22270.00,0
2012-02-02,97.00,98.00,96.00,98.00,0.00,550.00,53340.00,0
2012-02-05,98.00,100.00,98.00,100.00,0.00,580.00,57640.00,0
2012-02-06,100.00,99.00,99.00,99.00,0.00,170.00,16830.00,0
2012-02-07,99.00,100.00,99.00,99.00,0.00,280.00,27860.00,0
2012-02-08,99.00,100.00,98.00,98.00,0.00,250.00,24660.00,0
2012-02-09,98.00,99.00,99.00,99.00,0.00,20.00,1980.00,0
2012-02-12,99.00,100.00,98.00,98.00,0.00,340.00,33520.00,0
2012-02-13,98.00,100.00,99.00,99.00,0.00,670.00,66450.00,0
2012-02-14,99.00,101.00,100.00,101.00,0.00,80.00,8040.00,0
2012-02-15,101.00,101.00,98.00,98.00,0.00,540.00,53240.00,0
2012-02-16,98.00,100.00,99.00,100.00,0.00,440.00,43900.00,0
2012-02-21,100.00,100.00,99.00,100.00,0.00,320.00,31920.00,0
2012-02-26,100.00,100.00,98.00,98.00,0.00,200.00,19640.00,0
2012-02-27,98.00,100.00,98.00,99.00,0.00,660.00,64970.00,0
2012-02-28,99.00,99.00,97.00,97.00,0.00,960.00,94120.00,0
2012-02-29,97.00,97.00,97.00,97.00,0.00,240.00,23280.00,0
2012-03-01,97.00,98.00,98.00,98.00,0.00,120.00,11760.00,0
2012-03-04,98.00,99.00,98.00,99.00,0.00,200.00,19790.00,0
2012-03-05,99.00,100.00,99.00,99.00,0.00,100.00,9920.00,0
2012-03-06,99.00,100.00,99.00,100.00,0.00,60.00,5960.00,0
2012-03-11,100.00,104.00,102.00,102.00,0.00,120.00,12320.00,0
2012-03-12,102.00,104.00,104.00,104.00,0.00,20.00,2080.00,0
2012-03-13,104.00,104.00,104.00,104.00,0.00,40.00,4160.00,0
2012-03-14,104.00,102.00,102.00,102.00,0.00,140.00,14280.00,0
2012-03-15,102.00,100.00,100.00,100.00,0.00,140.00,14000.00,0
2012-03-18,100.00,99.00,98.00,98.00,0.00,460.00,45220.00,0
2012-03-27,98.00,97.00,95.00,95.00,0.00,110.00,10550.00,0
2012-03-28,95.00,95.00,94.00,94.00,0.00,290.00,27520.00,0
2012-03-29,94.00,97.00,95.00,96.00,0.00,160.00,15340.00,0
2012-04-01,96.00,95.00,95.00,95.00,0.00,50.00,4750.00,0
2012-04-02,95.00,95.00,95.00,95.00,0.00,140.00,13300.00,0
2012-04-03,95.00,94.00,94.00,94.00,0.00,60.00,5640.00,0
2012-04-04,94.00,95.00,94.00,94.00,0.00,210.00,19880.00,0
2012-04-08,94.00,95.00,94.00,95.00,0.00,220.00,20880.00,0
2012-04-11,95.00,95.00,94.00,95.00,0.00,40.00,3780.00,0
2012-04-17,95.00,96.00,96.00,96.00,0.00,80.00,7680.00,0
2012-04-19,96.00,97.00,97.00,97.00,0.00,60.00,5820.00,0
2012-04-30,97.00,106.00,98.00,106.00,0.00,100.00,10330.00,0
2012-05-02,106.00,114.00,108.00,112.00,0.00,570.00,62640.00,0
2012-05-03,112.00,114.00,114.00,114.00,0.00,30.00,3420.00,0
2012-05-07,114.00,122.00,116.00,122.00,0.00,40.00,4760.00,0
2012-05-08,122.00,124.00,124.00,124.00,0.00,30.00,3720.00,0
2012-05-09,124.00,126.00,122.00,126.00,0.00,430.00,53980.00,0
2012-05-10,126.00,132.00,126.00,132.00,0.00,960.00,122060.00,0
