published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-10-08,180.0,180.0,178.0,180.0,nan,12717.0,2281923.0,0
2013-10-09,180.0,184.0,180.0,183.0,1.67,9847.0,1792258.0,0
2013-10-10,183.0,186.0,180.0,182.0,-0.55,12824.0,2338824.0,0
2013-10-17,182.0,188.0,180.0,185.0,1.65,7117.0,1310440.0,0
2013-10-20,185.0,199.0,184.0,195.0,5.41,15767.0,3066236.0,0
2013-10-21,195.0,209.0,195.0,204.0,4.62,42569.0,8627105.0,0
2013-10-22,204.0,204.0,199.0,202.0,-0.98,28193.0,5686079.0,0
2013-10-23,202.0,204.0,200.0,203.0,0.50,29883.0,6015186.0,0
2013-10-24,203.0,204.0,200.0,201.0,-0.99,32429.0,6526015.0,0
2013-10-27,201.0,201.0,198.0,200.0,-0.50,18437.0,3679833.0,0
2013-10-28,200.0,204.0,198.0,204.0,2.00,22167.0,4421321.0,0
2013-10-29,201.0,204.0,198.0,200.0,-1.96,23127.0,4612110.0,0
2013-10-30,200.0,206.0,198.0,204.0,2.00,17704.0,3538286.0,0
2013-10-31,204.0,205.0,200.0,202.0,-0.98,31586.0,6377446.0,0
2013-11-06,202.0,202.0,199.0,201.0,-0.50,9339.0,1874412.0,0
2013-11-07,201.0,221.0,202.0,218.0,8.46,23282.0,5020286.0,0
2013-11-11,235.0,251.0,234.0,251.0,15.14,47417.0,11499880.0,0
2013-11-12,251.0,270.0,252.0,260.0,3.59,39464.0,10306401.0,0
2013-11-13,260.0,265.0,250.0,261.0,0.38,28781.0,7503621.0,0
2013-11-14,261.0,260.0,250.0,259.0,-0.77,65668.0,16785784.0,0
2013-11-21,259.0,274.0,264.0,274.0,5.79,1437.0,379848.0,0
2013-11-24,274.0,301.0,279.0,301.0,9.85,24087.0,7246246.0,0
2013-11-25,301.0,307.0,295.0,304.0,1.00,61999.0,18700028.0,0
2013-11-26,304.0,310.0,298.0,306.0,0.66,38528.0,11812492.0,0
2013-11-27,306.0,305.0,295.0,300.0,-1.96,26979.0,8084019.0,0
2013-11-28,300.0,301.0,298.0,300.0,0.0,19902.0,5962169.0,0
2013-12-01,300.0,303.0,297.0,302.0,0.67,15636.0,4704686.0,0
2013-12-02,302.0,308.0,300.0,308.0,1.99,16796.0,5081885.0,0
2013-12-03,308.0,314.0,300.0,307.0,-0.32,30335.0,9327087.0,0
2013-12-04,307.0,337.0,307.0,336.0,9.45,28739.0,9545355.0,0
2013-12-05,336.0,369.0,336.0,355.0,5.65,37078.0,13377597.0,0
2013-12-08,355.0,365.0,350.0,360.0,1.41,54814.0,19516924.0,0
2013-12-09,360.0,361.0,352.0,361.0,0.28,18088.0,6480445.0,0
2013-12-10,361.0,360.0,351.0,355.0,-1.66,23291.0,8280574.0,0
2013-12-11,355.0,370.0,351.0,365.0,2.82,25732.0,9278448.0,0
2013-12-12,365.0,372.0,358.0,370.0,1.37,24316.0,8945819.0,0
2013-12-15,370.0,397.0,363.0,387.0,4.59,44716.0,16702891.0,0
2013-12-16,387.0,425.0,390.0,425.0,9.82,4060.0,1671270.0,0
2013-12-18,425.0,466.0,417.0,466.0,9.65,19071.0,8511318.0,0
2013-12-19,466.0,475.0,436.0,458.0,-1.72,30840.0,14068644.0,0
2013-12-22,460.0,459.0,439.0,446.0,-2.62,29438.0,13172486.0,0
2013-12-23,445.0,440.0,401.0,407.0,-8.74,24224.0,10118345.0,0
2013-12-24,407.0,420.0,367.0,402.0,-1.23,26733.0,10746676.0,0
2013-12-26,401.0,435.0,401.0,411.0,2.24,38063.0,15972322.0,0
2013-12-29,411.0,413.0,386.0,400.0,-2.68,50394.0,20090800.0,0
2013-12-31,400.0,399.0,390.0,399.0,-0.25,10016.0,3973638.0,0
2014-01-01,399.0,397.0,378.0,395.0,-1.00,10235.0,3964553.0,0
2014-01-02,395.0,400.0,380.0,395.0,0.0,9280.0,3617588.0,0
2014-01-05,395.0,409.0,390.0,395.0,0.0,11798.0,4657186.0,0
2014-01-06,395.0,395.0,389.0,395.0,0.0,8382.0,3284350.0,0
