published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-05,270.0,275.4,243.0,243.0,-10.0,69350.0,17162091.0,-1
2023-07-06,238.2,238.2,218.7,218.7,-10.0,26946.0,5897520.2,-1
2023-07-09,214.4,226.0,197.9,218.1,-0.27,263768.0,56751648.7,-1
2023-07-10,218.1,218.1,208.0,209.1,-4.13,82952.0,17562182.4,-1
2023-07-11,209.0,210.4,205.0,206.1,-1.43,46920.0,9671982.0,-1
2023-07-12,206.9,220.0,202.8,219.5,6.5,77758.0,16693950.6,1
2023-07-13,217.0,223.5,207.6,208.6,-4.97,76665.0,16292272.7,-1
2023-07-16,212.0,212.7,205.0,207.5,-0.53,44573.0,9268540.5,-1
2023-07-17,206.0,214.0,204.1,211.5,1.93,49975.0,10524173.0,1
2023-07-18,211.5,214.0,211.2,211.3,-0.09,41978.0,8887963.4,-1
2023-07-19,211.0,212.0,207.4,208.0,-1.56,38450.0,8032482.5,-1
2023-07-20,205.3,228.8,205.3,217.0,4.33,87926.0,19097545.0,1
2023-07-23,215.0,224.0,215.0,220.0,1.38,76728.0,16899575.9,1
2023-07-24,217.0,235.5,217.0,225.0,2.27,117096.0,26667845.4,1
2023-07-25,224.4,235.0,222.0,230.0,2.22,68437.0,15665306.1,1
2023-07-26,230.0,230.1,220.0,222.0,-3.48,63411.0,14278777.0,-1
2023-07-27,222.0,225.0,215.1,218.0,-1.8,52702.0,11469489.4,-1
2023-07-30,213.7,222.0,210.0,210.9,-3.26,37013.0,7868604.8,-1
2023-07-31,210.0,218.9,207.5,209.5,-0.66,55013.0,11646550.3,-1
2023-08-01,208.1,216.0,206.2,206.2,-1.58,42913.0,8956938.2,-1
2023-08-02,205.6,211.1,205.6,208.0,0.87,28714.0,5959641.4,1
2023-08-03,209.5,211.3,206.0,207.0,-0.48,41739.0,8687343.7,-1
2023-08-06,202.9,214.0,200.2,202.0,-2.42,41679.0,8482523.0,-1
2023-08-07,202.0,205.9,198.3,200.0,-0.99,51751.0,10381432.2,-1
2023-08-08,200.0,202.0,193.2,194.0,-3.0,38481.0,7558425.1,-1
2023-08-09,191.1,201.0,189.0,200.1,3.14,43607.0,8375456.1,1
2023-08-10,196.5,204.0,195.4,199.0,-0.55,42298.0,8387628.3,-1
2023-08-13,196.0,196.0,191.2,192.1,-3.47,37934.0,7351174.5,-1
2023-08-14,192.0,195.9,190.0,190.5,-0.83,30083.0,5742862.1,-1
2023-08-15,190.0,190.0,183.0,183.4,-3.73,44990.0,8350254.4,-1
2023-08-16,182.6,185.0,179.0,179.2,-2.29,22557.0,4071316.8,-1
2023-08-17,182.0,184.9,179.0,180.0,0.45,22438.0,4070909.4,1
2023-08-20,180.0,187.0,173.6,173.6,-3.56,21024.0,3693729.0,-1
2023-08-21,173.0,173.0,156.4,165.1,-4.9,58531.0,9773978.5,-1
2023-08-22,162.0,179.0,162.0,178.3,8.0,24115.0,4048118.0,1
2023-08-23,176.7,183.6,172.5,182.0,2.08,31189.0,5574213.7,1
2023-08-24,180.0,182.0,170.6,171.0,-6.04,34492.0,6048785.7,-1
2023-08-27,174.0,174.0,163.1,164.1,-4.04,29768.0,4953211.2,-1
2023-08-28,163.0,170.0,163.0,165.5,0.85,16631.0,2775997.0,1
2023-08-29,164.2,168.0,163.0,166.0,0.3,10508.0,1734143.0,1
2023-08-30,163.0,169.0,163.0,164.3,-1.02,14058.0,2331450.5,-1
2023-09-03,163.0,163.0,159.0,160.0,-2.62,26024.0,4169889.6,-1
2023-09-04,159.0,165.0,157.0,164.2,2.62,13404.0,2157052.5,1
2023-09-05,164.5,165.0,160.0,161.1,-1.89,8592.0,1390276.5,-1
2023-09-07,159.0,162.3,159.0,162.3,0.74,17335.0,2783337.7,1
2023-09-10,160.0,171.0,159.3,164.0,1.05,21435.0,3560568.0,1
2023-09-11,161.0,175.0,161.0,171.9,4.82,30653.0,5229397.6,1
2023-09-12,172.0,172.0,166.2,166.2,-3.32,17835.0,3006290.9,-1
2023-09-13,163.1,175.4,163.1,175.0,5.29,26141.0,4492833.8,1
2023-09-17,175.0,175.0,165.0,167.0,-4.57,26541.0,4460675.7,-1
2023-09-18,164.0,169.9,161.3,167.0,0.0,14326.0,2386695.2,0
2023-09-19,170.3,179.5,165.1,179.5,7.49,34798.0,6003078.9,1
2023-09-21,179.5,192.8,178.5,188.0,4.74,86981.0,16316891.9,1
2023-09-24,188.0,191.0,180.0,184.0,-2.13,58233.0,10777579.3,-1
2023-09-25,181.0,189.0,178.0,181.1,-1.58,30282.0,5539991.7,-1
2023-09-26,181.1,195.0,181.1,191.6,5.8,62508.0,11902947.7,1
2023-09-27,194.1,194.1,181.5,188.0,-1.88,64132.0,11922565.0,-1
2023-10-01,189.0,189.0,171.5,177.0,-5.85,58511.0,10481856.8,-1
2023-10-02,175.0,187.0,170.6,181.7,2.66,34890.0,6170774.5,1
2023-10-03,178.1,180.1,175.0,177.5,-2.31,19636.0,3484540.1,-1
2023-10-04,175.0,186.5,175.0,180.0,1.41,20286.0,3651648.8,1
2023-10-05,177.0,182.0,175.4,179.0,-0.56,20970.0,3732472.0,-1
2023-10-08,176.0,178.0,171.1,172.5,-3.63,31350.0,5428063.5,-1
2023-10-09,172.0,175.0,168.9,174.1,0.93,19490.0,3349933.3,1
2023-10-10,170.7,179.9,167.4,168.3,-3.33,22985.0,3909035.6,-1
2023-10-11,166.7,174.4,166.7,170.0,1.01,24426.0,4185344.9,1
2023-10-12,169.0,173.4,167.0,169.5,-0.29,29833.0,5029783.1,-1
2023-10-16,166.3,168.0,163.1,165.0,-2.65,24347.0,3996211.5,-1
2023-10-17,163.0,173.3,163.0,166.9,1.15,17010.0,2842343.3,1
