published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-13,141.0,155.1,141.0,155.1,10.0,460.0,67122.5,1
2023-04-16,158.2,170.6,158.2,170.6,9.99,490.0,83129.0,1
2023-04-17,174.0,187.6,174.0,187.6,9.96,313.0,58306.0,1
2023-04-18,186.0,206.3,186.0,206.3,9.97,10126.0,2088122.1,1
2023-04-19,210.4,226.9,210.4,226.9,9.99,1483.0,336037.6,1
2023-04-20,231.4,249.5,231.4,249.5,9.96,1839.0,458050.2,1
2023-04-23,254.4,274.4,239.8,254.0,1.8,120512.0,31195003.2,1
2023-04-24,259.0,259.0,235.5,239.0,-5.91,52538.0,12652746.9,-1
2023-04-25,235.0,251.7,235.0,246.0,2.93,20790.0,4997754.5,1
2023-04-26,241.3,251.5,237.0,250.0,1.63,17748.0,4373886.4,1
2023-04-27,246.0,246.5,241.5,242.8,-2.88,14715.0,3583453.9,-1
2023-04-30,238.3,241.0,230.0,232.0,-4.45,23631.0,5546600.2,-1
2023-05-02,232.0,234.6,222.3,225.0,-3.02,14972.0,3376360.9,-1
2023-05-03,225.0,225.0,218.0,220.0,-2.22,8519.0,1874551.6,-1
2023-05-04,217.0,229.5,217.0,227.9,3.59,8573.0,1912897.2,1
2023-05-07,232.4,232.4,216.5,219.0,-3.91,8520.0,1875068.9,-1
2023-05-08,214.8,220.0,212.0,213.5,-2.51,14386.0,3076228.0,-1
2023-05-09,212.0,224.0,211.0,216.0,1.17,8320.0,1802114.5,1
2023-05-10,220.0,220.0,214.1,218.0,0.93,4895.0,1056314.0,1
2023-05-11,222.3,235.0,213.0,216.0,-0.92,5733.0,1231192.8,-1
2023-05-14,220.0,220.0,209.2,210.9,-2.36,7205.0,1523539.5,-1
2023-05-15,207.0,212.0,206.0,210.0,-0.43,17348.0,3618753.3,-1
2023-05-16,205.8,213.0,205.8,210.0,0.0,5545.0,1163217.7,0
2023-05-17,206.0,215.0,206.0,213.9,1.86,8941.0,1893101.0,1
2023-05-18,212.5,228.9,210.5,224.0,4.72,28558.0,6365748.1,1
2023-05-21,227.9,232.0,217.8,220.1,-1.74,24657.0,5459296.4,-1
2023-05-22,215.7,225.0,212.1,222.0,0.86,12147.0,2683724.1,1
2023-05-23,218.0,234.1,218.0,234.1,5.45,37997.0,8669041.2,1
2023-05-24,235.0,236.0,226.4,230.0,-1.75,13414.0,3091280.0,-1
2023-05-28,230.0,234.0,225.0,225.4,-2.0,33586.0,7719546.1,-1
2023-05-30,221.1,223.3,213.0,215.3,-4.48,13389.0,2907774.0,-1
2023-05-31,212.0,218.0,209.0,210.0,-2.46,17134.0,3644680.4,-1
2023-06-01,210.1,217.5,209.0,217.0,3.33,9983.0,2129507.4,1
2023-06-04,213.0,228.0,211.0,225.0,3.69,16071.0,3574412.3,1
2023-06-05,220.7,229.5,217.0,219.0,-2.67,7931.0,1766711.1,-1
2023-06-06,215.4,228.0,215.4,226.0,3.2,12875.0,2866198.4,1
2023-06-07,230.0,240.7,226.0,236.0,4.42,50252.0,11863303.6,1
2023-06-08,231.5,244.0,231.5,238.0,0.85,22198.0,5292448.5,1
2023-06-11,234.0,246.6,234.0,246.0,3.36,29258.0,7122249.5,1
2023-06-12,250.9,255.0,236.9,242.9,-1.26,28687.0,6975130.8,-1
2023-06-13,238.2,249.7,235.7,248.0,2.1,29852.0,7269837.8,1
2023-06-14,243.1,250.9,234.5,235.5,-5.04,33273.0,8113869.7,-1
2023-06-15,231.1,240.0,231.1,238.0,1.06,26485.0,6239131.1,1
2023-06-18,234.0,246.8,230.0,246.8,3.7,34491.0,8353496.8,1
2023-06-19,251.7,251.7,237.7,239.0,-3.16,17448.0,4208778.4,-1
2023-06-20,243.0,243.7,233.8,236.0,-1.26,15302.0,3644715.5,-1
2023-06-21,239.9,239.9,226.4,228.1,-3.35,14961.0,3461347.3,-1
2023-06-22,225.0,230.4,221.9,226.0,-0.92,12510.0,2822655.0,-1
2023-06-25,226.0,229.5,213.5,229.5,1.55,38034.0,8345847.7,1
2023-06-26,225.3,241.0,217.6,217.6,-5.19,23371.0,5294052.4,-1
2023-06-27,214.0,227.4,214.0,223.0,2.48,14269.0,3184752.5,1
2023-06-28,223.0,227.0,216.0,220.5,-1.12,21048.0,4689329.4,-1
