published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-17,237.3,261.0,237.3,261.0,9.99,150.0,37642.1,1
2022-08-18,266.2,287.1,266.2,287.1,10.0,260.0,73872.6,1
2022-08-21,292.8,315.8,292.8,315.8,10.0,650.0,204702.0,1
2022-08-22,322.1,347.3,322.1,347.3,9.97,6530.0,2267250.0,1
2022-08-23,354.2,382.0,354.2,382.0,9.99,11400.0,4352674.0,1
2022-08-24,389.6,420.2,389.6,420.2,10.0,76612.0,30885464.8,1
2022-08-25,428.6,436.0,403.8,415.0,-1.24,26490.0,11161246.5,-1
2022-08-26,407.0,410.1,400.1,407.6,-1.78,7780.0,3167122.0,-1
2022-08-28,400.1,400.1,378.7,380.0,-6.77,23769.0,9208169.2,-1
2022-08-29,374.1,390.0,370.0,383.3,0.87,11390.0,4351223.0,1
2022-08-30,390.0,390.0,373.0,375.0,-2.17,4255.0,1621203.5,-1
2022-08-31,368.1,387.6,361.2,377.0,0.53,9980.0,3682766.6,1
2022-09-01,379.0,390.0,362.3,388.0,2.92,12030.0,4521718.0,1
2022-09-02,388.0,399.0,381.0,393.0,1.29,7310.0,2853173.0,1
2022-09-04,386.1,407.0,386.1,400.0,1.78,12667.0,5002067.1,1
2022-09-05,394.0,416.0,392.0,392.3,-1.93,14357.0,5683397.0,-1
2022-09-06,386.0,400.0,386.0,400.0,1.96,10888.0,4267258.0,1
2022-09-07,392.3,398.0,388.0,398.0,-0.5,5436.0,2132130.1,-1
2022-09-08,393.0,408.8,390.2,400.0,0.5,10950.0,4390482.8,1
2022-09-11,393.1,402.0,392.6,393.0,-1.75,11457.0,4545569.8,-1
2022-09-12,386.0,395.0,383.3,383.3,-2.47,12660.0,4912634.9,-1
2022-09-13,383.3,394.9,378.8,394.9,3.03,3740.0,1461884.0,1
2022-09-14,400.0,404.0,387.1,402.0,1.8,11227.0,4473641.0,1
2022-09-15,410.0,410.0,377.0,389.9,-3.01,9427.0,3615878.6,-1
2022-09-16,382.2,384.9,370.0,384.9,-1.28,5590.0,2112173.5,-1
2022-09-18,378.0,379.9,366.0,374.7,-2.65,5330.0,1987421.7,-1
2022-09-20,368.0,380.0,358.2,363.0,-3.12,5377.0,1951324.0,-1
2022-09-21,356.0,377.1,356.0,369.0,1.65,2920.0,1066489.0,1
2022-09-22,361.7,383.8,355.2,358.0,-2.98,4700.0,1694231.0,-1
2022-09-25,351.0,352.1,338.8,339.0,-5.31,4236.0,1460666.9,-1
2022-09-27,345.0,355.9,338.1,342.5,1.03,1215.0,419805.0,1
