published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-05-12,91.00,91.00,88.00,88.00,-4.35,200.00,17890.00,-1
2019-05-13,89.00,93.00,89.00,93.00,5.68,730.00,65870.00,1
2019-05-14,94.00,94.00,90.00,90.00,-3.23,300.00,27560.00,-1
2019-05-15,86.00,89.00,86.00,89.00,-1.11,550.00,48560.00,-1
2019-05-16,90.00,92.00,90.00,92.00,3.37,360.00,32660.00,1
2019-05-19,88.00,94.00,88.00,94.00,2.17,660.00,60860.00,1
2019-05-20,95.00,98.00,92.00,97.00,3.19,1540.00,146380.00,1
2019-05-21,96.00,100.00,96.00,99.00,2.06,1270.00,124620.00,1
2019-05-22,100.00,108.00,100.00,104.00,5.05,18720.00,2013140.00,1
2019-05-23,106.00,109.00,97.00,99.00,-4.81,5440.00,555350.00,-1
2019-05-26,100.00,105.00,100.00,102.00,3.03,5630.00,574920.00,1
2019-05-27,100.00,107.00,99.00,105.00,2.94,1040.00,104560.00,1
2019-05-28,102.00,102.00,98.00,98.00,-6.67,2200.00,216430.00,-1
2019-05-29,99.00,107.00,99.00,105.00,7.14,7770.00,817510.00,1
2019-05-30,107.00,113.00,104.00,104.00,-0.95,4820.00,518950.00,-1
2019-06-02,102.00,112.00,102.00,110.00,5.77,790.00,83530.00,1
2019-06-03,108.00,108.00,102.00,104.00,-5.45,1850.00,195990.00,-1
2019-06-04,103.00,104.00,101.00,104.00,0.00,1510.00,153900.00,0
2019-06-06,103.00,103.00,100.00,100.00,-3.85,2140.00,217520.00,-1
2019-06-10,102.00,103.00,100.00,100.00,0.00,860.00,86770.00,0
2019-06-11,102.00,108.00,101.00,107.00,7.00,5228.00,551246.00,1
2019-06-12,107.00,107.00,104.00,104.00,-2.80,1310.00,137420.00,-1
2019-06-13,102.00,108.00,102.00,103.00,-0.96,2250.00,236560.00,-1
2019-06-16,105.00,105.00,100.00,100.00,-2.91,4750.00,479340.00,-1
2019-06-17,102.00,102.00,101.00,101.00,1.00,1000.00,101770.00,1
2019-06-18,102.00,107.00,101.00,105.00,3.96,3310.00,345210.00,1
2019-06-19,103.00,107.00,103.00,106.00,0.95,3290.00,346550.00,1
2019-06-20,104.00,109.00,102.00,107.00,0.94,2080.00,222040.00,1
2019-06-23,105.00,109.00,105.00,105.00,-1.87,4250.00,452130.00,-1
