published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-14,178.8,196.6,178.8,196.6,9.96,940.0,183206.8,1
2023-12-17,200.0,216.2,200.0,216.2,9.97,1474.0,317608.1,1
2023-12-18,220.5,237.8,220.5,237.8,9.99,1220.0,289477.4,1
2023-12-19,242.5,261.5,242.5,261.5,9.97,1030.0,268600.1,1
2023-12-20,266.7,287.6,266.7,287.6,9.98,1040.0,298590.0,1
2023-12-21,288.1,316.3,288.1,316.3,9.98,1630.0,514277.5,1
2023-12-24,322.6,347.9,322.6,347.9,9.99,2449.0,851320.1,1
2023-12-27,354.8,382.6,354.8,382.6,9.97,2530.0,967249.0,1
2023-12-28,390.0,420.8,390.0,420.8,9.98,3870.0,1627262.0,1
2024-01-01,429.2,462.8,429.2,462.8,9.98,3530.0,1631380.4,1
2024-01-02,472.0,509.0,472.0,509.0,9.98,4220.0,2147069.0,1
2024-01-03,519.1,559.9,519.1,559.9,10.0,4320.0,2417760.0,1
2024-01-04,571.0,615.8,571.0,615.8,9.98,6280.0,3864783.8,1
2024-01-07,628.1,677.3,628.1,677.3,9.99,3461.0,2342300.3,1
2024-01-08,690.0,745.0,690.0,745.0,10.0,3430.0,2552337.0,1
2024-01-09,759.9,819.5,759.9,819.5,10.0,4511.0,3695028.6,1
2024-01-10,835.0,901.4,835.0,901.4,9.99,3432.0,3091635.8,1
2024-01-11,910.0,991.5,910.0,991.5,10.0,5770.0,5718412.3,1
2024-01-14,1011.3,1090.6,1011.3,1090.6,9.99,4820.0,5253243.0,1
2024-01-16,1112.4,1199.6,1112.4,1199.6,9.99,4820.0,5777076.1,1
2024-01-17,1199.6,1319.5,1080.0,1080.2,-9.95,211930.0,245027850.8,-1
2024-01-18,1100.0,1100.1,1010.0,1066.0,-1.31,82176.0,86440951.9,-1
2024-01-21,1064.0,1112.0,1021.0,1065.0,-0.09,43187.0,45894906.6,-1
2024-01-22,1046.0,1079.0,1020.0,1040.0,-2.35,38398.0,40345211.9,-1
2024-01-23,1026.0,1060.8,1026.0,1035.0,-0.48,32425.0,33879916.0,-1
2024-01-24,1023.0,1055.7,1015.0,1020.0,-1.45,17945.0,18476761.3,-1
2024-01-25,1015.0,1025.0,973.3,990.0,-2.94,34647.0,34493429.6,-1
2024-01-28,977.0,1000.0,955.9,969.0,-2.12,26989.0,26158633.7,-1
2024-01-29,967.1,985.0,946.0,947.2,-2.25,23030.0,22122661.0,-1
2024-01-30,940.0,987.3,940.0,984.8,3.97,17107.0,16690491.4,1
2024-01-31,991.6,998.0,945.0,952.0,-3.33,31185.0,29838461.0,-1
2024-02-01,940.0,964.4,927.0,935.0,-1.79,14994.0,14100344.5,-1
2024-02-04,931.0,940.0,915.0,930.0,-0.53,16689.0,15418770.0,-1
2024-02-05,914.0,953.0,914.0,923.0,-0.75,11925.0,11101219.0,-1
2024-02-06,920.5,960.0,920.0,940.0,1.84,13720.0,12975356.0,1
2024-02-07,942.0,960.0,940.0,941.0,0.11,5035.0,4766357.0,1
2024-02-08,934.1,975.0,934.0,974.0,3.51,14010.0,13418402.5,1
2024-02-11,985.0,1008.0,985.0,986.5,1.28,25964.0,25795378.9,1
2024-02-12,980.0,996.0,971.3,990.0,0.35,12897.0,12700795.6,1
2024-02-13,970.2,980.0,942.0,944.1,-4.64,16471.0,15835765.3,-1
2024-02-14,934.0,964.9,928.1,961.0,1.79,11680.0,11023940.1,1
2024-02-15,943.0,975.0,943.0,947.3,-1.43,7444.0,7127419.0,-1
