published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-22,265.5,292.0,265.5,292.0,9.98,680.0,195156.4,1
2023-03-23,297.8,321.2,297.8,321.2,10.0,6317.0,2028370.0,1
2023-03-26,327.6,353.3,327.6,353.3,9.99,8740.0,3086311.0,1
2023-03-27,360.3,367.5,327.3,340.0,-3.76,97727.0,32904101.9,-1
2023-03-28,340.0,347.0,331.1,342.0,0.59,34239.0,11599111.0,1
2023-03-29,347.0,347.0,330.3,337.0,-1.46,24389.0,8118576.2,-1
2023-03-30,343.7,343.7,324.0,332.0,-1.48,31298.0,10269025.8,-1
2023-04-02,336.0,336.0,307.8,312.0,-6.02,35279.0,11198850.0,-1
2023-04-03,307.0,307.1,293.1,297.0,-4.81,34267.0,10202746.7,-1
2023-04-04,293.0,300.0,289.2,298.9,0.64,16077.0,4770557.5,1
2023-04-05,293.0,305.1,290.0,298.0,-0.3,8585.0,2557499.0,-1
2023-04-06,298.0,300.0,292.2,293.9,-1.38,10773.0,3176748.6,-1
2023-04-09,289.0,290.0,275.6,275.6,-6.23,20584.0,5779699.9,-1
2023-04-10,271.6,282.6,271.2,279.0,1.23,11394.0,3149455.5,1
2023-04-11,275.0,304.0,274.6,280.5,0.54,10110.0,2835702.5,1
2023-04-12,281.1,308.5,281.1,305.0,8.73,21164.0,6341022.7,1
2023-04-13,311.1,316.0,292.0,292.2,-4.2,20822.0,6236260.2,-1
2023-04-16,290.0,302.9,287.2,297.9,1.95,14280.0,4186000.5,1
2023-04-17,292.0,296.0,285.6,288.9,-3.02,9551.0,2773049.1,-1
2023-04-18,294.6,294.6,278.2,291.0,0.73,8861.0,2545623.0,1
2023-04-19,285.3,295.0,285.0,295.0,1.37,8620.0,2493899.0,1
2023-04-20,290.1,295.0,284.4,284.5,-3.56,6531.0,1874806.5,-1
2023-04-23,284.0,284.0,274.4,275.0,-3.34,6952.0,1925290.8,-1
2023-04-24,270.0,281.5,270.0,275.3,0.11,5315.0,1460030.7,1
2023-04-25,270.1,280.5,270.0,279.0,1.34,10429.0,2842676.0,1
2023-04-26,275.0,281.0,272.0,272.5,-2.33,7107.0,1956300.0,-1
2023-04-27,268.1,274.0,268.1,273.5,0.37,5596.0,1514193.3,1
2023-04-30,268.4,273.0,261.2,261.3,-4.46,9439.0,2504664.1,-1
2023-05-02,261.0,263.0,251.9,255.0,-2.41,6600.0,1688192.0,-1
2023-05-03,250.3,260.0,250.3,260.0,1.96,4928.0,1255235.5,1
2023-05-04,260.0,268.0,251.2,268.0,3.08,8253.0,2121458.3,1
2023-05-07,263.0,263.0,251.3,256.0,-4.48,4850.0,1230959.5,-1
2023-05-08,253.0,253.0,237.2,245.0,-4.3,9444.0,2315318.7,-1
2023-05-09,245.0,255.0,237.2,249.0,1.63,4036.0,987735.1,1
2023-05-10,244.3,245.0,240.1,243.0,-2.41,2265.0,550007.5,-1
