published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2014-06-26,100.0,376.0,376.0,376.0,0.0,123.0,46248.0,0
2014-07-03,376.0,386.0,383.0,386.0,0.0,49.0,18875.0,0
2014-07-17,386.0,386.0,386.0,386.0,0.0,20.0,7720.0,0
2014-07-23,386.0,393.0,393.0,393.0,0.0,10.0,3930.0,0
2014-08-06,393.0,400.0,400.0,400.0,0.0,10.0,4000.0,0
2014-08-18,400.0,416.0,408.0,416.0,0.0,20.0,8240.0,0
2014-08-21,416.0,441.0,425.0,441.0,0.0,30.0,12990.0,0
2014-08-24,441.0,457.0,449.0,457.0,0.0,20.0,9060.0,0
2014-08-28,457.0,466.0,466.0,466.0,0.0,38.0,17708.0,0
2014-08-31,466.0,484.0,475.0,484.0,0.0,20.0,9590.0,0
2014-09-07,484.0,508.0,508.0,508.0,0.0,10.0,5080.0,0
2014-09-09,508.0,518.0,518.0,518.0,0.0,10.0,5180.0,0
2014-09-10,518.0,569.0,543.0,569.0,0.0,50.0,27930.0,0
2014-09-11,569.0,597.0,597.0,597.0,0.0,10.0,5970.0,0
2014-09-14,597.0,638.0,626.0,638.0,0.0,20.0,12640.0,0
2014-09-15,638.0,663.0,650.0,663.0,0.0,20.0,13130.0,0
2014-09-16,663.0,729.0,696.0,729.0,0.0,40.0,28570.0,0
2014-09-17,729.0,801.0,743.0,801.0,0.0,412.0,321619.0,0
2014-09-18,801.0,881.0,817.0,881.0,0.0,183.0,159623.0,0
2014-09-21,881.0,969.0,898.0,969.0,0.0,681.0,657775.0,0
2014-09-22,969.0,1007.0,873.0,873.0,0.0,2189.0,2018420.0,0
2014-09-23,873.0,856.0,801.0,805.0,0.0,959.0,774875.0,0
2014-09-24,805.0,821.0,801.0,805.0,0.0,262.0,213082.0,0
2014-09-28,805.0,805.0,777.0,790.0,0.0,288.0,227711.0,0
2014-09-29,790.0,848.0,792.0,848.0,0.0,246.0,197872.0,0
2014-09-30,848.0,864.0,840.0,845.0,0.0,519.0,437835.0,0
2014-10-08,845.0,840.0,840.0,840.0,0.0,20.0,16800.0,0
2014-10-09,840.0,856.0,840.0,845.0,0.0,94.0,80045.0,0
2014-10-12,845.0,877.0,844.0,844.0,0.0,203.0,176750.0,0
2014-10-13,844.0,860.0,844.0,854.0,0.0,266.0,226978.0,0
2014-10-14,854.0,840.0,824.0,830.0,0.0,130.0,107700.0,0
2014-10-15,830.0,841.0,820.0,830.0,0.0,113.0,94015.0,0
2014-10-16,830.0,855.0,835.0,851.0,0.0,273.0,231780.0,0
2014-10-19,851.0,860.0,850.0,850.0,0.0,124.0,105710.0,0
2014-10-20,850.0,850.0,800.0,800.0,0.0,278.0,233921.0,0
2014-10-21,800.0,816.0,801.0,803.0,0.0,208.0,167584.0,0
2014-10-22,803.0,805.0,800.0,805.0,0.0,94.0,75420.0,0
2014-10-26,805.0,885.0,800.0,885.0,0.0,89.0,75809.0,0
2014-10-27,885.0,918.0,890.0,918.0,0.0,123.0,111435.0,0
2014-10-28,918.0,905.0,888.0,905.0,0.0,264.0,238272.0,0
