published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-02-07,234.0,234.0,228.0,232.0,nan,2431.0,561658.0,0
2017-02-08,232.0,245.0,231.0,245.0,5.60,11204.0,2677240.0,0
2017-02-09,245.0,251.0,231.0,240.0,-2.04,24264.0,5935777.0,0
2017-02-12,240.0,236.0,220.0,221.0,-7.92,12830.0,2917919.0,0
2017-02-13,221.0,232.0,201.0,228.0,3.17,9848.0,2115086.0,0
2017-02-14,228.0,232.0,220.0,224.0,-1.75,10215.0,2282080.0,0
2017-02-15,224.0,238.0,227.0,236.0,5.36,9269.0,2150816.0,0
2017-02-16,236.0,244.0,230.0,240.0,1.69,11339.0,2685708.0,0
2017-02-19,240.0,242.0,234.0,240.0,0.0,7194.0,1716756.0,0
2017-02-20,240.0,244.0,233.0,235.0,-2.08,6048.0,1428920.0,0
2017-02-21,235.0,246.0,235.0,235.0,0.0,11285.0,2681062.0,0
2017-02-22,235.0,252.0,232.0,251.0,6.81,23669.0,5755121.0,0
2017-02-23,251.0,271.0,252.0,260.0,3.59,42316.0,11105650.0,0
2017-02-26,260.0,265.0,250.0,259.0,-0.38,19321.0,4991220.0,0
2017-02-28,259.0,261.0,246.0,248.0,-4.25,310966.0,79035544.0,0
2017-03-01,248.0,259.0,245.0,250.0,0.81,7707.0,1952847.0,0
2017-03-02,250.0,258.0,250.0,250.0,0.0,13144.0,3315121.0,0
2017-03-05,250.0,261.0,253.0,256.0,2.40,7909.0,2040226.0,0
2017-03-06,256.0,256.0,248.0,249.0,-2.73,5126.0,1298405.0,0
2017-03-07,249.0,253.0,251.0,251.0,0.80,194.0,48994.0,0
2017-03-09,251.0,248.0,248.0,248.0,-1.20,122.0,30256.0,0
2017-03-13,248.0,248.0,238.0,240.0,-3.23,9135.0,2204194.0,0
2017-03-14,240.0,240.0,226.0,228.0,-5.00,19713.0,4550078.0,0
2017-08-13,219.0,240.0,223.0,240.0,5.26,192.0,45608.0,0
2017-08-15,240.0,264.0,244.0,264.0,10.00,112861.0,29763836.0,0
