published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-29,1000.0,1061.2,1000.0,1061.2,6.12,100.0,103040.0,1
2024-04-30,1082.4,1082.4,1082.4,1082.4,2.0,50.0,54120.0,1
2024-05-06,1104.0,1104.0,1104.0,1104.0,2.0,25.0,27600.0,1
2024-05-07,1105.7,1105.7,1105.0,1105.0,0.09,100.0,110517.5,1
2024-05-13,1092.7,1095.0,1092.7,1095.0,-0.9,125.0,136760.0,-1
2024-05-16,1100.1,1100.1,1100.1,1100.1,0.47,25.0,27502.5,1
2024-05-19,1095.0,1095.0,1095.0,1095.0,-0.46,55.0,60225.0,-1
2024-05-20,1116.9,1139.0,1116.0,1139.0,4.02,250.0,281186.0,1
2024-05-21,1120.0,1120.0,1116.3,1116.3,-1.99,65.0,72744.5,-1
2024-05-26,1110.0,1110.0,1110.0,1110.0,-0.56,100.0,111000.0,-1
2024-06-09,1090.1,1090.1,1090.0,1090.0,-1.8,50.0,54502.5,-1
2024-06-10,1075.0,1075.0,1075.0,1075.0,-1.38,25.0,26875.0,-1
2024-06-24,1079.0,1079.0,1079.0,1079.0,0.37,50.0,53950.0,1
2024-06-27,1100.5,1144.0,1100.0,1144.0,6.02,100.0,112102.5,1
2024-07-01,1123.0,1123.0,1123.0,1123.0,-1.84,25.0,28075.0,-1
2024-07-04,1123.0,1123.0,1123.0,1123.0,0.0,25.0,28075.0,0
2024-07-07,1130.0,1145.4,1130.0,1145.4,1.99,425.0,485245.0,1
2024-07-08,1145.4,1145.4,1145.4,1145.4,0.0,50.0,57270.0,0
2024-07-09,1123.0,1123.0,1123.0,1123.0,-1.96,25.0,28075.0,-1
2024-07-10,1145.4,1145.4,1145.4,1145.4,1.99,75.0,85905.0,1
2024-07-11,1145.4,1145.4,1145.4,1145.4,0.0,390.0,446706.0,0
2024-07-15,1125.0,1125.0,1125.0,1125.0,-1.78,30.0,33750.0,-1
2024-07-16,1120.9,1120.9,1120.9,1120.9,-0.36,25.0,28022.5,-1
2024-07-18,1100.1,1100.1,1100.1,1100.1,-1.86,25.0,27502.5,-1
2024-07-22,1080.1,1080.1,1080.1,1080.1,-1.82,25.0,27002.5,-1
2024-07-24,1058.6,1058.6,1058.6,1058.6,-1.99,25.0,26465.0,-1
2024-07-25,1058.6,1058.6,1058.6,1058.6,0.0,1.0,1079.7,0
2024-07-28,1095.0,1095.0,1095.0,1095.0,3.44,25.0,27375.0,1
2024-07-30,1116.9,1116.9,1116.9,1116.9,2.0,11.0,12308.1,1
2024-07-31,1139.19,1139.19,1139.19,1139.19,0.0,2.0,2346.49,0
2024-08-01,1183.8,1183.8,1183.8,1183.8,3.92,11.0,13045.9,1
2024-08-05,1160.2,1160.2,1137.0,1137.0,-3.95,173.0,199021.0,-1
2024-08-07,1130.0,1130.0,1130.0,1130.0,-1.5,26.0,29370.0,-1
2024-08-12,1130.0,1130.0,1110.0,1110.0,-0.89,85.0,94850.0,-1
2024-08-13,1120.0,1120.0,1120.0,1120.0,0.9,100.0,112000.0,1
2024-08-15,1111.0,1125.0,1111.0,1125.0,0.45,70.0,78400.0,1
2024-08-25,1130.0,1130.0,1130.0,1130.0,0.44,25.0,28250.0,1
2024-09-04,1152.6,1152.6,1152.6,1152.6,2.0,25.0,28815.0,1
2024-09-09,1151.0,1151.0,1151.0,1151.0,-0.14,25.0,28775.0,-1
