published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-11-20,288.4,299.9,259.6,259.6,-9.99,31379.0,8284345.7,-1
2023-11-21,254.5,254.5,233.7,233.8,-9.94,27890.0,6713779.0,-1
2023-11-22,229.2,257.1,225.0,257.0,9.92,22578.0,5512824.0,1
2023-11-23,252.0,270.0,247.0,258.5,0.58,20520.0,5312029.0,1
2023-11-26,254.0,263.0,244.1,254.9,-1.39,30077.0,7745314.9,-1
2023-11-27,254.9,275.0,250.1,274.0,7.49,41342.0,11073847.7,1
2023-11-28,269.0,284.0,267.7,284.0,3.65,25969.0,7152222.0,1
2023-11-29,279.2,286.2,275.9,280.0,-1.41,21359.0,6023222.2,-1
2023-11-30,275.0,281.0,266.3,279.0,-0.36,19130.0,5249216.0,-1
2023-12-03,282.5,282.5,267.3,275.5,-1.25,11169.0,3024794.0,-1
2023-12-04,271.0,282.5,271.0,280.0,1.63,27938.0,7770142.0,1
2023-12-05,276.2,285.0,276.2,281.0,0.36,11359.0,3166397.7,1
2023-12-06,275.5,280.0,275.5,279.9,-0.39,6695.0,1859199.0,-1
2023-12-07,274.4,280.8,270.4,273.9,-2.14,10464.0,2890622.2,-1
2023-12-10,278.0,300.0,278.0,300.0,9.53,1090.0,316425.0,1
2023-12-11,306.0,306.0,283.0,293.0,-2.33,22849.0,6596601.0,-1
2023-12-12,288.0,306.0,283.1,296.9,1.33,19737.0,5862480.4,1
2023-12-13,292.0,305.1,292.0,300.0,1.04,24639.0,7402336.6,1
2023-12-14,294.0,330.0,291.4,328.0,9.33,25585.0,7979371.3,1
2023-12-17,321.5,350.0,308.9,342.0,4.27,18918.0,6250961.5,1
2023-12-18,335.2,348.8,325.7,347.0,1.46,19375.0,6425538.0,1
2023-12-19,340.1,340.1,320.1,330.0,-4.9,22170.0,7231114.2,-1
2023-12-20,330.0,330.0,314.2,318.0,-3.64,29531.0,9492674.5,-1
2023-12-21,320.0,339.0,311.8,328.0,3.14,30996.0,9950535.9,1
2023-12-24,333.0,360.8,331.7,355.0,8.23,66828.0,23805795.3,1
2023-12-27,351.0,390.0,351.0,366.5,3.24,30497.0,11480048.7,1
2023-12-28,366.0,369.0,354.0,361.8,-1.28,18434.0,6634955.7,-1
2024-01-01,360.0,365.0,339.0,340.0,-6.03,29543.0,10414443.8,-1
2024-01-02,335.0,339.0,323.2,329.5,-3.09,21885.0,7231635.0,-1
2024-01-03,325.0,343.0,323.4,343.0,4.1,11460.0,3866478.0,1
2024-01-04,340.0,369.0,340.0,350.0,2.04,21250.0,7584619.7,1
2024-01-07,344.4,385.0,344.2,384.0,9.71,46818.0,16843468.3,1
2024-01-08,376.4,407.9,357.0,394.0,2.6,19742.0,7623127.0,1
2024-01-09,394.0,408.9,375.6,377.0,-4.31,16245.0,6314862.5,-1
2024-01-10,377.0,399.0,366.0,397.0,5.31,21558.0,8107745.1,1
2024-01-11,389.1,420.0,373.1,401.0,1.01,30667.0,12253714.8,1
2024-01-14,401.0,441.1,400.0,441.1,10.0,61268.0,26142736.8,1
2024-01-16,449.9,459.0,431.4,437.0,-0.93,19810.0,8829905.0,-1
2024-01-17,429.0,453.0,408.5,408.5,-6.52,30483.0,12967014.0,-1
2024-01-18,400.4,432.0,400.4,427.3,4.6,37921.0,15910945.3,1
2024-01-21,421.0,427.0,408.0,411.0,-3.81,19183.0,8015984.0,-1
2024-01-22,403.0,425.0,395.0,410.9,-0.02,17159.0,6954453.5,-1
2024-01-23,410.0,421.0,403.0,413.0,0.51,26890.0,11111642.0,1
2024-01-24,406.0,415.0,398.0,402.0,-2.66,6915.0,2798361.0,-1
2024-01-25,394.1,417.0,390.2,401.0,-0.25,8605.0,3438454.0,-1
2024-01-28,409.0,441.1,409.0,441.1,10.0,81541.0,35178892.0,1
2024-01-29,441.1,449.9,433.0,436.0,-1.16,22351.0,9851141.2,-1
2024-01-30,435.0,450.0,428.1,440.0,0.92,20153.0,8871110.0,1
2024-01-31,435.0,439.0,416.0,420.0,-4.55,22973.0,9760887.6,-1
2024-02-01,420.0,428.0,401.1,418.0,-0.48,18809.0,7700824.9,-1
2024-02-04,409.7,423.3,400.0,423.3,1.27,17280.0,7162303.5,1
2024-02-05,415.0,423.5,412.1,422.0,-0.31,7486.0,3118587.6,-1
2024-02-06,414.0,428.0,414.0,426.9,1.16,23078.0,9715847.7,1
2024-02-07,425.0,430.0,419.2,430.0,0.73,12460.0,5285241.3,1
2024-02-08,425.0,436.0,420.0,430.0,0.0,13447.0,5758427.0,0
2024-02-11,424.0,448.0,414.6,427.0,-0.7,17958.0,7649001.1,-1
2024-02-12,421.3,450.0,421.3,439.9,3.02,30821.0,13438705.3,1
2024-02-13,432.0,468.1,424.1,442.0,0.48,81555.0,36686034.6,1
2024-02-14,450.0,456.8,434.0,454.9,2.92,28005.0,12484567.0,1
2024-02-15,463.6,478.0,441.1,462.0,1.56,46244.0,21358262.0,1
2024-02-18,471.0,471.0,434.6,444.5,-3.79,43249.0,19129178.6,-1
2024-02-20,435.7,445.0,433.1,440.0,-1.01,15476.0,6776682.5,-1
2024-02-21,446.8,455.0,425.0,438.0,-0.45,17745.0,7668453.0,-1
2024-02-22,429.4,438.8,410.2,436.0,-0.46,15858.0,6710033.1,-1
2024-02-25,436.0,438.8,414.0,424.0,-2.75,13360.0,5618588.0,-1
2024-02-26,415.6,430.0,408.1,426.0,0.47,10588.0,4404601.2,1
2024-02-27,419.0,434.0,414.4,433.0,1.64,25385.0,10755666.2,1
2024-02-28,425.0,433.1,410.7,420.0,-3.0,6795.0,2819121.1,-1
2024-02-29,413.0,420.0,395.0,420.0,0.0,12946.0,5229051.5,0
2024-03-03,411.6,425.0,391.0,398.0,-5.24,13813.0,5612996.0,-1
2024-03-04,405.0,437.0,405.0,437.0,9.8,1160.0,497568.0,1
2024-03-05,445.7,445.7,411.3,416.9,-4.6,31612.0,13211965.3,-1
2024-03-06,408.6,425.0,402.5,413.0,-0.94,8897.0,3661037.7,-1
2024-03-07,410.0,421.0,407.4,416.6,0.87,12520.0,5168053.9,1
2024-03-10,423.9,423.9,411.7,419.0,0.58,3514.0,1465128.0,1
2024-03-12,415.0,423.9,414.2,421.0,0.48,10380.0,4356170.5,1
2024-03-13,414.0,432.0,412.7,424.5,0.83,21098.0,8871181.7,1
2024-03-14,420.1,436.4,420.1,429.0,1.06,48521.0,20761416.7,1
2024-03-17,430.0,447.7,430.0,440.0,2.56,66905.0,29361176.9,1
2024-03-18,448.7,448.7,434.0,441.0,0.23,31609.0,13885975.8,1
2024-03-19,449.8,449.8,432.3,432.5,-1.93,20748.0,9065303.3,-1
2024-03-20,430.0,436.4,422.0,427.0,-1.27,22734.0,9772812.0,-1
2024-03-21,428.0,428.0,419.0,419.5,-1.76,12615.0,5315037.0,-1
2024-03-25,419.5,419.5,407.0,414.9,-1.1,14117.0,5842318.0,-1
2024-03-26,408.1,428.5,408.1,422.0,1.71,21705.0,9175682.0,1
2024-03-27,420.0,428.5,415.1,416.7,-1.26,6270.0,2630045.0,-1
2024-03-28,409.5,428.3,409.5,420.0,0.79,14045.0,5960964.8,1
2024-03-31,415.0,428.0,411.0,420.0,0.0,8830.0,3711100.0,0
2024-04-01,415.0,425.0,415.0,425.0,1.19,7932.0,3334853.2,1
2024-04-02,426.5,426.5,416.1,419.9,-1.2,3078.0,1286824.8,-1
2024-04-03,412.1,426.0,410.3,414.0,-1.41,9006.0,3712167.6,-1
2024-04-04,408.3,420.0,408.3,417.8,0.92,8564.0,3550487.4,1
2024-04-07,426.1,426.1,395.0,413.8,-0.96,4515.0,1849009.0,-1
2024-04-09,406.0,420.2,403.0,408.0,-1.4,21845.0,8974354.5,-1
2024-04-10,404.2,418.0,404.2,410.0,0.49,25176.0,10351766.1,1
2024-04-14,401.8,419.0,401.8,407.0,-0.73,7565.0,3114762.0,-1
2024-04-15,405.8,412.9,403.0,403.0,-0.98,13207.0,5364867.6,-1
2024-04-16,402.8,410.0,399.4,410.0,1.74,7315.0,2954807.0,1
2024-04-18,408.0,418.0,403.0,416.0,1.46,7777.0,3172008.7,1
2024-04-21,407.7,418.5,401.1,416.0,0.0,7380.0,3038858.0,0
2024-04-22,424.3,428.4,408.0,414.6,-0.34,26553.0,11185850.1,-1
2024-04-24,406.4,426.9,406.4,418.0,0.82,8010.0,3345813.0,1
2024-04-25,411.0,426.0,411.0,417.0,-0.24,7799.0,3241427.9,-1
2024-04-28,409.0,418.2,407.0,418.2,0.29,12822.0,5279072.2,1
2024-04-29,409.9,420.0,409.9,418.9,0.17,13183.0,5462576.0,1
2024-04-30,411.3,426.0,405.1,419.8,0.21,17977.0,7463950.3,1
2024-05-02,428.1,428.1,410.0,417.0,-0.67,13665.0,5710245.0,-1
2024-05-05,409.0,419.2,406.3,416.9,-0.02,20313.0,8357318.4,-1
2024-05-06,408.6,414.0,408.1,410.5,-1.54,4995.0,2046291.0,-1
2024-05-07,404.1,415.9,404.1,410.0,-0.12,7825.0,3197963.5,-1
2024-05-08,405.9,439.0,405.9,439.0,7.07,39839.0,17065366.8,1
2024-05-09,430.3,457.8,430.3,456.9,4.08,48791.0,21943774.5,1
2024-05-12,456.9,459.0,428.0,449.0,-1.73,64009.0,28606482.7,-1
2024-05-13,454.0,454.0,438.0,448.9,-0.02,22150.0,9830132.5,-1
2024-05-14,440.0,457.0,432.0,450.0,0.25,28256.0,12730171.8,1
2024-05-15,459.0,459.0,435.0,447.0,-0.67,14692.0,6529832.8,-1
2024-05-16,453.9,453.9,429.6,438.0,-2.01,12070.0,5252497.0,-1
2024-05-19,440.0,446.7,427.1,432.2,-1.32,14735.0,6416199.4,-1
2024-05-20,432.2,464.0,432.2,440.0,1.8,21128.0,9320002.8,1
2024-05-21,448.1,450.0,431.3,446.8,1.55,36388.0,16101006.5,1
2024-05-22,440.0,450.0,430.0,438.6,-1.84,9170.0,4019969.5,-1
2024-05-26,447.3,447.3,421.7,426.0,-2.87,8495.0,3610407.0,-1
2024-05-27,426.0,440.0,425.9,434.6,2.02,3858.0,1662901.4,1
2024-05-29,443.0,443.2,414.0,434.9,0.07,8686.0,3702165.0,1
2024-05-30,427.0,440.0,418.0,426.9,-1.84,12898.0,5506968.1,-1
2024-06-02,421.5,446.0,421.5,437.0,2.37,28150.0,12283372.1,1
2024-06-03,445.0,447.0,437.1,439.2,0.5,29675.0,13095849.6,1
2024-06-04,445.0,475.0,445.0,470.0,7.01,128790.0,59353946.9,1
2024-06-05,479.4,498.0,456.0,485.0,3.19,72970.0,34125668.3,1
2024-06-06,476.0,493.0,470.4,488.0,0.62,50375.0,24185952.1,1
2024-06-09,488.0,497.0,480.0,489.0,0.2,64639.0,31502401.8,1
