published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-12-27,148.0,148.0,146.0,146.0,nan,380.0,55700.0,0
2011-12-28,146.0,144.0,141.0,142.0,-2.74,670.0,95300.0,0
2011-12-29,142.0,144.0,143.0,144.0,1.41,1510.0,217330.0,0
2012-01-01,144.0,150.0,146.0,146.0,1.39,1820.0,268890.0,0
2012-01-02,146.0,150.0,142.0,148.0,1.37,450.0,65460.0,0
2012-01-03,148.0,154.0,145.0,151.0,2.03,950.0,142110.0,0
2012-01-04,151.0,150.0,148.0,150.0,-0.66,1590.0,237820.0,0
2012-01-05,150.0,152.0,151.0,152.0,1.33,940.0,142760.0,0
2012-01-08,152.0,153.0,149.0,153.0,0.66,990.0,149570.0,0
2012-01-09,153.0,158.0,153.0,156.0,1.96,970.0,150230.0,0
2012-01-10,152.0,160.0,156.0,160.0,2.56,700.0,110380.0,0
2012-01-11,160.0,164.0,157.0,164.0,2.50,1000.0,158270.0,0
2012-01-12,164.0,165.0,160.0,161.0,-1.83,1700.0,275350.0,0
2012-01-16,161.0,161.0,159.0,159.0,-1.24,1100.0,175880.0,0
2012-01-17,159.0,158.0,156.0,157.0,-1.26,1310.0,206000.0,0
2012-01-18,157.0,161.0,157.0,161.0,2.55,1200.0,191390.0,0
2012-01-19,161.0,160.0,160.0,160.0,-0.62,530.0,84800.0,0
2012-01-22,160.0,160.0,159.0,159.0,-0.62,1000.0,159100.0,0
2012-01-23,159.0,157.0,154.0,157.0,-1.26,580.0,89980.0,0
2012-01-25,157.0,155.0,154.0,155.0,-1.27,140.0,21590.0,0
2012-01-26,155.0,160.0,155.0,157.0,1.29,300.0,47040.0,0
2012-01-29,157.0,165.0,160.0,163.0,3.82,1610.0,262350.0,0
2012-01-31,163.0,166.0,162.0,162.0,-0.61,1390.0,227300.0,0
2012-02-01,162.0,165.0,162.0,164.0,1.23,60.0,9820.0,0
2012-02-02,164.0,165.0,162.0,165.0,0.61,620.0,101700.0,0
