published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-01-16,9.45,10.42,9.34,9.45,-5.5,41391.0,401700.31,-1
2025-01-19,9.31,9.63,8.97,9.63,1.9,85151.0,778233.1,1
2025-01-20,9.44,10.21,9.11,9.25,-3.95,24300.0,228001.5,-1
2025-01-21,9.25,9.43,9.08,9.25,0.0,13000.0,119607.0,0
2025-01-22,9.13,9.43,9.07,9.12,-1.41,94800.0,867819.5,-1
2025-01-23,9.0,9.48,9.0,9.3,1.97,79368.0,727094.9,1
2025-01-26,9.12,9.48,8.9,9.15,-1.61,169280.0,1529568.1,-1
2025-01-27,9.15,9.29,8.93,9.09,-0.66,98345.0,884832.75,-1
2025-01-28,8.92,9.4,8.75,9.14,0.55,81360.0,727675.6,1
2025-02-02,9.0,9.48,8.9,9.18,0.44,121190.0,1088657.32,1
2025-02-03,9.18,9.18,8.96,9.18,0.0,53130.0,480236.9,0
2025-02-04,9.0,9.28,8.83,9.05,-1.42,29914.0,269047.12,-1
2025-02-05,9.0,9.22,8.91,9.02,-0.33,31450.0,282844.0,-1
2025-02-06,8.85,9.18,8.85,9.0,-0.22,10770.0,97191.2,-1
2025-02-09,9.0,9.05,8.8,9.05,0.56,60930.0,541026.3,1
2025-02-10,8.87,9.1,8.7,9.0,-0.55,18655.0,167314.2,-1
2025-02-11,8.82,9.11,8.82,8.97,-0.33,22660.0,203963.0,-1
2025-02-12,8.87,9.0,8.87,9.0,0.33,5350.0,47863.0,1
2025-02-13,8.9,9.25,8.87,8.87,-1.44,24694.0,220226.3,-1
2025-02-16,8.87,9.0,8.8,9.0,1.47,39370.0,349208.1,1
2025-02-17,8.83,9.1,8.83,9.03,0.33,25580.0,230852.1,1
2025-02-18,9.02,9.07,8.9,9.0,-0.33,43254.0,387088.95,-1
2025-02-20,8.83,9.18,8.83,8.9,-1.11,24740.0,222024.3,-1
2025-02-23,8.74,9.05,8.74,8.9,0.0,14610.0,130168.0,0
2025-02-24,8.86,9.0,8.85,8.87,-0.34,7460.0,66222.2,-1
2025-02-25,8.7,9.04,8.7,8.9,0.34,19120.0,171118.4,1
2025-02-27,8.9,9.0,8.67,8.87,-0.34,4832.0,42871.44,-1
2025-03-02,8.75,9.27,8.75,9.27,4.51,186840.0,1666064.65,1
2025-03-03,9.2,10.0,8.85,9.87,6.47,258671.0,2476199.82,1
2025-03-04,9.85,9.94,9.68,9.71,-1.62,74432.0,726672.4,-1
2025-03-05,9.87,9.95,9.61,9.76,0.51,217859.0,2145425.55,1
2025-03-06,9.76,10.1,9.57,9.57,-1.95,443620.0,4433350.3,-1
2025-03-09,9.38,9.38,9.16,9.2,-3.87,30947.0,287112.07,-1
2025-03-10,9.06,9.2,9.06,9.1,-1.09,9700.0,88351.0,-1
2025-03-11,8.92,9.2,8.8,9.08,-0.22,6250.0,56709.0,-1
2025-03-12,9.0,9.1,8.96,9.06,-0.22,34550.0,310896.8,-1
2025-03-16,8.92,9.12,8.92,9.01,-0.55,24660.0,222303.1,-1
2025-03-17,9.02,9.22,9.02,9.07,0.67,11300.0,102537.0,1
2025-03-18,9.0,9.1,9.0,9.03,-0.44,3350.0,30248.5,-1
2025-03-19,9.04,9.1,9.04,9.06,0.33,17110.0,154977.4,1
2025-03-20,8.97,9.24,8.97,9.06,0.0,27950.0,252842.15,0
2025-03-23,9.05,9.05,8.95,9.0,-0.66,12860.0,115778.0,-1
2025-03-24,9.0,9.0,8.95,8.99,-0.11,3400.0,30573.0,-1
2025-03-25,8.95,9.1,8.95,9.01,0.22,1700.0,15288.0,1
2025-03-26,8.95,9.04,8.95,9.0,-0.11,43290.0,390753.7,-1
2025-03-27,8.96,9.36,8.96,9.01,0.11,5210.0,47331.8,1
2025-03-30,9.0,9.1,8.95,9.03,0.22,4510.0,40688.0,1
2025-04-01,8.85,9.21,8.85,9.21,1.99,4900.0,44112.0,1
2025-04-02,9.2,9.2,9.01,9.19,-0.22,5900.0,53729.0,-1
2025-04-03,9.05,9.3,9.05,9.1,-0.98,3589.0,32690.7,-1
2025-04-07,9.1,9.18,8.95,9.13,0.33,4650.0,42058.5,1
2025-04-08,8.95,9.06,8.95,9.05,-0.88,3800.0,34255.0,-1
2025-04-09,8.87,9.12,8.7,9.1,0.55,6870.0,62375.0,1
2025-04-10,8.93,9.18,8.93,9.09,-0.11,19309.0,175486.55,-1
2025-04-13,8.97,9.1,8.97,9.02,-0.77,10250.0,92531.5,-1
2025-04-15,9.02,9.49,8.97,9.3,3.1,16970.0,154692.0,1
2025-04-16,9.3,9.47,9.08,9.21,-0.97,35150.0,324886.0,-1
2025-04-17,9.03,9.72,9.03,9.25,0.43,25990.0,241154.1,1
2025-04-20,9.15,9.4,9.11,9.19,-0.65,38750.0,357630.5,-1
2025-04-21,9.1,9.3,9.1,9.23,0.44,34120.0,314434.6,1
2025-04-22,9.14,9.25,9.14,9.15,-0.87,9380.0,85999.8,-1
2025-04-23,9.1,9.28,9.1,9.13,-0.22,6500.0,59420.0,-1
2025-04-24,9.11,9.15,9.11,9.11,-0.22,34610.0,315481.5,-1
2025-04-27,9.11,9.27,9.11,9.2,0.99,13960.0,127526.5,1
2025-04-28,9.2,9.37,9.2,9.25,0.54,32635.0,300580.75,1
2025-04-29,9.15,9.39,9.15,9.21,-0.43,97750.0,908631.0,-1
2025-04-30,9.39,9.44,9.21,9.28,0.76,112760.0,1049698.3,1
2025-05-04,9.1,9.45,9.1,9.34,0.65,30310.0,279758.45,1
2025-05-05,9.16,9.9,9.16,9.33,-0.11,4360.0,40920.4,-1
2025-05-06,9.33,9.68,9.15,9.31,-0.21,14490.0,133481.0,-1
2025-05-07,9.2,9.49,9.16,9.17,-1.5,26480.0,245321.0,-1
2025-05-08,9.16,9.35,9.15,9.3,1.42,8030.0,73796.6,1
2025-05-11,9.12,9.39,9.12,9.25,-0.54,48350.0,447505.1,-1
2025-05-13,9.12,9.3,9.12,9.23,-0.22,19265.0,178095.7,-1
2025-05-14,9.08,9.49,9.08,9.39,1.73,234700.0,2197034.0,1
2025-05-15,9.21,9.3,9.11,9.18,-2.24,13010.0,118800.0,-1
2025-05-18,9.01,9.25,9.01,9.15,-0.33,9070.0,82903.2,-1
2025-05-19,9.07,9.31,9.06,9.25,1.09,21320.0,194005.1,1
2025-05-20,9.08,9.32,9.08,9.27,0.22,8100.0,74509.0,1
2025-05-21,9.09,9.45,9.09,9.2,-0.76,19075.0,175137.05,-1
