published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-12,300.0,330.0,300.0,330.0,10.0,14178.0,4672854.0,1
2023-10-16,336.6,363.0,297.0,300.1,-9.06,52207.0,16499962.2,-1
2023-10-17,294.2,315.0,294.2,305.1,1.67,18476.0,5674168.3,1
2023-10-18,300.0,333.5,300.0,333.5,9.31,7823.0,2484520.6,1
2023-10-19,327.0,328.4,315.0,320.0,-4.05,11866.0,3804259.0,-1
2023-10-29,313.6,316.1,307.1,308.4,-3.63,12158.0,3785517.0,-1
2023-10-30,305.0,321.8,299.0,318.0,3.11,11557.0,3636790.4,1
2023-10-31,312.2,324.0,312.2,324.0,1.89,7370.0,2349051.0,1
2023-11-01,318.1,329.0,318.0,325.0,0.31,9290.0,3009953.8,1
2023-11-02,319.0,323.0,316.0,316.8,-2.52,4440.0,1414178.0,-1
2023-11-05,311.0,316.0,307.1,316.0,-0.25,2000.0,624742.0,-1
2023-11-06,309.7,326.0,309.7,326.0,3.16,6766.0,2159673.0,1
2023-11-07,330.0,330.0,318.3,320.7,-1.63,8533.0,2765857.0,-1
2023-11-08,315.2,336.0,315.2,335.0,4.46,13354.0,4392127.9,1
2023-11-09,340.0,340.0,322.1,326.1,-2.66,3680.0,1204469.0,-1
2023-11-20,320.0,337.0,320.0,330.0,1.2,6868.0,2262252.0,1
2023-11-21,324.1,336.6,323.8,331.8,0.55,9730.0,3204075.0,1
2023-11-22,325.2,343.0,318.7,343.0,3.38,4150.0,1372031.5,1
2023-11-23,336.2,354.0,325.1,353.0,2.92,7041.0,2405805.0,1
2023-11-26,346.0,375.0,339.1,375.0,6.23,10751.0,3874531.0,1
2023-11-27,367.5,382.0,359.0,379.3,1.15,14845.0,5482172.0,1
2023-11-28,379.3,394.5,353.6,361.3,-4.75,14462.0,5188130.5,-1
2023-11-29,354.1,369.5,340.0,357.0,-1.19,10227.0,3565942.2,-1
2023-11-30,353.0,355.0,342.0,354.9,-0.59,2796.0,975245.1,-1
2023-12-03,355.0,355.0,342.0,344.1,-3.04,4270.0,1473573.0,-1
2023-12-04,337.5,357.0,337.5,349.9,1.69,5885.0,2065074.0,1
2023-12-05,343.0,345.0,339.0,342.0,-2.26,2860.0,980681.0,-1
2023-12-06,336.0,340.0,336.0,336.7,-1.55,2510.0,846519.0,-1
2023-12-07,331.2,353.5,331.2,344.0,2.17,5330.0,1841337.0,1
2023-12-10,350.0,370.0,350.0,370.0,7.56,2230.0,819941.0,1
2023-12-11,377.4,377.4,349.0,364.1,-1.59,27060.0,9719622.6,-1
2023-12-12,366.0,390.0,351.1,382.0,4.92,22129.0,8302335.9,1
2023-12-13,380.0,387.0,365.1,373.9,-2.12,19821.0,7452353.1,-1
2023-12-14,371.0,411.2,368.0,411.2,9.98,46523.0,18625370.8,1
2023-12-17,403.0,436.0,390.1,409.0,-0.54,25470.0,10582955.6,-1
2023-12-18,417.1,449.9,410.0,444.0,8.56,51612.0,22244433.5,1
2023-12-19,440.0,488.4,440.0,488.4,10.0,16147.0,7701058.9,1
2023-12-20,479.0,537.2,465.1,537.2,9.99,37328.0,19272284.0,1
2023-12-21,547.9,590.9,545.0,587.0,9.27,34980.0,20010191.8,1
2023-12-24,598.7,645.7,534.0,579.0,-1.36,37227.0,21419628.8,-1
2023-12-27,567.5,567.5,521.1,550.0,-5.01,37104.0,19711474.0,-1
2023-12-28,539.0,560.0,495.0,521.0,-5.27,27772.0,13980344.7,-1
2024-01-01,531.4,549.5,501.0,530.0,1.73,12985.0,6885658.0,1
2024-01-02,520.0,520.0,499.5,507.0,-4.34,5827.0,2962154.7,-1
2024-01-03,517.0,554.0,499.0,511.1,0.81,17189.0,8894129.5,1
2024-01-04,515.0,541.0,507.0,507.0,-0.8,11620.0,6021370.0,-1
2024-01-07,497.0,528.4,497.0,501.2,-1.14,6514.0,3288241.0,-1
2024-01-08,500.0,520.0,492.2,510.0,1.76,14257.0,7230889.1,1
2024-01-09,520.0,550.0,495.0,521.8,2.31,30693.0,15864535.0,1
2024-01-10,512.0,521.8,503.8,510.0,-2.26,3100.0,1583462.0,-1
2024-01-11,502.0,561.0,502.0,561.0,10.0,42995.0,23237683.6,1
2024-01-14,572.2,583.6,539.1,563.1,0.37,14941.0,8388215.3,1
2024-01-16,556.0,569.0,535.1,541.0,-3.92,11748.0,6483351.6,-1
2024-01-17,530.2,550.0,511.1,511.1,-5.53,9982.0,5238143.0,-1
