published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-08-31,1626.0,1658.0,1658.0,1658.0,0.0,100.0,165800.0,0
2017-10-08,1658.0,1724.0,1691.0,1724.0,0.0,110.0,189310.0,0
2017-10-29,1724.0,1758.0,1758.0,1758.0,0.0,10.0,17580.0,0
2017-11-05,1758.0,1828.0,1793.0,1828.0,0.0,30.0,54490.0,0
2017-11-06,1828.0,1977.0,1864.0,1977.0,0.0,40.0,76810.0,0
2017-11-08,1977.0,2056.0,2016.0,2056.0,0.0,20.0,40720.0,0
2017-11-19,1371.0,1398.0,1398.0,1398.0,0.0,10.0,13980.0,0
2017-12-06,1398.0,1453.0,1425.0,1453.0,0.0,20.0,28780.0,0
2017-12-10,1453.0,1511.0,1482.0,1511.0,0.0,20.0,29930.0,0
2017-12-11,1511.0,1571.0,1541.0,1571.0,0.0,20.0,31120.0,0
2017-12-12,1571.0,1634.0,1602.0,1634.0,0.0,20.0,32360.0,0
2017-12-13,1634.0,1732.0,1666.0,1732.0,0.0,30.0,50970.0,0
2017-12-14,1732.0,1801.0,1766.0,1801.0,0.0,20.0,35670.0,0
2017-12-17,1801.0,1910.0,1837.0,1910.0,0.0,30.0,56200.0,0
2017-12-18,1910.0,2005.0,2005.0,2005.0,0.0,10.0,20050.0,0
2017-12-20,2005.0,2085.0,2045.0,2085.0,0.0,120.0,249800.0,0
2017-12-21,2085.0,2211.0,2126.0,2211.0,0.0,35.0,76100.0,0
2017-12-24,2211.0,2414.0,2321.0,2414.0,0.0,30.0,71020.0,0
2017-12-26,2414.0,2655.0,2462.0,2655.0,0.0,60.0,154560.0,0
2017-12-27,2655.0,2920.0,2708.0,2920.0,0.0,170.0,491200.0,0
2017-12-28,2920.0,3212.0,2978.0,3212.0,0.0,880.0,2820780.0,0
2017-12-31,3212.0,3341.0,3086.0,3150.0,0.0,5336.0,16886436.0,0
2018-01-01,3150.0,3160.0,3103.0,3150.0,0.0,2071.0,6481314.0,0
2018-01-02,3150.0,3105.0,3040.0,3100.0,0.0,1540.0,4761790.0,0
2018-01-03,3100.0,3098.0,3002.0,3020.0,0.0,955.0,2915045.0,0
2018-01-04,3020.0,3020.0,2973.0,2982.0,0.0,520.0,1551320.0,0
2018-01-07,2982.0,3050.0,2935.0,2985.0,0.0,360.0,1075240.0,0
2018-01-08,2985.0,3044.0,2998.0,3005.0,0.0,591.0,1774310.0,0
2018-01-09,3005.0,3004.0,2971.0,2990.0,0.0,250.0,748140.0,0
2018-01-10,2990.0,2965.0,2951.0,2951.0,0.0,270.0,798640.0,0
2018-01-14,2951.0,2980.0,2852.0,2920.0,0.0,500.0,1464760.0,0
2018-01-16,2920.0,3000.0,2900.0,3000.0,0.0,370.0,1084650.0,0
2018-01-17,3000.0,3000.0,2930.0,2942.0,0.0,243.0,717990.0,0
2018-01-21,2942.0,2950.0,2902.0,2905.0,0.0,260.0,762890.0,0
2018-01-22,2905.0,2905.0,2875.0,2890.0,0.0,130.0,376850.0,0
2018-01-23,2890.0,2899.0,2845.0,2851.0,0.0,320.0,914820.0,0
2018-01-24,2851.0,2907.0,2830.0,2836.0,0.0,270.0,767470.0,0
2018-01-25,2836.0,2890.0,2834.0,2885.0,0.0,190.0,543810.0,0
2018-01-28,2885.0,2860.0,2837.0,2843.0,0.0,220.0,626130.0,0
2018-01-29,2843.0,2850.0,2831.0,2849.0,0.0,120.0,340850.0,0
2018-01-31,2849.0,2870.0,2850.0,2870.0,0.0,100.0,285530.0,0
2018-02-01,2870.0,2900.0,2848.0,2848.0,0.0,50.0,143340.0,0
2018-02-04,2848.0,2940.0,2865.0,2900.0,0.0,280.0,811050.0,0
2018-02-05,2900.0,2875.0,2850.0,2860.0,0.0,50.0,143290.0,0
2018-02-06,2860.0,2856.0,2846.0,2856.0,0.0,50.0,142590.0,0
2018-02-07,2856.0,2880.0,2830.0,2830.0,0.0,299.0,855143.0,0
2018-02-08,2830.0,2886.0,2811.0,2841.0,0.0,99.0,280339.0,0
2018-02-11,2841.0,2818.0,2800.0,2817.0,0.0,50.0,140690.0,0
2018-02-12,2817.0,2830.0,2820.0,2821.0,0.0,150.0,423800.0,0
2018-02-14,2821.0,2850.0,2790.0,2850.0,0.0,170.0,482550.0,0
2018-02-15,2850.0,2954.0,2815.0,2954.0,0.0,262.0,754410.0,0
2018-02-18,3009.0,3009.0,2893.0,2895.0,-2.0,120.0,351820.0,-1
2018-02-20,2952.0,2952.0,2847.0,2847.0,-1.66,60.0,174660.0,-1
2018-02-21,2830.0,2840.0,2800.0,2800.0,-1.65,90.0,253390.0,-1
2018-02-22,2785.0,2850.0,2781.0,2850.0,1.79,280.0,782920.0,1
2018-02-25,2810.0,2810.0,2784.0,2785.0,-2.28,230.0,644450.0,-1
2018-02-26,2740.0,2740.0,2731.0,2737.0,-1.72,270.0,738940.0,-1
2018-02-27,2730.0,2770.0,2730.0,2770.0,1.21,160.0,441200.0,1
2018-02-28,2716.0,2716.0,2683.0,2705.0,-2.35,130.0,350510.0,-1
2018-03-04,2652.0,2653.0,2499.0,2510.0,-7.21,479.0,1222131.0,-1
2018-03-05,2500.0,2500.0,2385.0,2387.0,-4.9,650.0,1560450.0,-1
2018-03-06,2350.0,2485.0,2350.0,2485.0,4.11,160.0,381080.0,1
2018-03-07,2436.0,2524.0,2436.0,2500.0,0.6,270.0,670060.0,1
2018-03-11,2450.0,2480.0,2431.0,2431.0,-2.76,50.0,122910.0,-1
2018-03-12,2383.0,2400.0,2352.0,2352.0,-3.25,380.0,906420.0,-1
2018-03-14,2399.0,2408.0,2361.0,2408.0,2.38,50.0,119660.0,1
2018-03-15,2400.0,2455.0,2400.0,2449.0,1.7,260.0,630260.0,1
2018-03-18,2440.0,2440.0,2401.0,2405.0,-1.8,80.0,192970.0,-1
2018-03-19,2370.0,2400.0,2370.0,2400.0,-0.21,190.0,454900.0,-1
2018-03-20,2355.0,2361.0,2355.0,2361.0,-1.63,70.0,165080.0,-1
2018-03-21,2325.0,2364.0,2271.0,2300.0,-2.58,210.0,485500.0,-1
2018-03-22,2346.0,2346.0,2209.0,2209.0,-3.96,461.0,1029569.0,-1
2018-03-26,2165.0,2165.0,1989.0,1989.0,-9.96,220.0,457200.0,-1
2018-03-27,1989.0,1989.0,1873.0,1965.0,-1.21,220.0,423310.0,-1
2018-03-28,2004.0,2044.0,1981.0,2000.0,1.78,190.0,381570.0,1
2018-03-29,2040.0,2091.0,2009.0,2091.0,4.55,174.0,358986.0,1
2018-04-01,2132.0,2132.0,2047.0,2047.0,-2.1,50.0,105280.0,-1
2018-04-02,2008.0,2025.0,2007.0,2025.0,-1.07,50.0,100650.0,-1
2018-04-03,2025.0,2045.0,2005.0,2005.0,-0.99,60.0,120900.0,-1
2018-04-04,2005.0,2085.0,2003.0,2085.0,3.99,170.0,343160.0,1
2018-04-05,2086.0,2120.0,2085.0,2120.0,1.68,630.0,1320780.0,1
2018-04-08,2125.0,2332.0,2125.0,2332.0,10.0,895.0,1994070.0,1
2018-04-09,2375.0,2420.0,2350.0,2389.0,2.44,300.0,710860.0,1
2018-04-10,2342.0,2342.0,2291.0,2300.0,-3.73,300.0,691850.0,-1
2018-04-11,2346.0,2346.0,2340.0,2346.0,2.0,150.0,351750.0,1
2018-04-12,2300.0,2432.0,2300.0,2401.0,2.34,350.0,841550.0,1
2018-04-15,2354.0,2385.0,2354.0,2385.0,-0.67,40.0,94780.0,-1
2018-04-16,2418.0,2517.0,2418.0,2500.0,4.82,1010.0,2507220.0,1
2018-04-17,2550.0,2650.0,2550.0,2650.0,6.0,410.0,1070660.0,1
2018-04-18,2703.0,2703.0,2576.0,2576.0,-2.79,592.0,1556700.0,-1
2018-04-19,2627.0,2700.0,2620.0,2700.0,4.81,510.0,1363190.0,1
2018-04-22,2725.0,2840.0,2720.0,2840.0,5.19,801.0,2208145.0,1
2018-04-23,2896.0,2896.0,2839.0,2890.0,1.76,180.0,512610.0,1
2018-04-24,2850.0,2850.0,2668.0,2840.0,-1.73,1016.0,2846150.0,-1
2018-04-25,2784.0,2784.0,2690.0,2700.0,-4.93,626.0,1689600.0,-1
2018-04-26,2700.0,2754.0,2609.0,2609.0,-3.37,780.0,2082640.0,-1
2018-04-29,2600.0,2700.0,2598.0,2684.0,2.87,495.0,1293310.0,1
2018-05-02,2634.0,2735.0,2632.0,2735.0,1.9,480.0,1275310.0,1
