published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-15,1091.00,1155.00,1112.00,1155.00,0.00,38.00,43057.00,0
2011-05-16,1155.00,1193.00,1160.00,1193.00,0.00,156.00,183026.00,0
2011-05-18,1193.00,1172.00,1150.00,1172.00,0.00,939.00,1087972.00,0
2011-05-19,1172.00,1194.00,1155.00,1194.00,0.00,490.00,573992.00,0
2011-05-22,1194.00,1193.00,1178.00,1178.00,0.00,115.00,135930.00,0
2011-05-23,1178.00,1189.00,1165.00,1170.00,0.00,239.00,279927.00,0
2011-05-24,1170.00,1160.00,1150.00,1150.00,0.00,282.00,325456.00,0
2011-05-25,1150.00,1159.00,1100.00,1150.00,0.00,597.00,664216.00,0
2011-05-26,1150.00,1149.00,1127.00,1149.00,0.00,127.00,143553.00,0
2011-05-30,1149.00,1151.00,1140.00,1150.00,0.00,320.00,366010.00,0
2011-05-31,1150.00,1140.00,1080.00,1100.00,0.00,873.00,967825.00,0
2011-06-01,1100.00,1122.00,1060.00,1080.00,0.00,338.00,364480.00,0
2011-06-02,1080.00,1101.00,1040.00,1056.00,0.00,1912.00,2011952.00,0
2011-06-05,1056.00,1060.00,1030.00,1060.00,0.00,665.00,691620.00,0
2011-06-06,1060.00,1060.00,1020.00,1055.00,0.00,1052.00,1104070.00,0
2011-06-07,1055.00,1045.00,1000.00,1045.00,0.00,236.00,240327.00,0
2011-06-08,1045.00,1025.00,985.00,1020.00,0.00,1212.00,1209779.00,0
2011-06-09,1020.00,1025.00,966.00,1023.00,0.00,338.00,333519.00,0
2011-06-12,1023.00,1003.00,932.00,965.00,0.00,632.00,601240.00,0
2011-06-13,965.00,955.00,903.00,933.00,0.00,2673.00,2453922.00,0
2011-06-14,933.00,915.00,855.00,868.00,0.00,1716.00,1520501.00,0
2011-06-15,868.00,860.00,790.00,817.00,0.00,1931.00,1582441.00,0
2011-06-16,817.00,898.00,803.00,898.00,0.00,1980.00,1626616.00,0
2011-06-19,898.00,987.00,915.00,987.00,0.00,1362.00,1334036.00,0
2011-06-20,898.00,987.00,915.00,987.00,0.00,1362.00,1334036.00,0
2011-06-21,1085.00,1193.00,1106.00,1193.00,0.00,3475.00,4021756.00,0
2011-06-23,1193.00,1312.00,1216.00,1310.00,0.00,3749.00,4805062.00,0
2011-06-26,1310.00,1375.00,1179.00,1228.00,0.00,3966.00,5020720.00,0
2011-06-27,1228.00,1219.00,1106.00,1106.00,0.00,552.00,629914.00,0
2011-06-29,1106.00,1140.00,1024.00,1123.00,0.00,1583.00,1730151.00,0
2011-06-30,1123.00,1140.00,1060.00,1140.00,0.00,1898.00,2042371.00,0
2011-07-03,1140.00,1118.00,1059.00,1065.00,0.00,863.00,929659.00,0
2011-07-04,1065.00,1086.00,1030.00,1086.00,0.00,3785.00,3945917.00,0
2011-07-05,1086.00,1140.00,1086.00,1140.00,0.00,1168.00,1284613.00,0
2011-07-06,1140.00,1162.00,1100.00,1100.00,0.00,1170.00,1321084.00,0
2011-07-07,1100.00,1125.00,1098.00,1120.00,0.00,344.00,383354.00,0
2011-07-10,1120.00,1150.00,1135.00,1140.00,0.00,2034.00,2311080.00,0
2011-07-11,1140.00,1164.00,1130.00,1160.00,0.00,1784.00,2053243.00,0
2011-07-12,1160.00,1240.00,1180.00,1190.00,0.00,1022.00,1222314.00,0
2011-07-13,1190.00,1260.00,1190.00,1190.00,0.00,1603.00,1934702.00,0
2011-07-14,1190.00,1252.00,1213.00,1252.00,0.00,883.00,1083658.00,0
2011-07-17,1252.00,1377.00,1277.00,1377.00,0.00,177.00,235979.00,0
2011-07-18,1377.00,1410.00,1258.00,1283.00,0.00,1584.00,2115924.00,0
2011-07-19,1283.00,1321.00,1285.00,1321.00,0.00,1301.00,1702762.00,0
2011-07-20,1321.00,1373.00,1326.00,1356.00,0.00,814.00,1095038.00,0
2011-07-21,1356.00,1380.00,1345.00,1370.00,0.00,1285.00,1742628.00,0
2011-07-24,1370.00,1345.00,1260.00,1320.00,0.00,808.00,1046020.00,0
2011-07-25,1320.00,1294.00,1294.00,1294.00,0.00,59.00,76346.00,0
2011-07-26,1294.00,1270.00,1246.00,1265.00,0.00,652.00,826113.00,0
2011-07-27,1265.00,1294.00,1245.00,1294.00,0.00,2033.00,2554709.00,0
2011-07-28,1294.00,1305.00,1276.00,1289.00,0.00,578.00,744984.00,0
2011-07-31,1289.00,1264.00,1240.00,1250.00,0.00,539.00,674520.00,0
2011-08-01,1250.00,1254.00,1241.00,1246.00,0.00,495.00,616155.00,0
2011-08-02,1246.00,1270.00,1242.00,1266.00,0.00,596.00,743514.00,0
2011-08-03,1266.00,1255.00,1235.00,1240.00,0.00,665.00,824608.00,0
2011-08-04,1240.00,1252.00,1232.00,1252.00,0.00,114.00,140848.00,0
2011-08-09,1252.00,1227.00,1180.00,1182.00,0.00,740.00,878783.00,0
2011-08-10,1182.00,1234.00,1160.00,1234.00,0.00,1124.00,1316070.00,0
2011-08-11,1234.00,1255.00,1220.00,1220.00,0.00,115.00,141748.00,0
2011-08-15,1220.00,1241.00,1210.00,1225.00,0.00,1476.00,1800766.00,0
2011-08-16,1225.00,1230.00,1205.00,1225.00,0.00,1028.00,1254931.00,0
2011-08-17,1225.00,1231.00,1210.00,1231.00,0.00,645.00,787804.00,0
2011-08-18,1231.00,1230.00,1220.00,1224.00,0.00,321.00,393132.00,0
2011-08-22,1224.00,1220.00,1211.00,1211.00,0.00,104.00,126430.00,0
2011-08-23,1211.00,1210.00,1200.00,1200.00,0.00,425.00,511260.00,0
2011-08-24,1200.00,1207.00,1190.00,1190.00,0.00,564.00,676062.00,0
2011-08-25,1190.00,1180.00,1175.00,1180.00,0.00,403.00,474435.00,0
2011-08-28,1180.00,1157.00,1062.00,1062.00,0.00,100.00,108720.00,0
2011-08-29,1062.00,1041.00,956.00,956.00,0.00,863.00,827348.00,0
2011-08-30,956.00,992.00,934.00,992.00,0.00,8063.00,7668660.00,0
2011-09-01,992.00,999.00,974.00,990.00,0.00,1614.00,1588177.00,0
2011-09-04,990.00,980.00,970.00,975.00,0.00,841.00,818075.00,0
2011-09-05,975.00,970.00,953.00,954.00,0.00,1249.00,1201341.00,0
2011-09-06,954.00,955.00,917.00,917.00,0.00,1811.00,1681199.00,0
2011-09-07,917.00,920.00,900.00,903.00,0.00,824.00,745124.00,0
2011-09-08,903.00,901.00,882.00,885.00,0.00,1387.00,1237881.00,0
2011-09-12,885.00,899.00,875.00,897.00,0.00,451.00,397532.00,0
2011-09-13,897.00,947.00,905.00,947.00,0.00,224.00,205568.00,0
2011-09-14,947.00,929.00,904.00,910.00,0.00,961.00,876470.00,0
2011-09-15,910.00,925.00,910.00,925.00,0.00,159.00,145380.00,0
2011-09-18,925.00,907.00,890.00,900.00,0.00,477.00,426300.00,0
2011-09-19,900.00,918.00,900.00,918.00,0.00,830.00,753294.00,0
2011-09-20,918.00,940.00,907.00,940.00,0.00,215.00,198965.00,0
2011-09-21,940.00,950.00,925.00,950.00,0.00,275.00,257730.00,0
2011-09-22,950.00,969.00,955.00,960.00,0.00,308.00,295815.00,0
2011-09-25,960.00,960.00,941.00,941.00,0.00,224.00,214404.00,0
2011-09-26,941.00,959.00,950.00,950.00,0.00,200.00,190900.00,0
2011-09-27,950.00,949.00,940.00,940.00,0.00,550.00,519200.00,0
2011-09-29,940.00,959.00,955.00,955.00,0.00,434.00,415500.00,0
2011-10-02,955.00,980.00,974.00,980.00,0.00,272.00,265216.00,0
2011-10-13,980.00,982.00,975.00,982.00,0.00,587.00,572737.00,0
2011-10-16,982.00,998.00,970.00,970.00,0.00,283.00,275790.00,0
2011-10-17,970.00,965.00,948.00,948.00,0.00,686.00,654440.00,0
2011-10-18,948.00,966.00,945.00,950.00,0.00,330.00,313260.00,0
2011-10-19,950.00,960.00,927.00,931.00,0.00,403.00,378670.00,0
2011-10-20,931.00,939.00,902.00,939.00,0.00,1328.00,1214499.00,0
2011-10-23,939.00,935.00,915.00,915.00,0.00,302.00,278945.00,0
2011-10-24,915.00,915.00,881.00,901.00,0.00,565.00,502579.00,0
2011-10-25,901.00,915.00,850.00,915.00,0.00,1637.00,1443364.00,0
2011-10-30,915.00,900.00,900.00,900.00,0.00,25.00,22500.00,0
2011-10-31,900.00,907.00,899.00,907.00,0.00,366.00,330460.00,0
2011-11-02,907.00,997.00,925.00,996.00,0.00,1447.00,1404378.00,0
2011-11-03,996.00,1015.00,930.00,930.00,0.00,1243.00,1195200.00,0
2011-11-06,930.00,930.00,900.00,901.00,0.00,1337.00,1211267.00,0
2011-11-08,901.00,901.00,885.00,892.00,0.00,605.00,540154.00,0
2011-11-09,892.00,896.00,890.00,890.00,0.00,870.00,775460.00,0
2011-11-10,890.00,890.00,880.00,880.00,0.00,391.00,345380.00,0
2011-11-13,880.00,870.00,866.00,870.00,0.00,145.00,125690.00,0
2011-11-14,870.00,887.00,866.00,867.00,0.00,553.00,480114.00,0
2011-11-16,867.00,875.00,875.00,875.00,0.00,300.00,262500.00,0
2011-11-17,875.00,909.00,892.00,909.00,0.00,24.00,21646.00,0
2011-11-20,909.00,900.00,880.00,885.00,0.00,525.00,463490.00,0
2011-11-21,885.00,880.00,870.00,870.00,0.00,120.00,105400.00,0
2011-11-22,870.00,871.00,862.00,870.00,0.00,911.00,790316.00,0
2011-11-23,870.00,865.00,865.00,865.00,0.00,147.00,127155.00,0
2011-11-24,865.00,865.00,860.00,860.00,0.00,153.00,132100.00,0
2011-11-27,860.00,887.00,865.00,887.00,0.00,239.00,207657.00,0
