published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-10,181.00,178.00,163.00,163.00,0.00,1190.00,194420.00,0
2011-05-11,163.00,160.00,148.00,148.00,0.00,150.00,22845.00,0
2011-05-12,148.00,146.00,134.00,136.00,0.00,5400.00,730320.00,0
2011-05-15,136.00,144.00,134.00,134.00,0.00,863.00,119786.00,0
2011-05-16,134.00,136.00,134.00,134.00,0.00,780.00,104720.00,0
2011-05-18,134.00,132.00,130.00,130.00,0.00,440.00,57600.00,0
2011-05-19,130.00,133.00,130.00,132.00,0.00,1570.00,206250.00,0
2011-05-22,132.00,132.00,124.00,124.00,0.00,2280.00,294720.00,0
2011-05-23,124.00,131.00,120.00,131.00,0.00,5100.00,626505.00,0
2011-05-24,131.00,140.00,131.00,138.00,0.00,540.00,73040.00,0
2011-05-25,138.00,144.00,140.00,144.00,0.00,205.00,29050.00,0
2011-05-31,144.00,142.00,132.00,132.00,0.00,3553.00,473886.00,0
2011-06-01,132.00,134.00,134.00,134.00,0.00,20.00,2680.00,0
2011-06-02,134.00,132.00,129.00,129.00,0.00,600.00,78000.00,0
2011-06-06,129.00,127.00,125.00,125.00,0.00,160.00,20120.00,0
2011-06-07,125.00,127.00,125.00,125.00,0.00,502.00,62904.00,0
2011-06-08,125.00,127.00,121.00,121.00,0.00,190.00,23490.00,0
2011-06-09,121.00,127.00,113.00,113.00,0.00,610.00,73150.00,0
2011-06-12,113.00,111.00,102.00,102.00,0.00,2325.00,243225.00,0
2011-06-13,102.00,108.00,104.00,105.00,0.00,1100.00,116640.00,0
2011-06-14,105.00,115.00,107.00,115.00,0.00,1390.00,155970.00,0
2011-06-16,115.00,114.00,114.00,114.00,0.00,300.00,34200.00,0
2011-06-19,114.00,124.00,116.00,122.00,0.00,1410.00,171990.00,0
2011-06-20,114.00,124.00,116.00,122.00,0.00,1410.00,171990.00,0
2011-06-21,130.00,143.00,130.00,142.00,0.00,11068.00,1546216.00,0
2011-06-23,142.00,156.00,144.00,145.00,0.00,7470.00,1121900.00,0
2011-06-26,145.00,154.00,147.00,147.00,0.00,810.00,121775.00,0
2011-06-27,147.00,145.00,133.00,133.00,0.00,3101.00,419067.00,0
2011-06-29,133.00,135.00,125.00,126.00,0.00,2900.00,368890.00,0
2011-06-30,126.00,130.00,126.00,126.00,0.00,2960.00,374540.00,0
2011-07-03,126.00,124.00,120.00,120.00,0.00,270.00,32580.00,0
2011-07-04,120.00,124.00,121.00,124.00,0.00,238.00,29358.00,0
2011-07-05,124.00,127.00,123.00,127.00,0.00,850.00,105430.00,0
2011-07-06,127.00,132.00,125.00,132.00,0.00,1980.00,252500.00,0
2011-07-10,132.00,136.00,132.00,132.00,0.00,260.00,34700.00,0
2011-07-11,132.00,130.00,127.00,127.00,0.00,888.00,114811.00,0
2011-07-12,127.00,125.00,125.00,125.00,0.00,350.00,43750.00,0
2011-07-13,125.00,132.00,127.00,132.00,0.00,2550.00,330720.00,0
2011-07-14,132.00,138.00,130.00,130.00,0.00,2275.00,299990.00,0
2011-07-17,130.00,143.00,132.00,143.00,0.00,5720.00,787450.00,0
2011-07-18,143.00,157.00,145.00,157.00,0.00,960.00,149910.00,0
2011-07-19,157.00,154.00,142.00,142.00,0.00,3601.00,518272.00,0
2011-07-20,142.00,147.00,143.00,147.00,0.00,3248.00,470636.00,0
2011-07-21,147.00,149.00,138.00,138.00,0.00,2740.00,391340.00,0
2011-07-24,138.00,142.00,140.00,140.00,0.00,200.00,28100.00,0
2011-07-25,140.00,138.00,132.00,132.00,0.00,800.00,108700.00,0
2011-07-27,132.00,135.00,130.00,130.00,0.00,1885.00,247010.00,0
2011-07-28,130.00,136.00,130.00,130.00,0.00,1270.00,168620.00,0
2011-07-31,130.00,130.00,126.00,127.00,0.00,2025.00,259200.00,0
2011-08-02,127.00,137.00,129.00,135.00,0.00,280.00,37600.00,0
2011-08-03,135.00,133.00,130.00,130.00,0.00,450.00,59500.00,0
