published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-03-07,1020.0,1051.0,1020.0,1051.0,0.0,175.0,180325.0,0
2021-03-09,1045.0,1045.0,1045.0,1045.0,-0.57,125.0,130625.0,-1
2021-03-10,1065.0,1065.0,1065.0,1065.0,1.91,150.0,159750.0,1
2021-03-14,1065.0,1065.0,1065.0,1065.0,0.0,200.0,213000.0,0
2021-03-15,1045.0,1052.0,1045.0,1052.0,-1.22,200.0,209925.0,-1
2021-03-16,1051.0,1060.0,1051.0,1056.0,0.38,200.0,210925.0,1
2021-03-18,1060.0,1060.0,1060.0,1060.0,0.38,25.0,26500.0,1
2021-03-21,1055.0,1060.0,1055.0,1060.0,0.0,50.0,52875.0,0
2021-03-22,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-03-23,1055.0,1060.0,1055.0,1060.0,0.0,150.0,158500.0,0
2021-03-24,1055.0,1060.0,1055.0,1060.0,0.0,75.0,79375.0,0
2021-03-25,1055.0,1055.0,1055.0,1055.0,-0.47,25.0,26375.0,-1
2021-03-29,1060.0,1060.0,1056.0,1056.0,0.09,50.0,52900.0,1
2021-03-30,1055.0,1056.0,1055.0,1056.0,0.0,50.0,52775.0,0
2021-03-31,1055.0,1055.0,1055.0,1055.0,-0.09,100.0,105500.0,-1
2021-04-01,1050.0,1050.0,1050.0,1050.0,-0.47,25.0,26250.0,-1
2021-04-04,1050.0,1050.0,1050.0,1050.0,0.0,50.0,52500.0,0
2021-04-05,1045.0,1046.0,1045.0,1046.0,-0.38,75.0,78400.0,-1
2021-04-06,1045.0,1045.0,1045.0,1045.0,-0.1,25.0,26125.0,-1
2021-04-07,1055.0,1055.0,1050.0,1050.0,0.48,90.0,94650.0,1
2021-04-12,1045.0,1050.0,1045.0,1045.0,-0.48,80.0,83725.0,-1
2021-04-15,1046.0,1046.0,1046.0,1046.0,0.1,25.0,26150.0,1
2021-04-21,1048.0,1048.0,1048.0,1048.0,0.19,100.0,104800.0,1
2021-04-22,1051.0,1055.0,1051.0,1055.0,0.67,50.0,52650.0,1
2021-04-25,1060.0,1060.0,1046.0,1046.0,-0.85,125.0,131100.0,-1
2021-04-26,1047.0,1047.0,1046.0,1046.0,0.0,50.0,52325.0,0
2021-04-27,1060.0,1060.0,1060.0,1060.0,1.34,81.0,85860.0,1
2021-04-28,1050.0,1060.0,1050.0,1060.0,0.0,75.0,79250.0,0
2021-05-02,1060.0,1060.0,1060.0,1060.0,0.0,75.0,79500.0,0
2021-05-04,1051.0,1051.0,1051.0,1051.0,-0.85,25.0,26275.0,-1
2021-05-05,1046.0,1046.0,1046.0,1046.0,-0.48,25.0,26150.0,-1
2021-05-09,1060.0,1060.0,1060.0,1060.0,1.34,25.0,26500.0,1
2021-05-10,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-11,1080.0,1081.0,1080.0,1081.0,1.98,100.0,108070.0,1
2021-05-17,1060.0,1060.0,1060.0,1060.0,-1.94,20.0,21200.0,-1
2021-05-18,1060.0,1060.0,1060.0,1060.0,0.0,50.0,53000.0,0
2021-05-20,1060.0,1060.0,1060.0,1060.0,0.0,100.0,106000.0,0
2021-05-23,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-24,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-25,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-27,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-05-31,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-06-01,1060.0,1070.0,1060.0,1070.0,0.94,75.0,79875.0,1
2021-06-02,1051.0,1051.0,1051.0,1051.0,-1.78,25.0,26275.0,-1
2021-06-03,1072.0,1072.0,1072.0,1072.0,2.0,25.0,26800.0,1
2021-06-07,1060.0,1093.0,1060.0,1093.0,1.96,300.0,323675.0,1
