published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-02-09,10.0,10.0,10.0,10.0,0.0,500.0,5000.0,0
2020-02-11,9.89,9.89,9.89,9.89,-1.1,100.0,989.0,-1
2020-02-16,9.7,9.7,9.23,9.23,-6.67,4010.0,37428.0,-1
2020-02-17,9.05,9.41,8.92,9.29,0.65,35450.0,323548.0,1
2020-02-18,9.16,9.48,9.16,9.35,0.65,24500.0,231056.0,1
2020-02-19,9.22,9.48,9.22,9.48,1.39,6660.0,62138.0,1
2020-02-20,9.5,9.64,9.4,9.58,1.05,9100.0,86936.0,1
2020-02-23,9.39,9.39,9.39,9.39,-1.98,100.0,939.0,-1
2020-02-24,9.25,9.6,9.25,9.43,0.43,8800.0,83067.0,1
2020-02-25,9.43,9.48,9.43,9.43,0.0,4350.0,41062.0,0
2020-02-26,9.43,9.69,9.41,9.69,2.76,26500.0,252435.0,1
2020-02-27,9.75,9.94,9.75,9.76,0.72,6250.0,61545.0,1
2020-03-01,9.8,9.8,9.48,9.48,-2.87,4800.0,46229.0,-1
2020-03-02,9.5,9.69,9.4,9.4,-0.84,15990.0,152375.0,-1
2020-03-03,9.3,9.3,9.12,9.23,-1.81,13710.0,126677.0,-1
2020-03-04,9.2,9.2,8.98,8.98,-2.71,28000.0,254090.0,-1
2020-03-05,8.81,8.86,8.81,8.86,-1.34,11200.0,99201.0,-1
2020-03-11,8.69,8.69,8.69,8.69,-1.92,3100.0,26939.0,-1
2020-03-12,8.63,8.86,8.63,8.86,1.96,8700.0,75893.0,1
2020-03-15,8.69,8.72,8.21,8.21,-7.34,6600.0,56731.0,-1
2020-03-16,8.05,8.25,8.05,8.18,-0.37,15000.0,122917.0,-1
2020-03-17,8.19,8.36,8.14,8.26,0.98,11800.0,97586.0,1
2020-03-18,8.27,8.27,8.2,8.2,-0.73,8300.0,68620.0,-1
2020-03-19,8.05,8.21,8.05,8.21,0.12,1600.0,12965.0,1
2020-07-14,8.37,9.03,8.37,9.03,9.99,9100.0,77987.0,1
2020-07-15,9.21,9.93,9.21,9.9,9.63,47000.0,448682.0,1
2020-07-16,9.71,9.71,9.52,9.52,-3.84,21600.0,206771.0,-1
2020-07-20,9.53,9.6,9.53,9.54,0.21,13700.0,130992.0,1
2020-07-21,9.6,9.62,9.56,9.6,0.63,17000.0,162684.0,1
2020-07-22,9.55,9.56,9.55,9.55,-0.52,16150.0,154294.0,-1
2020-07-23,9.55,9.55,9.03,9.55,0.0,61100.0,575058.0,0
2020-07-26,9.57,9.7,9.5,9.5,-0.52,21550.0,205124.0,-1
2020-07-27,9.39,9.5,9.38,9.49,-0.11,133700.0,1263819.0,-1
2020-07-28,9.49,9.51,9.46,9.51,0.21,19500.0,184776.0,1
2020-07-29,9.47,9.48,9.4,9.42,-0.95,5440.0,51374.0,-1
2020-07-30,9.31,9.5,9.31,9.5,0.85,4800.0,45105.0,1
2020-08-02,9.31,9.45,9.31,9.37,-1.37,50010.0,468150.0,-1
2020-08-03,9.25,9.35,9.23,9.31,-0.64,9300.0,86434.0,-1
2020-08-05,9.13,9.3,9.13,9.2,-1.18,69100.0,637364.0,-1
2020-08-06,9.11,9.2,9.11,9.15,-0.54,1400.0,12827.0,-1
2020-08-09,9.15,9.4,9.15,9.4,2.73,12970.0,120070.0,1
2020-08-10,9.58,9.58,9.23,9.35,-0.53,25410.0,236490.0,-1
2020-08-11,9.35,9.53,9.35,9.4,0.53,21900.0,206466.0,1
2020-08-12,9.3,9.48,9.3,9.48,0.85,15900.0,150183.0,1
2020-08-13,9.41,9.45,9.39,9.41,-0.74,26200.0,247238.0,-1
2020-08-16,9.36,9.41,9.36,9.39,-0.21,12800.0,120350.0,-1
2020-08-17,9.33,9.5,9.33,9.5,1.17,43880.0,411811.0,1
2020-08-18,9.5,9.5,9.37,9.41,-0.95,16620.0,156117.0,-1
2020-08-19,9.3,9.4,9.3,9.36,-0.53,5500.0,51390.0,-1
2020-08-20,9.35,9.45,9.34,9.36,0.0,3100.0,29003.0,0
2020-08-23,9.35,9.53,9.34,9.5,1.5,7100.0,67031.0,1
2020-08-24,9.42,9.5,9.42,9.5,0.0,59250.0,560863.0,0
2020-08-25,9.46,9.5,9.46,9.48,-0.21,23100.0,218660.0,-1
2020-08-26,9.44,9.55,9.44,9.47,-0.11,88300.0,838099.0,-1
2020-08-27,9.6,9.99,9.47,9.89,4.44,157400.0,1558495.0,1
2020-08-30,9.89,9.9,9.89,9.9,0.1,10000.0,98925.0,1
2020-08-31,9.9,10.0,9.71,9.86,-0.4,11000.0,108648.0,-1
2020-09-02,9.67,9.85,9.6,9.8,-0.61,21650.0,211417.0,-1
2020-09-03,9.65,10.19,9.65,10.19,3.98,43850.0,441828.0,1
2020-09-06,10.39,10.39,10.02,10.17,-0.2,32500.0,330832.0,-1
2020-09-07,10.2,10.27,10.2,10.25,0.79,47510.0,486911.2,1
2020-09-08,10.25,10.38,10.11,10.12,-1.27,130800.0,1329872.0,-1
2020-09-09,9.62,10.35,9.62,10.25,1.28,72550.0,744034.0,1
2020-09-13,10.05,10.05,9.3,9.3,-9.27,21300.0,205590.0,-1
2020-09-14,9.25,9.26,9.16,9.2,-1.08,28800.0,266068.0,-1
2020-09-15,9.07,9.2,9.0,9.2,0.0,277810.0,2514563.51,0
2020-09-16,9.02,9.02,8.91,9.0,-2.17,7800.0,70089.0,-1
2020-09-17,8.89,9.0,8.83,8.88,-1.33,26000.0,229972.0,-1
2020-09-20,8.72,8.9,8.71,8.9,0.23,11800.0,103794.0,1
2020-09-21,8.76,9.0,8.76,8.85,-0.56,160960.0,1428183.01,-1
2020-09-22,8.85,8.9,8.7,8.81,-0.45,14000.0,123759.0,-1
2020-09-23,8.68,8.97,8.68,8.85,0.45,99820.0,882088.0,1
2020-09-24,8.71,9.02,8.62,8.7,-1.69,129550.0,1133892.98,-1
2020-09-27,8.71,8.84,8.59,8.84,1.61,161290.0,1409384.6,1
2020-09-28,8.7,9.0,8.67,8.85,0.11,4800.0,42051.0,1
2020-09-29,9.01,9.01,8.85,9.0,1.69,9700.0,87284.0,1
2020-09-30,8.85,9.05,8.85,8.9,-1.11,6800.0,60620.0,-1
2020-10-01,8.88,8.97,8.77,8.97,0.79,40950.0,361031.0,1
2020-10-04,8.83,9.0,8.66,8.91,-0.67,53100.0,468664.5,-1
2020-10-05,9.01,9.08,8.77,8.9,-0.11,61000.0,540009.99,-1
2020-10-06,8.9,9.14,8.89,9.14,2.7,6900.0,62299.0,1
2020-10-07,9.2,9.2,8.85,9.18,0.44,93400.0,839566.0,1
2020-10-08,9.1,9.24,9.06,9.15,-0.33,27200.0,248536.0,-1
2020-10-11,9.0,9.06,8.89,9.01,-1.53,13200.0,118838.0,-1
2020-10-12,8.9,9.06,8.9,9.0,-0.11,6000.0,53858.0,-1
2020-10-13,9.0,9.0,8.83,8.89,-1.22,33650.0,300356.0,-1
2020-10-14,8.76,9.05,8.76,9.0,1.24,19900.0,176696.0,1
2020-10-15,8.89,9.15,8.89,9.0,0.0,54850.0,493533.0,0
2020-10-18,8.85,9.1,8.85,8.95,-0.56,9200.0,82930.5,-1
2020-10-19,8.95,9.0,8.95,9.0,0.56,14700.0,131850.0,1
2020-10-20,9.1,9.15,9.01,9.06,0.67,40900.0,373048.99,1
2020-10-21,9.01,9.09,9.01,9.05,-0.11,2500.0,22665.0,-1
2020-10-22,8.87,9.18,8.87,9.18,1.44,10810.0,98136.5,1
2020-10-28,9.16,9.36,8.8,9.35,1.85,54200.0,500201.5,1
2020-10-29,9.17,9.45,9.17,9.34,-0.11,59210.0,552743.7,-1
2020-11-01,9.25,9.3,9.2,9.23,-1.18,10400.0,96108.0,-1
2020-11-02,9.2,9.25,9.2,9.25,0.22,11200.0,103234.0,1
2020-11-03,9.1,9.55,9.1,9.54,3.14,53770.0,510732.0,1
2020-11-04,9.44,9.45,9.08,9.45,-0.94,6300.0,58955.0,-1
2020-11-05,9.45,9.6,9.45,9.6,1.59,31700.0,303500.0,1
2020-11-08,9.5,9.69,9.46,9.46,-1.46,130550.0,1243867.51,-1
2020-11-09,9.41,9.6,9.41,9.56,1.06,169660.0,1627795.5,1
2020-11-10,9.4,9.5,9.4,9.45,-1.15,62940.0,597695.0,-1
2020-11-11,9.28,10.1,9.28,10.0,5.82,264770.0,2603878.4,1
2020-11-12,10.0,10.0,9.91,10.0,0.0,156260.0,1551802.0,0
2020-11-18,10.0,10.0,9.9,9.96,-0.4,71250.0,710421.0,-1
2020-11-19,10.0,10.1,9.96,9.99,0.3,30960.0,310283.1,1
2020-11-22,10.0,10.1,10.0,10.02,0.3,112050.0,1122051.0,1
2020-11-23,10.02,10.1,9.78,9.78,-2.4,81900.0,819174.0,-1
2020-11-24,9.7,9.97,9.67,9.85,0.72,56450.0,554073.0,1
2020-11-25,10.04,10.14,9.86,10.02,1.73,169000.0,1698585.0,1
2020-11-26,10.02,10.13,10.02,10.03,0.1,142900.0,1442228.0,1
2020-11-29,10.0,10.25,10.0,10.21,1.79,653050.0,6585770.5,1
2020-11-30,10.21,10.39,10.05,10.2,-0.1,202100.0,2079829.0,-1
2020-12-01,10.0,10.0,9.81,9.86,-3.33,17400.0,172282.5,-1
2020-12-02,9.7,10.09,9.7,10.05,1.93,49550.0,496524.0,1
2020-12-03,9.99,10.01,9.86,10.0,-0.5,117030.0,1168695.32,-1
2020-12-06,9.81,9.81,9.63,9.68,-3.2,16500.0,159558.0,-1
2020-12-07,9.68,9.94,9.68,9.85,1.76,15990.0,156472.2,1
2020-12-08,9.67,9.92,9.67,9.9,0.51,20500.0,199846.0,1
2020-12-09,9.71,9.71,9.65,9.68,-2.22,10710.0,103642.6,-1
2020-12-10,9.59,9.84,9.59,9.67,-0.1,13200.0,127707.0,-1
2020-12-13,9.5,9.75,9.5,9.61,-0.62,22200.0,213687.0,-1
