published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-05-27,1000.0,1000.0,1000.0,1000.0,0.0,25.0,25000.0,0
2021-05-31,1020.0,1055.0,1020.0,1047.0,4.7,125.0,130425.0,1
2021-06-01,1033.0,1050.0,1033.0,1050.0,0.29,65.0,67825.0,1
2021-06-02,1043.0,1043.0,1043.0,1043.0,-0.67,25.0,26075.0,-1
2021-06-03,1060.0,1063.0,1050.0,1050.0,0.67,755.0,802000.0,1
2021-06-06,1042.0,1042.0,1042.0,1042.0,-0.76,30.0,31260.0,-1
2021-06-07,1060.0,1060.0,1047.0,1048.0,0.58,225.0,236255.0,1
2021-06-08,1061.0,1062.0,1050.0,1050.0,0.19,80.0,84635.0,1
2021-06-09,1040.0,1045.0,1040.0,1045.0,-0.48,150.0,156500.0,-1
2021-06-10,1032.0,1032.0,1032.0,1032.0,-1.24,50.0,51600.0,-1
2021-06-13,1052.0,1052.0,1052.0,1052.0,1.94,25.0,26300.0,1
2021-06-14,1052.0,1052.0,1042.0,1042.0,-0.95,75.0,78475.0,-1
2021-06-15,1042.0,1042.0,1042.0,1042.0,0.0,200.0,208400.0,0
2021-06-16,1062.0,1062.0,1062.0,1062.0,1.92,40.0,42480.0,1
2021-06-20,1050.0,1050.0,1050.0,1050.0,-1.13,25.0,26250.0,-1
2021-06-21,1071.0,1071.0,1071.0,1071.0,2.0,50.0,53550.0,1
2021-06-22,1060.0,1060.0,1060.0,1060.0,-1.03,25.0,26500.0,-1
2021-06-27,1060.0,1060.0,1060.0,1060.0,0.0,25.0,26500.0,0
2021-06-29,1043.0,1043.0,1043.0,1043.0,-1.6,25.0,26075.0,-1
2021-06-30,1045.0,1055.0,1045.0,1055.0,1.15,50.0,52500.0,1
2021-07-01,1055.0,1055.0,1055.0,1055.0,0.0,25.0,26375.0,0
2021-07-04,1055.0,1055.0,1055.0,1055.0,0.0,25.0,26375.0,0
2021-07-07,1044.0,1044.0,1044.0,1044.0,-1.04,25.0,26100.0,-1
2021-07-08,1064.0,1064.0,1064.0,1064.0,1.92,25.0,26600.0,1
2021-07-11,1064.0,1064.0,1064.0,1064.0,0.0,25.0,26600.0,0
2021-07-12,1085.0,1085.0,1085.0,1085.0,1.97,100.0,108500.0,1
2021-07-15,1106.0,1106.0,1106.0,1106.0,1.94,15.0,16590.0,1
2021-08-17,1083.9,1083.9,1064.0,1064.0,-3.8,55.0,59415.5,-1
2021-08-18,1042.8,1042.8,1030.0,1040.0,-2.26,275.0,285890.0,-1
2021-08-19,1020.0,1021.0,1020.0,1021.0,-1.83,40.0,40815.0,-1
2021-08-25,1011.0,1020.0,1011.0,1018.0,-0.29,150.0,152725.0,-1
2021-08-29,1021.1,1021.1,1021.0,1021.0,0.29,120.0,122529.5,1
2021-08-31,1018.0,1038.3,1018.0,1038.3,1.69,50.0,51407.5,1
