published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-24,600.0,601.0,591.0,598.0,nan,1158.0,691617.0,0
2011-03-25,598.0,600.0,590.0,590.0,-1.34,2418.0,1429329.0,0
2011-03-27,590.0,585.0,567.0,567.0,-3.90,2004.0,1145446.0,0
2011-03-28,567.0,560.0,544.0,555.0,-2.12,1916.0,1058033.0,0
2011-03-29,555.0,545.0,535.0,545.0,-1.80,1173.0,630969.0,0
2011-03-30,545.0,555.0,547.0,555.0,1.83,344.0,190498.0,0
2011-03-31,555.0,569.0,550.0,550.0,-0.90,2765.0,1537035.0,0
2011-04-04,550.0,561.0,546.0,547.0,-0.55,1165.0,642376.0,0
2011-04-05,547.0,555.0,530.0,539.0,-1.46,1550.0,841550.0,0
2011-04-06,539.0,545.0,536.0,536.0,-0.56,694.0,374831.0,0
2011-04-07,536.0,540.0,529.0,536.0,0.0,1176.0,625954.0,0
2011-04-10,536.0,546.0,529.0,529.0,-1.31,410.0,218698.0,0
2011-04-11,529.0,535.0,530.0,531.0,0.38,983.0,523200.0,0
2011-04-13,531.0,535.0,535.0,535.0,0.75,50.0,26750.0,0
2011-04-17,535.0,530.0,525.0,530.0,-0.93,394.0,208100.0,0
2011-04-18,530.0,525.0,525.0,525.0,-0.94,183.0,96075.0,0
2011-04-19,525.0,520.0,520.0,520.0,-0.95,92.0,47840.0,0
2011-04-20,520.0,530.0,530.0,530.0,1.92,50.0,26500.0,0
2011-04-21,530.0,540.0,530.0,540.0,1.89,112.0,60250.0,0
2011-04-26,540.0,535.0,535.0,535.0,-0.93,115.0,61525.0,0
2011-04-27,535.0,540.0,528.0,532.0,-0.56,1654.0,885145.0,0
2011-04-28,532.0,535.0,525.0,525.0,-1.32,551.0,289815.0,0
2011-05-02,525.0,531.0,525.0,525.0,0.0,468.0,246418.0,0
2011-05-03,525.0,525.0,505.0,507.0,-3.43,1442.0,735946.0,0
2011-05-04,507.0,510.0,500.0,500.0,-1.38,1256.0,628680.0,0
2011-05-05,500.0,503.0,502.0,503.0,0.60,508.0,255444.0,0
2011-05-08,503.0,513.0,510.0,510.0,1.39,330.0,168700.0,0
2011-05-09,510.0,510.0,510.0,510.0,0.0,135.0,68850.0,0
2011-05-10,510.0,529.0,520.0,520.0,1.96,703.0,365866.0,0
2011-05-12,520.0,521.0,521.0,521.0,0.19,86.0,44806.0,0
2011-05-15,521.0,550.0,530.0,550.0,5.57,455.0,247530.0,0
2011-05-16,550.0,561.0,549.0,549.0,-0.18,1087.0,600077.0,0
2011-05-18,549.0,549.0,511.0,511.0,-6.92,1467.0,775024.0,0
2011-05-19,511.0,520.0,502.0,510.0,-0.20,1034.0,525793.0,0
2011-05-22,510.0,511.0,500.0,507.0,-0.59,1782.0,896629.0,0
2011-05-23,507.0,510.0,500.0,500.0,-1.38,2127.0,1067119.0,0
2011-05-24,500.0,510.0,505.0,505.0,1.00,300.0,152000.0,0
2011-05-25,505.0,500.0,500.0,500.0,-0.99,200.0,100000.0,0
2011-05-26,500.0,510.0,510.0,510.0,2.00,300.0,153000.0,0
2011-05-30,510.0,519.0,519.0,519.0,1.76,100.0,51900.0,0
2011-05-31,519.0,515.0,490.0,490.0,-5.59,2772.0,1381080.0,0
2011-06-01,490.0,498.0,492.0,497.0,1.43,304.0,150368.0,0
2011-06-02,497.0,500.0,490.0,497.0,0.0,245.0,121554.0,0
2011-06-05,497.0,489.0,480.0,485.0,-2.41,778.0,375327.0,0
2011-06-06,485.0,490.0,472.0,478.0,-1.44,579.0,276048.0,0
2011-06-07,478.0,473.0,460.0,460.0,-3.77,897.0,415874.0,0
2011-06-08,460.0,453.0,440.0,440.0,-4.35,1378.0,615105.0,0
2011-06-09,440.0,432.0,430.0,430.0,-2.27,522.0,225104.0,0
2011-06-12,430.0,425.0,422.0,425.0,-1.16,134.0,56698.0,0
2011-06-13,425.0,425.0,401.0,401.0,-5.65,1025.0,419555.0,0
2011-06-14,401.0,401.0,380.0,384.0,-4.24,2634.0,1023176.0,0
2011-06-15,384.0,378.0,365.0,378.0,-1.56,1398.0,521037.0,0
2011-06-16,378.0,415.0,380.0,415.0,9.79,1200.0,479729.0,0
2011-06-19,415.0,448.0,423.0,448.0,7.95,820.0,358590.0,0
2011-06-20,415.0,448.0,423.0,448.0,0.0,820.0,358590.0,0
2011-06-21,448.0,492.0,457.0,492.0,9.82,820.0,401695.0,0
2011-06-23,492.0,541.0,501.0,541.0,9.96,7166.0,3838411.0,0
2011-06-26,541.0,595.0,494.0,494.0,-8.69,4703.0,2613992.0,0
2011-06-27,494.0,485.0,446.0,446.0,-9.72,419.0,190786.0,0
2011-06-29,446.0,481.0,432.0,475.0,6.50,2604.0,1202313.0,0
2011-06-30,475.0,489.0,471.0,481.0,1.26,1210.0,576057.0,0
2011-07-03,481.0,475.0,460.0,460.0,-4.37,1618.0,753250.0,0
2011-07-04,460.0,465.0,450.0,465.0,1.09,6115.0,2762916.0,0
2011-07-05,465.0,472.0,450.0,471.0,1.29,12111.0,5532518.0,0
2011-07-06,471.0,511.0,465.0,485.0,2.97,2083.0,1021010.0,0
2011-07-07,485.0,485.0,470.0,472.0,-2.68,2005.0,951022.0,0
2011-07-10,472.0,499.0,472.0,482.0,2.12,2518.0,1221281.0,0
2011-07-11,482.0,500.0,474.0,496.0,2.90,3964.0,1949052.0,0
2011-07-12,496.0,509.0,498.0,500.0,0.81,4255.0,2132740.0,0
2011-07-13,500.0,548.0,506.0,506.0,1.20,2985.0,1542003.0,0
2011-07-14,506.0,520.0,510.0,515.0,1.78,4268.0,2197604.0,0
2011-07-17,515.0,555.0,525.0,555.0,7.77,92.0,49740.0,0
2011-07-18,555.0,588.0,520.0,520.0,-6.31,6026.0,3367607.0,0
2011-07-19,520.0,550.0,520.0,550.0,5.77,1843.0,987405.0,0
2011-07-20,550.0,572.0,550.0,569.0,3.45,5887.0,3287666.0,0
2011-07-21,569.0,580.0,557.0,560.0,-1.58,3386.0,1931476.0,0
2011-07-24,560.0,550.0,519.0,530.0,-5.36,3447.0,1821471.0,0
2011-07-25,530.0,529.0,510.0,529.0,-0.19,824.0,426821.0,0
2011-07-26,529.0,525.0,500.0,515.0,-2.65,2584.0,1315990.0,0
2011-07-27,515.0,550.0,510.0,550.0,6.80,3380.0,1765352.0,0
2011-07-28,550.0,539.0,527.0,528.0,-4.00,1872.0,992396.0,0
2011-07-31,528.0,529.0,520.0,526.0,-0.38,698.0,366397.0,0
2011-08-01,526.0,530.0,516.0,530.0,0.76,2719.0,1422564.0,0
2011-08-02,530.0,526.0,516.0,516.0,-2.64,1408.0,731128.0,0
2011-08-03,516.0,524.0,524.0,524.0,1.55,155.0,81220.0,0
2011-08-04,524.0,526.0,515.0,515.0,-1.72,2935.0,1528157.0,0
2011-08-07,515.0,525.0,524.0,525.0,1.94,514.0,269748.0,0
2011-08-08,525.0,524.0,511.0,514.0,-2.10,1726.0,890520.0,0
2011-08-09,514.0,515.0,508.0,510.0,-0.78,1192.0,609366.0,0
2011-08-10,510.0,527.0,512.0,527.0,3.33,2627.0,1367194.0,0
2011-08-11,527.0,529.0,517.0,529.0,0.38,569.0,297273.0,0
2011-08-15,529.0,530.0,520.0,521.0,-1.51,314.0,165218.0,0
2011-08-16,521.0,534.0,517.0,525.0,0.77,2077.0,1084922.0,0
2011-08-17,525.0,531.0,516.0,523.0,-0.38,3149.0,1644286.0,0
2011-08-18,523.0,540.0,513.0,540.0,3.25,4428.0,2291980.0,0
2011-08-22,540.0,545.0,530.0,536.0,-0.74,1779.0,957690.0,0
2011-08-23,536.0,545.0,527.0,545.0,1.68,3724.0,2010581.0,0
2011-08-24,545.0,552.0,539.0,542.0,-0.55,1212.0,659478.0,0
2011-08-25,542.0,535.0,520.0,525.0,-3.14,865.0,454758.0,0
2011-08-28,525.0,516.0,505.0,509.0,-3.05,971.0,493689.0,0
2011-08-29,509.0,517.0,500.0,517.0,1.57,1399.0,708356.0,0
2011-08-30,517.0,534.0,525.0,528.0,2.13,1003.0,531802.0,0
2011-09-01,528.0,540.0,530.0,530.0,0.38,814.0,437432.0,0
2011-09-04,530.0,525.0,516.0,520.0,-1.89,1879.0,978134.0,0
2011-09-05,520.0,520.0,509.0,514.0,-1.15,1014.0,520709.0,0
2011-09-06,514.0,510.0,504.0,504.0,-1.95,1052.0,534720.0,0
2011-09-07,504.0,505.0,500.0,500.0,-0.79,1691.0,850765.0,0
2011-09-08,500.0,505.0,495.0,500.0,0.0,1259.0,628817.0,0
2011-09-12,500.0,500.0,481.0,481.0,-3.80,681.0,330945.0,0
2011-09-13,481.0,475.0,472.0,475.0,-1.25,970.0,459096.0,0
2011-09-14,475.0,472.0,463.0,465.0,-2.11,3976.0,1855270.0,0
2011-09-15,465.0,472.0,459.0,465.0,0.0,906.0,420066.0,0
2011-09-18,465.0,466.0,465.0,465.0,0.0,160.0,74450.0,0
2011-09-19,465.0,472.0,455.0,472.0,1.51,644.0,296394.0,0
2011-09-20,472.0,475.0,463.0,475.0,0.64,2361.0,1112527.0,0
2011-09-21,475.0,490.0,484.0,490.0,3.16,1125.0,550532.0,0
2011-09-22,490.0,539.0,499.0,539.0,10.00,7553.0,3997171.0,0
2011-09-25,539.0,592.0,549.0,573.0,6.31,13866.0,7988784.0,0
2011-09-26,573.0,570.0,541.0,550.0,-4.01,8527.0,4671254.0,0
2011-09-27,550.0,561.0,550.0,560.0,1.82,1777.0,982850.0,0
2011-09-29,560.0,558.0,545.0,554.0,-1.07,2240.0,1234382.0,0
2011-10-02,554.0,559.0,554.0,556.0,0.36,1118.0,622626.0,0
2011-10-10,556.0,567.0,567.0,567.0,1.98,55.0,31185.0,0
2011-10-12,567.0,578.0,556.0,571.0,0.71,3587.0,2039321.0,0
2011-10-13,571.0,570.0,550.0,562.0,-1.58,2204.0,1228930.0,0
2011-10-16,562.0,567.0,555.0,566.0,0.71,2022.0,1128697.0,0
2011-10-17,566.0,577.0,560.0,565.0,-0.18,1248.0,704296.0,0
2011-10-18,565.0,569.0,565.0,568.0,0.53,1002.0,568021.0,0
2011-10-19,568.0,577.0,557.0,565.0,-0.53,3942.0,2224036.0,0
2011-10-20,565.0,566.0,552.0,555.0,-1.77,8873.0,4958673.0,0
2011-10-23,555.0,571.0,550.0,556.0,0.18,3629.0,2023489.0,0
2011-10-24,556.0,567.0,553.0,553.0,-0.54,7970.0,4423628.0,0
2011-10-25,553.0,564.0,556.0,561.0,1.45,5454.0,3045431.0,0
2011-11-02,561.0,493.0,457.0,493.0,-12.12,312.0,152160.0,0
2011-11-03,493.0,490.0,455.0,470.0,-4.67,938.0,437438.0,0
2011-11-06,470.0,465.0,461.0,465.0,-1.06,1090.0,506040.0,0
2011-11-08,465.0,469.0,469.0,469.0,0.86,20.0,9380.0,0
2011-11-09,469.0,460.0,432.0,432.0,-7.89,2109.0,935489.0,0
2011-11-10,432.0,435.0,435.0,435.0,0.69,78.0,33930.0,0
2011-11-13,435.0,432.0,416.0,416.0,-4.37,706.0,297978.0,0
2011-11-14,416.0,416.0,403.0,408.0,-1.92,1446.0,591897.0,0
2011-11-15,408.0,415.0,405.0,406.0,-0.49,2995.0,1223050.0,0
2011-11-16,406.0,410.0,400.0,407.0,0.25,1947.0,784232.0,0
2011-11-17,407.0,431.0,415.0,431.0,5.90,126.0,53298.0,0
2011-11-20,431.0,440.0,425.0,425.0,-1.39,708.0,305270.0,0
2011-11-21,425.0,436.0,429.0,436.0,2.59,355.0,153110.0,0
2011-11-22,436.0,430.0,422.0,428.0,-1.83,492.0,210014.0,0
2011-11-23,428.0,422.0,421.0,422.0,-1.40,450.0,189700.0,0
2011-11-24,422.0,422.0,418.0,421.0,-0.24,688.0,289100.0,0
2011-11-27,421.0,422.0,420.0,422.0,0.24,231.0,97154.0,0
2011-12-01,423.0,420.0,418.0,420.0,-0.47,867.0,362540.0,0
2011-12-04,420.0,418.0,415.0,416.0,-0.95,555.0,231036.0,0
2011-12-05,416.0,414.0,408.0,408.0,-1.92,1762.0,724487.0,0
2011-12-06,408.0,408.0,401.0,407.0,-0.25,841.0,340052.0,0
2011-12-07,407.0,409.0,405.0,407.0,0.0,2416.0,984166.0,0
2011-12-08,407.0,404.0,392.0,392.0,-3.69,2500.0,996360.0,0
2011-12-11,392.0,400.0,389.0,397.0,1.28,1244.0,489100.0,0
2011-12-12,397.0,419.0,388.0,390.0,-1.76,2515.0,982840.0,0
2011-12-13,390.0,388.0,384.0,388.0,-0.51,636.0,245078.0,0
2011-12-14,388.0,400.0,384.0,394.0,1.55,2250.0,879710.0,0
2011-12-15,394.0,404.0,393.0,394.0,0.0,2199.0,868575.0,0
2011-12-18,394.0,395.0,388.0,388.0,-1.52,1816.0,712788.0,0
2011-12-19,388.0,390.0,390.0,390.0,0.52,276.0,107640.0,0
2011-12-20,390.0,395.0,390.0,395.0,1.28,583.0,228741.0,0
2011-12-21,395.0,398.0,388.0,389.0,-1.52,2098.0,819544.0,0
2011-12-22,389.0,393.0,389.0,389.0,0.0,355.0,138781.0,0
2011-12-26,389.0,393.0,390.0,390.0,0.26,125.0,48825.0,0
2011-12-27,390.0,392.0,385.0,390.0,0.0,804.0,312940.0,0
2011-12-28,390.0,390.0,381.0,381.0,-2.31,3177.0,1222064.0,0
2011-12-29,381.0,390.0,385.0,389.0,2.10,1928.0,744821.0,0
2012-01-01,389.0,410.0,391.0,402.0,3.34,1004.0,396973.0,0
2012-01-02,402.0,419.0,395.0,407.0,1.24,2695.0,1085054.0,0
2012-01-03,407.0,424.0,408.0,408.0,0.25,1439.0,596298.0,0
2012-01-04,408.0,408.0,400.0,400.0,-1.96,1102.0,445169.0,0
2012-01-05,400.0,400.0,393.0,400.0,0.0,1322.0,524372.0,0
2012-01-08,400.0,405.0,398.0,405.0,1.25,889.0,356481.0,0
2012-01-09,405.0,403.0,400.0,401.0,-0.99,1300.0,520563.0,0
2012-01-10,400.0,403.0,400.0,400.0,-0.25,387.0,155171.0,0
2012-01-11,400.0,403.0,403.0,403.0,0.75,97.0,39091.0,0
2012-01-12,403.0,408.0,400.0,400.0,-0.74,1051.0,421993.0,0
2012-01-16,400.0,403.0,396.0,396.0,-1.00,1675.0,665807.0,0
2012-01-17,396.0,391.0,389.0,389.0,-1.77,1115.0,434239.0,0
2012-01-18,389.0,395.0,383.0,383.0,-1.54,3059.0,1178574.0,0
2012-01-19,383.0,395.0,390.0,393.0,2.61,1517.0,598673.0,0
2012-01-22,393.0,400.0,395.0,400.0,1.78,1068.0,423005.0,0
2012-01-23,400.0,398.0,398.0,398.0,-0.50,103.0,40994.0,0
2012-01-26,398.0,400.0,394.0,396.0,-0.50,220.0,87000.0,0
2012-01-29,396.0,397.0,395.0,395.0,-0.25,1267.0,500863.0,0
2012-01-31,395.0,398.0,387.0,387.0,-2.03,1900.0,742580.0,0
2012-02-01,387.0,394.0,380.0,383.0,-1.03,902.0,345892.0,0
2012-02-02,383.0,384.0,384.0,384.0,0.26,280.0,107520.0,0
2012-02-05,384.0,389.0,384.0,385.0,0.26,1953.0,752382.0,0
2012-02-06,385.0,385.0,385.0,385.0,0.0,1788.0,688380.0,0
2012-02-07,385.0,383.0,370.0,370.0,-3.90,2982.0,1120362.0,0
2012-02-08,370.0,375.0,363.0,371.0,0.27,1700.0,627690.0,0
2012-02-09,371.0,379.0,374.0,379.0,2.16,346.0,130072.0,0
2012-02-12,379.0,380.0,380.0,380.0,0.26,813.0,308940.0,0
2012-02-13,380.0,379.0,373.0,379.0,-0.26,1892.0,707316.0,0
2012-02-14,379.0,387.0,380.0,380.0,0.26,542.0,207654.0,0
2012-02-15,380.0,384.0,377.0,377.0,-0.79,821.0,310545.0,0
2012-02-16,377.0,388.0,380.0,388.0,2.92,753.0,287131.0,0
2012-02-21,388.0,388.0,378.0,378.0,-2.58,374.0,143022.0,0
2012-02-23,378.0,380.0,370.0,372.0,-1.59,1705.0,635518.0,0
2012-02-26,372.0,372.0,370.0,372.0,0.0,271.0,100348.0,0
2012-02-27,372.0,370.0,370.0,370.0,-0.54,1654.0,611980.0,0
2012-02-28,370.0,386.0,370.0,380.0,2.70,1294.0,484038.0,0
2012-02-29,380.0,385.0,375.0,382.0,0.53,1385.0,521895.0,0
2012-03-01,382.0,387.0,384.0,384.0,0.52,1266.0,487233.0,0
2012-03-04,384.0,389.0,384.0,385.0,0.26,2202.0,848986.0,0
2012-03-05,385.0,381.0,378.0,378.0,-1.82,1790.0,679404.0,0
2012-03-06,378.0,385.0,380.0,380.0,0.53,605.0,231575.0,0
2012-03-11,380.0,384.0,371.0,377.0,-0.79,387.0,145581.0,0
2012-03-12,377.0,382.0,368.0,370.0,-1.86,1900.0,704725.0,0
2012-03-13,370.0,381.0,370.0,381.0,2.97,168.0,62843.0,0
2012-03-14,381.0,380.0,369.0,375.0,-1.57,1781.0,660206.0,0
2012-03-15,375.0,375.0,368.0,370.0,-1.33,970.0,358396.0,0
2012-03-18,370.0,374.0,367.0,369.0,-0.27,1465.0,540907.0,0
2012-03-19,369.0,370.0,365.0,365.0,-1.08,2593.0,951265.0,0
2012-03-20,365.0,370.0,358.0,370.0,1.37,1703.0,612393.0,0
2012-03-21,370.0,377.0,370.0,377.0,1.89,211.0,78210.0,0
2012-03-25,377.0,377.0,377.0,377.0,0.0,64.0,24128.0,0
2012-03-26,377.0,370.0,360.0,362.0,-3.98,861.0,312961.0,0
2012-03-27,362.0,362.0,360.0,360.0,-0.55,2652.0,955150.0,0
