published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-27,10.0,10.0,9.0,9.0,-10.0,6800.0,61839.0,-1
2023-04-30,8.83,8.83,8.1,8.2,-8.89,14350.0,121457.0,-1
2023-05-02,8.04,8.19,7.61,8.04,-1.95,7100.0,57094.0,-1
2023-05-03,8.0,8.0,7.45,7.61,-5.35,2450.0,19061.0,-1
2023-05-04,7.6,8.37,7.19,8.36,9.86,8587.0,66387.94,1
2023-05-07,8.2,8.2,7.88,7.98,-4.55,2500.0,19860.0,-1
2023-05-08,7.87,8.37,7.59,8.37,4.89,4450.0,34684.75,1
2023-05-09,8.21,8.21,7.9,8.14,-2.75,4225.0,34031.75,-1
2023-05-10,7.98,8.0,7.68,7.93,-2.58,3050.0,24066.5,-1
2023-05-11,7.78,7.89,7.63,7.89,-0.5,3400.0,26548.0,-1
2023-05-14,7.89,7.89,7.4,7.59,-3.8,3975.0,30372.0,-1
2023-05-15,7.74,8.34,7.74,8.34,9.88,6250.0,49647.75,1
2023-05-16,8.49,8.65,7.87,7.87,-5.64,6345.0,52700.35,-1
2023-05-17,7.8,8.29,7.45,8.29,5.34,2675.0,20607.25,1
2023-05-18,8.14,8.15,7.99,8.03,-3.14,12000.0,97447.5,-1
2023-05-21,8.18,8.45,8.18,8.19,1.99,3800.0,31722.0,1
2023-05-22,8.04,8.18,8.04,8.04,-1.83,1600.0,12907.0,-1
2023-05-23,8.04,8.52,7.9,8.33,3.61,4100.0,33605.0,1
2023-05-24,8.17,8.17,8.04,8.14,-2.28,1200.0,9698.0,-1
2023-05-28,7.98,8.29,7.94,8.29,1.84,3600.0,29170.0,1
2023-05-30,8.13,8.29,7.99,8.0,-3.5,10200.0,83171.25,-1
2023-05-31,8.0,8.16,7.9,8.16,2.0,2350.0,18823.0,1
2023-06-01,8.0,8.17,8.0,8.17,0.12,500.0,4067.0,1
2023-06-04,8.2,8.32,8.0,8.32,1.84,3825.0,30812.5,1
2023-06-05,8.47,8.79,8.43,8.43,1.32,2025.0,17278.45,1
2023-06-06,8.27,8.51,7.8,8.51,0.95,5050.0,40286.5,1
2023-06-07,8.35,8.35,8.05,8.21,-3.53,1000.0,8192.0,-1
2023-06-08,8.1,8.15,8.1,8.11,-1.22,1700.0,13795.0,-1
2023-06-11,7.95,8.43,7.67,8.25,1.73,5500.0,44049.5,1
2023-06-12,8.2,8.46,7.91,8.0,-3.03,14950.0,119399.75,-1
2023-06-13,7.93,8.08,7.92,7.95,-0.62,2300.0,18279.0,-1
2023-06-14,7.95,8.02,7.93,8.02,0.88,4400.0,35205.0,1
2023-06-15,8.02,8.02,7.93,7.93,-1.12,700.0,5579.0,-1
2023-06-18,7.97,8.33,7.97,8.33,5.04,1800.0,14572.25,1
2023-06-19,8.49,8.82,8.33,8.65,3.84,3276.0,28186.4,1
2023-06-20,8.48,8.48,8.16,8.32,-3.82,10300.0,85704.0,-1
2023-06-21,8.16,8.79,8.16,8.79,5.65,2650.0,21980.5,1
2023-06-22,8.62,8.62,8.3,8.31,-5.46,6625.0,55785.75,-1
