published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-06-03,10.0,10.0,9.0,9.0,-10.0,4980.0,46507.0,-1
2024-06-04,8.82,8.82,8.67,8.8,-2.22,16490.0,143944.6,-1
2024-06-05,8.64,8.7,8.64,8.7,-1.14,4250.0,36793.0,-1
2024-06-06,8.53,8.7,8.44,8.53,-1.95,5681.0,48370.76,-1
2024-06-09,8.38,8.5,8.38,8.41,-1.41,8250.0,69407.5,-1
2024-06-10,8.41,8.45,8.25,8.4,-0.12,1900.0,15845.0,-1
2024-06-11,8.25,8.5,8.25,8.5,1.19,3750.0,31269.0,1
2024-06-12,8.45,8.84,8.45,8.84,4.0,3700.0,32007.0,1
2024-06-13,8.9,8.91,8.54,8.54,-3.39,1810.0,15800.6,-1
2024-06-16,8.37,8.37,8.21,8.25,-3.4,2400.0,19868.0,-1
2024-06-18,8.09,8.25,8.01,8.11,-1.7,2830.0,22950.5,-1
2024-06-19,7.95,8.13,7.95,8.13,0.25,1220.0,9780.2,1
2024-06-20,8.13,8.3,7.97,8.3,2.09,7760.0,63981.0,1
2024-06-23,8.14,8.24,8.14,8.15,-1.81,2880.0,23492.0,-1
2024-06-24,8.15,8.65,8.15,8.65,6.13,3715.0,31011.95,1
2024-06-25,8.75,8.75,8.3,8.3,-4.05,2500.0,20927.0,-1
2024-06-26,8.4,8.56,8.31,8.56,3.13,6800.0,57109.0,1
2024-06-27,8.6,8.89,8.55,8.89,3.86,11380.0,100521.2,1
2024-06-30,8.72,8.89,8.55,8.55,-3.82,1950.0,16961.5,-1
2024-07-01,8.5,8.5,8.33,8.38,-1.99,2720.0,22803.4,-1
2024-07-02,8.22,8.38,8.22,8.38,0.0,5000.0,41321.0,0
2024-07-03,8.4,8.4,8.36,8.36,-0.24,600.0,5032.0,-1
2024-07-04,8.35,8.51,8.35,8.36,0.0,2650.0,22204.5,0
2024-07-07,8.36,8.56,8.36,8.5,1.67,3450.0,29197.0,1
2024-07-08,8.5,8.5,8.35,8.5,0.0,4450.0,37592.5,0
2024-07-09,8.35,8.7,8.35,8.65,1.76,10900.0,93782.5,1
2024-07-10,8.82,8.82,8.65,8.65,0.0,5110.0,45051.5,0
2024-07-11,8.82,9.51,8.82,9.5,9.83,15750.0,142499.0,1
2024-07-14,9.69,9.69,9.5,9.6,1.05,1400.0,13336.0,1
2024-07-15,9.6,10.55,9.6,10.0,4.17,32430.0,321125.4,1
2024-07-16,9.81,9.81,9.43,9.48,-5.2,1700.0,16112.0,-1
2024-07-17,9.3,9.3,8.78,8.78,-7.38,9335.0,84282.4,-1
2024-07-18,8.7,8.95,8.62,8.79,0.11,3598.0,31489.35,1
2024-07-21,8.62,8.67,8.3,8.65,-1.59,2720.0,23259.4,-1
2024-07-22,8.48,8.98,8.48,8.98,3.82,514990.0,4447708.6,1
2024-07-23,8.81,9.28,8.81,9.28,3.34,33590.0,305842.0,1
2024-07-24,9.1,9.28,8.92,9.28,0.0,11500.0,104735.0,0
2024-07-25,9.1,9.28,9.0,9.15,-1.4,303550.0,2762098.0,-1
2024-07-28,9.0,9.0,8.45,9.0,-1.64,11650.0,100502.0,-1
2024-07-29,9.0,9.18,8.91,8.97,-0.33,12761.0,115044.5,-1
2024-07-30,8.9,8.9,8.81,8.87,-1.11,7150.0,63081.65,-1
2024-07-31,8.81,9.0,8.81,8.89,0.23,12130.0,107626.2,1
2024-08-01,8.9,9.0,8.84,8.86,-0.34,27700.0,248227.8,-1
2024-08-05,8.86,8.9,8.7,8.8,-0.68,13291.0,115958.7,-1
2024-08-06,8.7,8.7,8.5,8.7,-1.14,26700.0,229862.0,-1
2024-08-07,8.56,8.8,8.56,8.62,-0.92,17500.0,151293.0,-1
2024-08-08,8.79,8.87,8.6,8.87,2.9,5200.0,45323.0,1
2024-08-11,8.7,8.87,8.7,8.8,-0.79,45900.0,401251.5,-1
2024-08-12,8.7,9.0,8.7,8.82,0.23,35700.0,317571.5,1
2024-08-13,8.7,8.89,8.66,8.68,-1.59,452055.0,3976409.95,-1
2024-08-14,8.68,9.02,8.66,9.02,3.92,186045.0,1657339.0,1
2024-08-15,9.0,9.2,8.85,9.18,1.77,21700.0,193305.0,1
