published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-27,10.0,10.65,10.0,10.17,0.0,47600.0,488356.2,0
2021-06-28,10.1,10.2,10.0,10.1,-0.69,26700.0,269198.0,-1
2021-06-29,10.1,10.15,10.05,10.06,-0.4,8880.0,89392.3,-1
2021-06-30,10.01,10.05,10.01,10.05,-0.1,9600.0,96202.0,-1
2021-07-01,10.03,10.1,9.95,10.0,-0.5,36300.0,363641.85,-1
2021-07-04,10.0,10.04,9.91,9.99,-0.1,18800.0,187955.5,-1
2021-07-05,9.98,10.1,9.98,10.1,1.1,127750.0,1285608.2,1
2021-07-06,10.0,10.0,9.91,10.0,-0.99,13700.0,136975.0,-1
2021-07-07,10.0,10.0,9.89,10.0,0.0,14890.0,148697.6,0
2021-07-08,9.9,10.0,9.9,10.0,0.0,5750.0,57406.0,0
2021-07-11,9.9,10.01,9.9,10.01,0.1,8320.0,82883.9,1
2021-07-12,10.01,10.05,9.86,9.94,-0.7,28550.0,284635.5,-1
2021-07-13,9.75,10.1,9.75,10.03,0.91,13900.0,139359.0,1
2021-07-14,9.83,10.13,9.83,10.03,0.0,25300.0,254265.0,0
2021-07-15,10.1,10.81,10.0,10.81,7.78,64070.0,651484.1,1
2021-07-18,10.6,10.6,10.04,10.23,-5.37,58796.0,599182.3,-1
2021-07-19,10.03,10.15,10.03,10.15,-0.78,39660.0,399813.16,-1
2021-07-20,10.02,10.8,10.02,10.5,3.45,524915.0,5459026.65,1
2021-07-22,10.71,11.42,10.7,11.09,5.62,1328165.0,14657065.35,1
2021-07-25,10.87,11.02,10.65,10.97,-1.08,189640.0,2055349.05,-1
2021-07-26,11.0,11.18,10.65,10.99,0.18,220287.0,2419208.82,1
2021-07-27,10.78,10.9,10.5,10.66,-3.0,41586.0,444663.4,-1
2021-07-28,10.45,11.2,10.45,11.13,4.41,93034.0,1021445.92,1
2021-07-29,10.91,11.12,10.8,11.09,-0.36,188908.0,2088458.68,-1
2021-08-01,11.31,11.53,10.75,10.75,-3.07,213880.0,2356993.2,-1
2021-08-02,10.6,10.83,10.6,10.75,0.0,44800.0,481730.0,0
2021-08-03,10.54,10.8,10.54,10.61,-1.3,41600.0,445199.0,-1
2021-08-04,10.61,10.66,10.5,10.66,0.47,77470.0,820434.4,1
2021-08-05,10.81,10.81,10.5,10.81,1.41,22750.0,243214.0,1
2021-08-08,11.02,11.02,10.39,10.79,-0.19,49565.0,531882.95,-1
2021-08-09,10.59,10.78,10.29,10.6,-1.76,160850.0,1706315.0,-1
2021-08-10,10.8,10.81,10.5,10.63,0.28,128810.0,1365346.2,1
2021-08-11,10.5,10.8,10.38,10.65,0.19,76250.0,810771.5,1
2021-08-12,10.55,10.85,10.55,10.8,1.41,80250.0,858775.5,1
2021-08-15,10.78,10.78,10.5,10.69,-1.02,37650.0,400104.0,-1
2021-08-16,10.5,10.8,10.39,10.47,-2.06,28600.0,302201.5,-1
2021-08-17,10.4,10.5,10.25,10.3,-1.62,44990.0,464851.3,-1
2021-08-18,10.25,10.35,10.16,10.32,0.19,48260.0,493635.1,1
2021-08-19,10.2,10.32,10.12,10.3,-0.19,70500.0,719077.0,-1
2021-08-24,10.2,10.25,10.1,10.25,-0.49,14550.0,147782.0,-1
2021-08-25,10.25,10.25,10.04,10.2,-0.49,53290.0,542936.0,-1
2021-08-26,10.2,10.24,10.12,10.15,-0.49,44160.0,448183.0,-1
2021-08-29,10.05,10.35,10.04,10.15,0.0,46850.0,473640.5,0
2021-08-31,10.02,10.22,10.02,10.15,0.0,62700.0,633880.5,0
2021-09-01,10.02,10.25,10.02,10.1,-0.49,31400.0,319739.9,-1
2021-09-02,10.0,10.29,9.99,10.11,0.1,35640.0,363080.6,1
2021-09-05,10.0,10.25,9.82,10.25,1.38,40000.0,403274.0,1
2021-09-06,10.1,10.45,10.0,10.45,1.95,38530.0,391469.0,1
2021-09-07,10.45,10.45,10.05,10.05,-3.83,56780.0,572139.0,-1
2021-09-08,10.05,10.06,10.05,10.05,0.0,3400.0,34180.0,0
2021-09-09,10.0,10.05,9.9,9.96,-0.9,21640.0,216518.7,-1
2021-09-12,10.0,10.01,9.77,9.89,-0.7,21448.0,213045.0,-1
2021-09-13,9.9,10.02,9.89,9.89,0.0,29937.0,297559.13,0
2021-09-14,9.81,10.05,9.81,10.0,1.11,10290.0,102499.0,1
2021-09-15,9.81,10.0,9.81,10.0,0.0,13850.0,138311.0,0
2021-09-16,9.81,9.9,9.81,9.9,-1.0,71700.0,708227.0,-1
2021-09-20,9.9,9.9,9.72,9.75,-1.52,18670.0,181858.02,-1
2021-09-21,9.57,9.9,9.57,9.71,-0.41,28360.0,276485.5,-1
2021-09-22,9.9,10.0,9.71,9.89,1.85,35650.0,351669.0,1
2021-09-23,9.89,10.05,9.89,9.9,0.1,14050.0,140258.5,1
2021-09-26,9.83,10.09,9.7,9.71,-1.92,4190.0,40966.5,-1
2021-09-27,9.58,9.71,9.5,9.6,-1.13,18480.0,177224.8,-1
2021-09-28,9.41,9.6,9.41,9.5,-1.04,4300.0,40950.0,-1
2021-09-29,9.39,9.5,9.3,9.41,-0.95,15350.0,144301.0,-1
2021-09-30,9.59,9.6,9.27,9.3,-1.17,52010.0,490364.9,-1
2021-10-03,9.12,9.51,9.12,9.25,-0.54,11000.0,103753.0,-1
2021-10-04,9.1,9.24,9.1,9.2,-0.54,5000.0,46149.0,-1
2021-10-05,9.02,9.56,9.02,9.56,3.91,14640.0,136817.6,1
2021-10-06,9.69,9.74,9.5,9.5,-0.63,27235.0,261191.4,-1
2021-10-10,9.39,9.42,9.35,9.35,-1.58,25765.0,242131.0,-1
2021-10-11,9.4,9.72,9.4,9.5,1.6,40175.0,382668.65,1
2021-10-17,9.5,9.55,9.11,9.54,0.42,22300.0,205890.87,1
2021-10-18,9.4,9.59,9.3,9.41,-1.36,22800.0,213325.0,-1
2021-10-19,9.27,9.56,9.2,9.56,1.59,30096.0,279332.11,1
2021-10-20,9.6,9.75,9.5,9.75,1.99,20695.0,200391.25,1
2021-10-21,9.6,9.8,9.6,9.8,0.51,7500.0,73020.0,1
2021-10-24,9.85,9.85,9.61,9.62,-1.84,6413.0,62541.93,-1
2021-10-25,9.45,9.76,9.29,9.76,1.46,5012.0,47488.0,1
2021-10-26,9.76,9.8,9.7,9.76,0.0,12400.0,120688.0,0
2021-10-27,9.6,9.76,9.42,9.68,-0.82,12020.0,116342.6,-1
2021-10-28,9.49,9.83,9.49,9.5,-1.86,36400.0,348477.5,-1
2021-10-31,9.5,9.6,9.34,9.6,1.05,4200.0,39978.0,1
2021-11-01,9.6,9.79,9.55,9.79,1.98,17100.0,166035.3,1
2021-11-02,9.6,9.89,9.6,9.7,-0.92,8540.0,83029.5,-1
2021-11-03,9.51,10.08,9.51,9.9,2.06,20070.0,199277.5,1
2021-11-08,9.71,9.89,9.36,9.72,-1.82,26450.0,258149.6,-1
2021-11-09,9.55,10.18,9.55,9.61,-1.13,12700.0,125542.0,-1
2021-11-11,9.8,9.8,9.59,9.78,1.77,28950.0,280431.0,1
2021-11-14,9.6,9.7,9.42,9.61,-1.74,5500.0,52644.0,-1
2021-11-15,9.6,9.7,9.3,9.5,-1.14,40230.0,380934.14,-1
2021-11-16,9.5,9.7,9.4,9.55,0.53,22769.0,217359.6,1
2021-11-17,9.55,9.74,9.55,9.55,0.0,5161.0,49705.2,0
2021-11-18,9.5,9.69,9.36,9.56,0.1,6070.0,57824.18,1
2021-11-21,9.56,9.75,9.42,9.46,-1.05,4400.0,41867.0,-1
2021-11-22,9.4,9.58,9.4,9.58,1.27,6820.0,64676.0,1
2021-11-23,9.39,9.46,9.39,9.46,-1.25,3420.0,32226.0,-1
2021-11-24,9.31,9.53,9.31,9.37,-0.95,11050.0,103371.5,-1
2021-11-25,9.37,9.59,9.31,9.5,1.39,12100.0,114495.0,1
2021-11-28,9.5,9.5,9.31,9.33,-1.79,9665.0,90115.5,-1
2021-11-29,9.51,9.51,9.31,9.37,0.43,9880.0,92956.0,1
2021-11-30,9.3,9.35,9.2,9.35,-0.21,28450.0,263157.5,-1
2021-12-01,9.17,9.44,9.17,9.3,-0.53,4300.0,40122.0,-1
2021-12-02,9.2,9.48,9.2,9.26,-0.43,32100.0,297208.0,-1
2021-12-05,9.09,9.2,8.72,8.72,-5.83,39300.0,356168.4,-1
2021-12-06,8.56,9.2,8.56,9.1,4.36,9833.0,88802.6,1
2021-12-07,9.1,9.2,9.02,9.11,0.11,9860.0,90037.7,1
2021-12-08,8.96,9.05,8.96,8.98,-1.43,21140.0,190281.0,-1
2021-12-09,8.83,9.03,8.83,9.03,0.56,12450.0,111299.0,1
2021-12-12,9.0,9.28,9.0,9.0,-0.33,24100.0,218726.0,-1
2021-12-13,9.0,9.0,8.67,8.8,-2.22,13265.0,117495.65,-1
2021-12-14,8.8,8.97,8.8,8.97,1.93,9500.0,85130.0,1
2021-12-15,9.0,9.0,8.82,8.9,-0.78,5070.0,45294.5,-1
2021-12-16,9.06,9.06,8.74,8.82,-0.9,2290.0,20306.0,-1
2021-12-20,8.73,8.9,8.73,8.86,0.45,10090.0,89670.0,1
2021-12-21,8.86,9.0,8.86,8.88,0.23,4070.0,36149.6,1
2021-12-22,8.74,9.59,8.74,9.45,6.42,23142.0,208434.4,1
2021-12-23,9.27,9.28,9.11,9.25,-2.12,4800.0,44375.0,-1
2021-12-26,9.11,9.25,8.95,9.1,-1.62,6900.0,62395.0,-1
2021-12-27,8.95,9.2,8.95,9.1,0.0,47965.0,438551.7,0
2021-12-28,8.98,9.1,8.93,9.0,-1.1,11690.0,105750.0,-1
2021-12-29,8.85,9.07,8.84,9.0,0.0,2800.0,25134.0,0
2022-01-02,8.82,9.1,8.82,8.91,-1.0,5450.0,49240.5,-1
2022-01-03,8.91,9.2,8.91,9.08,1.91,3700.0,33829.0,1
2022-01-04,8.94,9.2,8.94,9.2,1.32,13858.0,126395.75,1
2022-01-05,9.1,9.17,9.0,9.17,-0.33,11496.0,104253.1,-1
2022-01-06,8.99,9.36,8.91,9.36,2.07,28000.0,253342.0,1
2022-01-09,9.18,9.43,9.18,9.35,-0.11,30600.0,286537.6,-1
2022-01-10,9.51,9.7,9.02,9.2,-1.6,41100.0,383318.0,-1
2022-01-11,9.19,9.3,9.15,9.15,-0.54,5800.0,53287.0,-1
2022-01-12,9.11,9.53,9.11,9.33,1.97,28552.0,263863.04,1
2022-01-13,9.3,9.39,9.16,9.32,-0.11,36450.0,335445.0,-1
2022-01-16,9.18,9.63,9.05,9.55,2.47,27170.0,255622.96,1
2022-01-17,9.4,9.74,9.25,9.6,0.52,40091.0,381962.75,1
2022-01-18,9.49,9.6,9.3,9.46,-1.46,16370.0,155797.3,-1
2022-01-19,9.49,10.19,9.49,9.69,2.43,67850.0,671176.3,1
2022-01-20,9.55,9.8,9.42,9.8,1.14,9550.0,92267.0,1
2022-01-23,9.61,9.64,9.42,9.64,-1.63,28400.0,269108.0,-1
2022-01-24,9.46,9.56,9.31,9.56,-0.83,16920.0,160941.6,-1
2022-01-25,9.37,9.63,9.37,9.63,0.73,24745.0,233342.0,1
2022-01-26,9.45,9.45,9.31,9.31,-3.32,15880.0,148878.1,-1
