published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-07-29,700.00,714.00,700.00,713.00,0.00,12604.00,8939723.00,0
2013-07-30,713.00,739.00,710.00,733.00,0.00,11888.00,8590758.00,0
2013-07-31,733.00,743.00,720.00,732.00,0.00,16045.00,11787525.00,0
2013-08-01,732.00,746.00,722.00,726.00,0.00,16832.00,12302375.00,0
2013-08-04,726.00,730.00,710.00,710.00,0.00,13593.00,9764636.00,0
2013-08-05,710.00,710.00,690.00,702.00,0.00,10674.00,7425449.00,0
2013-08-06,702.00,707.00,662.00,700.00,0.00,10700.00,7376725.00,0
2013-08-07,700.00,707.00,686.00,690.00,0.00,9805.00,6753569.00,0
2013-08-08,690.00,690.00,670.00,670.00,0.00,21368.00,14503554.00,0
2013-08-11,670.00,670.00,660.00,663.00,0.00,6558.00,4354716.00,0
2013-08-12,663.00,664.00,655.00,657.00,0.00,5132.00,3383283.00,0
2013-08-13,657.00,665.00,650.00,658.00,0.00,4580.00,3018553.00,0
2013-08-14,658.00,655.00,628.00,628.00,0.00,10225.00,6616400.00,0
2013-08-15,628.00,628.00,604.00,614.00,0.00,10293.00,6374502.00,0
2013-08-18,614.00,642.00,614.00,638.00,0.00,8933.00,5678281.00,0
2013-08-19,638.00,649.00,632.00,640.00,0.00,4023.00,2567553.00,0
2013-08-20,640.00,652.00,635.00,647.00,0.00,11568.00,7471614.00,0
2013-08-25,647.00,647.00,638.00,644.00,0.00,6208.00,3985282.00,0
2013-08-26,644.00,645.00,628.00,631.00,0.00,6237.00,3933815.00,0
2013-08-27,631.00,650.00,626.00,640.00,0.00,11433.00,7327615.00,0
2013-08-29,640.00,645.00,631.00,638.00,0.00,23136.00,14663564.00,0
2013-09-01,638.00,638.00,630.00,635.00,0.00,7678.00,4853161.00,0
2013-09-02,635.00,641.00,626.00,635.00,0.00,10758.00,6836257.00,0
2013-09-03,635.00,638.00,629.00,630.00,0.00,20263.00,12768397.00,0
2013-09-04,630.00,642.00,622.00,625.00,0.00,3978.00,2486535.00,0
2013-09-05,625.00,625.00,621.00,625.00,0.00,4271.00,2663930.00,0
2013-09-08,625.00,634.00,620.00,621.00,0.00,21774.00,13534549.00,0
2013-09-09,621.00,634.00,620.00,633.00,0.00,8818.00,5556509.00,0
2013-09-10,633.00,638.00,620.00,620.00,0.00,5479.00,3447803.00,0
2013-09-11,620.00,625.00,616.00,625.00,0.00,8212.00,5103595.00,0
2013-09-12,625.00,622.00,619.00,622.00,0.00,1797.00,1114701.00,0
2013-09-15,622.00,623.00,618.00,618.00,0.00,4941.00,3066631.00,0
2013-09-16,618.00,617.00,605.00,615.00,0.00,3632.00,2224259.00,0
2013-09-17,615.00,614.00,608.00,611.00,0.00,6735.00,4118403.00,0
2013-09-19,611.00,610.00,600.00,610.00,0.00,5987.00,3602338.00,0
2013-09-22,598.00,598.00,587.00,594.00,0.00,2361.00,1399735.00,0
2013-09-23,594.00,596.00,584.00,596.00,0.00,6184.00,3643762.00,0
2013-09-24,596.00,604.00,597.00,603.00,0.00,5223.00,3139471.00,0
2013-09-25,603.00,598.00,590.00,598.00,0.00,3376.00,2008305.00,0
2013-09-26,598.00,605.00,593.00,594.00,0.00,2222.00,1322867.00,0
2013-09-29,594.00,594.00,588.00,593.00,0.00,5097.00,3009815.00,0
2013-09-30,593.00,590.00,581.00,584.00,0.00,2382.00,1395864.00,0
2013-10-01,584.00,589.00,581.00,584.00,0.00,3171.00,1856604.00,0
2013-10-02,584.00,596.00,579.00,595.00,0.00,1017.00,594448.00,0
2013-10-03,595.00,595.00,584.00,595.00,0.00,2064.00,1215128.00,0
2013-10-06,595.00,607.00,587.00,607.00,0.00,2617.00,1562656.00,0
2013-10-07,607.00,646.00,599.00,622.00,0.00,431.00,264381.00,0
2013-10-08,622.00,617.00,605.00,615.00,0.00,1616.00,987970.00,0
2013-10-09,615.00,615.00,595.00,615.00,0.00,944.00,575065.00,0
2013-10-10,615.00,620.00,603.00,620.00,0.00,2612.00,1609031.00,0
2013-10-17,620.00,647.00,620.00,635.00,0.00,2059.00,1310164.00,0
2013-10-20,635.00,663.00,635.00,660.00,0.00,7738.00,5082452.00,0
2013-10-21,660.00,693.00,652.00,666.00,0.00,9821.00,6676177.00,0
2013-10-22,666.00,665.00,645.00,645.00,0.00,9367.00,6115328.00,0
2013-10-23,645.00,644.00,635.00,640.00,0.00,3207.00,2053265.00,0
2013-10-24,640.00,641.00,630.00,638.00,0.00,4392.00,2791280.00,0
2013-10-27,638.00,643.00,610.00,627.00,0.00,20010.00,12236459.00,0
2013-10-28,627.00,621.00,613.00,620.00,0.00,4234.00,2613891.00,0
2013-10-29,620.00,640.00,618.00,630.00,0.00,7580.00,4712523.00,0
2013-10-30,630.00,641.00,616.00,641.00,0.00,4278.00,2723268.00,0
2013-10-31,641.00,645.00,622.00,630.00,0.00,13446.00,8512122.00,0
2013-11-06,630.00,627.00,615.00,627.00,0.00,1100.00,683804.00,0
2013-11-07,627.00,655.00,628.00,635.00,0.00,3833.00,2431873.00,0
2013-11-10,635.00,642.00,630.00,630.00,0.00,5508.00,3496064.00,0
