published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-12,10.0,10.0,9.81,10.0,0.0,2100.0,20866.0,0
2022-09-14,9.81,9.81,9.0,9.0,-10.0,16900.0,154177.0,-1
2022-09-15,8.82,8.82,8.1,8.28,-8.0,14670.0,121282.7,-1
2022-09-16,8.12,8.24,7.97,8.1,-2.17,15500.0,125755.7,-1
2022-09-18,8.1,8.16,8.1,8.1,0.0,5160.0,41960.5,0
2022-09-20,7.95,8.26,7.95,8.0,-1.23,3300.0,26544.0,-1
2022-09-21,7.84,8.58,7.84,7.98,-0.25,5400.0,43245.0,-1
2022-09-22,7.83,8.0,7.83,8.0,0.25,3020.0,23891.0,1
2022-09-25,8.02,8.02,7.77,7.8,-2.5,2800.0,21947.0,-1
2022-09-27,7.65,7.86,7.65,7.74,-0.77,2975.0,23121.5,-1
2022-09-28,7.59,7.73,7.3,7.6,-1.81,2100.0,15897.0,-1
2022-09-29,7.59,7.71,7.59,7.7,1.32,800.0,6130.0,1
2022-10-09,7.59,7.77,7.59,7.65,-0.65,3100.0,23720.0,-1
2022-10-10,7.65,7.9,7.65,7.9,3.27,1800.0,13965.0,1
2022-10-11,7.76,8.21,7.76,8.19,3.67,3800.0,30558.0,1
2022-10-12,8.03,8.19,7.89,8.0,-2.32,6475.0,52015.93,-1
2022-10-13,7.85,8.22,7.85,8.06,0.75,2775.0,21942.25,1
2022-10-16,7.9,7.91,7.9,7.91,-1.86,750.0,5926.0,-1
2022-10-17,7.8,8.01,7.8,7.9,-0.13,2900.0,22890.14,-1
2022-10-19,7.8,8.05,7.8,7.9,0.0,2600.0,20564.0,0
2022-10-20,7.9,8.0,7.86,8.0,1.27,1700.0,13556.0,1
2022-10-23,7.86,8.0,7.86,7.9,-1.25,1300.0,10244.0,-1
2022-10-31,8.0,8.1,8.0,8.1,2.53,2900.0,23350.0,1
2022-11-01,7.94,8.06,7.94,8.0,-1.23,2200.0,17517.0,-1
2022-11-02,8.0,8.1,8.0,8.0,0.0,2000.0,16030.0,0
2022-11-03,7.99,8.0,7.85,7.85,-1.88,3775.0,30007.25,-1
2022-11-06,7.85,7.9,7.82,7.87,0.25,1700.0,13341.0,1
2022-11-07,7.8,8.16,7.8,8.16,3.68,8475.0,68472.0,1
2022-11-08,8.06,8.25,8.06,8.1,-0.74,1000.0,8121.0,-1
2022-11-09,8.0,8.1,7.95,7.97,-1.6,4600.0,36691.0,-1
2022-11-10,7.97,7.97,7.83,7.86,-1.38,1800.0,14238.0,-1
2022-11-13,7.71,7.86,7.71,7.86,0.0,1950.0,15247.0,0
2022-11-14,7.85,7.9,7.76,7.79,-0.89,600.0,4685.0,-1
2022-11-15,7.67,7.9,7.67,7.9,1.41,1300.0,10122.0,1
2022-11-16,7.9,8.0,7.9,8.0,1.27,500.0,3990.0,1
2022-11-17,7.85,8.2,7.85,8.0,0.0,1825.0,14563.25,0
2022-11-22,7.86,7.87,7.86,7.87,-1.63,2900.0,22797.0,-1
2022-11-23,7.87,7.9,7.85,7.9,0.38,2855.0,22532.75,1
2022-11-24,7.86,7.94,7.86,7.94,0.51,2300.0,18128.0,1
2022-11-27,7.85,8.09,7.85,7.93,-0.13,1500.0,11868.0,-1
2022-11-28,7.85,7.9,7.85,7.9,-0.38,700.0,5510.0,-1
2022-11-29,7.86,7.88,7.86,7.88,-0.25,1850.0,14553.0,-1
2022-11-30,7.85,7.9,7.85,7.88,0.0,1600.0,12596.0,0
2022-12-01,7.88,8.03,7.87,8.03,1.9,3600.0,28713.0,1
2022-12-04,7.89,8.03,7.89,8.03,0.0,1800.0,14362.0,0
2022-12-05,7.87,8.02,7.77,7.9,-1.62,2600.0,20568.0,-1
2022-12-06,7.75,7.9,7.75,7.8,-1.27,1600.0,12482.0,-1
2022-12-07,7.7,7.95,7.7,7.86,0.77,2420.0,18889.0,1
2022-12-11,7.75,7.93,7.75,7.78,-1.02,52690.0,417424.0,-1
2022-12-12,7.75,7.81,7.75,7.79,0.13,1500.0,11677.0,1
2022-12-13,7.67,7.82,7.67,7.75,-0.51,1800.0,13901.0,-1
2022-12-14,7.71,7.73,7.71,7.73,-0.26,4300.0,33194.0,-1
2022-12-15,7.73,7.73,7.65,7.68,-0.65,1300.0,10001.0,-1
2022-12-18,7.67,7.69,7.66,7.69,0.13,1000.0,7679.0,1
2022-12-19,7.69,7.75,7.63,7.63,-0.78,1500.0,11527.0,-1
2022-12-20,7.63,7.7,7.63,7.7,0.92,6120.0,46935.0,1
2022-12-21,7.63,7.8,7.63,7.8,1.3,2310.0,17820.0,1
2022-12-22,7.66,7.82,7.66,7.82,0.26,1800.0,13883.0,1
2022-12-26,7.82,7.9,7.68,7.9,1.02,4050.0,31335.0,1
2022-12-27,7.9,8.06,7.9,7.9,0.0,2050.0,16317.5,0
2022-12-28,8.0,8.0,7.77,8.0,1.27,3750.0,29337.0,1
2022-12-29,7.84,8.1,7.6,8.01,0.12,3200.0,25419.0,1
2023-01-01,8.0,8.1,8.0,8.1,1.12,4700.0,37650.0,1
2023-01-02,7.94,8.06,7.9,8.05,-0.62,1600.0,12800.0,-1
2023-01-03,8.0,8.01,7.8,7.95,-1.24,4900.0,39089.0,-1
2023-01-04,7.9,8.26,7.9,8.25,3.77,4200.0,33842.0,1
2023-01-05,8.41,8.57,8.25,8.57,3.88,5900.0,50418.0,1
2023-01-08,8.74,8.9,8.27,8.38,-2.22,2600.0,22280.0,-1
2023-01-09,8.22,8.83,8.2,8.67,3.46,6600.0,55766.0,1
2023-01-10,8.5,9.01,8.5,9.01,3.92,26950.0,234659.15,1
2023-01-12,8.83,8.83,8.49,8.49,-5.77,1900.0,16182.0,-1
2023-01-17,8.33,8.57,8.2,8.57,0.94,6470.0,54048.9,1
2023-01-18,8.57,8.73,8.41,8.73,1.87,6800.0,58023.0,1
2023-01-19,8.9,8.9,8.27,8.43,-3.44,7700.0,66502.0,-1
2023-01-23,8.27,8.5,8.17,8.5,0.83,2805.0,23241.6,1
2023-01-24,8.33,8.67,8.18,8.5,0.0,10094.0,84066.34,0
2023-01-25,8.33,8.65,8.29,8.65,1.76,4100.0,34433.0,1
2023-01-26,8.48,8.62,8.35,8.5,-1.73,7000.0,59242.5,-1
2023-01-29,8.33,8.42,8.25,8.42,-0.94,3100.0,25705.0,-1
2023-01-30,8.26,8.42,8.21,8.42,0.0,5150.0,42501.5,0
2023-01-31,8.4,8.4,8.24,8.24,-2.14,11100.0,91766.0,-1
2023-02-01,8.09,8.73,8.09,8.2,-0.49,6075.0,51102.0,-1
2023-02-02,8.06,8.22,8.06,8.09,-1.34,1000.0,8094.0,-1
2023-02-05,7.93,8.0,7.81,7.93,-1.98,3550.0,28090.0,-1
2023-02-06,7.9,8.0,7.9,7.91,-0.25,3100.0,24678.0,-1
2023-02-07,7.8,8.04,7.8,8.04,1.64,2300.0,18354.0,1
2023-02-08,8.2,8.54,8.06,8.23,2.36,9750.0,81863.0,1
2023-02-09,8.11,8.13,8.11,8.13,-1.22,2720.0,22109.6,-1
2023-02-12,8.0,8.15,8.0,8.1,-0.37,2400.0,19337.0,-1
2023-02-14,8.0,8.06,8.0,8.06,-0.49,1810.0,14513.0,-1
2023-02-15,8.06,8.26,8.06,8.06,0.0,12600.0,102965.0,0
2023-02-16,7.97,8.16,7.97,8.01,-0.62,2300.0,18416.0,-1
2023-02-20,8.01,8.12,7.97,8.0,-0.12,2450.0,19623.0,-1
2023-02-22,7.97,8.11,7.97,8.0,0.0,2920.0,23399.0,0
2023-02-23,7.97,8.15,7.7,8.0,0.0,1900.0,15028.0,0
2023-02-26,7.9,7.9,7.81,7.82,-2.25,1350.0,10632.0,-1
2023-02-27,7.82,7.82,7.67,7.8,-0.26,2800.0,21770.0,-1
2023-02-28,7.8,7.9,7.68,7.9,1.28,1700.0,13189.0,1
2023-03-01,7.75,8.0,7.75,7.77,-1.65,1300.0,10184.0,-1
2023-03-02,7.65,7.8,7.65,7.77,0.0,900.0,6952.0,0
2023-03-05,7.8,7.85,7.78,7.85,1.03,2500.0,19590.0,1
2023-03-07,7.75,7.85,7.75,7.85,0.0,700.0,5466.0,0
2023-03-09,7.8,8.0,7.8,8.0,1.91,2600.0,20378.0,1
2023-03-12,7.95,7.95,7.85,7.85,-1.88,1100.0,8705.0,-1
2023-03-13,7.85,7.85,7.85,7.85,0.0,2000.0,15700.0,0
2023-03-14,7.81,7.85,7.81,7.84,-0.13,3330.0,26104.2,-1
2023-03-15,7.8,7.95,7.8,7.8,-0.51,1100.0,8600.0,-1
2023-03-16,7.77,7.9,7.77,7.85,0.64,1800.0,14144.0,1
2023-03-19,7.8,7.8,7.66,7.68,-2.17,6000.0,46302.0,-1
2023-03-20,7.66,7.88,7.66,7.8,1.56,2900.0,22567.0,1
2023-03-22,7.66,7.96,7.66,7.81,0.13,2500.0,19558.0,1
2023-03-23,7.81,7.89,7.71,7.74,-0.9,2200.0,17160.0,-1
2023-03-26,7.66,7.82,7.66,7.7,-0.52,3275.0,25230.25,-1
2023-03-27,7.67,7.7,7.52,7.6,-1.3,5963.0,45699.84,-1
2023-03-28,7.5,7.75,7.5,7.63,0.39,2200.0,16857.0,1
2023-03-29,7.63,7.78,7.63,7.63,0.0,1800.0,13884.0,0
2023-03-30,7.51,7.57,7.51,7.56,-0.92,800.0,6042.0,-1
2023-04-02,7.46,7.75,7.46,7.75,2.51,4700.0,35757.0,1
2023-04-03,7.75,7.77,7.6,7.77,0.26,2500.0,19145.0,1
2023-04-04,7.7,7.7,7.58,7.6,-2.19,1000.0,7654.0,-1
2023-04-05,7.45,7.9,7.45,7.62,0.26,1950.0,14785.0,1
2023-04-06,7.6,7.82,7.6,7.82,2.62,1600.0,12334.0,1
2023-04-09,7.7,7.7,7.56,7.57,-3.2,600.0,4593.0,-1
2023-04-10,7.57,7.75,7.57,7.61,0.53,2300.0,17529.0,1
2023-04-11,7.5,7.8,7.5,7.8,2.5,3525.0,27071.0,1
2023-04-12,7.8,7.9,7.66,7.9,1.28,2400.0,18599.0,1
2023-04-13,7.81,8.05,7.81,7.91,0.13,2350.0,18602.0,1
2023-04-16,7.76,7.91,7.76,7.82,-1.14,1800.0,14086.0,-1
2023-04-17,7.67,7.8,7.55,7.74,-1.02,2200.0,16954.0,-1
2023-04-18,7.71,7.83,7.7,7.83,1.16,2700.0,20892.0,1
2023-04-19,7.85,7.9,7.81,7.82,-0.13,1600.0,12526.0,-1
2023-04-20,7.71,8.2,7.71,7.88,0.77,1700.0,13511.0,1
2023-04-23,7.73,8.0,7.73,8.0,1.52,4500.0,35437.0,1
2023-04-24,7.84,7.84,7.54,7.71,-3.63,1800.0,13809.0,-1
2023-04-25,7.57,7.86,7.57,7.74,0.39,2600.0,19955.0,1
2023-04-26,7.74,7.8,7.69,7.77,0.39,2500.0,19403.0,1
2023-04-27,7.77,8.07,7.66,8.0,2.96,4650.0,36668.5,1
2023-04-30,7.85,8.1,7.85,8.1,1.25,2510.0,19955.5,1
2023-05-02,7.94,7.94,7.79,7.9,-2.47,900.0,7083.0,-1
2023-05-03,7.9,7.91,7.75,7.84,-0.76,2800.0,21898.0,-1
2023-05-04,7.75,7.82,7.75,7.82,-0.26,1800.0,14023.0,-1
2023-05-07,7.67,7.72,7.67,7.72,-1.28,1350.0,10389.5,-1
2023-05-08,7.72,7.72,7.64,7.64,-1.04,1200.0,9178.0,-1
2023-05-09,7.5,7.81,7.5,7.81,2.23,2520.0,19316.4,1
2023-05-10,7.66,7.82,7.66,7.82,0.13,1400.0,10852.0,1
2023-05-11,7.68,7.95,7.68,7.8,-0.26,5200.0,40562.0,-1
2023-05-14,7.79,7.94,7.7,7.7,-1.28,1450.0,11314.0,-1
2023-05-15,7.7,7.8,7.7,7.8,1.3,1200.0,9250.0,1
2023-05-16,7.8,7.95,7.7,7.95,1.92,3050.0,23806.5,1
2023-05-17,7.95,8.0,7.84,7.85,-1.26,1650.0,13100.5,-1
2023-05-18,7.85,7.95,7.71,7.8,-0.64,2300.0,17973.0,-1
2023-05-21,7.66,8.05,7.66,8.05,3.21,6000.0,47017.0,1
2023-05-22,7.9,8.0,7.9,8.0,-0.62,1400.0,11190.0,-1
2023-05-23,7.84,8.18,7.84,8.18,2.25,3000.0,23912.0,1
2023-05-24,8.07,8.3,8.07,8.3,1.47,2900.0,23684.4,1
2023-05-28,8.14,8.46,7.98,8.4,1.2,2710.0,22540.0,1
2023-05-30,8.3,8.35,8.05,8.05,-4.17,10320.0,84680.0,-1
2023-05-31,7.89,7.95,7.75,7.91,-1.74,2200.0,17288.0,-1
2023-06-01,7.76,7.8,7.76,7.77,-1.77,1650.0,12826.0,-1
2023-06-04,7.71,7.92,7.71,7.9,1.67,6800.0,52664.0,1
2023-06-05,7.75,7.91,7.75,7.76,-1.77,1300.0,10133.0,-1
2023-06-06,7.75,7.92,7.62,7.79,0.39,3600.0,27938.0,1
2023-06-07,7.69,7.82,7.69,7.82,0.39,2400.0,18617.0,1
2023-06-08,7.71,7.85,7.71,7.85,0.38,2250.0,17547.0,1
2023-06-11,8.0,8.06,7.91,7.95,1.27,2400.0,19151.0,1
2023-06-12,7.9,8.05,7.9,8.05,1.26,3500.0,27863.0,1
2023-06-13,7.91,8.09,7.9,8.0,-0.62,14400.0,114106.0,-1
2023-06-14,7.88,8.18,7.88,8.07,0.88,3500.0,28231.0,1
2023-06-15,7.94,8.0,7.94,8.0,-0.87,4100.0,32683.0,-1
2023-06-18,8.0,8.19,8.0,8.19,2.37,6400.0,51499.0,1
2023-06-19,8.03,8.68,8.03,8.08,-1.34,2900.0,23577.0,-1
2023-06-20,8.0,8.12,8.0,8.12,0.5,3100.0,25046.0,1
2023-06-21,8.0,8.1,8.0,8.09,-0.37,7100.0,57386.0,-1
2023-06-22,7.94,8.02,7.94,8.02,-0.87,730.0,5832.6,-1
2023-06-25,8.1,8.2,7.97,8.2,2.24,5650.0,45773.0,1
2023-06-26,8.2,8.5,8.2,8.5,3.66,5460.0,45277.5,1
2023-06-27,8.33,8.67,8.33,8.67,2.0,4800.0,40275.0,1
2023-06-28,8.5,8.64,8.5,8.6,-0.81,11476.0,98712.6,-1
2023-07-02,8.45,8.61,8.45,8.5,-1.16,7375.0,63038.0,-1
2023-07-03,8.33,8.49,8.17,8.47,-0.35,2110.0,17734.4,-1
2023-07-04,8.31,8.36,8.26,8.36,-1.3,1150.0,9566.5,-1
2023-07-05,8.25,8.5,8.25,8.5,1.67,11500.0,96504.0,1
2023-07-06,8.33,8.47,8.3,8.47,-0.35,5300.0,44433.0,-1
2023-07-09,8.35,8.47,8.35,8.45,-0.24,38750.0,326742.5,-1
2023-07-10,8.29,8.45,8.29,8.45,0.0,5200.0,43531.0,0
2023-07-11,8.4,8.42,8.4,8.42,-0.36,6300.0,53029.0,-1
2023-07-12,8.42,9.26,8.3,9.26,9.98,20410.0,174528.8,1
2023-07-13,9.3,10.0,9.06,9.42,1.73,4901.0,46809.42,1
2023-07-16,9.6,10.17,9.6,10.17,7.96,1210.0,11730.0,1
2023-07-20,9.97,9.97,9.3,9.3,-8.55,1550.0,14865.5,-1
2023-07-23,9.12,9.12,9.12,9.12,-1.94,200.0,1824.0,-1
2023-07-24,8.94,8.94,8.78,8.8,-3.51,4680.0,41291.0,-1
2023-07-25,8.66,8.66,8.5,8.56,-2.73,3900.0,33391.0,-1
2023-07-26,8.41,8.56,8.39,8.39,-1.99,7500.0,63621.0,-1
2023-07-27,8.3,9.01,8.21,9.01,7.39,50010.0,425651.75,1
2023-07-30,9.19,9.37,8.51,9.16,1.66,7625.0,68117.25,1
2023-07-31,9.34,9.5,9.34,9.5,3.71,1100.0,10305.2,1
2023-08-01,9.69,9.69,8.55,9.39,-1.16,28173.0,248273.3,-1
2023-08-02,9.39,9.52,8.79,9.26,-1.38,32950.0,292182.38,-1
2023-08-03,9.08,9.44,9.0,9.1,-1.73,36775.0,338888.0,-1
2023-08-06,8.93,9.18,8.58,8.99,-1.21,4800.0,42523.5,-1
2023-08-07,8.99,9.16,8.49,8.8,-2.11,16904.0,150766.26,-1
2023-08-08,8.63,8.63,8.3,8.31,-5.57,6000.0,50085.0,-1
2023-08-09,8.31,8.45,8.31,8.33,0.24,7900.0,65885.0,1
2023-08-10,8.3,8.43,8.3,8.43,1.2,12650.0,105793.5,1
2023-08-13,8.3,8.5,8.3,8.4,-0.36,4450.0,37422.5,-1
2023-08-14,8.24,8.4,8.24,8.35,-0.6,2200.0,18258.0,-1
2023-08-15,8.25,8.4,8.25,8.29,-0.72,1530.0,12692.4,-1
2023-08-16,8.18,8.21,8.18,8.21,-0.97,2300.0,18837.0,-1
2023-08-17,8.17,8.33,8.17,8.22,0.12,1300.0,10665.0,1
2023-08-20,8.07,8.2,8.07,8.15,-0.85,5000.0,40630.5,-1
2023-08-21,8.06,8.1,8.06,8.1,-0.61,3000.0,24222.0,-1
2023-08-22,7.95,8.0,7.95,8.0,-1.23,1400.0,11168.0,-1
2023-08-23,8.0,8.1,8.0,8.03,0.37,3000.0,24147.0,1
2023-08-24,8.01,8.09,8.01,8.09,0.75,1900.0,15283.0,1
2023-08-27,7.93,8.05,7.93,8.01,-0.99,2650.0,21221.5,-1
2023-08-28,7.96,8.08,7.96,8.02,0.12,3000.0,24050.0,1
2023-08-29,7.93,8.22,7.93,8.22,2.49,13720.0,111899.4,1
2023-08-30,8.06,8.06,7.94,8.05,-2.07,1800.0,14367.0,-1
2023-09-03,7.9,8.1,7.9,7.95,-1.24,2650.0,21100.5,-1
2023-09-04,7.81,7.98,7.81,7.95,0.0,4200.0,33412.0,0
2023-09-05,7.81,8.0,7.75,8.0,0.63,4550.0,36051.0,1
2023-09-07,7.9,7.92,7.86,7.87,-1.63,3000.0,23686.0,-1
2023-09-10,7.8,8.0,7.8,8.0,1.65,4060.0,32184.7,1
2023-09-11,7.9,8.16,7.9,8.16,2.0,8350.0,66185.0,1
2023-09-12,8.02,8.02,8.0,8.01,-1.84,1700.0,13617.0,-1
2023-09-13,7.87,8.03,7.86,8.03,0.25,4700.0,37443.0,1
2023-09-17,7.95,8.0,7.95,7.96,-0.87,3230.0,25747.5,-1
2023-09-18,7.95,7.96,7.9,7.91,-0.63,1900.0,15039.0,-1
2023-09-19,7.76,8.11,7.76,8.11,2.53,4500.0,36102.0,1
2023-09-21,7.96,8.27,7.96,8.27,1.97,4600.0,37117.0,1
2023-09-24,8.11,8.11,7.95,7.95,-3.87,61330.0,489913.3,-1
2023-09-25,7.9,8.05,7.76,7.84,-1.38,165900.0,1298076.0,-1
2023-09-26,7.9,8.16,7.89,7.96,1.53,37600.0,299432.0,1
2023-09-27,7.83,8.17,7.83,8.16,2.51,21400.0,173918.0,1
2023-10-01,8.0,8.5,8.0,8.5,4.17,102410.0,864163.0,1
2023-10-02,8.33,8.33,8.1,8.1,-4.71,1900.0,15427.0,-1
2023-10-03,7.98,8.1,7.98,8.1,0.0,3363.0,27196.3,0
2023-10-04,8.1,8.24,8.02,8.09,-0.12,4300.0,34827.0,-1
2023-10-05,7.94,8.25,7.94,8.07,-0.25,3600.0,29361.0,-1
2023-10-08,8.0,8.1,8.0,8.0,-0.87,2700.0,21636.0,-1
2023-10-09,7.92,8.07,7.92,7.98,-0.25,2000.0,15959.0,-1
2023-10-10,7.98,8.0,7.91,7.93,-0.63,2000.0,15943.0,-1
2023-10-11,7.81,7.97,7.81,7.9,-0.38,3000.0,23805.0,-1
2023-10-12,7.77,7.92,7.77,7.8,-1.27,64425.0,502854.25,-1
2023-10-16,7.68,7.8,7.68,7.71,-1.15,17500.0,135251.0,-1
2023-10-17,7.6,7.73,7.6,7.73,0.26,2400.0,18467.0,1
2023-10-18,7.6,7.93,7.6,7.93,2.59,18675.0,147225.75,1
2023-10-19,7.79,7.95,7.79,7.88,-0.63,11700.0,92763.0,-1
2023-10-29,7.86,7.86,7.67,7.67,-2.66,3000.0,23256.0,-1
2023-10-30,7.57,7.7,7.57,7.64,-0.39,193400.0,1485263.0,-1
2023-10-31,7.6,7.64,7.6,7.61,-0.39,2700.0,20564.0,-1
2023-11-01,7.56,7.78,7.56,7.68,0.92,51900.0,399014.0,1
2023-11-02,7.6,7.65,7.6,7.65,-0.39,1500.0,11435.0,-1
2023-11-05,7.56,7.6,7.56,7.59,-0.78,2300.0,17452.0,-1
2023-11-06,7.6,7.74,7.6,7.65,0.79,1400.0,10673.0,1
2023-11-07,7.56,7.65,7.56,7.6,-0.65,2500.0,19048.0,-1
2023-11-08,7.52,7.65,7.52,7.61,0.13,1950.0,14832.0,1
2023-11-09,7.61,7.7,7.6,7.7,1.18,500.0,3811.0,1
2023-11-20,7.58,7.61,7.58,7.59,-1.43,1200.0,9120.0,-1
2023-11-21,7.55,8.02,7.55,8.02,5.67,5000.0,39526.0,1
2023-11-22,7.86,7.86,7.58,7.62,-4.99,700.0,5356.0,-1
2023-11-23,7.62,7.78,7.62,7.64,0.26,2500.0,19237.0,1
2023-11-26,7.56,7.85,7.56,7.73,1.18,3000.0,23105.0,1
2023-11-27,7.61,8.01,7.61,8.01,3.62,15300.0,121225.0,1
2023-11-28,7.86,7.86,7.74,7.78,-2.87,6100.0,47448.0,-1
2023-11-29,7.65,8.0,7.65,7.91,1.67,3300.0,25797.0,1
2023-11-30,7.8,8.18,7.8,8.18,3.41,9600.0,77096.0,1
2023-12-03,8.02,8.18,8.02,8.11,-0.86,11100.0,89945.0,-1
2023-12-04,8.1,8.4,8.1,8.24,1.6,7800.0,64276.0,1
2023-12-05,8.08,8.08,7.92,8.05,-2.31,5600.0,44812.0,-1
2023-12-06,7.9,8.1,7.9,8.0,-0.62,2400.0,19266.0,-1
2023-12-07,7.86,8.26,7.86,8.21,2.63,53650.0,442407.0,1
2023-12-10,8.25,8.37,8.25,8.37,1.95,3800.0,31613.0,1
2023-12-11,8.21,8.21,8.03,8.05,-3.82,900.0,7262.0,-1
2023-12-12,8.05,8.24,8.05,8.24,2.36,18450.0,151708.5,1
2023-12-13,8.24,8.41,8.24,8.27,0.36,8000.0,66770.0,1
2023-12-14,8.11,8.2,8.11,8.18,-1.09,8000.0,65228.0,-1
2023-12-17,8.04,8.3,8.04,8.3,1.47,4650.0,38208.0,1
2023-12-18,8.25,8.63,8.25,8.63,3.98,11010.0,92517.2,1
2023-12-19,8.47,8.52,8.47,8.52,-1.27,3000.0,25484.0,-1
