published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-27,360.0,360.0,360.0,360.0,0.0,2009.0,723240.0,0
2011-05-18,360.0,360.0,360.0,360.0,0.0,6466.0,2327760.0,0
2011-06-29,360.0,353.0,346.0,346.0,0.0,4070.0,1408661.0,0
2011-08-01,346.0,340.0,340.0,340.0,0.0,1375.0,467500.0,0
2011-09-25,340.0,340.0,340.0,340.0,0.0,20.0,6800.0,0
2011-11-13,340.0,334.0,334.0,334.0,0.0,120.0,40080.0,0
2011-11-20,334.0,328.0,322.0,322.0,0.0,5439.0,1752210.0,0
2011-11-28,322.0,316.0,290.0,290.0,0.0,1126.0,334678.0,0
2012-01-18,280.0,275.0,252.0,252.0,0.0,1088.0,282644.0,0
2012-01-25,252.0,250.0,250.0,250.0,0.0,75.0,18750.0,0
2012-01-29,250.0,250.0,245.0,245.0,0.0,357.0,88440.0,0
2012-01-31,245.0,241.0,241.0,241.0,0.0,27.0,6507.0,0
2012-02-01,241.0,244.0,244.0,244.0,0.0,13.0,3172.0,0
2012-02-06,244.0,242.0,236.0,238.0,0.0,10686.0,2544892.0,0
2012-02-13,238.0,234.0,234.0,234.0,0.0,54.0,12636.0,0
2012-02-15,234.0,230.0,230.0,230.0,0.0,1201.0,276230.0,0
2012-02-28,230.0,230.0,230.0,230.0,0.0,48.0,11040.0,0
2012-02-29,230.0,227.0,226.0,227.0,0.0,270.0,61034.0,0
2012-03-01,227.0,223.0,223.0,223.0,0.0,39.0,8697.0,0
2012-03-04,223.0,219.0,215.0,215.0,0.0,163.0,35633.0,0
2012-03-06,215.0,211.0,211.0,211.0,0.0,377.0,79547.0,0
2012-03-11,211.0,211.0,211.0,211.0,0.0,13.0,2743.0,0
2012-03-18,211.0,207.0,207.0,207.0,0.0,13.0,2691.0,0
2012-03-19,207.0,203.0,203.0,203.0,0.0,46.0,9338.0,0
2012-03-21,203.0,199.0,196.0,196.0,0.0,375.0,74070.0,0
2012-03-28,196.0,193.0,190.0,190.0,0.0,1948.0,370420.0,0
2012-04-09,190.0,190.0,190.0,190.0,0.0,50.0,9500.0,0
2012-04-30,190.0,209.0,193.0,209.0,0.0,6097.0,1225363.0,0
2012-05-07,209.0,221.0,213.0,221.0,0.0,8082.0,1762590.0,0
2012-05-29,221.0,222.0,222.0,222.0,0.0,3170.0,703740.0,0
2012-06-12,222.0,202.0,198.0,200.0,0.0,557.0,111358.0,0
2012-06-13,200.0,204.0,200.0,204.0,0.0,163.0,32828.0,0
2012-07-30,204.0,208.0,208.0,208.0,0.0,116.0,24128.0,0
2012-08-14,208.0,212.0,212.0,212.0,0.0,136.0,28832.0,0
2012-08-15,212.0,209.0,209.0,209.0,0.0,246.0,51414.0,0
2012-09-09,209.0,219.0,219.0,219.0,0.0,20.0,4380.0,0
2012-09-11,219.0,229.0,229.0,229.0,0.0,20.0,4580.0,0
2012-09-12,229.0,240.0,240.0,240.0,0.0,20.0,4800.0,0
2012-09-13,240.0,252.0,252.0,252.0,0.0,20.0,5040.0,0
2012-09-16,252.0,264.0,264.0,264.0,0.0,20.0,5280.0,0
2012-09-17,264.0,282.0,277.0,282.0,0.0,184.0,51788.0,0
2012-09-18,282.0,286.0,286.0,286.0,0.0,20.0,5720.0,0
2012-09-19,286.0,300.0,294.0,294.0,0.0,3717.0,1093403.0,0
2012-09-20,294.0,323.0,308.0,323.0,0.0,56.0,17629.0,0
2012-09-23,323.0,345.0,339.0,339.0,0.0,282.0,95658.0,0
2012-09-24,339.0,334.0,321.0,321.0,0.0,135.0,44446.0,0
2012-11-25,321.0,320.0,315.0,315.0,0.0,273.0,86875.0,0
2012-12-03,315.0,311.0,290.0,290.0,0.0,127.0,38178.0,0
2012-12-05,290.0,299.0,295.0,299.0,0.0,478.0,142522.0,0
2012-12-11,299.0,295.0,294.0,294.0,0.0,512.0,150918.0,0
2012-12-12,294.0,290.0,290.0,290.0,0.0,19.0,5510.0,0
2012-12-16,290.0,290.0,290.0,290.0,0.0,13.0,3770.0,0
2012-12-20,290.0,291.0,291.0,291.0,0.0,62.0,18042.0,0
2012-12-23,291.0,291.0,291.0,291.0,0.0,624.0,181584.0,0
2012-12-24,291.0,301.0,296.0,301.0,0.0,761.0,227786.0,0
2012-12-26,301.0,307.0,307.0,307.0,0.0,624.0,191568.0,0
2012-12-31,307.0,307.0,307.0,307.0,0.0,859.0,263713.0,0
2013-02-05,307.0,256.0,256.0,256.0,0.0,5149.0,1318144.0,0
2013-03-05,256.0,251.0,246.0,246.0,0.0,205.0,50930.0,0
2013-03-20,246.0,250.0,249.0,250.0,0.0,257.0,64193.0,0
2013-04-03,250.0,247.0,247.0,247.0,0.0,50.0,12350.0,0
2013-04-04,247.0,246.0,246.0,246.0,0.0,50.0,12300.0,0
2013-04-29,246.0,249.0,249.0,249.0,0.0,32.0,7968.0,0
2013-05-02,249.0,245.0,245.0,245.0,0.0,100.0,24500.0,0
2013-05-09,245.0,245.0,245.0,245.0,0.0,51.0,12495.0,0
