published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-07-09,331.0,364.0,331.0,364.0,0.0,230.0,82440.0,0
2020-07-12,371.0,400.0,371.0,400.0,9.89,260.0,103250.0,1
2020-07-13,408.0,440.0,408.0,440.0,10.0,400.0,175200.0,1
2020-07-14,448.0,484.0,448.0,484.0,10.0,250.0,119810.0,1
2020-07-15,508.0,532.0,508.0,532.0,9.92,1050.0,558180.0,1
2020-07-16,542.0,585.0,542.0,585.0,9.96,1170.0,683360.0,1
2020-07-19,614.0,626.0,614.0,626.0,7.01,20.0,12400.0,1
2020-07-20,657.0,688.0,657.0,688.0,9.9,8160.0,5611680.0,1
2020-07-21,722.0,756.0,722.0,756.0,9.88,38948.0,29340328.0,1
2020-07-22,793.0,831.0,793.0,805.0,6.48,221826.0,181584816.0,1
2020-07-23,820.0,820.0,781.0,793.0,-1.49,89223.0,70704096.0,-1
2020-07-26,795.0,795.0,775.0,781.0,-1.51,80655.0,62925156.0,-1
2020-07-27,780.0,855.0,780.0,821.0,5.12,96139.0,77920088.0,1
2020-07-28,811.0,839.0,810.0,830.0,1.1,59825.0,49478792.0,1
2020-07-29,840.0,840.0,807.0,812.0,-2.17,53350.0,43768120.0,-1
2020-07-30,812.0,820.0,800.0,806.0,-0.74,44120.0,35646808.0,-1
2020-08-02,810.0,810.0,783.0,787.0,-2.36,52090.0,41116160.0,-1
2020-08-03,775.0,799.0,772.0,787.0,0.0,29520.0,23091984.0,0
2020-08-05,785.0,785.0,768.0,770.0,-2.16,33236.0,25656934.0,-1
2020-08-06,775.0,775.0,760.0,763.0,-0.91,27895.0,21309064.0,-1
2020-08-09,755.0,764.0,730.0,756.0,-0.92,43385.0,32388976.0,-1
2020-08-10,742.0,795.0,742.0,793.0,4.89,34851.0,26764632.0,1
2020-08-11,793.0,793.0,772.0,778.0,-1.89,30656.0,23869104.0,-1
2020-08-12,775.0,780.0,765.0,767.0,-1.41,26710.0,20570024.0,-1
2020-08-13,753.0,770.0,753.0,759.0,-1.04,30385.0,23114275.0,-1
2021-03-31,780.0,795.0,780.0,795.0,4.74,239.0,188336.0,1
2021-04-01,834.0,874.0,834.0,874.0,9.94,451.0,391934.0,1
2021-04-04,917.0,961.0,917.0,961.0,9.95,3460.0,3322541.0,1
2021-04-05,980.0,1057.0,980.0,1057.0,9.99,1217.0,1283947.0,1
2021-04-06,1109.0,1162.0,1109.0,1162.0,9.93,1052.0,1220515.0,1
2021-04-07,1220.0,1278.0,1220.0,1278.0,9.98,1399.0,1786322.0,1
2021-04-08,1297.0,1405.0,1297.0,1405.0,9.94,731.0,1024845.0,1
2021-04-12,1475.0,1545.0,1475.0,1545.0,9.96,2882.0,4431210.0,1
2021-04-13,1622.0,1699.0,1622.0,1699.0,9.97,10426.0,17712269.0,1
2021-04-15,1783.0,1868.0,1783.0,1868.0,9.95,269135.0,498963998.0,1
2021-04-18,1961.0,2037.0,1831.0,1899.0,1.66,288975.0,553227180.0,1
2021-04-19,1935.0,1940.0,1840.0,1849.0,-2.63,123524.0,231182553.0,-1
2021-04-20,1900.0,1900.0,1802.0,1818.0,-1.68,85694.0,156451074.0,-1
2021-04-21,1900.0,1900.0,1785.0,1793.0,-1.38,77827.0,140637057.0,-1
2021-04-22,1882.0,1885.0,1764.0,1837.0,2.45,116471.0,213579007.0,1
2021-04-25,1900.0,1900.0,1761.0,1764.0,-3.97,71662.0,128018564.0,-1
2021-04-26,1750.0,1794.0,1700.0,1701.0,-3.57,73976.0,127765392.0,-1
2021-04-27,1701.0,1760.0,1700.0,1755.0,3.17,38987.0,67630180.0,1
2021-04-28,1842.0,1842.0,1718.0,1729.0,-1.48,28733.0,50020377.0,-1
2021-04-29,1730.0,1750.0,1711.0,1726.0,-0.17,20952.0,36232702.0,-1
2021-05-02,1730.0,1748.0,1710.0,1736.0,0.58,39847.0,68933507.0,1
2021-05-03,1744.0,1765.0,1721.0,1738.0,0.12,28252.0,49240759.0,1
