published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-09-07,10.0,10.01,9.81,9.99,0.0,32140.0,320747.0,0
2021-09-08,10.0,10.0,9.83,9.98,-0.1,68300.0,676118.28,-1
2021-09-09,9.99,10.0,9.82,9.82,-1.6,56000.0,553879.5,-1
2021-09-12,9.7,10.1,9.7,9.91,0.92,23000.0,228556.0,1
2021-09-13,9.9,9.9,9.76,9.9,-0.1,39250.0,386286.5,-1
2021-09-14,9.9,9.99,9.74,9.8,-1.01,14700.0,144767.0,-1
2021-09-15,9.7,9.99,9.7,9.75,-0.51,35710.0,350710.7,-1
2021-09-16,9.6,9.79,9.6,9.67,-0.82,37050.0,357559.5,-1
2021-09-20,9.49,9.67,9.31,9.34,-3.41,48650.0,458213.5,-1
2021-09-21,9.18,9.43,9.01,9.29,-0.54,31390.0,289827.7,-1
2021-09-22,9.4,9.58,9.37,9.57,3.01,26800.0,256268.0,1
2021-09-23,9.39,9.6,9.39,9.6,0.31,41000.0,388126.25,1
2021-09-26,9.6,9.79,9.43,9.45,-1.56,30600.0,293625.4,-1
2021-09-27,9.45,9.5,9.4,9.5,0.53,64450.0,609091.0,1
2021-09-28,9.31,9.5,9.31,9.32,-1.89,55600.0,519562.0,-1
2021-09-29,9.32,9.6,9.32,9.6,3.0,8000.0,75239.0,1
2021-09-30,9.41,9.7,9.41,9.46,-1.46,19900.0,187871.0,-1
2021-10-03,9.28,9.75,9.28,9.59,1.37,32880.0,315180.0,1
2021-10-04,9.55,9.55,9.42,9.42,-1.77,7550.0,71232.0,-1
2021-10-05,9.41,9.69,9.41,9.42,0.0,15200.0,145389.0,0
2021-10-06,9.42,9.79,9.42,9.6,1.91,6200.0,59227.5,1
2021-10-10,9.79,9.9,9.6,9.8,2.08,14200.0,139258.0,1
2021-10-11,9.8,10.1,9.63,9.63,-1.73,17850.0,178088.5,-1
2021-10-17,9.5,9.6,9.44,9.6,-0.31,14400.0,137616.0,-1
2021-10-18,9.79,9.79,9.45,9.75,1.56,15150.0,144286.5,1
2021-10-19,9.56,9.56,9.04,9.38,-3.79,20900.0,194253.0,-1
2021-10-20,9.22,9.56,9.22,9.4,0.21,5600.0,52058.0,1
2021-10-21,9.3,9.4,9.22,9.35,-0.53,10200.0,94851.0,-1
2021-10-24,9.3,9.5,9.17,9.18,-1.82,32553.0,301535.2,-1
2021-10-25,9.2,9.53,9.2,9.53,3.81,6800.0,64148.5,1
2021-10-26,9.72,9.72,9.56,9.57,0.42,5900.0,56614.0,1
2021-10-27,9.38,9.7,9.27,9.5,-0.73,8900.0,85031.0,-1
2021-10-28,9.52,9.79,9.38,9.79,3.05,18160.0,172402.2,1
2021-10-31,9.6,9.89,9.6,9.71,-0.82,21050.0,204270.5,-1
2021-11-01,9.7,9.8,9.61,9.7,-0.1,21780.0,212063.8,-1
2021-11-02,9.89,10.0,9.7,9.8,1.03,17250.0,169852.0,1
2021-11-03,9.62,9.99,9.62,9.62,-1.84,30870.0,305913.0,-1
2021-11-08,9.6,9.94,9.6,9.74,1.25,11500.0,112548.0,1
2021-11-09,9.65,9.95,9.6,9.6,-1.44,7500.0,73336.0,-1
2021-11-11,9.6,9.8,9.6,9.6,0.0,23324.0,225708.4,0
2021-11-14,9.45,9.7,9.45,9.51,-0.94,4700.0,45014.0,-1
2021-11-15,9.35,9.77,9.32,9.58,0.74,12450.0,118724.0,1
2021-11-16,9.5,9.7,9.44,9.7,1.25,11270.0,107988.0,1
2021-11-17,9.53,9.7,9.51,9.55,-1.55,5438.0,51902.72,-1
2021-11-18,9.36,9.68,9.36,9.68,1.36,13362.0,125893.44,1
2021-11-21,9.55,9.55,9.49,9.49,-1.96,5000.0,47475.0,-1
2021-11-22,9.5,9.69,9.49,9.49,0.0,9950.0,95036.5,0
2021-11-23,9.39,9.5,9.38,9.41,-0.84,17023.0,160584.97,-1
2021-11-24,9.31,9.59,9.26,9.29,-1.28,10600.0,99162.0,-1
2021-11-25,9.29,9.48,9.29,9.31,0.22,21200.0,199338.0,1
2021-11-28,9.25,9.44,9.25,9.27,-0.43,4700.0,43676.0,-1
2021-11-29,9.15,9.38,9.15,9.2,-0.76,15600.0,143635.0,-1
2021-11-30,9.2,9.38,9.2,9.38,1.96,17300.0,161769.0,1
2021-12-01,9.39,9.5,9.22,9.5,1.28,10320.0,97425.0,1
2021-12-02,9.32,9.32,9.2,9.25,-2.63,4400.0,40622.0,-1
2021-12-05,9.3,9.3,9.07,9.07,-1.95,36950.0,338917.28,-1
2021-12-06,9.25,9.25,9.0,9.06,-0.11,16400.0,149411.5,-1
2021-12-07,8.89,9.2,8.89,9.05,-0.11,5967.0,54476.02,-1
2021-12-08,8.9,9.1,8.9,9.03,-0.22,8860.0,79731.0,-1
2021-12-09,9.0,9.1,8.88,9.0,-0.33,8400.0,75343.3,-1
2021-12-12,8.95,9.1,8.91,8.91,-1.0,24066.0,216179.75,-1
2021-12-13,8.91,9.08,8.75,8.8,-1.23,40439.0,356635.02,-1
2021-12-14,8.8,9.28,8.76,9.28,5.45,4100.0,37018.0,1
2021-12-15,9.1,9.27,8.93,9.27,-0.11,23510.0,213458.0,-1
2021-12-16,9.35,9.44,9.35,9.44,1.83,430.0,4029.5,1
