published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-15,1000.0,1020.0,1000.0,1001.0,0.0,505119.0,505121925.0,0
2025-07-16,1002.0,1002.0,1000.0,1000.0,-0.1,350.0,350275.0,-1
2025-07-17,980.0,985.0,980.0,984.0,-1.6,50.0,49090.0,-1
2025-07-20,969.2,970.2,969.1,969.4,-1.48,360.0,349068.0,-1
2025-07-21,980.0,980.0,980.0,980.0,1.09,100.0,98000.0,1
2025-07-22,990.0,1014.9,990.0,1014.56,3.53,430.0,434866.0,1
2025-07-23,994.3,996.0,994.3,995.5,-1.88,125.0,124407.5,-1
2025-07-24,1000.0,1000.0,1000.0,1000.0,0.45,30.0,30000.0,1
2025-07-27,990.0,990.0,990.0,990.0,-1.0,25.0,24750.0,-1
2025-07-28,985.0,995.0,985.0,995.0,0.51,200.0,198375.0,1
2025-07-29,990.0,990.0,980.0,980.0,-1.51,150.0,147375.0,-1
2025-07-30,980.0,980.0,980.0,980.0,0.0,150.0,147000.0,0
2025-07-31,980.0,980.0,975.0,975.0,-0.51,75.0,73375.0,-1
2025-08-03,975.0,980.0,975.0,980.0,0.51,103.0,100815.0,1
2025-08-04,981.1,985.0,981.1,983.68,0.38,125.0,122960.0,1
2025-08-07,989.9,990.0,989.9,989.93,0.64,270.0,267283.0,1
2025-08-11,985.0,985.0,985.0,985.0,-0.5,50.0,49250.0,-1
2025-08-12,965.3,965.3,965.3,965.3,-2.0,25.0,24132.5,-1
2025-08-13,965.2,965.2,948.0,960.1,-0.54,175.0,166944.0,-1
2025-08-14,970.1,972.1,970.1,972.1,1.25,50.0,48555.0,1
2025-08-17,975.1,975.1,975.1,975.1,0.31,25.0,24377.5,1
2025-08-18,975.2,975.2,975.2,975.2,0.01,100.0,97520.0,1
2025-08-19,966.1,994.5,966.1,994.5,1.98,280.0,276706.0,1
2025-08-20,974.7,974.7,955.0,974.7,-1.99,241.0,232449.6,-1
2025-08-21,974.8,974.8,974.8,974.8,0.01,25.0,24370.0,1
2025-08-24,956.1,999.9,956.1,999.6,2.54,200.0,195950.0,1
2025-08-25,999.0,999.0,999.0,999.0,-0.06,630.0,629370.0,-1
2025-08-26,999.0,1000.0,999.0,1000.0,0.1,550.0,549975.0,1
2025-08-27,1000.0,1020.0,1000.0,1014.37,1.44,250.0,252875.0,1
2025-08-28,1000.0,1010.0,1000.0,1010.0,-0.43,439.0,441640.0,-1
2025-08-31,989.8,989.8,989.8,989.8,-2.0,25.0,24745.0,-1
2025-09-01,989.8,1000.0,989.8,1000.0,1.03,200.0,199235.0,1
2025-09-02,989.0,989.0,989.0,989.0,-1.1,50.0,49450.0,-1
2025-09-03,990.0,1000.0,990.0,991.2,0.22,85.0,84662.0,1
2025-09-04,992.1,992.3,992.1,992.3,0.11,50.0,49610.0,1
2025-09-07,992.3,992.3,992.3,992.3,0.0,75.0,74422.5,0
