published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-02-23,232.2,232.2,213.2,216.0,-8.8,276758.0,60028868.9,-1
2023-02-26,212.0,212.0,204.0,207.5,-3.94,129624.0,26760453.2,-1
2023-02-27,207.0,210.6,203.1,206.0,-0.72,88701.0,18158254.8,-1
2023-02-28,206.0,207.0,203.2,203.7,-1.12,62491.0,12738254.9,-1
2023-03-01,205.0,205.9,203.7,204.0,0.15,41099.0,8392332.1,1
2023-03-02,207.8,207.8,200.0,200.5,-1.72,57048.0,11525044.8,-1
2023-03-05,202.0,202.0,197.1,197.5,-1.5,78195.0,15576014.8,-1
2023-03-07,196.1,199.8,196.1,197.0,-0.25,40001.0,7914615.1,-1
2023-03-09,199.5,202.9,199.2,201.2,2.13,67668.0,13592062.7,1
2023-03-12,204.0,204.0,196.0,198.2,-1.49,58923.0,11691012.5,-1
2023-03-13,196.1,198.5,195.1,197.0,-0.61,45952.0,9015160.3,-1
2023-03-14,200.9,200.9,195.0,195.0,-1.02,57432.0,11243144.4,-1
2023-03-15,197.0,197.0,192.6,193.2,-0.92,58388.0,11302234.2,-1
2023-03-16,192.0,193.0,190.6,192.0,-0.62,55926.0,10731353.6,-1
2023-03-19,192.1,193.0,189.7,190.9,-0.57,72137.0,13758464.9,-1
2023-03-20,192.0,194.0,190.2,191.4,0.26,41833.0,8025938.1,1
2023-03-22,194.5,194.5,190.0,191.5,0.05,51533.0,9849554.6,1
2023-03-23,191.0,193.8,188.5,192.0,0.26,55968.0,10691172.4,1
2023-03-26,193.0,193.0,186.2,187.9,-2.14,85585.0,16079760.1,-1
2023-03-27,189.0,190.7,184.3,188.3,0.21,62229.0,11668533.2,1
2023-03-28,191.0,193.0,187.2,191.0,1.43,39108.0,7467494.6,1
2023-03-29,190.0,191.9,186.0,191.4,0.21,74551.0,14042749.0,1
2023-03-30,189.0,191.0,187.3,187.5,-2.04,74624.0,14052794.5,-1
2023-04-02,191.2,191.2,183.0,184.9,-1.39,74001.0,13755187.8,-1
2023-04-03,184.0,186.0,182.0,184.0,-0.49,98341.0,17978397.3,-1
2023-04-04,181.5,184.8,179.1,181.1,-1.58,78330.0,14186265.8,-1
2023-04-05,181.0,184.0,180.5,183.3,1.21,38531.0,7021362.9,1
2023-04-06,183.9,185.0,181.0,182.8,-0.27,82265.0,14949710.1,-1
2023-04-09,181.0,182.0,179.0,181.0,-0.98,100811.0,18186103.9,-1
2023-04-10,180.1,182.7,179.3,180.5,-0.28,61761.0,11161240.5,-1
2023-04-11,177.0,187.2,177.0,183.5,1.66,83463.0,15162176.4,1
2023-04-12,186.0,193.2,184.6,192.9,5.12,112996.0,21507712.7,1
2023-04-13,196.0,196.0,187.0,191.0,-0.98,95095.0,18150614.9,-1
2023-04-16,193.0,193.0,186.2,186.5,-2.36,66764.0,12560642.0,-1
2023-04-17,185.0,190.0,184.6,185.0,-0.8,42409.0,7876751.6,-1
2023-04-18,188.0,188.7,182.5,185.0,0.0,46710.0,8588419.0,0
2023-04-19,183.0,188.0,182.6,185.0,0.0,68139.0,12536848.7,0
2023-04-20,184.1,186.0,181.5,184.0,-0.54,48699.0,8956758.7,-1
2023-04-23,187.6,187.6,180.1,181.0,-1.63,80139.0,14531664.0,-1
