published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-20,107.1,111.3,107.1,111.3,6.0,30.0,3276.0,1
2023-03-22,113.5,122.4,113.5,122.4,9.97,50.0,5899.0,1
2023-03-23,124.8,134.6,124.8,134.6,9.97,10030.0,1300891.0,1
2023-03-26,137.2,148.0,137.2,148.0,9.96,140.0,20149.0,1
2023-03-27,150.9,162.8,150.9,162.8,10.0,8017.0,1299431.4,1
2023-03-28,166.0,169.0,163.0,166.2,2.09,27095.0,4499126.2,1
2023-03-29,169.5,169.5,163.7,166.0,-0.12,4654.0,768990.0,-1
2023-03-30,163.2,166.8,163.0,163.5,-1.51,3234.0,533244.0,-1
2023-04-02,161.0,163.0,159.0,159.1,-2.69,24649.0,3960901.0,-1
2023-04-03,158.0,163.5,156.0,162.0,1.82,13812.0,2190350.6,1
2023-04-04,160.0,168.5,159.0,162.0,0.0,2917.0,478665.2,0
2023-04-05,161.1,167.0,161.1,162.7,0.43,9966.0,1648459.1,1
2023-04-06,165.9,168.9,164.0,168.9,3.81,3553.0,588223.0,1
2023-04-09,165.6,167.0,162.0,164.1,-2.84,13324.0,2189766.1,-1
2023-04-10,166.0,166.0,164.2,165.0,0.55,7331.0,1212038.8,1
2023-04-11,168.3,169.3,163.2,166.0,0.61,12807.0,2130920.5,1
2023-04-12,169.3,175.0,169.3,175.0,5.42,13492.0,2337591.0,1
2023-04-13,176.9,189.3,169.1,189.3,8.17,15127.0,2610140.0,1
2023-04-16,185.6,185.6,180.4,180.4,-4.7,250.0,45470.0,-1
2023-04-17,180.4,180.4,180.4,180.4,0.0,50.0,9020.0,0
2023-04-18,178.0,178.0,173.4,173.4,-3.88,32595.0,5801390.0,-1
2023-04-19,176.8,180.2,176.8,180.2,3.92,7010.0,1239402.0,1
2023-04-20,180.0,180.0,180.0,180.0,-0.11,300.0,54000.0,-1
2023-04-23,176.4,176.4,166.5,168.0,-6.67,6613.0,1113082.8,-1
2023-04-24,168.0,171.3,168.0,171.3,1.96,4680.0,786834.0,1
2023-04-25,167.9,171.3,167.9,168.1,-1.87,2763.0,470691.2,-1
2023-04-26,168.0,174.8,168.0,172.9,2.86,16578.0,2831572.7,1
2023-04-27,169.5,174.4,169.5,171.0,-1.1,3079.0,523561.1,-1
2023-04-30,171.0,172.6,168.0,168.0,-1.75,11688.0,1998309.8,-1
2023-05-02,168.0,177.3,168.0,170.6,1.55,49414.0,8356838.8,1
2023-05-03,173.9,173.9,168.6,173.9,1.93,6950.0,1197539.6,1
2023-05-04,175.0,175.0,171.6,171.6,-1.32,2011.0,345872.8,-1
2023-05-07,170.0,170.0,170.0,170.0,-0.93,91.0,15470.0,-1
2023-05-08,168.0,176.8,168.0,176.8,4.0,1623.0,278480.4,1
2023-05-09,173.3,173.3,169.9,169.9,-3.9,114.0,19704.0,-1
2023-05-10,171.0,173.0,166.0,166.0,-2.3,7583.0,1278258.4,-1
2023-05-11,169.0,172.6,169.0,172.6,3.98,121.0,20815.6,1
2023-05-15,169.3,169.3,167.0,167.0,-3.24,1697.0,284703.0,-1
2023-05-16,167.0,167.0,167.0,167.0,0.0,524.0,87508.0,0
2023-05-17,168.0,168.0,168.0,168.0,0.6,500.0,84000.0,1
2023-05-18,171.0,184.8,171.0,181.2,7.86,5754.0,1005832.0,1
