published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-08-29,290.00,285.00,285.00,285.00,0.00,30.00,8550.00,0
2011-09-04,285.00,280.00,280.00,280.00,0.00,20.00,5600.00,0
2011-09-06,280.00,306.00,285.00,306.00,0.00,366.00,108786.00,0
2011-09-07,306.00,336.00,312.00,336.00,0.00,1103.00,357474.00,0
2011-09-08,336.00,369.00,330.00,369.00,0.00,2917.00,988493.00,0
2011-09-12,369.00,362.00,342.00,342.00,0.00,335.00,117150.00,0
2011-09-19,342.00,336.00,324.00,324.00,0.00,267.00,87570.00,0
2011-09-20,324.00,330.00,318.00,330.00,0.00,729.00,236940.00,0
2011-09-21,330.00,342.00,324.00,342.00,0.00,961.00,320538.00,0
2011-09-25,342.00,336.00,325.00,325.00,0.00,15787.00,5149595.00,0
2011-09-26,325.00,351.00,330.00,338.00,0.00,16097.00,5542764.00,0
2011-09-27,338.00,335.00,333.00,333.00,0.00,700.00,233500.00,0
2011-10-23,333.00,297.00,287.00,297.00,0.00,390.00,114680.00,0
2011-10-31,297.00,302.00,302.00,302.00,0.00,10.00,3020.00,0
2011-11-03,302.00,300.00,300.00,300.00,0.00,2121.00,636300.00,0
2011-11-06,300.00,301.00,301.00,301.00,0.00,150.00,45150.00,0
2011-11-08,301.00,325.00,301.00,301.00,0.00,786.00,242202.00,0
2011-11-10,301.00,300.00,300.00,300.00,0.00,264.00,79200.00,0
2011-11-13,300.00,312.00,306.00,312.00,0.00,1720.00,530040.00,0
2011-11-15,312.00,312.00,310.00,310.00,0.00,810.00,251920.00,0
2011-11-16,310.00,316.00,316.00,316.00,0.00,264.00,83424.00,0
2011-11-20,316.00,328.00,320.00,322.00,0.00,8348.00,2732080.00,0
2011-11-21,322.00,328.00,328.00,328.00,0.00,10.00,3280.00,0
2011-11-22,328.00,334.00,334.00,334.00,0.00,10.00,3340.00,0
2011-11-23,334.00,328.00,320.00,320.00,0.00,1754.00,567580.00,0
2011-11-24,320.00,331.00,325.00,331.00,0.00,6110.00,2020430.00,0
2011-11-27,331.00,337.00,327.00,327.00,0.00,86.00,28487.00,0
2011-11-28,327.00,327.00,327.00,327.00,0.00,99.00,32373.00,0
2011-12-07,327.00,327.00,320.00,320.00,0.00,396.00,127898.00,0
2011-12-08,320.00,320.00,315.00,315.00,0.00,1143.00,360265.00,0
2011-12-15,315.00,310.00,306.00,306.00,0.00,2000.00,614000.00,0
