published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-29,228.00,233.00,225.00,232.00,0.00,1017.00,232392.00,0
2011-03-30,232.00,235.00,228.00,235.00,0.00,250.00,57260.00,0
2011-03-31,235.00,231.00,231.00,231.00,0.00,1000.00,231000.00,0
2011-04-04,231.00,227.00,225.00,226.00,0.00,190.00,42871.00,0
2011-04-06,226.00,225.00,225.00,225.00,0.00,100.00,22500.00,0
2011-04-07,225.00,229.00,225.00,229.00,0.00,753.00,171203.00,0
2011-04-10,229.00,233.00,229.00,233.00,0.00,235.00,54379.00,0
2011-04-11,233.00,233.00,229.00,233.00,0.00,356.00,81860.00,0
2011-04-17,233.00,229.00,229.00,229.00,0.00,100.00,22900.00,0
2011-04-19,229.00,225.00,215.00,215.00,0.00,1430.00,309952.00,0
2011-04-20,215.00,215.00,211.00,211.00,0.00,1273.00,272171.00,0
2011-04-21,211.00,215.00,211.00,211.00,0.00,64.00,13660.00,0
2011-04-25,211.00,210.00,206.00,206.00,0.00,837.00,172863.00,0
2011-04-26,206.00,210.00,198.00,198.00,0.00,306.00,61540.00,0
2011-04-27,198.00,198.00,192.00,195.00,0.00,1039.00,202919.00,0
2011-04-28,195.00,207.00,193.00,196.00,0.00,1481.00,294587.00,0
2011-05-05,196.00,182.00,176.00,176.00,0.00,1066.00,190034.00,0
2011-05-08,176.00,175.00,172.00,172.00,0.00,350.00,60650.00,0
2011-05-09,172.00,174.00,169.00,172.00,0.00,1475.00,250245.00,0
2011-05-10,172.00,181.00,175.00,178.00,0.00,735.00,130935.00,0
2011-05-11,178.00,182.00,181.00,182.00,0.00,294.00,53450.00,0
2011-05-16,182.00,185.00,185.00,185.00,0.00,7236.00,1338660.00,0
2011-05-18,185.00,190.00,188.00,190.00,0.00,171.00,32390.00,0
2011-05-19,190.00,187.00,182.00,185.00,0.00,732.00,135241.00,0
2011-05-23,185.00,194.00,188.00,192.00,0.00,196.00,37532.00,0
2011-05-24,192.00,198.00,195.00,198.00,0.00,83.00,16335.00,0
2011-05-25,198.00,217.00,201.00,217.00,0.00,335.00,69883.00,0
2011-05-30,217.00,228.00,221.00,228.00,0.00,78.00,17559.00,0
2011-05-31,228.00,224.00,212.00,212.00,0.00,1043.00,229420.00,0
2011-06-01,212.00,224.00,208.00,224.00,0.00,521.00,111428.00,0
2011-06-02,224.00,220.00,204.00,204.00,0.00,96.00,20236.00,0
2011-06-05,204.00,200.00,190.00,190.00,0.00,259.00,50335.00,0
2011-06-06,190.00,193.00,178.00,181.00,0.00,3223.00,584227.00,0
2011-06-07,181.00,184.00,172.00,172.00,0.00,249.00,44856.00,0
2011-06-08,172.00,175.00,158.00,161.00,0.00,1132.00,183524.00,0
2011-06-09,161.00,167.00,159.00,160.00,0.00,1004.00,162869.00,0
2011-06-12,160.00,160.00,150.00,150.00,0.00,3304.00,505988.00,0
2011-06-13,150.00,159.00,145.00,145.00,0.00,1363.00,204080.00,0
2011-06-14,145.00,147.00,135.00,135.00,0.00,2671.00,373235.00,0
2011-06-15,135.00,135.00,129.00,129.00,0.00,3076.00,404728.00,0
2011-06-16,129.00,141.00,130.00,141.00,0.00,817.00,108402.00,0
2011-06-19,141.00,154.00,143.00,154.00,0.00,187.00,27944.00,0
2011-06-20,141.00,154.00,143.00,154.00,0.00,187.00,27944.00,0
2011-06-21,169.00,185.00,172.00,185.00,0.00,793.00,145363.00,0
2011-06-23,185.00,203.00,188.00,203.00,0.00,2417.00,487738.00,0
2011-06-26,203.00,223.00,185.00,185.00,0.00,5727.00,1188911.00,0
2011-06-27,185.00,182.00,167.00,167.00,0.00,1162.00,200618.00,0
2011-06-29,167.00,182.00,160.00,182.00,0.00,1448.00,240181.00,0
2011-06-30,182.00,185.00,169.00,173.00,0.00,4805.00,843561.00,0
2011-07-03,173.00,176.00,169.00,176.00,0.00,4582.00,786048.00,0
2011-07-04,176.00,183.00,176.00,180.00,0.00,4344.00,781004.00,0
2011-07-05,180.00,186.00,172.00,180.00,0.00,4554.00,811328.00,0
2011-07-06,180.00,188.00,180.00,184.00,0.00,5823.00,1079265.00,0
2011-07-07,184.00,181.00,178.00,178.00,0.00,231.00,41631.00,0
2011-07-10,178.00,184.00,179.00,183.00,0.00,2579.00,467086.00,0
2011-07-11,183.00,183.00,175.00,183.00,0.00,6669.00,1192852.00,0
2011-07-12,183.00,194.00,186.00,190.00,0.00,2177.00,414301.00,0
2011-07-13,190.00,206.00,193.00,198.00,0.00,4597.00,920064.00,0
2011-07-14,198.00,201.00,192.00,195.00,0.00,2976.00,580428.00,0
2011-07-17,195.00,198.00,198.00,198.00,0.00,69.00,13662.00,0
2011-07-18,198.00,209.00,197.00,197.00,0.00,5931.00,1194181.00,0
2011-07-19,197.00,208.00,191.00,208.00,0.00,2235.00,444554.00,0
2011-07-20,208.00,215.00,205.00,207.00,0.00,1929.00,402570.00,0
2011-07-21,207.00,213.00,205.00,209.00,0.00,1365.00,284879.00,0
2011-07-24,209.00,209.00,200.00,204.00,0.00,1027.00,208632.00,0
2011-07-25,204.00,200.00,200.00,200.00,0.00,222.00,44400.00,0
2011-07-26,200.00,197.00,190.00,190.00,0.00,1866.00,359674.00,0
2011-07-27,190.00,196.00,193.00,196.00,0.00,1113.00,214908.00,0
2011-07-28,196.00,199.00,196.00,199.00,0.00,730.00,144170.00,0
2011-07-31,199.00,199.00,196.00,199.00,0.00,165.00,32535.00,0
2011-08-01,199.00,196.00,193.00,196.00,0.00,719.00,139576.00,0
2011-08-02,196.00,196.00,190.00,190.00,0.00,636.00,122340.00,0
2011-08-03,190.00,192.00,190.00,190.00,0.00,389.00,74361.00,0
2011-08-04,190.00,191.00,190.00,191.00,0.00,1177.00,224047.00,0
2011-08-08,191.00,190.00,184.00,184.00,0.00,385.00,72406.00,0
2011-08-09,184.00,183.00,175.00,183.00,0.00,2171.00,384859.00,0
2011-08-10,183.00,186.00,180.00,183.00,0.00,749.00,136974.00,0
2011-08-11,183.00,195.00,186.00,195.00,0.00,1396.00,265948.00,0
2011-08-15,195.00,192.00,187.00,190.00,0.00,2010.00,379985.00,0
2011-08-16,190.00,187.00,171.00,185.00,0.00,9864.00,1709103.00,0
2011-08-17,185.00,182.00,182.00,182.00,0.00,129.00,23478.00,0
2011-08-18,182.00,188.00,185.00,188.00,0.00,179.00,33515.00,0
2011-08-22,188.00,188.00,186.00,188.00,0.00,341.00,63536.00,0
2011-08-23,188.00,188.00,185.00,188.00,0.00,5536.00,1024776.00,0
2011-08-24,188.00,188.00,185.00,188.00,0.00,5318.00,984582.00,0
2011-08-25,188.00,185.00,182.00,182.00,0.00,5430.00,992550.00,0
2011-08-28,182.00,180.00,177.00,178.00,0.00,337.00,59833.00,0
2011-08-29,178.00,180.00,180.00,180.00,0.00,15.00,2700.00,0
2011-08-30,180.00,186.00,183.00,185.00,0.00,801.00,148573.00,0
