published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-07-15,10.0,10.0,10.0,10.0,0.0,100.0,1000.0,0
2020-07-21,9.81,9.81,9.7,9.7,-3.0,8050.0,78200.0,-1
2020-07-22,9.51,9.51,9.22,9.22,-4.95,101300.0,934774.0,-1
2020-07-23,9.22,9.4,9.12,9.3,0.87,54800.0,514385.0,1
2020-07-26,9.48,9.69,9.32,9.5,2.15,4350.0,41125.0,1
2020-07-27,9.33,9.35,9.33,9.35,-1.58,1600.0,14940.0,-1
2020-07-28,9.3,9.4,9.3,9.36,0.11,800.0,7494.0,1
2020-07-29,9.4,9.54,9.4,9.54,1.92,980.0,9321.0,1
2020-07-30,9.39,9.91,9.35,9.91,3.88,5600.0,53746.0,1
2020-08-02,9.72,9.72,9.53,9.53,-3.83,400.0,3850.0,-1
2020-08-03,9.35,9.36,9.35,9.36,-1.78,2600.0,24325.0,-1
2020-08-05,9.18,9.38,9.18,9.26,-1.07,16150.0,149223.0,-1
2020-08-06,9.18,9.2,9.18,9.2,-0.65,2100.0,19318.0,-1
2020-08-09,9.2,9.75,9.2,9.75,5.98,6700.0,62749.0,1
2020-08-10,9.56,9.57,9.4,9.56,-1.95,1300.0,12416.0,-1
2020-08-11,9.39,9.39,9.38,9.38,-1.88,300.0,2816.0,-1
2020-08-12,9.3,9.3,9.3,9.3,-0.85,1200.0,11160.0,-1
2020-08-13,9.31,9.31,9.31,9.31,0.11,2400.0,22344.0,1
2020-08-16,9.25,9.35,9.25,9.35,0.43,5850.0,54678.5,1
2020-08-18,9.35,9.4,9.35,9.35,0.0,6700.0,62690.0,0
2020-08-19,9.23,9.23,9.23,9.23,-1.28,1400.0,12922.0,-1
2020-08-20,9.19,9.19,9.19,9.19,-0.43,500.0,4595.0,-1
2020-08-23,9.1,9.14,9.1,9.14,-0.54,800.0,7302.0,-1
2020-08-24,9.05,9.2,9.05,9.2,0.66,2250.0,20547.5,1
2020-08-25,9.16,9.18,9.16,9.18,-0.22,2200.0,20192.0,-1
2020-08-26,9.18,9.22,9.18,9.22,0.44,2100.0,19300.0,1
2020-08-27,9.26,9.4,9.26,9.4,1.95,4500.0,41825.0,1
2020-08-30,9.32,9.32,9.32,9.32,-0.85,200.0,1864.0,-1
2020-08-31,9.14,9.35,9.14,9.35,0.32,155150.0,1442658.0,1
