published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-06-29,424.0,432.0,382.0,382.0,-9.91,9779.0,3761368.0,-1
2020-06-30,363.0,363.0,344.0,344.0,-9.95,20380.0,7016590.0,-1
2020-07-01,327.0,378.0,315.0,378.0,9.88,41011.0,14761825.0,1
2020-07-02,396.0,415.0,368.0,383.0,1.32,152449.0,60682124.0,1
2020-07-05,380.0,415.0,370.0,400.0,4.44,384082.0,151241984.0,1
2020-07-06,400.0,440.0,400.0,440.0,10.0,337293.0,145331376.0,1
2020-07-07,462.0,484.0,453.0,484.0,10.0,189080.0,91267080.0,1
2020-07-08,508.0,532.0,480.0,508.0,4.96,501457.0,255799680.0,1
2020-07-09,515.0,516.0,486.0,504.0,-0.79,302571.0,151845824.0,-1
2020-07-12,504.0,535.0,501.0,509.0,0.99,279522.0,143448464.0,1
2020-07-13,512.0,517.0,501.0,508.0,-0.2,202660.0,102812352.0,-1
2020-07-14,505.0,510.0,497.0,500.0,-1.57,221004.0,111012240.0,-1
2020-07-15,500.0,510.0,500.0,504.0,0.8,193037.0,97362528.0,1
2020-07-16,529.0,529.0,503.0,521.0,3.37,182560.0,94172560.0,1
2020-07-19,547.0,573.0,547.0,570.0,9.4,44436.0,25371292.0,1
2020-07-20,598.0,618.0,537.0,565.0,-0.88,309752.0,176382800.0,-1
2020-07-21,565.0,567.0,550.0,557.0,-1.42,223552.0,124291832.0,-1
2020-07-22,560.0,561.0,528.0,535.0,-3.95,301663.0,162376272.0,-1
2020-07-23,535.0,547.0,520.0,545.0,1.87,212889.0,113239680.0,1
2020-07-26,520.0,552.0,520.0,549.0,0.73,373050.0,199452912.0,1
2020-07-27,559.0,575.0,553.0,562.0,2.37,264209.0,148861184.0,1
2020-07-28,562.0,569.0,555.0,566.0,0.71,183834.0,103576160.0,1
2020-07-29,567.0,588.0,557.0,584.0,3.18,272601.0,157100112.0,1
2020-07-30,595.0,615.0,576.0,599.0,2.57,382720.0,229155056.0,1
2020-08-02,610.0,610.0,584.0,586.0,-2.17,382259.0,226517072.0,-1
2020-08-03,590.0,594.0,575.0,589.0,0.51,171630.0,100417640.0,1
2020-08-05,588.0,590.0,576.0,576.0,-2.21,234516.0,136119904.0,-1
2020-08-06,575.0,585.0,565.0,575.0,-0.17,206694.0,118115184.0,-1
2020-08-09,575.0,580.0,563.0,572.0,-0.52,156684.0,89114880.0,-1
2020-08-10,572.0,597.0,566.0,591.0,3.32,210854.0,123153744.0,1
2020-08-11,590.0,599.0,585.0,587.0,-0.68,204932.0,121607808.0,-1
2020-08-12,616.0,616.0,584.0,588.0,0.17,102692.0,60381444.0,1
2020-08-13,588.0,588.0,580.0,580.0,-1.36,123499.0,71937184.0,-1
