published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-06,250.4,275.4,250.4,275.4,9.98,62033.0,17074308.2,1
2023-08-07,280.8,302.9,275.0,302.9,9.99,277924.0,82519074.3,1
2023-08-08,308.9,333.1,308.9,333.1,9.97,61197.0,20236379.8,1
2023-08-09,339.7,354.7,299.8,306.7,-7.93,241388.0,75599039.4,-1
2023-08-10,307.0,310.0,295.0,297.0,-3.16,133080.0,39789597.7,-1
2023-08-13,297.0,299.0,278.6,282.0,-5.05,108982.0,31093494.2,-1
2023-08-14,276.5,305.0,276.5,296.0,4.96,82580.0,24363370.6,1
2023-08-15,291.0,293.0,284.0,285.0,-3.72,42304.0,12174426.2,-1
2023-08-16,280.0,285.0,277.0,278.0,-2.46,45046.0,12640691.2,-1
2023-08-17,278.0,285.6,275.0,278.0,0.0,46745.0,13090193.0,0
2023-08-20,273.0,278.0,267.5,267.5,-3.78,40091.0,10909831.2,-1
2023-08-21,265.0,279.7,261.0,264.8,-1.01,33941.0,8983001.2,-1
2023-08-22,261.0,270.0,261.0,267.5,1.02,37619.0,10013261.7,1
2023-08-23,269.7,275.0,264.5,272.8,1.98,35734.0,9662487.0,1
2023-08-24,270.0,274.0,259.7,263.0,-3.59,57178.0,15060025.9,-1
2023-08-27,263.0,263.0,250.5,255.0,-3.04,42073.0,10695757.0,-1
2023-08-28,260.0,265.0,249.6,251.1,-1.53,36339.0,9207719.6,-1
2023-08-29,251.0,255.0,248.8,251.5,0.16,22328.0,5610285.1,1
2023-08-30,251.5,252.0,245.0,245.0,-2.58,28958.0,7173079.5,-1
2023-09-03,241.0,243.0,233.7,234.0,-4.49,37133.0,8862265.0,-1
2023-09-04,230.2,244.0,227.4,237.0,1.28,40748.0,9445333.2,1
2023-09-05,237.0,241.5,230.7,233.0,-1.69,12465.0,2900259.0,-1
2023-09-07,237.0,237.6,225.2,230.0,-1.29,22644.0,5170264.5,-1
2023-09-10,226.1,234.0,225.3,229.5,-0.22,24418.0,5593460.1,-1
2023-09-11,227.0,243.0,227.0,241.0,5.01,27163.0,6444611.8,1
2023-09-12,238.0,245.0,230.7,234.9,-2.53,27030.0,6364894.7,-1
2023-09-13,238.0,244.0,231.6,240.2,2.26,26892.0,6421637.7,1
2023-09-17,236.2,237.0,230.6,233.0,-3.0,20730.0,4843643.2,-1
2023-09-18,228.4,244.0,228.4,234.2,0.52,11910.0,2767857.0,1
2023-09-19,231.0,239.8,231.0,237.4,1.37,14010.0,3294662.0,1
2023-09-21,242.0,255.0,240.0,249.0,4.89,83534.0,20851090.6,1
2023-09-24,244.5,261.5,244.2,255.0,2.41,68730.0,17596420.6,1
2023-09-25,252.2,257.0,248.3,248.3,-2.63,30714.0,7753728.5,-1
2023-09-26,248.0,263.4,245.0,260.0,4.71,49356.0,12750693.5,1
2023-09-27,255.0,265.0,250.0,255.0,-1.92,38479.0,9826876.3,-1
2023-10-01,255.0,259.6,240.2,241.3,-5.37,41491.0,10146186.6,-1
2023-10-02,237.0,249.9,237.0,244.0,1.12,33090.0,8062054.4,1
2023-10-03,243.0,253.0,239.1,241.2,-1.15,23623.0,5754463.5,-1
2023-10-04,238.2,250.0,238.2,247.6,2.65,22629.0,5555144.5,1
2023-10-05,243.0,255.0,242.1,244.0,-1.45,21280.0,5242095.7,-1
2023-10-08,246.0,246.0,237.5,237.6,-2.62,24315.0,5829161.3,-1
2023-10-09,237.6,239.0,231.2,238.9,0.55,12860.0,3018953.5,1
2023-10-10,239.0,243.6,231.1,233.0,-2.47,14314.0,3338422.9,-1
2023-10-11,233.0,240.0,230.0,239.7,2.88,10854.0,2549859.0,1
2023-10-12,239.0,244.0,231.2,234.4,-2.21,19408.0,4520899.5,-1
2023-10-16,230.0,233.0,227.9,231.7,-1.15,17387.0,4011766.3,-1
2023-10-17,228.1,241.0,226.1,229.0,-1.17,24101.0,5559848.0,-1
2023-10-18,233.5,236.0,225.2,232.0,1.31,9641.0,2243589.1,1
2023-10-19,228.4,236.3,228.4,229.3,-1.16,15248.0,3535326.5,-1
2023-10-29,225.0,235.0,225.0,226.2,-1.35,10395.0,2349719.6,-1
2023-10-30,221.7,230.0,218.0,226.0,-0.09,8292.0,1849688.5,-1
2023-10-31,224.0,224.1,219.7,222.0,-1.77,14956.0,3301509.1,-1
2023-11-01,222.0,226.0,218.0,221.0,-0.45,10592.0,2329010.5,-1
2023-11-02,219.0,220.0,214.0,215.0,-2.71,17139.0,3704642.3,-1
2023-11-05,211.0,213.0,206.1,207.0,-3.72,19592.0,4088230.5,-1
2023-11-06,210.0,223.3,205.9,219.0,5.8,19075.0,4118653.8,1
2023-11-07,223.3,229.3,216.6,220.0,0.46,16397.0,3645332.2,1
2023-11-08,220.0,225.9,213.3,218.2,-0.82,17303.0,3804189.2,-1
2023-11-09,215.1,226.0,210.5,213.0,-2.38,11334.0,2441986.6,-1
2023-11-20,213.0,222.5,213.0,222.5,4.46,17283.0,3754644.1,1
2023-11-21,218.2,223.3,214.0,215.0,-3.37,6626.0,1432337.0,-1
2023-11-22,211.0,222.0,211.0,222.0,3.26,15417.0,3362748.1,1
2023-11-23,217.6,236.0,215.2,228.5,2.93,33054.0,7506603.8,1
2023-11-26,233.0,241.0,224.1,241.0,5.47,39600.0,9367999.6,1
2023-11-27,236.2,240.0,230.1,232.6,-3.49,32838.0,7686731.7,-1
2023-11-28,228.7,250.0,228.7,241.5,3.83,59564.0,14361638.9,1
2023-11-29,241.5,253.0,233.0,238.0,-1.45,43074.0,10485496.0,-1
2023-11-30,235.0,236.0,226.0,230.0,-3.36,36462.0,8416399.6,-1
2023-12-03,226.1,238.0,223.5,231.0,0.43,17222.0,3923609.5,1
2023-12-04,226.5,237.0,226.5,233.9,1.26,23013.0,5372706.5,1
2023-12-05,230.1,240.7,229.1,230.5,-1.45,25500.0,5917706.6,-1
2023-12-06,226.0,239.0,226.0,233.9,1.48,16925.0,3911172.5,1
2023-12-07,230.1,245.0,230.1,241.0,3.04,44562.0,10657955.5,1
2023-12-10,245.8,258.0,245.8,258.0,7.05,10330.0,2623906.0,1
2023-12-11,260.0,266.0,241.3,261.0,1.16,118987.0,30378425.5,1
2023-12-12,255.8,287.1,253.0,287.1,10.0,191354.0,53078258.0,1
2023-12-13,287.0,303.0,284.1,287.0,-0.03,110361.0,32437553.0,-1
2023-12-14,290.0,315.7,282.1,315.7,10.0,205677.0,63286035.2,1
2023-12-17,315.0,347.2,304.0,340.0,7.7,209713.0,70532526.5,1
2023-12-18,346.0,363.0,328.0,351.0,3.24,197331.0,67776660.3,1
2023-12-19,355.0,386.1,350.0,386.1,10.0,146602.0,55912559.2,1
2023-12-20,393.8,424.7,390.0,424.7,10.0,132988.0,56083791.8,1
2023-12-21,433.1,467.1,418.0,467.1,9.98,264077.0,119390182.1,1
2023-12-24,467.1,492.5,420.4,420.4,-10.0,274134.0,123243180.6,-1
2023-12-27,420.4,430.0,378.4,389.1,-7.45,319664.0,127454449.7,-1
2023-12-28,396.8,428.0,385.1,423.2,8.76,166790.0,68853117.0,1
