published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-09,374.00,374.00,354.00,354.00,-9.92,14498.00,5145882.00,-1
2020-09-10,337.00,389.00,319.00,389.00,9.89,83295.00,28900909.00,1
2020-09-13,408.00,427.00,408.00,427.00,9.77,71494.00,30413883.00,1
2020-09-14,448.00,456.00,400.00,416.00,-2.58,115029.00,48817754.00,-1
2020-09-15,436.00,436.00,400.00,408.00,-1.92,40769.00,16625804.00,-1
2020-09-16,408.00,412.00,400.00,406.00,-0.49,28882.00,11725930.00,-1
2020-09-17,401.00,405.00,398.00,401.00,-1.23,37908.00,15184272.00,-1
2020-09-20,395.00,396.00,385.00,387.00,-3.49,37140.00,14379455.00,-1
2020-09-21,370.00,380.00,370.00,371.00,-4.13,45446.00,16918850.00,-1
2020-09-22,366.00,367.00,358.00,360.00,-2.96,42449.00,15355897.00,-1
2020-09-23,358.00,386.00,355.00,375.00,4.17,26060.00,9547070.00,1
2020-09-24,375.00,380.00,369.00,375.00,0.00,19135.00,7183145.00,0
2020-09-27,371.00,374.00,364.00,368.00,-1.87,16779.00,6193073.00,-1
2020-09-28,351.00,369.00,351.00,365.00,-0.82,17357.00,6307747.00,-1
2020-09-29,361.00,366.00,358.00,359.00,-1.64,31940.00,11525000.00,-1
2020-09-30,355.00,360.00,355.00,357.00,-0.56,24501.00,8761426.00,-1
2020-10-01,352.00,377.00,352.00,359.00,0.56,30235.00,10918760.00,1
2020-10-04,359.00,368.00,356.00,362.00,0.84,24105.00,8719500.00,1
2020-10-05,357.00,363.00,357.00,358.00,-1.10,15312.00,5505303.00,-1
2020-10-06,365.00,365.00,355.00,357.00,-0.28,14308.00,5103312.00,-1
2020-10-07,352.00,371.00,352.00,371.00,3.92,25735.00,9246946.00,1
2020-10-08,364.00,371.00,359.00,360.00,-2.96,15029.00,5460448.00,-1
2020-10-11,365.00,370.00,351.00,357.00,-0.83,9160.00,3253860.00,-1
2020-10-12,354.00,357.00,353.00,354.00,-0.84,12798.00,4540357.00,-1
2020-10-13,350.00,358.00,350.00,354.00,0.00,10920.00,3865880.00,0
2020-10-14,352.00,353.00,345.00,350.00,-1.13,17455.00,6099140.00,-1
2020-10-15,350.00,355.00,347.00,350.00,0.00,10859.00,3794565.00,0
2020-10-18,344.00,350.00,342.00,346.00,-1.14,7560.00,2624720.00,-1
2020-10-19,342.00,361.00,342.00,347.00,0.29,7100.00,2480040.00,1
2020-10-20,343.00,360.00,343.00,353.00,1.73,5910.00,2079340.00,1
2020-10-21,360.00,364.00,350.00,353.00,0.00,14264.00,5056432.00,0
2020-10-22,346.00,360.00,346.00,352.00,-0.28,7400.00,2592780.00,-1
2020-10-28,345.00,353.00,345.00,351.00,-0.28,8865.00,3111115.00,-1
2020-10-29,340.00,353.00,340.00,350.00,-0.28,16375.00,5722450.00,-1
2020-11-01,350.00,354.00,341.00,348.00,-0.57,11915.00,4107665.00,-1
2020-11-02,342.00,350.00,342.00,347.00,-0.29,11672.00,4052815.00,-1
2020-11-03,341.00,350.00,341.00,345.00,-0.58,9276.00,3200632.00,-1
2020-11-04,350.00,350.00,343.00,347.00,0.58,10345.00,3564840.00,1
2020-11-05,355.00,355.00,342.00,342.00,-1.44,12990.00,4475911.00,-1
2020-11-08,340.00,345.00,340.00,342.00,0.00,20365.00,6976230.00,0
2020-11-09,345.00,366.00,342.00,353.00,3.22,31120.00,10977894.00,1
2020-11-10,355.00,360.00,350.00,353.00,0.00,13169.00,4649869.00,0
2020-11-11,347.00,386.00,347.00,374.00,5.95,47089.00,17426869.00,1
2020-11-12,380.00,380.00,359.00,362.00,-3.21,47620.00,17327324.00,-1
2020-11-18,362.00,372.00,360.00,364.00,0.55,16120.00,5861310.00,1
2020-11-19,370.00,400.00,361.00,400.00,9.89,91460.00,35502641.00,1
2020-11-22,410.00,432.00,396.00,410.00,2.50,131805.00,54990674.00,1
2020-11-23,409.00,412.00,400.00,400.00,-2.44,53791.00,21789986.00,-1
2020-11-24,400.00,428.00,396.00,414.00,3.50,60737.00,24906007.00,1
2020-11-25,417.00,419.00,404.00,413.00,-0.24,35031.00,14346925.00,-1
2020-11-26,410.00,413.00,401.00,401.00,-2.91,36175.00,14650697.00,-1
2020-11-29,401.00,407.00,391.00,396.00,-1.25,35687.00,14099399.00,-1
2020-11-30,395.00,406.00,390.00,396.00,0.00,29525.00,11697385.00,0
2020-12-01,390.00,414.00,389.00,390.00,-1.52,53218.00,21170355.00,-1
2020-12-02,387.00,414.00,387.00,406.00,4.10,42500.00,17254669.00,1
2020-12-03,406.00,412.00,394.00,394.00,-2.96,25261.00,10139623.00,-1
2020-12-06,388.00,398.00,376.00,376.00,-4.57,27859.00,10733212.00,-1
2020-12-07,376.00,389.00,361.00,385.00,2.39,27595.00,10478660.00,1
2020-12-08,378.00,388.00,376.00,377.00,-2.08,20395.00,7778183.00,-1
2020-12-09,380.00,384.00,368.00,369.00,-2.12,23613.00,8771785.00,-1
2020-12-10,364.00,378.00,363.00,375.00,1.63,25032.00,9281306.00,1
2020-12-13,375.00,378.00,368.00,374.00,-0.27,12307.00,4566579.00,-1
2020-12-14,371.00,401.00,371.00,388.00,3.74,35339.00,13646856.00,1
2020-12-15,399.00,399.00,381.00,383.00,-1.29,14719.00,5663991.00,-1
2020-12-16,383.00,396.00,378.00,385.00,0.52,27715.00,10687554.00,1
2020-12-17,380.00,383.00,375.00,380.00,-1.30,21419.00,8111780.00,-1
2020-12-20,380.00,380.00,362.00,362.00,-4.74,23081.00,8456491.00,-1
2020-12-21,350.00,379.00,343.00,360.00,-0.55,26187.00,9379845.00,-1
2020-12-22,360.00,372.00,360.00,365.00,1.39,17075.00,6271413.00,1
2020-12-23,360.00,369.00,360.00,361.00,-1.10,14146.00,5126242.00,-1
2020-12-24,358.00,365.00,358.00,365.00,1.11,13890.00,5011820.00,1
2020-12-27,358.00,372.00,356.00,363.00,-0.55,13938.00,5042688.00,-1
2020-12-28,360.00,364.00,354.00,357.00,-1.65,13711.00,4903690.00,-1
2020-12-29,350.00,357.00,350.00,354.00,-0.84,21711.00,7655781.00,-1
2020-12-30,350.00,354.00,347.00,352.00,-0.56,12130.00,4266570.00,-1
2020-12-31,350.00,363.00,348.00,358.00,1.70,22469.00,8015757.00,1
2021-01-03,360.00,360.00,353.00,357.00,-0.28,12650.00,4509854.00,-1
2021-01-04,354.00,360.00,353.00,353.00,-1.12,17949.00,6371284.00,-1
2021-01-05,351.00,379.00,351.00,363.00,2.83,15817.00,5750560.00,1
2021-01-06,363.00,370.00,357.00,360.00,-0.83,11669.00,4240523.00,-1
2021-01-07,365.00,365.00,356.00,359.00,-0.28,16731.00,6027769.00,-1
2021-01-10,342.00,367.00,342.00,360.00,0.28,17040.00,6182370.00,1
2021-01-11,356.00,365.00,356.00,360.00,0.00,10006.00,3610832.00,0
2021-01-12,354.00,364.00,354.00,357.00,-0.83,12711.00,4551163.00,-1
2021-01-13,357.00,370.00,357.00,363.00,1.68,20810.00,7580704.00,1
2021-01-17,363.00,370.00,363.00,368.00,1.38,14000.00,5154250.00,1
2021-01-18,372.00,374.00,366.00,367.00,-0.27,15699.00,5806328.00,-1
2021-01-19,380.00,380.00,362.00,365.00,-0.54,11981.00,4379989.00,-1
2021-01-20,360.00,366.00,358.00,363.00,-0.55,12175.00,4425125.00,-1
2021-01-21,362.00,365.00,360.00,363.00,0.00,22388.00,8108772.00,0
2021-01-24,346.00,385.00,346.00,380.00,4.68,57206.00,21632480.00,1
2021-01-25,387.00,405.00,380.00,397.00,7.59,104438.00,41253354.00,1
2021-01-26,405.00,405.00,385.00,390.00,-1.76,36977.00,14537572.00,-1
2021-01-27,397.00,397.00,385.00,390.00,0.00,27180.00,10637388.00,0
2021-01-28,385.00,387.00,376.00,377.00,-3.33,30397.00,11554325.00,-1
2021-01-31,380.00,380.00,366.00,367.00,-2.65,14291.00,5277114.00,-1
2021-02-01,365.00,374.00,365.00,371.00,1.09,18475.00,6863725.00,1
2021-02-02,371.00,394.00,365.00,382.00,2.96,21880.00,8384191.00,1
2021-02-03,382.00,386.00,371.00,373.00,-2.36,25592.00,9684216.00,-1
2021-02-04,368.00,389.00,368.00,370.00,-0.80,25484.00,9498890.00,-1
2021-02-07,370.00,390.00,370.00,384.00,3.78,46422.00,17687185.00,1
2021-02-08,403.00,403.00,389.00,393.00,2.34,56445.00,22237369.00,1
2021-02-09,412.00,412.00,385.00,385.00,-2.04,20707.00,8043239.00,-1
2021-02-10,391.00,392.00,382.00,383.00,-0.52,20953.00,8108818.00,-1
2021-02-11,382.00,415.00,382.00,392.00,2.35,75146.00,29873640.00,1
2021-02-14,399.00,409.00,392.00,402.00,2.55,54121.00,21664942.00,1
