published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-17,10.0,10.19,9.43,10.15,1.5,40890.0,396551.2,1
2026-03-19,9.95,9.95,9.5,9.63,-5.12,29470.0,283924.9,-1
2026-03-22,9.55,9.8,9.46,9.75,1.25,35620.0,341587.0,1
2026-03-23,9.57,10.02,9.35,10.02,2.77,41060.0,396097.8,1
2026-03-24,10.02,10.02,9.6,9.87,-1.5,21500.0,210289.16,-1
2026-03-25,9.8,9.85,9.61,9.71,-1.62,18980.0,185295.0,-1
2026-03-26,9.7,9.9,9.62,9.89,1.85,8000.0,77973.0,1
2026-03-29,9.7,9.87,9.57,9.85,-0.4,21740.0,212816.8,-1
2026-03-30,9.66,10.0,9.47,9.61,-2.44,12330.0,118741.0,-1
2026-03-31,9.42,9.8,9.24,9.51,-1.04,19350.0,183744.0,-1
2026-04-01,9.4,9.72,9.35,9.55,0.42,24800.0,236731.0,1
2026-04-02,9.4,9.74,9.4,9.5,-0.52,6600.0,62617.0,-1
2026-04-05,9.32,9.5,9.32,9.41,-0.95,21200.0,200461.0,-1
2026-04-06,9.25,9.66,9.25,9.66,2.66,22100.0,209406.0,1
2026-04-07,9.8,9.99,9.55,9.58,-0.83,16300.0,159352.0,-1
2026-04-08,9.4,9.7,9.4,9.5,-0.84,5400.0,51429.0,-1
2026-04-09,9.5,9.91,9.4,9.91,4.32,13800.0,132657.0,1
2026-04-10,9.72,9.73,9.62,9.72,-1.92,6930.0,67003.5,-1
2026-04-13,9.53,9.88,9.35,9.88,1.65,16800.0,161260.0,1
2026-04-15,9.7,9.8,9.51,9.71,-1.72,24470.0,237438.8,-1
2026-04-16,9.53,9.79,9.53,9.67,-0.41,4800.0,46320.0,-1
2026-04-17,9.57,9.75,9.57,9.75,0.83,4800.0,46063.0,1
2026-04-20,9.5,9.81,9.5,9.6,-1.54,13900.0,133446.0,-1
2026-04-21,9.32,9.7,9.32,9.7,1.04,15630.0,147828.0,1
2026-04-22,9.5,9.78,9.45,9.78,0.82,6600.0,63156.0,1
2026-04-23,9.49,9.77,9.32,9.6,-1.84,8300.0,78636.0,-1
2026-04-24,9.32,9.83,9.06,9.62,0.21,4900.0,46262.0,1
2026-04-27,9.62,9.7,9.18,9.5,-1.25,12700.0,120591.0,-1
2026-04-28,9.5,9.5,9.27,9.31,-2.0,13300.0,124544.0,-1
2026-04-29,9.31,9.68,9.25,9.67,3.87,18600.0,176142.5,1
2026-04-30,9.38,9.66,9.31,9.44,-2.38,5350.0,50381.0,-1
2026-05-04,9.25,9.5,9.13,9.28,-1.69,8750.0,80820.0,-1
2026-05-05,9.28,9.55,9.13,9.55,2.91,51900.0,492593.0,1
2026-05-06,9.28,9.6,9.28,9.5,-0.52,14638.0,138756.8,-1
2026-05-07,9.26,9.73,9.26,9.73,2.42,6850.0,64774.0,1
2026-05-08,9.5,9.68,9.25,9.53,-2.06,9565.0,90846.2,-1
2026-05-11,9.5,9.57,9.26,9.45,-0.84,9920.0,93621.1,-1
2026-05-12,9.18,9.6,9.18,9.45,0.0,153990.0,1456841.26,0
2026-05-13,9.28,9.6,9.28,9.5,0.53,10810.0,102785.0,1
2026-05-14,9.5,9.62,9.25,9.62,1.26,8670.0,81967.4,1
2026-05-15,9.46,9.59,9.46,9.5,-1.25,9700.0,92403.0,-1
2026-05-18,9.43,9.75,9.43,9.5,0.0,55400.0,535974.0,0
2026-05-19,9.43,9.5,9.43,9.5,0.0,6200.0,58630.0,0
2026-05-20,9.43,9.6,9.43,9.6,1.05,3300.0,31248.0,1
2026-05-21,9.44,9.6,9.43,9.6,0.0,8612.0,81792.12,0
2026-05-22,9.45,9.68,9.43,9.68,0.83,5100.0,48552.0,1
2026-05-25,9.44,9.63,9.35,9.53,-1.55,8470.0,81209.0,-1
2026-05-26,9.44,9.7,9.44,9.53,0.0,6100.0,58092.0,0
2026-05-27,9.46,9.7,9.46,9.69,1.68,5000.0,47876.0,1
2026-06-01,9.69,9.69,9.44,9.65,-0.41,14500.0,139187.0,-1
2026-06-02,9.44,9.7,9.44,9.7,0.52,6200.0,59070.0,1
2026-06-03,9.42,9.5,9.4,9.47,-2.37,4600.0,43498.0,-1
2026-06-04,9.33,9.6,9.33,9.51,0.42,19550.0,185455.0,1
2026-06-05,9.79,9.79,9.41,9.69,1.89,13865.0,132824.55,1
2026-06-08,9.41,9.79,9.41,9.52,-1.75,5700.0,54408.0,-1
2026-06-09,9.52,9.52,9.32,9.5,-0.21,5700.0,53847.0,-1
2026-06-10,9.22,9.59,9.22,9.59,0.95,22600.0,212662.0,1
2026-06-11,9.36,9.58,9.36,9.45,-1.46,12200.0,116576.0,-1
2026-06-12,9.43,9.55,9.35,9.51,0.63,8650.0,82022.5,1
2026-06-15,9.5,9.51,9.4,9.5,-0.11,27775.0,263399.75,-1
2026-06-16,9.3,9.5,9.3,9.41,-0.95,8426.0,79207.0,-1
2026-06-17,9.3,9.6,9.3,9.6,2.02,2750.0,25883.0,1
2026-06-18,9.79,9.79,9.41,9.5,-1.04,2850.0,27034.5,-1
2026-06-19,9.45,9.68,9.38,9.66,1.68,5950.0,56147.0,1
2026-06-22,9.38,9.66,9.31,9.66,0.0,4600.0,43368.8,0
2026-06-23,9.39,9.55,9.39,9.5,-1.66,9700.0,91863.0,-1
2026-06-24,9.58,9.58,9.25,9.35,-1.58,8500.0,79346.0,-1
2026-06-25,9.35,9.46,9.15,9.28,-0.75,2200.0,20607.0,-1
2026-06-26,9.28,9.5,9.22,9.42,1.51,6250.0,58772.0,1
2026-06-29,9.2,9.5,9.16,9.3,-1.27,5000.0,46310.0,-1
2026-06-30,9.0,9.49,9.0,9.28,-0.22,5940.0,55027.4,-1
2026-07-01,9.1,9.55,9.1,9.55,2.91,4000.0,36972.0,1
2026-07-02,9.55,9.55,9.2,9.31,-2.51,2900.0,26961.0,-1
