published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-20,442.0,446.0,446.0,446.0,0.0,200.0,89200.0,0
2011-03-24,460.0,462.0,460.0,462.0,0.0,1050.0,483600.0,0
2011-03-25,462.0,465.0,460.0,460.0,0.0,2360.0,1088780.0,0
2011-03-27,460.0,458.0,454.0,458.0,0.0,1740.0,795740.0,0
2011-03-28,458.0,458.0,450.0,450.0,0.0,1350.0,609940.0,0
2011-03-29,450.0,445.0,440.0,440.0,0.0,1400.0,616800.0,0
2011-03-30,440.0,450.0,436.0,450.0,0.0,2460.0,1097260.0,0
2011-03-31,450.0,455.0,455.0,455.0,0.0,150.0,68250.0,0
2011-04-04,455.0,455.0,450.0,455.0,0.0,1110.0,500600.0,0
2011-04-05,455.0,460.0,456.0,460.0,0.0,1400.0,642900.0,0
2011-04-06,460.0,460.0,460.0,460.0,0.0,530.0,243800.0,0
2011-04-07,460.0,465.0,456.0,460.0,0.0,3430.0,1578600.0,0
2011-04-10,460.0,461.0,455.0,461.0,0.0,10520.0,4834740.0,0
2011-04-11,461.0,460.0,452.0,459.0,0.0,4420.0,2007830.0,0
2011-04-13,459.0,481.0,459.0,474.0,0.0,3010.0,1418900.0,0
2011-04-20,474.0,466.0,466.0,466.0,0.0,10.0,4660.0,0
2011-04-21,466.0,460.0,460.0,460.0,0.0,10.0,4600.0,0
2011-04-27,460.0,451.0,423.0,424.0,0.0,470.0,204950.0,0
2011-04-28,424.0,427.0,419.0,420.0,0.0,1190.0,500770.0,0
2011-05-02,420.0,415.0,407.0,414.0,0.0,2150.0,877950.0,0
2011-05-03,414.0,406.0,396.0,399.0,0.0,1530.0,611440.0,0
2011-05-04,399.0,406.0,406.0,406.0,0.0,100.0,40600.0,0
2011-05-05,406.0,405.0,402.0,402.0,0.0,810.0,327000.0,0
2011-05-08,402.0,410.0,406.0,406.0,0.0,400.0,163200.0,0
2011-05-10,406.0,406.0,406.0,406.0,0.0,300.0,121800.0,0
2011-05-11,406.0,406.0,400.0,406.0,0.0,830.0,333610.0,0
2011-05-12,406.0,408.0,406.0,408.0,0.0,1090.0,442720.0,0
2011-05-15,408.0,406.0,406.0,406.0,0.0,200.0,81200.0,0
2011-05-16,406.0,407.0,405.0,405.0,0.0,600.0,243500.0,0
2011-05-18,405.0,410.0,406.0,406.0,0.0,310.0,126660.0,0
2011-05-19,406.0,406.0,404.0,404.0,0.0,400.0,162100.0,0
2011-05-22,404.0,405.0,403.0,403.0,0.0,400.0,161600.0,0
2011-05-23,403.0,403.0,400.0,403.0,0.0,730.0,292640.0,0
2011-05-24,403.0,400.0,399.0,399.0,0.0,370.0,147700.0,0
2011-05-25,399.0,402.0,399.0,399.0,0.0,450.0,179850.0,0
2011-05-26,399.0,414.0,398.0,414.0,0.0,1520.0,608100.0,0
2011-05-30,414.0,406.0,398.0,402.0,0.0,830.0,332950.0,0
2011-05-31,402.0,399.0,394.0,395.0,0.0,2700.0,1069800.0,0
2011-06-01,395.0,401.0,399.0,399.0,0.0,500.0,199700.0,0
2011-06-02,399.0,399.0,398.0,399.0,0.0,280.0,111550.0,0
2011-06-05,399.0,395.0,390.0,390.0,0.0,900.0,353100.0,0
2011-06-06,390.0,390.0,385.0,385.0,0.0,550.0,213750.0,0
2011-06-07,385.0,389.0,380.0,380.0,0.0,1700.0,655700.0,0
2011-06-08,380.0,381.0,370.0,370.0,0.0,3970.0,1499080.0,0
2011-06-09,370.0,377.0,365.0,377.0,0.0,980.0,362490.0,0
2011-06-12,377.0,381.0,352.0,366.0,0.0,10110.0,3679160.0,0
2011-06-13,366.0,377.0,366.0,377.0,0.0,950.0,350950.0,0
2011-06-14,377.0,380.0,377.0,378.0,0.0,510.0,192880.0,0
2011-06-15,378.0,385.0,375.0,376.0,0.0,3130.0,1180650.0,0
2011-06-16,376.0,392.0,376.0,392.0,0.0,1450.0,552000.0,0
2011-06-19,392.0,417.0,399.0,417.0,0.0,1200.0,491500.0,0
2011-06-20,392.0,417.0,399.0,417.0,0.0,1200.0,491500.0,0
2011-06-21,415.0,428.0,415.0,420.0,0.0,4600.0,1926100.0,0
2011-06-23,420.0,446.0,423.0,446.0,0.0,6060.0,2624350.0,0
2011-06-26,446.0,455.0,402.0,402.0,0.0,4360.0,1914710.0,0
2011-06-27,402.0,395.0,381.0,381.0,0.0,2250.0,866850.0,0
2011-06-29,381.0,385.0,370.0,385.0,0.0,2350.0,880950.0,0
2011-06-30,385.0,414.0,385.0,414.0,0.0,1120.0,438640.0,0
2011-07-03,414.0,414.0,391.0,400.0,0.0,1280.0,511240.0,0
2011-07-04,400.0,405.0,398.0,405.0,0.0,400.0,159900.0,0
2011-07-05,405.0,421.0,412.0,421.0,0.0,1690.0,701160.0,0
2011-07-06,421.0,421.0,413.0,420.0,0.0,550.0,229750.0,0
2011-07-07,420.0,420.0,400.0,405.0,0.0,500.0,204200.0,0
2011-07-10,405.0,413.0,410.0,413.0,0.0,640.0,264020.0,0
2011-07-11,413.0,407.0,400.0,400.0,0.0,610.0,244770.0,0
2011-07-12,400.0,416.0,408.0,415.0,0.0,360.0,148180.0,0
2011-07-13,415.0,425.0,407.0,413.0,0.0,2210.0,918350.0,0
2011-07-14,413.0,419.0,408.0,419.0,0.0,2820.0,1162700.0,0
2011-07-17,419.0,435.0,427.0,435.0,0.0,310.0,134050.0,0
2011-07-18,435.0,451.0,417.0,425.0,0.0,1660.0,719700.0,0
2011-07-19,425.0,425.0,425.0,425.0,0.0,1710.0,726750.0,0
2011-07-20,425.0,439.0,420.0,439.0,0.0,2660.0,1143940.0,0
2011-07-21,439.0,435.0,425.0,427.0,0.0,1740.0,744770.0,0
2011-07-24,427.0,419.0,414.0,415.0,0.0,1180.0,489420.0,0
2011-07-25,415.0,415.0,415.0,415.0,0.0,280.0,116200.0,0
2011-07-26,415.0,419.0,400.0,415.0,0.0,1810.0,734740.0,0
2011-07-27,415.0,420.0,405.0,420.0,0.0,5040.0,2063380.0,0
2011-07-28,420.0,421.0,413.0,421.0,0.0,210.0,87310.0,0
2011-07-31,421.0,417.0,415.0,417.0,0.0,950.0,394500.0,0
2011-08-01,417.0,415.0,415.0,415.0,0.0,50.0,20750.0,0
2011-08-02,415.0,416.0,415.0,415.0,0.0,200.0,83100.0,0
2011-08-03,415.0,416.0,411.0,414.0,0.0,1260.0,519240.0,0
2011-08-04,414.0,424.0,412.0,424.0,0.0,3160.0,1306480.0,0
2011-08-07,424.0,416.0,408.0,408.0,0.0,500.0,206400.0,0
2011-08-08,408.0,414.0,400.0,414.0,0.0,1690.0,678800.0,0
2011-08-09,414.0,409.0,405.0,405.0,0.0,650.0,265050.0,0
2011-08-10,405.0,413.0,410.0,410.0,0.0,850.0,349700.0,0
2011-08-11,410.0,410.0,408.0,410.0,0.0,400.0,163600.0,0
2011-08-15,410.0,410.0,400.0,410.0,0.0,1870.0,755470.0,0
2011-08-16,410.0,415.0,410.0,415.0,0.0,420.0,173500.0,0
2011-08-17,415.0,415.0,408.0,410.0,0.0,2130.0,874050.0,0
2011-08-18,410.0,415.0,408.0,408.0,0.0,460.0,188980.0,0
2011-08-22,408.0,412.0,408.0,409.0,0.0,630.0,257670.0,0
2011-08-23,409.0,410.0,410.0,410.0,0.0,20.0,8200.0,0
2011-08-24,410.0,412.0,405.0,412.0,0.0,765.0,312025.0,0
