published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-06,225.0,225.0,225.0,225.0,0.0,64.0,14400.0,0
2011-05-12,225.0,229.0,225.0,225.0,0.0,59.0,13427.0,0
2011-05-15,225.0,229.0,229.0,229.0,0.0,57.0,13053.0,0
2011-05-16,229.0,230.0,230.0,230.0,0.0,20.0,4600.0,0
2011-05-18,230.0,230.0,230.0,230.0,0.0,22.0,5060.0,0
2011-05-23,230.0,227.0,227.0,227.0,0.0,83.0,18841.0,0
2011-06-27,227.0,231.0,231.0,231.0,0.0,99.0,22869.0,0
2011-06-30,231.0,239.0,235.0,239.0,0.0,99.0,23397.0,0
2011-07-03,239.0,242.0,242.0,242.0,0.0,33.0,7986.0,0
2011-07-14,242.0,238.0,235.0,235.0,0.0,165.0,39135.0,0
2011-08-07,235.0,235.0,235.0,235.0,0.0,20.0,4700.0,0
2011-08-10,235.0,231.0,231.0,231.0,0.0,32.0,7392.0,0
2011-08-11,231.0,227.0,227.0,227.0,0.0,151.0,34277.0,0
2011-08-15,227.0,223.0,219.0,219.0,0.0,139.0,30569.0,0
2011-08-16,219.0,215.0,215.0,215.0,0.0,17.0,3655.0,0
2011-08-17,215.0,211.0,211.0,211.0,0.0,130.0,27430.0,0
2011-08-22,211.0,211.0,211.0,211.0,0.0,154.0,32494.0,0
2011-09-04,211.0,207.0,207.0,207.0,0.0,74.0,15318.0,0
2011-09-27,207.0,203.0,203.0,203.0,0.0,204.0,41412.0,0
2011-10-13,203.0,199.0,199.0,199.0,0.0,230.0,45770.0,0
2011-10-24,199.0,196.0,196.0,196.0,0.0,13.0,2548.0,0
2011-12-01,196.0,196.0,196.0,196.0,0.0,13.0,2548.0,0
2012-02-01,196.0,181.0,181.0,181.0,0.0,89.0,16109.0,0
2012-03-04,181.0,184.0,184.0,184.0,0.0,20.0,3680.0,0
2012-04-03,184.0,181.0,181.0,181.0,0.0,370.0,66970.0,0
2012-04-12,181.0,178.0,178.0,178.0,0.0,20.0,3560.0,0
2012-04-16,178.0,178.0,178.0,178.0,0.0,30.0,5340.0,0
2012-04-19,178.0,181.0,181.0,181.0,0.0,363.0,65703.0,0
2012-04-29,181.0,181.0,181.0,181.0,0.0,345.0,62445.0,0
2012-05-09,181.0,184.0,184.0,184.0,0.0,58.0,10672.0,0
2012-05-24,184.0,181.0,178.0,178.0,0.0,621.0,111861.0,0
2012-06-06,178.0,175.0,175.0,175.0,0.0,47.0,8225.0,0
2012-06-14,175.0,178.0,169.0,169.0,0.0,579.0,99651.0,0
2012-06-17,169.0,169.0,169.0,169.0,0.0,29.0,4901.0,0
2012-06-19,169.0,167.0,167.0,167.0,0.0,13.0,2171.0,0
2012-07-02,167.0,164.0,164.0,164.0,0.0,21.0,3444.0,0
2012-07-17,164.0,161.0,158.0,161.0,0.0,114.0,18186.0,0
2012-07-22,161.0,160.0,160.0,160.0,0.0,212.0,33920.0,0
2012-07-26,160.0,160.0,160.0,160.0,0.0,83.0,13280.0,0
2012-07-30,160.0,157.0,157.0,157.0,0.0,14.0,2198.0,0
2012-08-12,157.0,154.0,154.0,154.0,0.0,392.0,60368.0,0
2012-08-26,154.0,154.0,151.0,151.0,0.0,642.0,97263.0,0
2012-08-27,151.0,152.0,152.0,152.0,0.0,207.0,31464.0,0
2012-08-28,152.0,166.0,155.0,166.0,0.0,537.0,86798.0,0
2012-08-29,166.0,169.0,169.0,169.0,0.0,50.0,8450.0,0
2012-08-30,169.0,172.0,172.0,172.0,0.0,40.0,6880.0,0
2012-09-02,172.0,181.0,175.0,181.0,0.0,451.0,79168.0,0
2012-09-03,181.0,190.0,184.0,190.0,0.0,480.0,89970.0,0
2012-09-04,190.0,193.0,193.0,193.0,0.0,29.0,5597.0,0
2012-10-10,193.0,190.0,190.0,190.0,0.0,199.0,37810.0,0
2012-10-11,190.0,187.0,181.0,181.0,0.0,743.0,135029.0,0
2012-10-15,181.0,178.0,178.0,178.0,0.0,207.0,36846.0,0
2012-10-18,178.0,176.0,176.0,176.0,0.0,31.0,5456.0,0
2012-11-06,176.0,178.0,175.0,175.0,0.0,189.0,33549.0,0
2012-11-11,175.0,175.0,175.0,175.0,0.0,107.0,18725.0,0
2012-11-26,175.0,178.0,178.0,178.0,0.0,107.0,19046.0,0
2012-11-28,178.0,176.0,176.0,176.0,0.0,31.0,5456.0,0
2012-12-12,176.0,189.0,171.0,189.0,0.0,1155.0,205432.0,0
2012-12-13,189.0,207.0,192.0,207.0,0.0,535.0,109627.0,0
2012-12-16,207.0,200.0,200.0,200.0,0.0,500.0,100000.0,0
2012-12-18,200.0,200.0,200.0,200.0,0.0,168.0,33600.0,0
2012-12-19,200.0,201.0,201.0,201.0,0.0,1851.0,372051.0,0
2012-12-20,201.0,200.0,200.0,200.0,0.0,76.0,15200.0,0
2013-01-06,200.0,208.0,204.0,208.0,0.0,259.0,53636.0,0
2013-01-10,208.0,204.0,204.0,204.0,0.0,502.0,102408.0,0
2013-01-13,204.0,212.0,208.0,212.0,0.0,20.0,4200.0,0
2013-01-15,212.0,220.0,216.0,220.0,0.0,1158.0,251548.0,0
2013-01-16,220.0,224.0,224.0,224.0,0.0,510.0,114240.0,0
2013-01-17,224.0,228.0,228.0,228.0,0.0,50.0,11400.0,0
2013-01-21,228.0,235.0,232.0,235.0,0.0,411.0,95773.0,0
2013-01-22,235.0,235.0,225.0,225.0,0.0,443.0,101469.0,0
2013-01-23,225.0,225.0,225.0,225.0,0.0,153.0,34425.0,0
2013-01-24,225.0,225.0,225.0,225.0,0.0,2130.0,479250.0,0
2013-01-27,225.0,226.0,226.0,226.0,0.0,111.0,25086.0,0
2013-01-28,226.0,230.0,230.0,230.0,0.0,30.0,6900.0,0
2013-02-04,230.0,226.0,226.0,226.0,0.0,47.0,10622.0,0
2013-02-05,226.0,222.0,216.0,216.0,0.0,715.0,155925.0,0
2013-02-06,216.0,219.0,207.0,214.0,0.0,404.0,86179.0,0
2013-02-07,214.0,220.0,216.0,220.0,0.0,181.0,39390.0,0
2013-02-10,220.0,232.0,224.0,230.0,0.0,2465.0,555242.0,0
2013-02-12,230.0,233.0,232.0,233.0,0.0,136.0,31637.0,0
2013-02-13,233.0,236.0,232.0,232.0,0.0,272.0,63856.0,0
2013-02-14,232.0,230.0,230.0,230.0,0.0,159.0,36570.0,0
2013-02-17,230.0,234.0,234.0,234.0,0.0,124.0,29016.0,0
2013-02-19,234.0,245.0,238.0,245.0,0.0,484.0,117347.0,0
2013-02-20,245.0,241.0,237.0,237.0,0.0,224.0,53148.0,0
2013-02-21,237.0,233.0,233.0,233.0,0.0,17.0,3961.0,0
2013-02-24,233.0,229.0,225.0,225.0,0.0,32.0,7260.0,0
2013-02-25,225.0,225.0,225.0,225.0,0.0,102.0,22950.0,0
2013-03-07,225.0,226.0,226.0,226.0,0.0,227.0,51302.0,0
2013-03-11,226.0,225.0,225.0,225.0,0.0,238.0,53550.0,0
2013-03-13,225.0,225.0,224.0,225.0,0.0,552.0,124040.0,0
2013-03-14,225.0,229.0,229.0,229.0,0.0,10.0,2290.0,0
2013-03-18,229.0,226.0,226.0,226.0,0.0,77.0,17402.0,0
2013-03-19,226.0,222.0,222.0,222.0,0.0,61.0,13542.0,0
2013-03-21,222.0,226.0,226.0,226.0,0.0,49.0,11074.0,0
2013-03-31,226.0,217.0,217.0,217.0,0.0,242.0,52514.0,0
2013-04-03,217.0,220.0,220.0,220.0,0.0,402.0,88440.0,0
2013-04-11,220.0,221.0,221.0,221.0,0.0,70.0,15470.0,0
2013-04-17,221.0,229.0,221.0,221.0,0.0,388.0,86944.0,0
2013-04-18,221.0,220.0,218.0,218.0,0.0,361.0,79135.0,0
2013-04-21,218.0,222.0,222.0,222.0,0.0,11.0,2442.0,0
2013-04-22,222.0,218.0,218.0,218.0,0.0,319.0,69542.0,0
2013-04-28,218.0,215.0,214.0,214.0,0.0,115.0,24680.0,0
2013-05-07,214.0,218.0,218.0,218.0,0.0,111.0,24198.0,0
2013-05-08,218.0,222.0,222.0,222.0,0.0,276.0,61272.0,0
2013-05-09,222.0,244.0,226.0,244.0,0.0,130.0,31200.0,0
2013-05-12,244.0,268.0,248.0,268.0,0.0,678.0,173960.0,0
2013-05-13,268.0,277.0,265.0,266.0,0.0,3021.0,807484.0,0
2013-05-16,266.0,271.0,266.0,270.0,0.0,441.0,118834.0,0
2013-05-19,270.0,270.0,270.0,270.0,0.0,386.0,104220.0,0
2013-05-20,270.0,271.0,269.0,271.0,0.0,455.0,122865.0,0
2013-05-22,271.0,271.0,271.0,271.0,0.0,74.0,20054.0,0
2013-05-23,271.0,281.0,273.0,281.0,0.0,656.0,182168.0,0
