published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-04,270.0,297.0,270.0,297.0,10.0,160.0,45910.0,1
2025-05-05,293.3,326.7,293.3,326.7,10.0,80.0,25028.0,1
2025-05-06,326.6,359.3,326.6,359.3,9.98,120.0,42142.0,1
2025-05-07,359.0,395.2,359.0,395.2,9.99,150.0,57835.0,1
2025-05-08,399.7,434.7,399.7,434.7,9.99,190.0,81302.0,1
2025-05-11,443.3,478.1,443.3,478.1,9.98,220.0,104326.0,1
2025-05-13,477.5,525.9,477.5,525.9,10.0,300.0,156320.0,1
2025-05-14,525.8,578.4,525.8,578.4,9.98,390.0,223490.0,1
2025-05-15,578.3,636.2,578.3,636.2,9.99,460.0,290351.0,1
2025-05-18,647.9,699.8,647.9,699.8,10.0,460.0,320098.0,1
2025-05-19,713.7,769.7,713.7,769.7,9.99,350.0,268019.0,1
2025-05-20,769.6,846.6,769.6,846.6,9.99,420.0,352515.0,1
2025-05-21,831.5,931.2,831.5,931.2,9.99,590.0,544985.0,1
2025-05-22,931.1,1024.3,931.1,1024.3,10.0,1250.0,1277609.0,1
2025-05-25,1044.7,1126.7,1044.7,1126.7,10.0,1140.0,1282425.0,1
2025-05-26,1149.2,1239.3,1149.2,1239.3,9.99,950.0,1175125.0,1
2025-05-27,1264.0,1363.2,1264.0,1363.2,10.0,1180.0,1606140.0,1
2025-05-28,1390.4,1499.5,1390.4,1499.5,10.0,4169.0,6248740.5,1
2025-06-02,1529.4,1649.4,1529.4,1649.4,10.0,4370.0,7192933.0,1
2025-06-03,1649.4,1814.3,1649.4,1813.43,9.94,160034.0,283395122.2,1
2025-06-04,1849.0,1994.7,1750.0,1994.7,10.0,55110.0,105383988.6,1
2025-06-05,2034.5,2167.2,1796.0,1809.24,-9.3,91850.0,176017126.7,-1
2025-06-08,1775.1,1790.0,1628.4,1628.4,-10.0,67440.0,112446763.0,-1
2025-06-09,1595.9,1675.0,1533.0,1658.57,1.85,57950.0,91336467.0,1
2025-06-10,1630.0,1650.0,1580.0,1590.58,-4.1,45590.0,73205243.8,-1
2025-06-11,1580.0,1600.0,1530.2,1537.76,-3.32,45848.0,71128830.1,-1
2025-06-12,1512.0,1532.0,1493.0,1497.54,-2.62,38860.0,58566262.0,-1
2025-06-15,1527.4,1545.0,1460.0,1503.04,0.37,35948.0,53962717.0,1
2025-06-16,1487.0,1527.0,1470.0,1472.69,-2.02,25232.0,37387667.8,-1
2025-06-17,1462.1,1501.0,1436.0,1438.7,-2.31,23609.0,34514780.9,-1
2025-06-18,1423.0,1451.4,1399.5,1405.88,-2.28,26955.0,38133418.2,-1
2025-06-19,1400.0,1402.0,1325.0,1337.12,-4.89,40713.0,55710899.3,-1
2025-06-22,1318.0,1328.0,1266.0,1273.69,-4.74,31556.0,40679569.3,-1
2025-06-23,1270.0,1299.0,1249.0,1278.97,0.41,18172.0,23162029.1,1
2025-06-24,1280.2,1404.0,1280.2,1381.47,8.01,28909.0,39214725.8,1
2025-06-25,1409.0,1480.0,1383.0,1442.07,4.39,31551.0,45772834.7,1
2025-06-26,1440.0,1445.0,1341.0,1354.71,-6.06,21242.0,29453393.3,-1
2025-06-29,1354.0,1354.0,1314.0,1330.3,-1.8,16246.0,21618092.0,-1
2025-06-30,1349.0,1404.9,1325.0,1359.26,2.18,17727.0,24204799.9,1
2025-07-01,1365.0,1390.0,1355.2,1372.7,0.99,12998.0,17870448.4,1
2025-07-02,1372.0,1387.8,1346.1,1350.92,-1.59,17532.0,23922765.7,-1
2025-07-03,1375.0,1390.0,1351.0,1363.98,0.97,20498.0,28171046.2,1
