published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-18,1000.0,1000.0,980.0,980.0,-2.0,25.0,24700.0,-1
2022-09-07,960.4,960.4,922.4,922.4,-5.88,136.0,126108.4,-1
2022-09-08,904.0,904.0,880.0,880.0,-4.6,905.0,799840.0,-1
2022-09-11,862.5,879.0,862.4,862.4,-2.0,384.0,333182.5,-1
2022-09-12,862.4,862.4,862.4,862.4,0.0,350.0,301840.0,0
2022-09-13,849.4,865.0,849.4,860.0,-0.28,355.0,305160.0,-1
2022-09-14,860.0,860.0,860.0,860.0,0.0,75.0,64500.0,0
2022-09-15,860.0,860.0,842.0,842.0,-2.09,200.0,171275.0,-1
2022-09-16,839.0,839.0,815.2,815.2,-3.18,125.0,103315.0,-1
2022-09-18,825.0,825.0,825.0,825.0,1.2,50.0,41250.0,1
2022-09-20,815.0,815.1,815.0,815.0,-1.21,100.0,81502.5,-1
2022-09-21,806.0,815.0,798.0,815.0,0.0,230.0,186330.5,0
2022-09-25,817.0,822.1,817.0,822.1,0.87,90.0,73861.5,1
2022-09-27,810.1,810.1,810.1,810.1,-1.46,25.0,20252.5,-1
2022-09-28,810.1,842.5,810.1,820.0,1.22,475.0,393802.5,1
2022-09-29,820.0,820.0,820.0,820.0,0.0,200.0,164000.0,0
2022-10-09,820.3,820.3,820.3,820.3,0.04,25.0,20507.5,1
2022-10-10,825.0,825.0,825.0,825.0,0.57,50.0,41250.0,1
2022-10-11,822.0,822.0,822.0,822.0,-0.36,25.0,20550.0,-1
2022-10-12,816.5,835.0,816.5,833.0,1.34,75.0,62112.5,1
2022-10-13,826.0,831.0,826.0,831.0,-0.24,50.0,41425.0,-1
2022-10-16,831.0,831.0,831.0,831.0,0.0,50.0,41550.0,0
2022-10-17,832.1,840.0,832.1,839.1,0.97,105.0,87830.0,1
2022-10-19,832.1,832.1,832.1,832.1,-0.83,25.0,20802.5,-1
2022-10-20,833.0,833.0,832.3,832.3,0.02,25.0,20814.5,1
2022-10-23,836.0,853.0,836.0,853.0,2.49,100.0,84075.0,1
2022-10-31,837.0,837.0,837.0,837.0,-1.88,25.0,20925.0,-1
2022-11-01,837.0,837.0,837.0,837.0,0.0,50.0,41850.0,0
2022-11-02,822.0,825.5,821.3,825.5,-1.37,100.0,82249.5,-1
2022-11-03,835.0,835.0,829.2,829.2,0.45,55.0,45780.0,1
2022-11-06,829.7,829.7,821.8,821.8,-0.89,65.0,53851.5,-1
2022-11-07,821.8,827.0,821.8,826.0,0.51,75.0,61915.0,1
2022-11-08,828.0,830.0,828.0,830.0,0.48,75.0,62200.0,1
2022-11-10,831.0,831.0,831.0,831.0,0.12,25.0,20775.0,1
2022-11-13,831.4,831.4,830.0,830.4,-0.07,180.0,149457.0,-1
2022-11-14,830.2,830.7,830.2,830.7,0.04,50.0,41522.5,1
2022-11-15,831.2,835.0,831.2,832.1,0.17,128.0,106544.3,1
