published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-11-30,1000.0,1000.0,1000.0,1000.0,0.0,10.0,10000.0,0
2023-04-02,980.0,980.0,904.0,904.0,-9.6,50.0,47080.0,-1
2023-04-03,886.0,886.0,813.6,813.6,-10.0,60.0,50703.0,-1
2023-04-04,797.4,797.4,732.3,738.0,-9.29,5235.0,3835679.0,-1
2023-04-05,734.0,740.0,734.0,740.0,0.27,165.0,121630.5,1
2023-04-06,740.0,740.0,731.1,731.1,-1.2,85.0,62677.5,-1
2023-04-09,731.0,740.0,731.0,740.0,1.22,110.0,81175.0,1
2023-04-10,740.0,742.0,732.2,742.0,0.27,125.0,92380.0,1
2023-04-12,748.3,748.3,748.3,748.3,0.85,50.0,37415.0,1
2023-04-13,745.2,745.2,730.0,737.0,-1.51,725.0,533360.0,-1
2023-04-16,751.0,751.0,751.0,751.0,1.9,200.0,150200.0,1
2023-04-17,760.0,760.0,760.0,760.0,1.2,25.0,19000.0,1
2023-04-18,773.0,775.0,773.0,775.0,1.97,85.0,65825.0,1
2023-04-19,759.5,770.0,759.5,770.0,-0.65,50.0,38237.5,-1
2023-04-20,770.0,770.0,770.0,770.0,0.0,50.0,38500.0,0
2023-04-23,770.0,770.0,770.0,770.0,0.0,25.0,19250.0,0
2023-04-24,783.0,785.0,783.0,785.0,1.95,50.0,39200.0,1
2023-04-30,792.0,810.0,792.0,810.0,3.18,225.0,179847.5,1
2023-05-09,795.0,795.0,795.0,795.0,-1.85,10.0,7950.0,-1
2023-05-10,795.0,795.0,795.0,795.0,0.0,122.0,96990.0,0
2023-05-11,790.0,790.0,790.0,790.0,-0.63,25.0,19750.0,-1
2023-05-14,780.2,780.2,780.2,780.2,-1.24,25.0,19505.0,-1
2023-05-17,775.0,775.0,766.1,766.1,-1.81,125.0,96652.5,-1
2023-05-18,781.4,781.4,781.4,781.4,2.0,25.0,19535.0,1
2023-05-28,771.0,771.0,771.0,771.0,-1.33,200.0,154200.0,-1
2023-05-31,770.0,770.0,770.0,770.0,-0.13,75.0,57750.0,-1
2023-06-04,770.0,770.0,770.0,770.0,0.0,25.0,19250.0,0
2023-06-05,770.0,770.0,770.0,770.0,0.0,50.0,38500.0,0
2023-06-12,775.0,775.0,775.0,775.0,0.65,25.0,19375.0,1
2023-06-18,770.0,771.1,770.0,771.1,-0.5,50.0,38527.5,-1
2023-06-19,786.5,786.5,786.5,786.5,2.0,25.0,19662.5,1
2023-06-22,785.0,785.0,785.0,785.0,-0.19,25.0,19625.0,-1
2023-07-02,800.0,811.0,800.0,811.0,3.31,100.0,80464.5,1
2023-07-03,827.0,827.2,810.7,810.7,-0.04,55.0,45245.5,-1
2023-07-05,795.0,810.9,795.0,810.9,0.02,35.0,27984.0,1
2023-07-06,795.0,802.0,795.0,802.0,-1.1,197.0,157317.5,-1
2023-07-09,818.0,818.0,818.0,818.0,2.0,10.0,8180.0,1
2023-07-10,810.0,810.0,810.0,810.0,-0.98,40.0,32400.0,-1
2023-07-11,810.0,810.0,810.0,810.0,0.0,15.0,12150.0,0
2023-07-13,793.9,793.9,793.9,793.9,-1.99,15.0,11908.5,-1
2023-07-16,809.7,809.7,809.7,809.7,1.99,25.0,20242.5,1
2023-07-18,800.0,810.0,800.0,800.0,-1.2,175.0,140500.0,-1
2023-07-20,809.9,810.0,800.0,800.0,0.0,350.0,280995.0,0
2023-07-23,800.0,805.0,800.0,805.0,0.63,50.0,40125.0,1
2023-07-27,801.0,801.0,801.0,801.0,-0.5,50.0,40050.0,-1
2023-07-30,801.0,801.0,801.0,801.0,0.0,50.0,40050.0,0
2023-08-01,800.0,800.0,800.0,800.0,-0.12,99.0,79200.0,-1
2023-08-06,785.0,785.0,785.0,785.0,-1.88,80.0,62800.0,-1
2023-08-15,785.0,785.0,785.0,785.0,0.0,50.0,39250.0,0
2023-08-16,780.0,780.0,770.0,770.0,-1.91,75.0,58250.0,-1
2023-08-17,761.0,775.0,761.0,775.0,0.65,50.0,38400.0,1
2023-09-04,759.7,765.1,759.7,765.1,-1.28,45.0,34294.5,-1
2023-09-11,768.7,768.7,768.7,768.7,0.47,25.0,19217.5,1
2023-09-13,759.0,759.0,757.0,757.0,-1.52,50.0,37902.0,-1
2023-09-17,765.2,765.2,765.0,765.0,1.06,128.0,97935.6,1
2023-09-24,770.0,770.0,766.1,770.0,0.65,110.0,84622.0,1
2023-09-25,757.5,760.2,757.5,760.2,-1.27,48.0,36422.1,-1
2023-10-04,772.0,772.0,772.0,772.0,1.55,25.0,19300.0,1
2023-10-10,787.4,802.0,787.4,802.0,3.89,70.0,55944.0,1
2023-10-18,786.0,786.0,786.0,786.0,-2.0,50.0,39300.0,-1
2023-10-29,786.0,786.0,786.0,786.0,0.0,25.0,19650.0,0
2023-10-30,790.0,790.0,790.0,790.0,0.51,25.0,19750.0,1
2023-10-31,790.0,790.0,790.0,790.0,0.0,60.0,47400.0,0
2023-11-05,790.2,790.2,790.0,790.0,0.0,125.0,98755.0,0
2023-11-09,805.8,805.8,790.0,790.0,0.0,35.0,27818.0,0
2023-11-20,800.0,800.0,800.0,800.0,1.27,25.0,20000.0,1
2023-11-22,815.0,816.0,815.0,816.0,2.0,190.0,154950.0,1
2023-11-27,820.0,836.0,820.0,836.0,2.45,75.0,62262.5,1
2023-12-07,851.0,852.7,851.0,852.7,2.0,50.0,42592.5,1
2023-12-19,836.0,836.0,820.0,820.0,-3.83,50.0,41400.0,-1
2023-12-20,836.4,836.4,836.4,836.4,2.0,25.0,20910.0,1
2024-01-01,842.0,842.0,842.0,842.0,0.67,25.0,21050.0,1
2024-01-04,858.8,858.8,858.8,858.8,2.0,10.0,8588.0,1
2024-01-07,875.0,875.9,858.4,858.4,-0.05,140.0,120862.5,-1
2024-01-08,869.0,875.0,869.0,875.0,1.93,150.0,130973.0,1
2024-01-10,874.9,875.5,874.9,875.5,0.06,75.0,65635.0,1
2024-01-11,889.0,889.0,889.0,889.0,1.54,100.0,88900.0,1
2024-01-17,871.3,871.3,853.9,853.9,-3.95,35.0,30060.5,-1
2024-01-24,836.9,836.9,836.9,836.9,-1.99,75.0,62767.5,-1
2024-01-29,830.0,830.0,830.0,830.0,-0.82,25.0,20750.0,-1
2024-01-30,830.0,830.0,830.0,830.0,0.0,25.0,20750.0,0
2024-02-01,830.0,830.0,830.0,830.0,0.0,80.0,66400.0,0
2024-02-04,846.6,846.6,846.6,846.6,2.0,50.0,42330.0,1
2024-02-07,863.5,863.5,863.5,863.5,2.0,25.0,21587.5,1
2024-02-08,855.1,855.1,855.1,855.1,-0.97,25.0,21377.5,-1
2024-02-13,862.1,862.1,862.1,862.1,0.82,25.0,21552.5,1
2024-02-14,876.9,876.9,876.9,876.9,1.72,50.0,43845.0,1
2024-02-18,890.0,890.0,885.0,885.0,0.92,50.0,44375.0,1
2024-02-21,902.7,902.7,884.7,884.7,-0.03,39.0,34755.3,-1
2024-02-25,902.3,902.3,900.0,900.0,1.73,75.0,67615.0,1
