published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-04-10,300.0,330.0,300.0,330.0,10.0,250.0,81310.0,1
2026-04-13,330.0,363.0,330.0,363.0,10.0,410.0,147191.0,1
2026-04-15,370.2,399.3,370.2,399.3,10.0,630.0,249971.0,1
2026-04-16,407.2,439.2,407.2,439.2,9.99,420.0,183677.0,1
2026-04-17,447.9,483.1,447.9,483.1,10.0,550.0,260263.0,1
2026-04-20,507.2,555.5,507.2,555.5,14.99,900.0,498464.0,1
2026-04-21,580.0,638.8,580.0,638.8,15.0,1000.0,637512.0,1
2026-04-22,657.9,734.6,657.9,734.6,15.0,1740.0,1276342.0,1
2026-04-23,756.6,844.7,756.6,844.7,14.99,4760.0,4018632.0,1
2026-04-24,886.2,971.4,886.2,971.4,15.0,9180.0,8912259.0,1
2026-04-27,1019.9,1117.1,1019.9,1117.1,15.0,79890.0,89204220.0,1
2026-04-28,1172.9,1280.0,1025.0,1039.0,-6.99,538665.0,583340716.6,-1
2026-04-29,1039.0,1090.9,943.2,958.1,-7.79,208142.0,202285218.1,-1
2026-04-30,940.0,1030.0,885.1,948.0,-1.05,108003.0,100071698.3,-1
2026-05-04,948.0,960.0,880.1,888.0,-6.33,111017.0,100830677.0,-1
2026-05-05,888.0,916.7,850.0,897.0,1.01,87957.0,77374062.7,1
2026-05-06,897.0,918.0,875.0,876.0,-2.34,52889.0,47055834.8,-1
2026-05-07,860.1,890.0,860.0,869.9,-0.7,40050.0,34779181.9,-1
2026-05-08,850.0,916.0,850.0,897.0,3.12,65696.0,58491796.1,1
2026-05-11,897.0,908.9,887.0,892.0,-0.56,76095.0,68223419.4,-1
2026-05-12,892.0,901.0,861.0,875.0,-1.91,68984.0,60529086.7,-1
2026-05-13,835.0,901.0,835.0,865.0,-1.14,61981.0,53146392.1,-1
2026-05-14,865.0,865.0,840.0,843.0,-2.54,54070.0,45868872.1,-1
2026-05-15,840.0,860.0,836.0,839.8,-0.38,47373.0,40097481.3,-1
2026-05-18,840.0,845.0,805.9,811.9,-3.32,65056.0,53087977.2,-1
2026-05-19,811.9,835.0,800.0,805.0,-0.85,54810.0,44078840.2,-1
2026-05-20,765.0,827.0,765.0,822.0,2.11,51497.0,42024294.3,1
2026-05-21,827.0,835.9,810.0,812.0,-1.22,34235.0,28028318.1,-1
2026-05-22,772.0,833.0,772.0,827.0,1.85,61577.0,50631646.7,1
2026-05-25,827.0,860.0,815.0,852.8,3.12,66607.0,56623847.5,1
2026-05-26,854.0,865.0,833.5,839.9,-1.51,41783.0,35265379.1,-1
2026-05-27,800.0,839.9,800.0,820.0,-2.37,66085.0,54409805.0,-1
2026-06-01,815.0,818.9,800.0,803.7,-1.99,63106.0,50880027.6,-1
2026-06-02,763.6,811.0,763.6,793.0,-1.33,59979.0,47936071.3,-1
2026-06-03,793.0,809.9,793.0,800.0,0.88,43504.0,34818396.4,1
2026-06-04,800.0,805.0,789.0,789.2,-1.35,40923.0,32533137.3,-1
2026-06-05,749.8,850.0,749.8,780.0,-1.17,39256.0,30641373.2,-1
2026-06-08,770.0,788.0,754.0,758.0,-2.82,49322.0,37673374.2,-1
2026-06-09,750.0,783.0,732.0,768.0,1.32,84796.0,63423318.4,1
2026-06-10,765.0,787.4,760.0,774.0,0.78,39370.0,30553806.8,1
2026-06-11,770.0,775.0,755.0,755.9,-2.34,37639.0,28749620.1,-1
2026-06-12,755.9,765.0,741.0,744.0,-1.57,34937.0,26099795.6,-1
2026-06-15,730.0,759.0,730.0,741.0,-0.4,40066.0,29855107.9,-1
2026-06-16,741.0,780.0,730.0,742.0,0.13,28987.0,21459430.0,1
2026-06-17,740.0,750.0,737.2,740.0,-0.27,24500.0,18188497.1,-1
2026-06-18,740.0,745.0,730.0,740.0,0.0,27384.0,20121102.2,0
2026-06-19,730.0,739.0,718.1,719.0,-2.84,34513.0,25064429.5,-1
2026-06-22,700.0,740.5,700.0,725.0,0.83,43974.0,31846539.4,1
2026-06-23,720.0,720.0,696.0,705.0,-2.76,54451.0,38413596.7,-1
2026-06-24,705.0,705.0,670.0,690.0,-2.13,63460.0,43345204.7,-1
2026-06-25,681.0,696.0,675.5,680.0,-1.45,30094.0,20520426.7,-1
2026-06-26,680.0,689.9,671.0,682.0,0.29,18481.0,12542824.9,1
2026-06-29,647.9,682.0,647.9,662.0,-2.93,24776.0,16549599.7,-1
2026-06-30,660.0,670.0,638.0,639.0,-3.47,39939.0,25910459.6,-1
2026-07-01,627.0,666.9,627.0,664.9,4.05,37225.0,24365677.3,1
2026-07-02,634.7,671.0,634.7,661.0,-0.59,33466.0,22082898.8,1
2026-07-03,651.0,664.9,651.0,654.0,-1.06,20256.0,13304462.4,1
2026-07-06,645.6,650.1,628.6,634.0,-3.06,31985.0,20410657.5,-1
2026-07-07,602.3,679.0,602.3,639.8,0.91,20793.0,13180165.1,1
2026-07-08,640.0,645.0,615.1,623.0,-2.63,23862.0,14907187.2,-1
2026-07-09,618.0,622.0,606.2,609.0,-2.25,20390.0,12513627.7,-1
2026-07-10,606.0,619.0,601.3,609.9,0.15,60547.0,36995030.3,1
2026-07-13,609.0,610.0,588.0,590.0,-3.26,35156.0,20871860.3,-1
2026-07-14,585.1,599.0,572.1,589.7,-0.05,33962.0,19914140.5,1
2026-07-15,580.0,599.0,573.0,594.0,0.73,18338.0,10839499.1,1
2026-07-16,590.0,607.0,590.0,595.0,0.17,43238.0,25852778.7,1
